,close,high,low
2025-12-15 00:00:00,0.098926,0.099803,0.098273
2025-12-15 04:00:00,0.098438,0.099227,0.098108
2025-12-15 08:00:00,0.098188,0.099674,0.097513
2025-12-15 12:00:00,0.096439,0.099024,0.095768
2025-12-15 16:00:00,0.091134,0.096116,0.090909
2025-12-15 20:00:00,0.092223,0.092312,0.085885
2025-12-16 00:00:00,0.099556,0.101749,0.09157
2025-12-16 04:00:00,0.094796,0.100379,0.094754
2025-12-16 08:00:00,0.093868,0.098353,0.093861
2025-12-16 12:00:00,0.092507,0.095339,0.090307
2025-12-16 16:00:00,0.091186,0.093012,0.090913
2025-12-16 20:00:00,0.088331,0.092024,0.08804
2025-12-17 00:00:00,0.089601,0.090944,0.087965
2025-12-17 04:00:00,0.088162,0.093639,0.085569
2025-12-17 08:00:00,0.091996,0.092532,0.086649
2025-12-17 12:00:00,0.091464,0.092906,0.090926
2025-12-17 16:00:00,0.093928,0.094725,0.08787
2025-12-17 20:00:00,0.088563,0.094109,0.088563
2025-12-18 00:00:00,0.089739,0.089886,0.088073
2025-12-18 04:00:00,0.092507,0.093216,0.089354
2025-12-18 08:00:00,0.097988,0.10135,0.092022
2025-12-18 12:00:00,0.097263,0.101202,0.095656
2025-12-18 16:00:00,0.098334,0.100841,0.095683
2025-12-18 20:00:00,0.091489,0.098879,0.091265
2025-12-19 00:00:00,0.093588,0.095345,0.091473
2025-12-19 04:00:00,0.092704,0.094689,0.092254
2025-12-19 08:00:00,0.095991,0.096814,0.093249
2025-12-19 12:00:00,0.094446,0.097035,0.092707
2025-12-19 16:00:00,0.095344,0.097274,0.093978
2025-12-19 20:00:00,0.093244,0.095051,0.093131
2025-12-20 00:00:00,0.094698,0.094988,0.093088
2025-12-20 04:00:00,0.097054,0.097501,0.093572
2025-12-20 08:00:00,0.09879,0.100695,0.095488
2025-12-20 12:00:00,0.09706,0.100006,0.09706
2025-12-20 16:00:00,0.097827,0.098138,0.094355
2025-12-20 20:00:00,0.09419,0.098026,0.094075
2025-12-21 00:00:00,0.095289,0.095652,0.094394
2025-12-21 04:00:00,0.095892,0.097965,0.095155
2025-12-21 08:00:00,0.096541,0.097398,0.095201
2025-12-21 12:00:00,0.095529,0.096365,0.093611
2025-12-21 16:00:00,0.09442,0.09561,0.094291
2025-12-21 20:00:00,0.095243,0.096364,0.094191
2025-12-22 00:00:00,0.095621,0.095665,0.094417
2025-12-22 04:00:00,0.094891,0.095818,0.094481
2025-12-22 08:00:00,0.094783,0.09507,0.093787
2025-12-22 12:00:00,0.093189,0.095751,0.092463
2025-12-22 16:00:00,0.092694,0.0981,0.092562
2025-12-22 20:00:00,0.094747,0.097621,0.092622
2025-12-23 00:00:00,0.090183,0.094709,0.090183
2025-12-23 04:00:00,0.090696,0.091067,0.088019
2025-12-23 08:00:00,0.090344,0.091271,0.089837
2025-12-23 12:00:00,0.090758,0.090758,0.089073
2025-12-23 16:00:00,0.090126,0.090763,0.089534
2025-12-23 20:00:00,0.088319,0.089908,0.088142
2025-12-24 00:00:00,0.085547,0.088768,0.085249
2025-12-24 04:00:00,0.08592,0.087582,0.084933
2025-12-24 08:00:00,0.087347,0.088831,0.0854
2025-12-24 12:00:00,0.085996,0.087558,0.085245
2025-12-24 16:00:00,0.084772,0.086151,0.084588
2025-12-24 20:00:00,0.082781,0.084446,0.082324
2025-12-25 00:00:00,0.082239,0.08316,0.081498
2025-12-25 04:00:00,0.080869,0.0833,0.080869
2025-12-25 08:00:00,0.079388,0.081284,0.078764
2025-12-25 12:00:00,0.081819,0.082101,0.07928
2025-12-25 16:00:00,0.083544,0.085833,0.081234
2025-12-25 20:00:00,0.082373,0.084388,0.081885
2025-12-26 00:00:00,0.082903,0.082916,0.081734
2025-12-26 04:00:00,0.08141,0.083054,0.08141
2025-12-26 08:00:00,0.08052,0.081669,0.08052
2025-12-26 12:00:00,0.080909,0.081162,0.080295
2025-12-26 16:00:00,0.080079,0.082821,0.080027
2025-12-26 20:00:00,0.078125,0.080375,0.077319
2025-12-27 00:00:00,0.081206,0.081381,0.077629
2025-12-27 04:00:00,0.079581,0.082203,0.07943
2025-12-27 08:00:00,0.078105,0.079531,0.077831
2025-12-27 12:00:00,0.081547,0.081802,0.077823
2025-12-27 16:00:00,0.079547,0.081702,0.07825
2025-12-27 20:00:00,0.080478,0.080777,0.07842
2025-12-28 00:00:00,0.081164,0.081164,0.080372
2025-12-28 04:00:00,0.080967,0.081644,0.080482
2025-12-28 08:00:00,0.081412,0.082738,0.080351
2025-12-28 12:00:00,0.082388,0.082594,0.081446
2025-12-28 16:00:00,0.079944,0.082575,0.079416
2025-12-28 20:00:00,0.080534,0.083069,0.079843
2025-12-29 00:00:00,0.080684,0.081593,0.080099
2025-12-29 04:00:00,0.082505,0.083058,0.080503
2025-12-29 08:00:00,0.082003,0.085795,0.08096
2025-12-29 12:00:00,0.082666,0.082948,0.08008
2025-12-29 16:00:00,0.081463,0.082452,0.080802
2025-12-29 20:00:00,0.081176,0.081544,0.080953
2025-12-30 00:00:00,0.081407,0.081407,0.080997
2025-12-30 04:00:00,0.081434,0.081779,0.081171
2025-12-30 08:00:00,0.081409,0.081585,0.081253
2025-12-30 12:00:00,0.080853,0.08203,0.079945
2025-12-30 16:00:00,0.079481,0.081186,0.078975
2025-12-30 20:00:00,0.07954,0.080486,0.078939
2025-12-31 00:00:00,0.078553,0.07996,0.077695
2025-12-31 04:00:00,0.078934,0.079812,0.077789
