,close,high,low
2025-12-14 16:00:00,0.999806,1.001,0.999331
2025-12-14 20:00:00,0.999914,1.001,0.99961
2025-12-15 00:00:00,1.0,1.001,0.999571
2025-12-15 04:00:00,1.0,1.001,0.999264
2025-12-15 08:00:00,0.999795,1.0,0.999126
2025-12-15 12:00:00,1.0,1.001,0.999426
2025-12-15 16:00:00,0.999309,1.002,0.997419
2025-12-15 20:00:00,0.999644,1.002,0.998047
2025-12-16 00:00:00,0.999804,1.001,0.999576
2025-12-16 04:00:00,1.0,1.001,0.999178
2025-12-16 08:00:00,0.999868,1.0,0.9982
2025-12-16 12:00:00,0.999776,1.0,0.999286
2025-12-16 16:00:00,1.002,1.002,0.998152
2025-12-16 20:00:00,0.999731,1.0,0.999362
2025-12-17 00:00:00,1.0,1.0,0.999404
2025-12-17 04:00:00,0.999792,1.0,0.999318
2025-12-17 08:00:00,0.999494,1.0,0.998933
2025-12-17 12:00:00,0.999962,1.0,0.999237
2025-12-17 16:00:00,0.996671,1.003,0.996653
2025-12-17 20:00:00,1.0,1.001,0.99818
2025-12-18 00:00:00,0.999663,0.999919,0.999085
2025-12-18 04:00:00,0.999634,1.0,0.998469
2025-12-18 08:00:00,0.998769,0.999898,0.998573
2025-12-18 12:00:00,0.999407,1.0,0.99875
2025-12-18 16:00:00,0.999462,1.0,0.998091
2025-12-18 20:00:00,0.999569,1.002,0.995197
2025-12-19 00:00:00,0.999413,1.0,0.998802
2025-12-19 04:00:00,0.999732,1.001,0.998595
2025-12-19 08:00:00,0.998878,1.0,0.998672
2025-12-19 12:00:00,0.99952,1.0,0.998243
2025-12-19 16:00:00,0.999559,1.0,0.998512
2025-12-19 20:00:00,0.999612,1.0,0.998663
2025-12-20 00:00:00,0.999545,0.99983,0.999074
2025-12-20 04:00:00,0.999001,0.999976,0.998946
2025-12-20 08:00:00,0.999562,1.0,0.999045
2025-12-20 12:00:00,0.999476,0.999929,0.998825
2025-12-20 16:00:00,0.999414,1.0,0.999161
2025-12-20 20:00:00,0.999518,1.0,0.999261
2025-12-21 00:00:00,0.999612,1.0,0.999296
2025-12-21 04:00:00,0.999323,1.0,0.99928
2025-12-21 08:00:00,0.999594,0.999751,0.999165
2025-12-21 12:00:00,0.999313,1.001,0.99864
2025-12-21 16:00:00,0.99967,1.0,0.99922
2025-12-21 20:00:00,0.999961,1.0,0.998905
2025-12-22 00:00:00,0.999474,0.999964,0.999201
2025-12-22 04:00:00,0.999525,1.0,0.998665
2025-12-22 08:00:00,0.999471,0.999847,0.998367
2025-12-22 12:00:00,0.999484,1.0,0.998952
2025-12-22 16:00:00,0.999177,1.001,0.998769
2025-12-22 20:00:00,0.99933,1.0,0.998834
2025-12-23 00:00:00,0.999235,1.0,0.998984
2025-12-23 04:00:00,0.999268,0.999566,0.999071
2025-12-23 08:00:00,0.999228,0.999432,0.99843
2025-12-23 12:00:00,0.999268,0.999651,0.998969
2025-12-23 16:00:00,0.999344,0.999787,0.998687
2025-12-23 20:00:00,0.999645,1.0,0.998852
2025-12-24 00:00:00,0.999473,0.999939,0.998967
2025-12-24 04:00:00,0.999619,0.999781,0.998949
2025-12-24 08:00:00,0.999216,0.999897,0.998848
2025-12-24 12:00:00,0.999322,0.999583,0.99891
2025-12-24 16:00:00,0.999203,1.0,0.998723
2025-12-24 20:00:00,0.999413,0.999814,0.998626
2025-12-25 00:00:00,0.999384,0.999778,0.99896
2025-12-25 04:00:00,0.999356,0.999669,0.998881
2025-12-25 08:00:00,0.999656,0.999729,0.99906
2025-12-25 12:00:00,0.999222,0.999733,0.998892
2025-12-25 16:00:00,0.998908,1.0,0.998908
2025-12-25 20:00:00,0.999335,0.999632,0.998688
2025-12-26 00:00:00,0.999164,0.999867,0.998409
2025-12-26 04:00:00,0.9988,0.999655,0.998097
2025-12-26 08:00:00,0.998996,1.0,0.998471
2025-12-26 12:00:00,0.999189,0.999449,0.998794
2025-12-26 16:00:00,0.999286,0.999812,0.998022
2025-12-26 20:00:00,0.999068,0.999599,0.998793
2025-12-27 00:00:00,0.999179,0.999753,0.99876
2025-12-27 04:00:00,0.999216,0.999583,0.998797
2025-12-27 08:00:00,0.999224,0.999535,0.998956
2025-12-27 12:00:00,0.999456,0.999536,0.997968
2025-12-27 16:00:00,0.999476,0.999614,0.999227
2025-12-27 20:00:00,0.999365,0.999724,0.998776
2025-12-28 00:00:00,0.999218,0.999952,0.998954
2025-12-28 04:00:00,0.999233,0.999596,0.998862
2025-12-28 08:00:00,0.99912,0.999481,0.998938
2025-12-28 12:00:00,0.999379,0.999879,0.998904
2025-12-28 16:00:00,0.999157,0.999526,0.998786
2025-12-28 20:00:00,0.999155,1.0,0.998718
2025-12-29 00:00:00,0.999166,0.999594,0.998754
2025-12-29 04:00:00,0.998537,0.999526,0.998537
2025-12-29 08:00:00,0.998998,0.999163,0.998416
2025-12-29 12:00:00,0.99873,0.99923,0.997762
2025-12-29 16:00:00,0.998793,0.999568,0.998135
2025-12-29 20:00:00,0.998881,0.999411,0.998082
2025-12-30 00:00:00,0.998874,0.999058,0.99843
2025-12-30 04:00:00,0.998581,0.999074,0.998231
2025-12-30 08:00:00,0.99868,0.998898,0.998381
2025-12-30 12:00:00,0.998513,0.999283,0.998424
2025-12-30 16:00:00,0.998694,0.999749,0.998054
2025-12-30 20:00:00,0.99904,0.999334,0.998708
2025-12-31 00:00:00,0.998759,0.999361,0.998655
2025-12-31 04:00:00,0.998904,0.999168,0.998473
2025-12-31 08:00:00,0.998621,0.999023,0.998548
