,close,high,low
2025-12-15 00:00:00,129.41,130.73,128.89
2025-12-15 04:00:00,131.29,132.92,129.62
2025-12-15 08:00:00,132.21,132.45,131.01
2025-12-15 12:00:00,132.12,132.89,132.12
2025-12-15 16:00:00,126.66,134.48,126.66
2025-12-15 20:00:00,125.09,126.95,123.95
2025-12-16 00:00:00,127.67,127.67,123.99
2025-12-16 04:00:00,126.22,128.0,125.55
2025-12-16 08:00:00,125.75,127.36,125.02
2025-12-16 12:00:00,128.81,128.81,125.74
2025-12-16 16:00:00,129.24,129.33,126.7
2025-12-16 20:00:00,127.62,129.16,126.9
2025-12-17 00:00:00,129.01,129.01,127.57
2025-12-17 04:00:00,128.31,129.4,128.31
2025-12-17 08:00:00,128.14,128.37,127.22
2025-12-17 12:00:00,127.53,127.96,126.31
2025-12-17 16:00:00,127.45,133.41,127.45
2025-12-17 20:00:00,122.26,127.52,121.42
2025-12-18 00:00:00,123.17,123.46,122.1
2025-12-18 04:00:00,123.56,123.87,123.04
2025-12-18 08:00:00,122.74,123.84,122.38
2025-12-18 12:00:00,123.93,123.93,122.65
2025-12-18 16:00:00,127.81,128.53,123.68
2025-12-18 20:00:00,117.94,127.39,117.91
2025-12-19 00:00:00,119.61,120.04,117.49
2025-12-19 04:00:00,121.46,121.74,117.68
2025-12-19 08:00:00,124.21,124.98,121.48
2025-12-19 12:00:00,125.38,125.39,123.93
2025-12-19 16:00:00,125.01,126.87,125.01
2025-12-19 20:00:00,126.17,126.4,123.83
2025-12-20 00:00:00,126.2,127.15,126.14
2025-12-20 04:00:00,126.14,126.4,125.4
2025-12-20 08:00:00,126.06,126.54,125.81
2025-12-20 12:00:00,126.18,126.66,125.83
2025-12-20 16:00:00,126.47,126.47,125.45
2025-12-20 20:00:00,126.01,126.51,125.76
2025-12-21 00:00:00,126.04,126.43,125.71
2025-12-21 04:00:00,125.11,125.98,124.68
2025-12-21 08:00:00,125.23,125.41,125.07
2025-12-21 12:00:00,125.46,126.41,124.91
2025-12-21 16:00:00,124.92,125.95,123.43
2025-12-21 20:00:00,125.75,126.21,124.46
2025-12-22 00:00:00,126.06,126.08,124.73
2025-12-22 04:00:00,125.95,128.2,124.91
2025-12-22 08:00:00,126.22,126.52,125.82
2025-12-22 12:00:00,127.05,127.27,125.58
2025-12-22 16:00:00,127.52,128.34,126.54
2025-12-22 20:00:00,124.95,128.23,124.95
2025-12-23 00:00:00,125.69,125.8,124.47
2025-12-23 04:00:00,125.69,126.68,125.32
2025-12-23 08:00:00,124.13,125.83,123.85
2025-12-23 12:00:00,124.87,125.02,123.93
2025-12-23 16:00:00,123.23,124.47,122.09
2025-12-23 20:00:00,123.79,124.78,123.05
2025-12-24 00:00:00,123.85,125.24,123.57
2025-12-24 04:00:00,122.65,124.07,121.82
2025-12-24 08:00:00,121.44,122.78,120.81
2025-12-24 12:00:00,122.01,122.07,121.11
2025-12-24 16:00:00,122.47,122.6,121.35
2025-12-24 20:00:00,122.65,123.02,121.83
2025-12-25 00:00:00,122.59,123.25,122.56
2025-12-25 04:00:00,122.69,122.88,122.1
2025-12-25 08:00:00,122.25,122.73,122.05
2025-12-25 12:00:00,121.54,122.4,121.2
2025-12-25 16:00:00,123.62,123.73,121.56
2025-12-25 20:00:00,123.32,124.19,122.77
2025-12-26 00:00:00,120.31,123.43,119.96
2025-12-26 04:00:00,122.48,123.99,119.39
2025-12-26 08:00:00,122.76,123.83,121.86
2025-12-26 12:00:00,123.66,123.79,122.2
2025-12-26 16:00:00,121.19,124.79,120.73
2025-12-26 20:00:00,121.93,122.17,121.2
2025-12-27 00:00:00,122.12,122.45,121.85
2025-12-27 04:00:00,123.55,123.57,121.81
2025-12-27 08:00:00,123.06,123.45,122.83
2025-12-27 12:00:00,122.94,123.3,122.55
2025-12-27 16:00:00,123.28,123.56,122.76
2025-12-27 20:00:00,123.13,123.35,122.73
2025-12-28 00:00:00,124.62,124.7,123.11
2025-12-28 04:00:00,124.06,124.78,123.83
2025-12-28 08:00:00,124.01,124.2,123.64
2025-12-28 12:00:00,124.52,124.71,123.93
2025-12-28 16:00:00,124.41,124.78,124.25
2025-12-28 20:00:00,123.29,124.68,123.16
2025-12-29 00:00:00,125.12,125.12,123.1
2025-12-29 04:00:00,128.87,129.11,125.05
2025-12-29 08:00:00,127.76,128.88,127.2
2025-12-29 12:00:00,125.1,128.1,124.95
2025-12-29 16:00:00,123.54,124.97,122.56
2025-12-29 20:00:00,122.99,123.81,122.6
2025-12-30 00:00:00,123.04,123.4,122.79
2025-12-30 04:00:00,123.59,123.59,122.47
2025-12-30 08:00:00,123.87,124.02,123.15
2025-12-30 12:00:00,123.92,124.83,123.92
2025-12-30 16:00:00,124.8,125.06,123.68
2025-12-30 20:00:00,124.5,126.21,123.85
2025-12-31 00:00:00,124.79,124.79,123.53
2025-12-31 04:00:00,125.37,125.83,124.46
2025-12-31 08:00:00,125.7,125.88,125.31
2025-12-31 12:00:00,126.51,126.51,125.35
2025-12-31 16:00:00,125.43,127.13,124.85
2025-12-31 20:00:00,124.45,125.53,124.31
2026-01-01 00:00:00,124.39,124.81,123.47
2026-01-01 04:00:00,125.01,125.39,124.5
2026-01-01 08:00:00,124.17,125.04,124.17
2026-01-01 12:00:00,124.87,125.04,124.05
2026-01-01 16:00:00,124.9,125.1,124.27
2026-01-01 20:00:00,125.53,125.53,124.21
2026-01-02 00:00:00,126.74,126.95,125.2
2026-01-02 04:00:00,127.44,127.59,125.77
2026-01-02 08:00:00,126.8,127.44,126.55
2026-01-02 12:00:00,128.17,129.45,127.12
2026-01-02 16:00:00,128.87,129.21,127.33
2026-01-02 20:00:00,131.55,131.9,128.66
2026-01-03 00:00:00,132.06,132.96,130.97
2026-01-03 04:00:00,132.98,132.98,132.08
2026-01-03 08:00:00,130.17,132.8,129.98
2026-01-03 12:00:00,130.57,131.35,129.96
2026-01-03 16:00:00,131.56,131.92,130.5
2026-01-03 20:00:00,131.65,132.05,131.44
2026-01-04 00:00:00,133.32,133.58,131.35
2026-01-04 04:00:00,134.41,134.64,133.3
2026-01-04 08:00:00,133.93,134.62,133.74
2026-01-04 12:00:00,134.16,134.68,133.37
2026-01-04 16:00:00,134.75,135.22,133.83
2026-01-04 20:00:00,133.6,135.32,133.14
2026-01-05 00:00:00,133.91,134.65,133.55
2026-01-05 04:00:00,136.65,137.11,134.08
2026-01-05 08:00:00,135.49,136.61,135.04
2026-01-05 12:00:00,135.72,136.0,134.88
2026-01-05 16:00:00,135.92,136.14,133.32
2026-01-05 20:00:00,138.06,138.52,134.43
2026-01-06 00:00:00,138.08,139.39,137.89
2026-01-06 04:00:00,138.29,138.41,137.07
2026-01-06 08:00:00,137.69,139.67,137.47
2026-01-06 12:00:00,139.31,139.36,137.52
2026-01-06 16:00:00,141.33,143.01,138.74
2026-01-06 20:00:00,137.31,141.68,136.29
2026-01-07 00:00:00,141.21,141.59,137.48
2026-01-07 04:00:00,139.47,141.01,138.58
2026-01-07 08:00:00,139.13,139.6,138.32
2026-01-07 12:00:00,137.79,139.58,136.51
2026-01-07 16:00:00,135.89,138.02,135.42
2026-01-07 20:00:00,135.6,136.22,134.6
2026-01-08 00:00:00,136.36,136.86,135.05
2026-01-08 04:00:00,136.62,137.86,135.96
2026-01-08 08:00:00,135.58,137.86,134.46
2026-01-08 12:00:00,134.53,135.95,134.16
2026-01-08 16:00:00,135.82,135.82,133.2
2026-01-08 20:00:00,137.63,138.63,135.96
2026-01-09 00:00:00,138.2,139.7,136.66
2026-01-09 04:00:00,140.6,140.67,137.85
2026-01-09 08:00:00,139.54,140.67,139.36
2026-01-09 12:00:00,137.94,139.54,137.29
2026-01-09 16:00:00,138.38,140.27,136.52
2026-01-09 20:00:00,135.94,139.84,135.61
2026-01-10 00:00:00,135.73,136.15,135.04
2026-01-10 04:00:00,136.05,136.31,135.59
2026-01-10 08:00:00,135.76,136.02,135.55
2026-01-10 12:00:00,136.39,136.82,135.81
2026-01-10 16:00:00,136.14,136.69,135.88
2026-01-10 20:00:00,135.97,136.5,135.86
2026-01-11 00:00:00,135.9,136.08,135.32
2026-01-11 04:00:00,136.13,136.3,135.72
2026-01-11 08:00:00,135.85,136.25,135.75
2026-01-11 12:00:00,136.35,136.56,135.85
2026-01-11 16:00:00,137.98,138.85,136.33
2026-01-11 20:00:00,139.36,140.88,138.33
2026-01-12 00:00:00,139.47,139.47,137.39
2026-01-12 04:00:00,142.6,143.97,138.81
2026-01-12 08:00:00,141.28,143.01,141.28
2026-01-12 12:00:00,139.9,141.7,138.98
2026-01-12 16:00:00,142.28,142.28,138.9
2026-01-12 20:00:00,141.1,143.97,140.76
2026-01-13 00:00:00,139.09,141.34,138.57
2026-01-13 04:00:00,138.49,139.32,137.78
2026-01-13 08:00:00,140.01,140.48,138.33
