,close,high,low
2025-12-14 20:00:00,141.65,142.69,140.99
2025-12-15 00:00:00,140.91,141.79,140.52
2025-12-15 04:00:00,142.72,144.53,140.62
2025-12-15 08:00:00,143.78,144.11,142.38
2025-12-15 12:00:00,143.8,144.52,143.72
2025-12-15 16:00:00,137.8,146.26,137.8
2025-12-15 20:00:00,136.06,138.09,135.01
2025-12-16 00:00:00,138.66,138.74,134.81
2025-12-16 04:00:00,137.05,139.06,136.39
2025-12-16 08:00:00,136.8,138.47,136.26
2025-12-16 12:00:00,140.18,140.18,136.54
2025-12-16 16:00:00,141.06,141.06,137.79
2025-12-16 20:00:00,138.8,140.51,137.93
2025-12-17 00:00:00,140.35,140.35,138.65
2025-12-17 04:00:00,139.74,141.08,139.65
2025-12-17 08:00:00,139.5,139.75,138.48
2025-12-17 12:00:00,138.77,139.19,137.2
2025-12-17 16:00:00,138.29,144.81,138.29
2025-12-17 20:00:00,133.2,139.18,132.22
2025-12-18 00:00:00,133.89,134.48,132.88
2025-12-18 04:00:00,134.47,134.87,133.94
2025-12-18 08:00:00,133.45,134.76,132.92
2025-12-18 12:00:00,134.62,134.9,133.28
2025-12-18 16:00:00,139.12,139.85,134.54
2025-12-18 20:00:00,128.12,138.52,128.12
2025-12-19 00:00:00,130.03,130.41,127.66
2025-12-19 04:00:00,132.51,133.01,128.04
2025-12-19 08:00:00,135.22,135.82,132.03
2025-12-19 12:00:00,136.35,136.45,134.91
2025-12-19 16:00:00,136.01,137.74,136.01
2025-12-19 20:00:00,137.32,137.68,134.91
2025-12-20 00:00:00,137.42,138.91,137.33
2025-12-20 04:00:00,137.52,137.71,136.55
2025-12-20 08:00:00,137.43,137.83,137.04
2025-12-20 12:00:00,137.54,138.05,137.03
2025-12-20 16:00:00,137.74,137.81,136.66
2025-12-20 20:00:00,137.33,137.74,136.93
2025-12-21 00:00:00,136.97,137.82,136.85
2025-12-21 04:00:00,136.28,137.43,135.86
2025-12-21 08:00:00,136.59,136.64,136.33
2025-12-21 12:00:00,136.72,137.75,136.13
2025-12-21 16:00:00,136.22,137.23,134.68
2025-12-21 20:00:00,136.98,137.35,135.57
2025-12-22 00:00:00,137.28,137.35,135.85
2025-12-22 04:00:00,137.13,139.72,136.04
2025-12-22 08:00:00,137.45,138.0,137.01
2025-12-22 12:00:00,138.48,138.7,136.93
2025-12-22 16:00:00,138.92,139.94,137.77
2025-12-22 20:00:00,136.02,139.6,135.9
2025-12-23 00:00:00,137.12,137.22,135.57
2025-12-23 04:00:00,136.92,138.16,136.23
2025-12-23 08:00:00,135.23,137.16,134.93
2025-12-23 12:00:00,136.2,136.35,135.15
2025-12-23 16:00:00,134.27,136.09,133.42
2025-12-23 20:00:00,134.93,135.89,134.22
2025-12-24 00:00:00,135.11,136.26,134.61
2025-12-24 04:00:00,133.72,135.21,132.91
2025-12-24 08:00:00,132.46,133.76,132.11
2025-12-24 12:00:00,133.15,133.15,132.09
