,close,high,low
2025-12-14 20:00:00,0.109332,0.109956,0.108273
2025-12-15 00:00:00,0.108314,0.109952,0.107135
2025-12-15 04:00:00,0.10953,0.110252,0.107594
2025-12-15 08:00:00,0.109782,0.109797,0.108783
2025-12-15 12:00:00,0.110088,0.110647,0.109835
2025-12-15 16:00:00,0.106589,0.110931,0.105729
2025-12-15 20:00:00,0.104948,0.106574,0.103779
2025-12-16 00:00:00,0.105457,0.105982,0.103808
2025-12-16 04:00:00,0.104327,0.105929,0.104176
2025-12-16 08:00:00,0.104194,0.104701,0.10376
2025-12-16 12:00:00,0.105601,0.105601,0.103894
2025-12-16 16:00:00,0.105806,0.105948,0.104486
2025-12-16 20:00:00,0.104959,0.106297,0.104607
2025-12-17 00:00:00,0.106114,0.106114,0.104876
2025-12-17 04:00:00,0.105003,0.106535,0.104905
2025-12-17 08:00:00,0.104573,0.104913,0.103834
2025-12-17 12:00:00,0.104565,0.104565,0.103423
2025-12-17 16:00:00,0.104942,0.10776,0.104567
2025-12-17 20:00:00,0.101961,0.104424,0.101124
2025-12-18 00:00:00,0.102327,0.102633,0.101744
2025-12-18 04:00:00,0.102121,0.102885,0.10207
2025-12-18 08:00:00,0.102918,0.10346,0.102135
2025-12-18 12:00:00,0.102628,0.103159,0.102044
2025-12-18 16:00:00,0.106436,0.107215,0.102423
2025-12-18 20:00:00,0.099699,0.10591,0.099699
2025-12-19 00:00:00,0.109379,0.110136,0.099488
2025-12-19 04:00:00,0.111636,0.111874,0.108795
2025-12-19 08:00:00,0.114032,0.114545,0.111585
2025-12-19 12:00:00,0.114931,0.115237,0.113692
2025-12-19 16:00:00,0.114957,0.116127,0.114576
2025-12-19 20:00:00,0.117015,0.117037,0.114585
2025-12-20 00:00:00,0.122064,0.122704,0.116784
2025-12-20 04:00:00,0.122422,0.122457,0.121588
2025-12-20 08:00:00,0.122163,0.122601,0.12206
2025-12-20 12:00:00,0.121812,0.122465,0.121456
2025-12-20 16:00:00,0.122422,0.122926,0.121738
2025-12-20 20:00:00,0.122663,0.122703,0.12149
2025-12-21 00:00:00,0.122129,0.122689,0.121936
2025-12-21 04:00:00,0.12258,0.12333,0.12213
2025-12-21 08:00:00,0.122042,0.12326,0.121823
2025-12-21 12:00:00,0.122146,0.122451,0.121625
2025-12-21 16:00:00,0.120764,0.122624,0.120133
2025-12-21 20:00:00,0.121863,0.121863,0.120458
2025-12-22 00:00:00,0.1219,0.122719,0.120774
2025-12-22 04:00:00,0.122973,0.123633,0.121496
2025-12-22 08:00:00,0.123819,0.124326,0.122669
2025-12-22 12:00:00,0.124229,0.124564,0.123236
2025-12-22 16:00:00,0.124803,0.12552,0.124015
2025-12-22 20:00:00,0.123383,0.125727,0.123383
2025-12-23 00:00:00,0.122665,0.122782,0.121836
2025-12-23 04:00:00,0.122797,0.123431,0.121841
2025-12-23 08:00:00,0.121039,0.1229,0.120996
