,close,high,low
2025-12-15 00:00:00,0.997032,0.997554,0.996894
2025-12-15 04:00:00,0.996989,0.997369,0.996127
2025-12-15 08:00:00,0.99677,0.997536,0.99677
2025-12-15 12:00:00,0.996826,0.997542,0.996474
2025-12-15 16:00:00,0.997173,0.997501,0.99677
2025-12-15 20:00:00,0.996855,0.997614,0.996741
2025-12-16 00:00:00,0.996467,0.996929,0.996413
2025-12-16 04:00:00,0.996476,0.996911,0.996384
2025-12-16 08:00:00,0.99615,0.996979,0.996023
2025-12-16 12:00:00,0.996621,0.997675,0.996149
2025-12-16 16:00:00,0.997179,0.997179,0.996166
2025-12-16 20:00:00,0.996976,0.997376,0.996745
2025-12-17 00:00:00,0.997282,0.997339,0.99663
2025-12-17 04:00:00,0.997095,0.99735,0.996622
2025-12-17 08:00:00,0.997014,0.997264,0.996767
2025-12-17 12:00:00,0.997291,0.997291,0.996837
2025-12-17 16:00:00,0.996789,0.997427,0.996789
2025-12-17 20:00:00,0.996727,0.997411,0.996482
2025-12-18 00:00:00,0.996811,0.997558,0.996535
2025-12-18 04:00:00,0.997252,0.99755,0.996837
2025-12-18 08:00:00,0.996596,0.997354,0.996585
2025-12-18 12:00:00,0.996914,0.996989,0.996593
2025-12-18 16:00:00,0.997679,0.997679,0.996632
2025-12-18 20:00:00,0.997186,0.998038,0.997081
2025-12-19 00:00:00,0.997853,0.997853,0.996865
2025-12-19 04:00:00,0.997623,0.997801,0.997264
2025-12-19 08:00:00,0.997423,0.997759,0.996981
2025-12-19 12:00:00,0.996889,0.99788,0.996776
2025-12-19 16:00:00,0.997812,0.99789,0.996734
2025-12-19 20:00:00,0.997275,0.997803,0.997085
2025-12-20 00:00:00,0.997335,0.997394,0.997013
2025-12-20 04:00:00,0.997861,0.997989,0.997166
2025-12-20 08:00:00,0.997507,0.997899,0.997301
2025-12-20 12:00:00,0.997622,0.997632,0.997147
2025-12-20 16:00:00,0.99757,0.997731,0.997006
2025-12-20 20:00:00,0.997265,0.997622,0.996989
2025-12-21 00:00:00,0.997459,0.997501,0.997179
2025-12-21 04:00:00,0.997301,0.997535,0.997188
2025-12-21 08:00:00,0.997284,0.997498,0.997237
2025-12-21 12:00:00,0.99731,0.997484,0.997203
2025-12-21 16:00:00,0.99728,0.997456,0.997095
2025-12-21 20:00:00,0.997361,0.997559,0.99731
2025-12-22 00:00:00,0.997197,0.997559,0.997147
2025-12-22 04:00:00,0.996799,0.997391,0.996799
2025-12-22 08:00:00,0.997074,0.997465,0.994721
2025-12-22 12:00:00,0.997389,0.997389,0.996917
2025-12-22 16:00:00,0.997016,0.997529,0.996857
2025-12-22 20:00:00,0.997192,0.997266,0.996803
2025-12-23 00:00:00,0.996999,0.997184,0.996491
2025-12-23 04:00:00,0.996962,0.997212,0.996391
2025-12-23 08:00:00,0.997006,0.997217,0.996476
2025-12-23 12:00:00,0.996699,0.997245,0.99648
2025-12-23 16:00:00,0.996566,0.996904,0.996246
2025-12-23 20:00:00,0.997092,0.997542,0.996524
2025-12-24 00:00:00,0.996905,0.99774,0.996905
2025-12-24 04:00:00,0.996526,0.996924,0.996403
2025-12-24 08:00:00,0.997197,0.997617,0.996555
2025-12-24 12:00:00,0.997423,0.997423,0.996752
2025-12-24 16:00:00,0.997186,0.997619,0.997029
2025-12-24 20:00:00,0.99745,0.99745,0.997037
2025-12-25 00:00:00,0.997229,0.997552,0.997081
2025-12-25 04:00:00,0.997325,0.997377,0.997004
2025-12-25 08:00:00,0.997158,0.997416,0.996882
2025-12-25 12:00:00,0.997336,0.997421,0.997007
2025-12-25 16:00:00,0.99717,0.997592,0.997029
2025-12-25 20:00:00,0.997181,0.997213,0.996942
2025-12-26 00:00:00,0.996816,0.997216,0.996736
2025-12-26 04:00:00,0.996946,0.997217,0.996737
2025-12-26 08:00:00,0.996991,0.997075,0.996828
2025-12-26 12:00:00,0.996682,0.997582,0.996682
2025-12-26 16:00:00,0.997018,0.997826,0.996696
2025-12-26 20:00:00,0.997011,0.997233,0.996574
2025-12-27 00:00:00,0.997247,0.99758,0.9968
2025-12-27 04:00:00,0.997451,0.997494,0.997115
2025-12-27 08:00:00,0.997515,0.997794,0.99735
2025-12-27 12:00:00,0.997756,0.997756,0.996663
2025-12-27 16:00:00,0.997572,0.997996,0.997386
2025-12-27 20:00:00,0.997624,0.997833,0.997241
2025-12-28 00:00:00,0.997474,0.997765,0.99713
2025-12-28 04:00:00,0.997199,0.997489,0.997092
2025-12-28 08:00:00,0.997616,0.997657,0.997011
2025-12-28 12:00:00,0.997281,0.997819,0.997004
2025-12-28 16:00:00,0.997066,0.997572,0.996775
2025-12-28 20:00:00,0.99716,0.997258,0.996606
2025-12-29 00:00:00,0.997388,0.997388,0.996839
2025-12-29 04:00:00,0.997044,0.997203,0.996805
2025-12-29 08:00:00,0.996911,0.997159,0.996788
2025-12-29 12:00:00,0.996999,0.997247,0.99671
2025-12-29 16:00:00,0.996336,0.997278,0.996164
2025-12-29 20:00:00,0.996368,0.997182,0.996048
2025-12-30 00:00:00,0.997342,0.99767,0.996325
2025-12-30 04:00:00,0.997143,0.997646,0.996719
2025-12-30 08:00:00,0.996992,0.997382,0.99696
2025-12-30 12:00:00,0.997231,0.997432,0.996885
2025-12-30 16:00:00,0.997258,0.99754,0.997008
2025-12-30 20:00:00,0.99754,0.997657,0.997199
2025-12-31 00:00:00,0.997337,0.997445,0.996943
2025-12-31 04:00:00,0.997368,0.997368,0.99703
2025-12-31 08:00:00,0.997079,0.997392,0.996894
2025-12-31 12:00:00,0.997523,0.998249,0.996953
2025-12-31 16:00:00,0.997208,0.997805,0.997034
2025-12-31 20:00:00,0.99687,0.99734,0.996819
2026-01-01 00:00:00,0.996885,0.997169,0.99433
2026-01-01 04:00:00,0.997246,0.997342,0.996872
2026-01-01 08:00:00,0.997608,0.997714,0.996989
2026-01-01 12:00:00,0.997101,0.997318,0.996913
2026-01-01 16:00:00,0.997011,0.997278,0.996707
2026-01-01 20:00:00,0.997766,0.997926,0.996781
2026-01-02 00:00:00,0.99726,0.998212,0.996641
2026-01-02 04:00:00,0.997122,0.99746,0.997122
2026-01-02 08:00:00,0.997579,0.997762,0.997069
2026-01-02 12:00:00,0.997898,0.998015,0.997491
2026-01-02 16:00:00,0.997403,0.998045,0.997395
2026-01-02 20:00:00,0.997937,0.99811,0.9974
2026-01-03 00:00:00,0.998193,0.998297,0.997625
2026-01-03 04:00:00,0.998467,0.9985,0.998104
2026-01-03 08:00:00,0.998228,0.998557,0.998198
2026-01-03 12:00:00,0.998236,0.998548,0.998154
2026-01-03 16:00:00,0.998068,0.998369,0.997936
2026-01-03 20:00:00,0.998264,0.998444,0.998032
2026-01-04 00:00:00,0.998129,0.998323,0.997897
2026-01-04 04:00:00,0.998268,0.998445,0.997827
2026-01-04 08:00:00,0.997709,0.99838,0.996128
2026-01-04 12:00:00,0.997688,0.99804,0.99754
2026-01-04 16:00:00,0.998225,0.998231,0.997564
2026-01-04 20:00:00,0.998178,0.998316,0.997763
2026-01-05 00:00:00,0.997987,0.998637,0.997633
2026-01-05 04:00:00,0.998174,0.998204,0.997863
2026-01-05 08:00:00,0.998076,0.998331,0.997961
2026-01-05 12:00:00,0.998049,0.999459,0.997652
2026-01-05 16:00:00,0.998298,0.99835,0.997817
2026-01-05 20:00:00,0.998739,0.998845,0.998163
2026-01-06 00:00:00,0.998632,0.998835,0.998585
2026-01-06 04:00:00,0.998237,0.998755,0.998206
2026-01-06 08:00:00,0.998411,0.998742,0.99803
2026-01-06 12:00:00,0.998441,0.99864,0.997865
2026-01-06 16:00:00,0.998402,0.998706,0.997988
2026-01-06 20:00:00,0.99824,0.998448,0.997847
2026-01-07 00:00:00,0.998813,0.998813,0.998201
2026-01-07 04:00:00,0.998148,0.998799,0.998066
2026-01-07 08:00:00,0.998075,0.998331,0.998039
2026-01-07 12:00:00,0.997631,0.998105,0.997432
2026-01-07 16:00:00,0.997988,0.998175,0.997486
2026-01-07 20:00:00,0.997654,0.998628,0.997529
2026-01-08 00:00:00,0.998409,0.998441,0.997564
2026-01-08 04:00:00,0.998623,0.998818,0.998281
2026-01-08 08:00:00,0.998395,0.998699,0.997773
2026-01-08 12:00:00,0.998579,0.998801,0.9978
2026-01-08 16:00:00,0.997707,0.998648,0.997669
2026-01-08 20:00:00,0.997806,0.998977,0.997722
2026-01-09 00:00:00,0.99839,0.998425,0.997748
2026-01-09 04:00:00,0.99822,0.999417,0.998111
2026-01-09 08:00:00,0.998336,0.998381,0.99804
2026-01-09 12:00:00,0.99788,0.998669,0.997829
2026-01-09 16:00:00,0.997797,0.998404,0.99762
2026-01-09 20:00:00,0.997724,0.998357,0.997568
2026-01-10 00:00:00,0.997447,0.997807,0.997358
2026-01-10 04:00:00,0.997616,0.997744,0.997397
2026-01-10 08:00:00,0.997899,0.997907,0.997557
2026-01-10 12:00:00,0.998039,0.998366,0.997684
2026-01-10 16:00:00,0.997936,0.998668,0.997786
2026-01-10 20:00:00,0.99802,0.998223,0.997783
2026-01-11 00:00:00,0.99768,0.998208,0.99764
2026-01-11 04:00:00,0.998259,0.998348,0.997813
2026-01-11 08:00:00,0.997386,0.998287,0.992652
2026-01-11 12:00:00,0.998324,0.998341,0.996906
2026-01-11 16:00:00,0.998303,0.998322,0.99787
2026-01-11 20:00:00,0.998092,0.998304,0.997966
2026-01-12 00:00:00,0.997563,0.998179,0.997412
2026-01-12 04:00:00,0.998293,0.998293,0.997398
2026-01-12 08:00:00,0.997734,0.998007,0.997417
2026-01-12 12:00:00,0.998277,0.998486,0.997558
2026-01-12 16:00:00,0.997873,0.998514,0.997321
2026-01-12 20:00:00,0.997829,0.99829,0.997762
2026-01-13 00:00:00,0.997905,0.998194,0.997738
2026-01-13 04:00:00,0.99767,0.998007,0.99767
2026-01-13 08:00:00,0.997571,0.999512,0.997571
2026-01-13 12:00:00,0.998197,0.998303,0.997476
2026-01-13 16:00:00,0.997347,0.998252,0.996992
2026-01-13 20:00:00,0.997793,0.998143,0.997207
