,close,high,low
2025-12-15 00:00:00,7.11,7.19,7.1
2025-12-15 04:00:00,7.2,7.29,7.11
2025-12-15 08:00:00,7.2,7.27,7.2
2025-12-15 12:00:00,7.19,7.21,7.18
2025-12-15 16:00:00,6.89,7.19,6.87
2025-12-15 20:00:00,6.82,6.87,6.73
2025-12-16 00:00:00,6.89,6.89,6.78
2025-12-16 04:00:00,6.82,6.89,6.78
2025-12-16 08:00:00,6.79,6.88,6.79
2025-12-16 12:00:00,6.94,6.94,6.79
2025-12-16 16:00:00,6.96,6.99,6.87
2025-12-16 20:00:00,6.97,6.99,6.91
2025-12-17 00:00:00,6.93,6.98,6.91
2025-12-17 04:00:00,6.89,6.94,6.89
2025-12-17 08:00:00,6.87,6.9,6.83
2025-12-17 12:00:00,6.83,6.87,6.78
2025-12-17 16:00:00,6.73,6.97,6.73
2025-12-17 20:00:00,6.52,6.73,6.46
2025-12-18 00:00:00,6.43,6.57,6.43
2025-12-18 04:00:00,6.36,6.44,6.35
2025-12-18 08:00:00,6.36,6.39,6.29
2025-12-18 12:00:00,6.4,6.42,6.34
2025-12-18 16:00:00,6.58,6.59,6.4
2025-12-18 20:00:00,6.2,6.62,6.2
2025-12-19 00:00:00,6.34,6.37,6.17
2025-12-19 04:00:00,6.47,6.47,6.27
2025-12-19 08:00:00,6.53,6.53,6.41
2025-12-19 12:00:00,6.55,6.58,6.52
2025-12-19 16:00:00,6.59,6.61,6.53
2025-12-19 20:00:00,6.68,6.68,6.56
2025-12-20 00:00:00,6.63,6.72,6.62
2025-12-20 04:00:00,6.64,6.65,6.59
2025-12-20 08:00:00,6.65,6.66,6.6
2025-12-20 12:00:00,6.62,6.68,6.59
2025-12-20 16:00:00,6.64,6.64,6.6
2025-12-20 20:00:00,6.64,6.66,6.63
2025-12-21 00:00:00,6.66,6.69,6.64
2025-12-21 04:00:00,6.57,6.69,6.54
2025-12-21 08:00:00,6.6,6.61,6.56
2025-12-21 12:00:00,6.53,6.61,6.53
2025-12-21 16:00:00,6.4,6.55,6.34
2025-12-21 20:00:00,6.4,6.44,6.37
2025-12-22 00:00:00,6.43,6.45,6.33
2025-12-22 04:00:00,6.42,6.5,6.37
2025-12-22 08:00:00,6.43,6.45,6.4
2025-12-22 12:00:00,6.49,6.49,6.42
2025-12-22 16:00:00,6.41,6.51,6.41
2025-12-22 20:00:00,6.32,6.44,6.32
2025-12-23 00:00:00,6.33,6.35,6.26
2025-12-23 04:00:00,6.29,6.36,6.28
2025-12-23 08:00:00,6.21,6.28,6.21
2025-12-23 12:00:00,6.23,6.24,6.19
2025-12-23 16:00:00,6.26,6.27,6.21
2025-12-23 20:00:00,6.31,6.34,6.26
2025-12-24 00:00:00,6.31,6.37,6.31
2025-12-24 04:00:00,6.26,6.33,6.23
2025-12-24 08:00:00,6.18,6.27,6.17
2025-12-24 12:00:00,6.31,6.31,6.14
2025-12-24 16:00:00,6.29,6.31,6.25
2025-12-24 20:00:00,6.22,6.3,6.21
2025-12-25 00:00:00,6.28,6.3,6.22
2025-12-25 04:00:00,6.25,6.33,6.2
2025-12-25 08:00:00,6.28,6.28,6.25
2025-12-25 12:00:00,6.27,6.31,6.22
2025-12-25 16:00:00,6.28,6.29,6.23
2025-12-25 20:00:00,6.29,6.32,6.26
2025-12-26 00:00:00,6.11,6.31,6.11
2025-12-26 04:00:00,6.21,6.26,6.09
2025-12-26 08:00:00,6.18,6.24,6.18
2025-12-26 12:00:00,6.21,6.21,6.16
2025-12-26 16:00:00,6.11,6.24,6.11
2025-12-26 20:00:00,6.14,6.14,6.04
2025-12-27 00:00:00,6.14,6.15,6.12
2025-12-27 04:00:00,6.18,6.18,6.13
2025-12-27 08:00:00,6.25,6.25,6.17
2025-12-27 12:00:00,6.2,6.25,6.14
2025-12-27 16:00:00,6.24,6.24,6.17
2025-12-27 20:00:00,6.24,6.26,6.2
2025-12-28 00:00:00,6.29,6.29,6.21
2025-12-28 04:00:00,6.32,6.32,6.28
2025-12-28 08:00:00,6.42,6.44,6.31
2025-12-28 12:00:00,6.32,6.42,6.31
2025-12-28 16:00:00,6.31,6.32,6.28
2025-12-28 20:00:00,6.14,6.31,6.14
2025-12-29 00:00:00,6.12,6.14,6.07
2025-12-29 04:00:00,6.16,6.17,6.1
2025-12-29 08:00:00,6.19,6.24,6.14
2025-12-29 12:00:00,6.07,6.18,6.07
2025-12-29 16:00:00,5.94,6.07,5.88
2025-12-29 20:00:00,5.87,5.94,5.82
2025-12-30 00:00:00,5.84,5.86,5.74
2025-12-30 04:00:00,5.64,5.8,5.59
2025-12-30 08:00:00,5.67,5.68,5.61
2025-12-30 12:00:00,5.7,5.71,5.67
2025-12-30 16:00:00,5.71,5.71,5.66
2025-12-30 20:00:00,5.67,5.73,5.65
2025-12-31 00:00:00,5.67,5.67,5.63
2025-12-31 04:00:00,5.69,5.69,5.61
2025-12-31 08:00:00,5.67,5.7,5.63
2025-12-31 12:00:00,5.68,5.7,5.65
2025-12-31 16:00:00,5.68,5.68,5.62
2025-12-31 20:00:00,5.55,5.68,5.47
2026-01-01 00:00:00,5.54,5.55,5.49
2026-01-01 04:00:00,5.4,5.6,5.39
2026-01-01 08:00:00,5.51,5.52,5.4
2026-01-01 12:00:00,5.57,5.59,5.49
2026-01-01 16:00:00,5.72,5.72,5.55
2026-01-01 20:00:00,5.84,5.84,5.73
2026-01-02 00:00:00,5.9,5.93,5.82
2026-01-02 04:00:00,5.91,5.92,5.83
2026-01-02 08:00:00,5.81,5.9,5.81
2026-01-02 12:00:00,5.82,5.9,5.82
2026-01-02 16:00:00,5.83,5.86,5.78
2026-01-02 20:00:00,5.97,5.97,5.82
2026-01-03 00:00:00,6.05,6.07,5.96
2026-01-03 04:00:00,6.19,6.19,6.06
2026-01-03 08:00:00,6.09,6.22,6.07
2026-01-03 12:00:00,6.06,6.1,6.04
2026-01-03 16:00:00,6.14,6.16,6.07
2026-01-03 20:00:00,6.19,6.22,6.13
2026-01-04 00:00:00,6.2,6.21,6.17
2026-01-04 04:00:00,6.24,6.25,6.2
2026-01-04 08:00:00,6.21,6.25,6.18
2026-01-04 12:00:00,6.21,6.23,6.18
2026-01-04 16:00:00,6.25,6.27,6.19
2026-01-04 20:00:00,6.2,6.31,6.18
2026-01-05 00:00:00,6.21,6.25,6.2
2026-01-05 04:00:00,6.27,6.31,6.21
2026-01-05 08:00:00,6.21,6.28,6.14
2026-01-05 12:00:00,6.13,6.21,6.1
2026-01-05 16:00:00,6.26,6.26,6.11
2026-01-05 20:00:00,6.41,6.46,6.21
2026-01-06 00:00:00,6.54,6.56,6.42
2026-01-06 04:00:00,6.72,6.72,6.46
2026-01-06 08:00:00,6.57,6.77,6.57
2026-01-06 12:00:00,6.61,6.62,6.54
2026-01-06 16:00:00,6.61,6.76,6.61
2026-01-06 20:00:00,6.45,6.64,6.35
2026-01-07 00:00:00,6.69,6.69,6.46
2026-01-07 04:00:00,6.55,6.68,6.52
2026-01-07 08:00:00,6.61,6.61,6.49
2026-01-07 12:00:00,6.53,6.62,6.49
2026-01-07 16:00:00,6.36,6.54,6.34
2026-01-07 20:00:00,6.34,6.41,6.3
2026-01-08 00:00:00,6.22,6.34,6.2
2026-01-08 04:00:00,6.23,6.3,6.21
2026-01-08 08:00:00,6.17,6.28,6.11
2026-01-08 12:00:00,6.03,6.2,6.01
2026-01-08 16:00:00,6.02,6.04,5.91
2026-01-08 20:00:00,5.95,6.03,5.93
2026-01-09 00:00:00,5.94,5.99,5.9
2026-01-09 04:00:00,5.97,5.97,5.92
2026-01-09 08:00:00,5.99,6.01,5.97
2026-01-09 12:00:00,5.95,5.99,5.9
2026-01-09 16:00:00,6.04,6.08,5.91
2026-01-09 20:00:00,6.3,6.44,6.05
2026-01-10 00:00:00,6.26,6.34,6.26
2026-01-10 04:00:00,6.52,6.81,6.26
2026-01-10 08:00:00,6.5,6.62,6.5
2026-01-10 12:00:00,6.45,6.49,6.38
2026-01-10 16:00:00,6.54,6.54,6.4
2026-01-10 20:00:00,6.49,6.55,6.48
2026-01-11 00:00:00,6.45,6.5,6.38
2026-01-11 04:00:00,6.3,6.53,6.24
2026-01-11 08:00:00,6.31,6.35,6.26
2026-01-11 12:00:00,6.36,6.36,6.29
2026-01-11 16:00:00,6.3,6.39,6.3
2026-01-11 20:00:00,6.33,6.4,6.3
2026-01-12 00:00:00,6.22,6.32,6.19
2026-01-12 04:00:00,6.2,6.26,6.09
2026-01-12 08:00:00,6.11,6.24,6.11
2026-01-12 12:00:00,6.08,6.13,6.05
2026-01-12 16:00:00,6.06,6.07,5.98
2026-01-12 20:00:00,6.03,6.08,6.01
2026-01-13 00:00:00,5.95,6.04,5.93
2026-01-13 04:00:00,6.08,6.09,5.94
2026-01-13 08:00:00,6.03,6.08,6.03
2026-01-13 12:00:00,6.1,6.15,6.03
2026-01-13 16:00:00,6.2,6.22,6.1
2026-01-13 20:00:00,6.2,6.26,6.17
