,close,high,low
2025-12-15 00:00:00,0.999995,0.999995,0.998686
2025-12-15 04:00:00,0.999516,1.001,0.999211
2025-12-15 08:00:00,0.999305,1.0,0.999194
2025-12-15 12:00:00,0.999973,1.0,0.999274
2025-12-15 16:00:00,0.998883,1.0,0.998651
2025-12-15 20:00:00,1.0,1.001,0.998277
2025-12-16 00:00:00,1.0,1.001,0.998986
2025-12-16 04:00:00,1.0,1.001,0.998261
2025-12-16 08:00:00,0.99995,1.001,0.998801
2025-12-16 12:00:00,0.999984,1.001,0.998503
2025-12-16 16:00:00,0.999526,1.001,0.997736
2025-12-16 20:00:00,1.0,1.001,0.997874
2025-12-17 00:00:00,0.999966,1.0,0.999163
2025-12-17 04:00:00,1.0,1.0,0.999068
2025-12-17 08:00:00,0.999462,1.001,0.998812
2025-12-17 12:00:00,1.001,1.001,0.998819
2025-12-17 16:00:00,0.998707,1.0,0.99629
2025-12-17 20:00:00,1.0,1.001,0.996924
2025-12-18 00:00:00,0.998904,1.001,0.998272
2025-12-18 04:00:00,0.999471,1.001,0.998827
2025-12-18 08:00:00,0.999583,1.001,0.998566
2025-12-18 12:00:00,0.999694,1.001,0.998856
2025-12-18 16:00:00,0.99977,1.003,0.998339
2025-12-18 20:00:00,1.001,1.001,0.997624
2025-12-19 00:00:00,1.001,1.001,0.997915
2025-12-19 04:00:00,1.001,1.002,0.998473
2025-12-19 08:00:00,1.001,1.003,0.998594
2025-12-19 12:00:00,0.999368,1.002,0.998726
2025-12-19 16:00:00,0.999627,1.002,0.998318
2025-12-19 20:00:00,0.998881,1.002,0.997893
2025-12-20 00:00:00,0.999904,1.001,0.998734
2025-12-20 04:00:00,1.0,1.001,0.999184
2025-12-20 08:00:00,1.001,1.002,0.999076
2025-12-20 12:00:00,1.0,1.002,0.999036
2025-12-20 16:00:00,1.0,1.001,0.999298
2025-12-20 20:00:00,1.0,1.0,0.999022
2025-12-21 00:00:00,1.0,1.0,0.999568
2025-12-21 04:00:00,0.999493,1.001,0.999493
2025-12-21 08:00:00,0.999849,1.0,0.999501
2025-12-21 12:00:00,1.0,1.001,0.999344
2025-12-21 16:00:00,1.0,1.0,0.999262
2025-12-21 20:00:00,1.0,1.0,0.999763
2025-12-22 00:00:00,0.999972,1.0,0.998658
2025-12-22 04:00:00,1.0,1.001,0.999701
2025-12-22 08:00:00,0.999621,1.0,0.999351
2025-12-22 12:00:00,1.0,1.0,0.999269
2025-12-22 16:00:00,1.0,1.0,0.999024
2025-12-22 20:00:00,0.999215,1.001,0.999134
2025-12-23 00:00:00,1.001,1.001,0.998977
2025-12-23 04:00:00,1.0,1.001,0.999217
2025-12-23 08:00:00,0.999702,1.0,0.998884
2025-12-23 12:00:00,1.0,1.0,0.998966
2025-12-23 16:00:00,0.999309,1.0,0.998869
2025-12-23 20:00:00,0.999456,1.0,0.998706
2025-12-24 00:00:00,0.999651,1.001,0.999208
2025-12-24 04:00:00,0.999662,1.0,0.998782
2025-12-24 08:00:00,0.999295,1.0,0.998552
2025-12-24 12:00:00,0.99955,1.0,0.99845
2025-12-24 16:00:00,0.99982,1.001,0.99906
2025-12-24 20:00:00,0.999486,1.0,0.998938
2025-12-25 00:00:00,1.0,1.0,0.998907
2025-12-25 04:00:00,1.0,1.0,0.999041
2025-12-25 08:00:00,1.0,1.001,0.99895
2025-12-25 12:00:00,0.999631,1.001,0.998879
2025-12-25 16:00:00,0.999629,1.001,0.999518
2025-12-25 20:00:00,1.0,1.001,0.999393
2025-12-26 00:00:00,1.0,1.0,0.998957
2025-12-26 04:00:00,1.0,1.001,0.999381
2025-12-26 08:00:00,0.999725,1.001,0.999435
2025-12-26 12:00:00,0.999903,1.001,0.999228
2025-12-26 16:00:00,0.999083,1.0,0.998596
2025-12-26 20:00:00,0.999582,1.0,0.998937
2025-12-27 00:00:00,0.999672,1.0,0.998929
2025-12-27 04:00:00,0.999799,1.0,0.999024
2025-12-27 08:00:00,0.99958,0.999871,0.999079
2025-12-27 12:00:00,0.999747,0.999843,0.999518
2025-12-27 16:00:00,1.0,1.0,0.999322
2025-12-27 20:00:00,0.99929,1.0,0.999058
2025-12-28 00:00:00,0.999923,1.0,0.998804
2025-12-28 04:00:00,1.0,1.0,0.999379
2025-12-28 08:00:00,0.999965,1.0,0.998761
2025-12-28 12:00:00,0.999559,1.0,0.998772
2025-12-28 16:00:00,0.999632,0.999996,0.999276
2025-12-28 20:00:00,0.999522,0.999999,0.999246
2025-12-29 00:00:00,1.0,1.0,0.999292
2025-12-29 04:00:00,0.999657,1.001,0.999114
2025-12-29 08:00:00,0.999399,1.0,0.999284
2025-12-29 12:00:00,0.999951,1.0,0.998873
2025-12-29 16:00:00,0.999378,1.001,0.99799
2025-12-29 20:00:00,0.999243,1.001,0.998655
2025-12-30 00:00:00,1.0,1.0,0.998355
2025-12-30 04:00:00,0.999872,1.0,0.998757
2025-12-30 08:00:00,0.999331,1.001,0.99855
2025-12-30 12:00:00,0.998689,1.001,0.998543
2025-12-30 16:00:00,1.0,1.001,0.998464
2025-12-30 20:00:00,0.9997,1.001,0.997793
2025-12-31 00:00:00,0.999954,1.001,0.999413
2025-12-31 04:00:00,0.999147,1.001,0.998967
2025-12-31 08:00:00,0.999715,1.0,0.999129
2025-12-31 12:00:00,0.999682,1.0,0.999308
2025-12-31 16:00:00,0.9987,1.0,0.998291
2025-12-31 20:00:00,0.999576,1.001,0.99858
2026-01-01 00:00:00,0.999138,1.0,0.99861
2026-01-01 04:00:00,0.998728,1.0,0.998728
2026-01-01 08:00:00,0.999582,1.0,0.998874
2026-01-01 12:00:00,1.0,1.001,0.999225
2026-01-01 16:00:00,1.0,1.001,0.998551
2026-01-01 20:00:00,0.999785,1.001,0.998683
2026-01-02 00:00:00,0.999986,1.001,0.998813
2026-01-02 04:00:00,1.0,1.0,0.999548
2026-01-02 08:00:00,0.999487,1.0,0.999252
2026-01-02 12:00:00,0.999483,1.001,0.998703
2026-01-02 16:00:00,0.999697,1.0,0.999087
2026-01-02 20:00:00,0.99997,1.002,0.999063
2026-01-03 00:00:00,0.999895,1.0,0.999177
2026-01-03 04:00:00,1.001,1.001,0.999303
2026-01-03 08:00:00,1.0,1.0,0.998621
2026-01-03 12:00:00,0.999294,1.001,0.998913
2026-01-03 16:00:00,1.0,1.0,0.999147
2026-01-03 20:00:00,1.0,1.001,0.998836
2026-01-04 00:00:00,1.0,1.001,0.99948
2026-01-04 04:00:00,1.0,1.001,0.999114
2026-01-04 08:00:00,0.999857,1.001,0.999379
2026-01-04 12:00:00,0.999708,1.001,0.998948
2026-01-04 16:00:00,1.0,1.0,0.998888
2026-01-04 20:00:00,0.999738,1.001,0.999225
2026-01-05 00:00:00,0.999671,1.0,0.999211
2026-01-05 04:00:00,0.999506,1.0,0.999218
2026-01-05 08:00:00,0.999308,0.999938,0.99871
2026-01-05 12:00:00,1.0,1.0,0.998567
2026-01-05 16:00:00,1.0,1.0,0.999234
2026-01-05 20:00:00,0.999673,1.001,0.998964
2026-01-06 00:00:00,0.999903,1.001,0.999093
2026-01-06 04:00:00,0.99973,1.001,0.998287
2026-01-06 08:00:00,1.0,1.001,0.99883
2026-01-06 12:00:00,1.001,1.001,0.998914
2026-01-06 16:00:00,0.998356,1.001,0.998356
2026-01-06 20:00:00,0.999263,1.0,0.997493
2026-01-07 00:00:00,0.999726,1.001,0.999289
2026-01-07 04:00:00,1.0,1.0,0.998842
2026-01-07 08:00:00,1.0,1.0,0.99912
2026-01-07 12:00:00,0.999647,1.0,0.998174
2026-01-07 16:00:00,0.999565,1.0,0.99849
2026-01-07 20:00:00,0.999522,1.001,0.998586
2026-01-08 00:00:00,0.999512,1.001,0.997885
2026-01-08 04:00:00,0.998386,1.001,0.997612
2026-01-08 08:00:00,0.999212,1.001,0.99786
2026-01-08 12:00:00,0.999794,0.999987,0.996943
2026-01-08 16:00:00,0.999818,1.0,0.998542
2026-01-08 20:00:00,0.999906,1.0,0.998628
2026-01-09 00:00:00,0.999602,1.0,0.99916
2026-01-09 04:00:00,0.999812,1.001,0.999026
2026-01-09 08:00:00,0.999818,1.0,0.999242
2026-01-09 12:00:00,0.999633,1.0,0.998925
2026-01-09 16:00:00,0.999787,1.001,0.999354
2026-01-09 20:00:00,0.999754,1.0,0.999129
2026-01-10 00:00:00,0.999636,1.0,0.997901
2026-01-10 04:00:00,0.999864,1.0,0.998129
2026-01-10 08:00:00,0.999775,1.0,0.998351
2026-01-10 12:00:00,0.999607,1.0,0.998759
2026-01-10 16:00:00,0.999462,1.0,0.998914
2026-01-10 20:00:00,0.999544,0.999959,0.998399
2026-01-11 00:00:00,0.999352,0.999896,0.999074
2026-01-11 04:00:00,1.0,1.001,0.999112
2026-01-11 08:00:00,0.999379,1.001,0.999264
2026-01-11 12:00:00,0.999568,1.001,0.998701
2026-01-11 16:00:00,1.0,1.0,0.999315
2026-01-11 20:00:00,0.999639,1.001,0.999134
2026-01-12 00:00:00,0.999424,1.0,0.998919
2026-01-12 04:00:00,0.999828,1.0,0.997986
2026-01-12 08:00:00,0.999553,1.0,0.998743
2026-01-12 12:00:00,0.999554,1.0,0.999055
2026-01-12 16:00:00,0.999591,0.999995,0.998861
2026-01-12 20:00:00,0.999575,1.0,0.999067
2026-01-13 00:00:00,0.999612,1.0,0.999089
2026-01-13 04:00:00,0.998934,1.0,0.99892
2026-01-13 08:00:00,0.999652,1.0,0.998795
2026-01-13 12:00:00,0.99986,1.001,0.998991
2026-01-13 16:00:00,0.999387,0.999837,0.998708
2026-01-13 20:00:00,0.999953,1.001,0.999247
