,close,high,low
2025-12-14 20:00:00,10.36,10.45,10.36
2025-12-15 00:00:00,10.41,10.41,10.35
2025-12-15 04:00:00,10.47,10.57,10.37
2025-12-15 08:00:00,10.52,10.53,10.46
2025-12-15 12:00:00,10.52,10.57,10.5
2025-12-15 16:00:00,10.25,10.54,10.25
2025-12-15 20:00:00,10.05,10.23,10.02
2025-12-16 00:00:00,10.17,10.21,10.04
2025-12-16 04:00:00,10.17,10.2,10.12
2025-12-16 08:00:00,10.19,10.26,10.13
2025-12-16 12:00:00,10.19,10.24,10.14
2025-12-16 16:00:00,10.37,10.38,10.16
2025-12-16 20:00:00,10.41,10.42,10.31
2025-12-17 00:00:00,10.37,10.41,10.35
2025-12-17 04:00:00,10.34,10.38,10.28
2025-12-17 08:00:00,10.29,10.34,10.25
2025-12-17 12:00:00,10.24,10.29,10.2
2025-12-17 16:00:00,10.23,10.46,10.23
2025-12-17 20:00:00,10.17,10.25,10.09
2025-12-18 00:00:00,10.15,10.19,10.12
2025-12-18 04:00:00,10.1,10.2,10.1
2025-12-18 08:00:00,10.03,10.14,10.03
2025-12-18 12:00:00,10.05,10.09,10.02
2025-12-18 16:00:00,10.14,10.18,10.05
2025-12-18 20:00:00,9.94,10.15,9.94
2025-12-19 00:00:00,9.96,10.0,9.9
2025-12-19 04:00:00,10.05,10.08,9.8
2025-12-19 08:00:00,10.06,10.13,10.02
2025-12-19 12:00:00,10.03,10.1,10.01
2025-12-19 16:00:00,9.98,10.09,9.98
2025-12-19 20:00:00,10.21,10.22,9.96
2025-12-20 00:00:00,10.28,10.31,10.22
2025-12-20 04:00:00,10.29,10.29,10.24
2025-12-20 08:00:00,10.29,10.31,10.26
2025-12-20 12:00:00,10.34,10.34,10.27
2025-12-20 16:00:00,10.29,10.33,10.25
2025-12-20 20:00:00,10.29,10.33,10.27
2025-12-21 00:00:00,10.27,10.32,10.27
2025-12-21 04:00:00,10.27,10.3,10.22
2025-12-21 08:00:00,10.26,10.28,10.22
2025-12-21 12:00:00,10.28,10.31,10.24
2025-12-21 16:00:00,10.19,10.29,10.16
2025-12-21 20:00:00,10.23,10.28,10.18
2025-12-22 00:00:00,10.28,10.29,10.22
2025-12-22 04:00:00,10.29,10.35,10.25
2025-12-22 08:00:00,10.35,10.39,10.35
2025-12-22 12:00:00,10.3,10.46,10.28
2025-12-22 16:00:00,10.34,10.37,10.3
2025-12-22 20:00:00,10.31,10.39,10.29
2025-12-23 00:00:00,10.36,10.36,10.27
2025-12-23 04:00:00,10.33,10.38,10.33
2025-12-23 08:00:00,10.29,10.38,10.28
2025-12-23 12:00:00,10.32,10.32,10.27
2025-12-23 16:00:00,10.24,10.32,10.17
2025-12-23 20:00:00,10.23,10.36,10.22
2025-12-24 00:00:00,10.21,10.26,10.17
2025-12-24 04:00:00,10.16,10.22,10.13
2025-12-24 08:00:00,10.17,10.19,10.06
2025-12-24 12:00:00,10.15,10.17,10.1
2025-12-24 16:00:00,10.12,10.19,10.11
2025-12-24 20:00:00,10.23,10.23,10.12
2025-12-25 00:00:00,10.24,10.28,10.23
2025-12-25 04:00:00,10.26,10.27,10.22
2025-12-25 08:00:00,10.25,10.27,10.19
2025-12-25 12:00:00,10.15,10.26,10.13
2025-12-25 16:00:00,10.19,10.19,10.12
2025-12-25 20:00:00,10.15,10.21,10.15
2025-12-26 00:00:00,10.13,10.21,10.12
2025-12-26 04:00:00,10.18,10.22,10.12
2025-12-26 08:00:00,10.2,10.23,10.16
2025-12-26 12:00:00,10.27,10.28,10.2
2025-12-26 16:00:00,10.26,10.38,10.24
2025-12-26 20:00:00,10.24,10.3,10.24
2025-12-27 00:00:00,10.32,10.32,10.22
2025-12-27 04:00:00,10.23,10.32,10.22
2025-12-27 08:00:00,10.27,10.27,10.22
2025-12-27 12:00:00,10.24,10.27,10.23
2025-12-27 16:00:00,10.24,10.26,10.23
2025-12-27 20:00:00,10.31,10.33,10.24
2025-12-28 00:00:00,10.34,10.35,10.31
2025-12-28 04:00:00,10.37,10.39,10.34
2025-12-28 08:00:00,10.34,10.39,10.33
2025-12-28 12:00:00,10.34,10.43,10.33
2025-12-28 16:00:00,10.32,10.34,10.25
2025-12-28 20:00:00,10.35,10.35,10.3
2025-12-29 00:00:00,10.33,10.36,10.3
2025-12-29 04:00:00,10.46,10.49,10.32
2025-12-29 08:00:00,10.43,10.49,10.39
2025-12-29 12:00:00,10.27,10.44,10.26
2025-12-29 16:00:00,10.25,10.29,10.22
2025-12-29 20:00:00,10.31,10.35,10.25
2025-12-30 00:00:00,10.33,10.35,10.29
2025-12-30 04:00:00,10.32,10.33,10.27
2025-12-30 08:00:00,10.27,10.31,10.27
2025-12-30 12:00:00,10.32,10.35,10.27
2025-12-30 16:00:00,10.36,10.37,10.3
2025-12-30 20:00:00,10.36,10.38,10.35
2025-12-31 00:00:00,10.36,10.38,10.33
2025-12-31 04:00:00,10.3,10.39,10.3
2025-12-31 08:00:00,10.35,10.35,10.3
2025-12-31 12:00:00,10.42,10.45,10.33
2025-12-31 16:00:00,10.4,10.43,10.38
2025-12-31 20:00:00,10.32,10.41,10.3
2026-01-01 00:00:00,10.33,10.39,10.31
2026-01-01 04:00:00,10.41,10.43,10.33
2026-01-01 08:00:00,10.34,10.41,10.3
2026-01-01 12:00:00,10.35,10.37,10.33
2026-01-01 16:00:00,10.32,10.36,10.27
2026-01-01 20:00:00,10.36,10.36,10.31
2026-01-02 00:00:00,10.39,10.39,10.35
2026-01-02 04:00:00,10.36,10.39,10.27
2026-01-02 08:00:00,10.31,10.36,10.28
2026-01-02 12:00:00,10.34,10.41,10.31
2026-01-02 16:00:00,10.39,10.39,10.31
2026-01-02 20:00:00,10.5,10.54,10.39
2026-01-03 00:00:00,10.51,10.53,10.46
2026-01-03 04:00:00,10.58,10.6,10.51
2026-01-03 08:00:00,10.42,10.58,10.42
2026-01-03 12:00:00,10.47,10.49,10.4
2026-01-03 16:00:00,10.49,10.5,10.44
2026-01-03 20:00:00,10.42,10.49,10.42
2026-01-04 00:00:00,10.44,10.48,10.41
2026-01-04 04:00:00,10.54,10.55,10.45
2026-01-04 08:00:00,10.53,10.58,10.52
2026-01-04 12:00:00,10.53,10.57,10.45
2026-01-04 16:00:00,10.55,10.57,10.49
2026-01-04 20:00:00,10.6,10.66,10.57
2026-01-05 00:00:00,10.5,10.61,10.49
2026-01-05 04:00:00,10.57,10.59,10.49
2026-01-05 08:00:00,10.54,10.58,10.51
2026-01-05 12:00:00,10.51,10.55,10.49
2026-01-05 16:00:00,10.54,10.54,10.43
2026-01-05 20:00:00,10.7,10.71,10.53
2026-01-06 00:00:00,10.64,10.7,10.63
2026-01-06 04:00:00,10.66,10.68,10.6
2026-01-06 08:00:00,10.65,10.69,10.63
2026-01-06 12:00:00,10.64,10.67,10.6
2026-01-06 16:00:00,10.56,10.67,10.56
2026-01-06 20:00:00,10.51,10.58,10.46
2026-01-07 00:00:00,10.59,10.6,10.5
2026-01-07 04:00:00,10.54,10.62,10.51
2026-01-07 08:00:00,10.52,10.57,10.49
2026-01-07 12:00:00,10.45,10.52,10.42
2026-01-07 16:00:00,10.36,10.46,10.31
2026-01-07 20:00:00,10.34,10.37,10.31
2026-01-08 00:00:00,10.37,10.37,10.31
2026-01-08 04:00:00,10.3,10.38,10.3
2026-01-08 08:00:00,10.28,10.34,10.28
2026-01-08 12:00:00,10.18,10.31,10.17
2026-01-08 16:00:00,10.19,10.2,10.12
2026-01-08 20:00:00,10.23,10.25,10.2
2026-01-09 00:00:00,10.22,10.23,10.2
2026-01-09 04:00:00,10.23,10.26,10.21
2026-01-09 08:00:00,10.29,10.31,10.23
2026-01-09 12:00:00,10.2,10.3,10.2
2026-01-09 16:00:00,10.22,10.26,10.15
2026-01-09 20:00:00,10.23,10.26,10.19
2026-01-10 00:00:00,10.25,10.27,10.23
2026-01-10 04:00:00,10.23,10.25,10.21
2026-01-10 08:00:00,10.24,10.24,10.17
2026-01-10 12:00:00,10.25,10.26,10.24
2026-01-10 16:00:00,10.3,10.32,10.25
2026-01-10 20:00:00,10.35,10.36,10.29
2026-01-11 00:00:00,10.21,10.36,10.21
2026-01-11 04:00:00,10.27,10.27,10.2
2026-01-11 08:00:00,10.33,10.36,10.27
2026-01-11 12:00:00,10.34,10.34,10.3
2026-01-11 16:00:00,10.33,10.36,10.31
2026-01-11 20:00:00,10.29,10.35,10.29
2026-01-12 00:00:00,10.3,10.3,10.27
2026-01-12 04:00:00,10.31,10.33,10.29
2026-01-12 08:00:00,10.3,10.33,10.3
2026-01-12 12:00:00,10.23,10.3,10.23
2026-01-12 16:00:00,10.27,10.27,10.22
2026-01-12 20:00:00,10.31,10.31,10.23
2026-01-13 00:00:00,10.3,10.32,10.29
2026-01-13 04:00:00,10.29,10.31,10.28
2026-01-13 08:00:00,10.27,10.3,10.26
2026-01-13 12:00:00,10.28,10.29,10.25
2026-01-13 16:00:00,10.34,10.34,10.26
