,close,high,low
2025-12-22 00:00:00,89172.0,89223.0,88352.0
2025-12-22 04:00:00,88548.0,89611.0,87946.0
2025-12-22 08:00:00,89710.0,90013.0,88665.0
2025-12-22 12:00:00,90158.0,90441.0,88694.0
2025-12-22 16:00:00,89134.0,90367.0,89124.0
2025-12-22 20:00:00,87117.0,90118.0,87117.0
2025-12-23 00:00:00,88283.0,88833.0,87292.0
2025-12-23 04:00:00,88010.0,89644.0,87994.0
2025-12-23 08:00:00,87964.0,88171.0,86454.0
2025-12-23 12:00:00,87417.0,88107.0,86675.0
2025-12-23 16:00:00,86827.0,87917.0,86374.0
2025-12-23 20:00:00,87541.0,88029.0,86517.0
2025-12-24 00:00:00,88021.0,88307.0,87175.0
2025-12-24 04:00:00,86930.0,88447.0,85085.0
2025-12-24 08:00:00,87508.0,88088.0,86839.0
2025-12-24 12:00:00,87337.0,87449.0,85995.0
2025-12-24 16:00:00,87061.0,87469.0,86421.0
2025-12-24 20:00:00,87785.0,87905.0,86319.0
2025-12-25 00:00:00,87806.0,88304.0,87336.0
2025-12-25 04:00:00,87632.0,89030.0,87496.0
2025-12-25 08:00:00,87508.0,87869.0,87097.0
2025-12-25 12:00:00,86742.0,88130.0,86616.0
2025-12-25 16:00:00,88317.0,88328.0,86387.0
2025-12-25 20:00:00,87888.0,88962.0,87599.0
2025-12-26 00:00:00,86457.0,88147.0,86457.0
2025-12-26 04:00:00,88668.0,89123.0,85833.0
2025-12-26 08:00:00,88645.0,88998.0,88110.0
2025-12-26 12:00:00,88377.0,88958.0,88256.0
2025-12-26 16:00:00,86928.0,89299.0,86417.0
2025-12-26 20:00:00,87528.0,88171.0,86707.0
2025-12-27 00:00:00,87206.0,87879.0,86722.0
2025-12-27 04:00:00,87232.0,87232.0,87230.0
2025-12-27 08:00:00,86565.0,87231.0,86409.0
2025-12-27 12:00:00,87535.0,87974.0,86177.0
2025-12-27 16:00:00,87565.0,88006.0,87482.0
2025-12-27 20:00:00,87426.0,87623.0,87215.0
2025-12-28 00:00:00,87270.0,87786.0,87022.0
2025-12-28 04:00:00,87721.0,88016.0,87264.0
2025-12-28 08:00:00,88032.0,88146.0,87402.0
2025-12-28 12:00:00,87682.0,88113.0,87182.0
2025-12-28 16:00:00,87757.0,88037.0,86492.0
2025-12-28 20:00:00,87126.0,87867.0,87084.0
2025-12-29 00:00:00,87997.0,88077.0,87109.0
2025-12-29 04:00:00,90105.0,90191.0,87465.0
2025-12-29 08:00:00,89387.0,90629.0,89387.0
2025-12-29 12:00:00,87800.0,89670.0,87800.0
2025-12-29 16:00:00,87221.0,88209.0,85634.0
2025-12-29 20:00:00,86798.0,87666.0,86782.0
2025-12-30 00:00:00,87778.0,87921.0,86500.0
2025-12-30 04:00:00,87205.0,87885.0,86726.0
2025-12-30 08:00:00,87365.0,87662.0,86024.0
2025-12-30 12:00:00,87697.0,88324.0,87111.0
2025-12-30 16:00:00,88359.0,88544.0,87275.0
2025-12-30 20:00:00,88184.0,88990.0,87672.0
2025-12-31 00:00:00,88628.0,88673.0,87280.0
2025-12-31 04:00:00,87499.0,89118.0,87499.0
2025-12-31 08:00:00,88439.0,88886.0,87457.0
2025-12-31 12:00:00,89025.0,89389.0,87859.0
2025-12-31 16:00:00,88901.0,89331.0,88589.0
2025-12-31 20:00:00,88459.0,88932.0,86279.0
2026-01-01 00:00:00,88121.0,88462.0,87837.0
2026-01-01 04:00:00,87420.0,88689.0,87420.0
2026-01-01 08:00:00,87640.0,88224.0,87317.0
2026-01-01 12:00:00,88255.0,88313.0,87539.0
2026-01-01 16:00:00,88167.0,88417.0,87603.0
2026-01-01 20:00:00,87891.0,88377.0,87615.0
2026-01-02 00:00:00,87733.0,88127.0,87314.0
2026-01-02 04:00:00,88218.0,88585.0,87460.0
2026-01-02 08:00:00,88029.0,88609.0,87755.0
2026-01-02 12:00:00,89493.0,89842.0,87914.0
2026-01-02 16:00:00,90545.0,90553.0,88576.0
2026-01-02 20:00:00,91643.0,91643.0,89721.0
2026-01-03 00:00:00,90245.0,91695.0,90060.0
2026-01-03 04:00:00,90868.0,91009.0,90281.0
2026-01-03 08:00:00,88964.0,90860.0,88566.0
2026-01-03 12:00:00,89315.0,90384.0,88321.0
2026-01-03 16:00:00,89998.0,90836.0,89291.0
2026-01-03 20:00:00,89914.0,90333.0,89737.0
2026-01-04 00:00:00,90584.0,92273.0,89515.0
2026-01-04 04:00:00,91071.0,92693.0,90398.0
2026-01-04 08:00:00,90892.0,91755.0,89927.0
2026-01-04 12:00:00,90850.0,92518.0,90394.0
2026-01-04 16:00:00,91745.0,91834.0,90515.0
2026-01-04 20:00:00,90893.0,92029.0,90003.0
2026-01-05 00:00:00,91746.0,91910.0,90566.0
2026-01-05 04:00:00,92236.0,94091.0,91781.0
2026-01-05 08:00:00,92402.0,92753.0,91652.0
2026-01-05 12:00:00,92112.0,93073.0,91973.0
2026-01-05 16:00:00,94010.0,94428.0,91083.0
2026-01-05 20:00:00,94536.0,94554.0,92543.0
2026-01-06 00:00:00,94559.0,94815.0,93063.0
2026-01-06 04:00:00,94479.0,95970.0,92658.0
2026-01-06 08:00:00,92613.0,94241.0,92569.0
2026-01-06 12:00:00,94905.0,96321.0,92486.0
2026-01-06 16:00:00,92849.0,96553.0,92648.0
2026-01-06 20:00:00,92455.0,94079.0,90691.0
2026-01-07 00:00:00,94458.0,94465.0,92161.0
2026-01-07 04:00:00,93440.0,94632.0,91946.0
2026-01-07 08:00:00,92167.0,93584.0,91856.0
2026-01-07 12:00:00,92220.0,92843.0,89819.0
2026-01-07 16:00:00,90927.0,92486.0,90388.0
2026-01-07 20:00:00,90837.0,92111.0,89686.0
2026-01-08 00:00:00,93813.0,94227.0,90103.0
2026-01-08 04:00:00,89976.0,94357.0,89970.0
2026-01-08 08:00:00,90320.0,90813.0,89064.0
2026-01-08 12:00:00,89947.0,90464.0,88895.0
2026-01-08 16:00:00,90604.0,90710.0,88626.0
2026-01-08 20:00:00,90497.0,91043.0,90177.0
2026-01-09 00:00:00,90710.0,91102.0,90026.0
2026-01-09 04:00:00,90816.0,90830.0,89921.0
2026-01-09 08:00:00,91667.0,91868.0,90460.0
2026-01-09 12:00:00,90415.0,91816.0,90057.0
2026-01-09 16:00:00,91039.0,91447.0,90073.0
2026-01-09 20:00:00,90640.0,91514.0,88338.0
2026-01-10 00:00:00,90715.0,90902.0,90102.0
2026-01-10 04:00:00,90769.0,91266.0,90038.0
2026-01-10 08:00:00,90119.0,91369.0,90049.0
2026-01-10 12:00:00,90859.0,91022.0,90145.0
2026-01-10 16:00:00,91085.0,91150.0,90327.0
2026-01-10 20:00:00,90513.0,91031.0,90239.0
2026-01-11 00:00:00,90753.0,90753.0,88976.0
2026-01-11 04:00:00,90234.0,93253.0,90026.0
2026-01-11 08:00:00,92763.0,92803.0,90222.0
2026-01-11 12:00:00,90928.0,92789.0,90557.0
2026-01-11 16:00:00,90844.0,92085.0,90844.0
2026-01-11 20:00:00,90818.0,91361.0,90765.0
2026-01-12 00:00:00,90770.0,90933.0,90390.0
2026-01-12 04:00:00,91785.0,92098.0,87848.0
2026-01-12 08:00:00,91522.0,92530.0,91316.0
2026-01-12 12:00:00,90537.0,91776.0,90113.0
2026-01-12 16:00:00,91224.0,91693.0,87107.0
2026-01-12 20:00:00,91424.0,91990.0,90918.0
2026-01-13 00:00:00,90388.0,92040.0,90154.0
2026-01-13 04:00:00,90918.0,91161.0,90416.0
2026-01-13 08:00:00,91569.0,92061.0,90954.0
2026-01-13 12:00:00,91863.0,92631.0,91541.0
2026-01-13 16:00:00,92170.0,92515.0,91722.0
2026-01-13 20:00:00,94568.0,94688.0,92169.0
2026-01-14 00:00:00,95439.0,97012.0,93761.0
2026-01-14 04:00:00,96165.0,96165.0,94915.0
2026-01-14 08:00:00,95634.0,96254.0,95322.0
2026-01-14 12:00:00,94603.0,95868.0,94518.0
2026-01-14 16:00:00,95822.0,96476.0,94572.0
2026-01-14 20:00:00,97185.0,98330.0,95067.0
2026-01-15 00:00:00,96780.0,97573.0,96081.0
2026-01-15 04:00:00,96115.0,96719.0,95475.0
2026-01-15 08:00:00,97098.0,97442.0,95668.0
2026-01-15 12:00:00,96800.0,97433.0,95968.0
2026-01-15 16:00:00,95773.0,97365.0,95410.0
2026-01-15 20:00:00,96030.0,96625.0,95601.0
2026-01-16 00:00:00,95535.0,96191.0,95535.0
2026-01-16 04:00:00,95457.0,95711.0,95197.0
2026-01-16 08:00:00,95924.0,96410.0,93854.0
2026-01-16 12:00:00,95881.0,96693.0,95499.0
2026-01-16 16:00:00,94734.0,95968.0,93805.0
2026-01-16 20:00:00,94987.0,95455.0,94508.0
2026-01-17 00:00:00,95716.0,95996.0,94602.0
2026-01-17 04:00:00,95192.0,95844.0,95150.0
2026-01-17 08:00:00,95087.0,95223.0,94631.0
2026-01-17 12:00:00,95377.0,95568.0,94428.0
2026-01-17 16:00:00,96114.0,96777.0,95531.0
2026-01-17 20:00:00,95866.0,96372.0,95736.0
2026-01-18 00:00:00,95094.0,95998.0,94941.0
2026-01-18 04:00:00,95422.0,95438.0,94701.0
2026-01-18 08:00:00,93203.0,95542.0,93125.0
2026-01-18 12:00:00,95665.0,96235.0,93202.0
2026-01-18 16:00:00,95490.0,95604.0,94510.0
2026-01-18 20:00:00,95694.0,96273.0,95520.0
2026-01-19 00:00:00,93463.0,96178.0,93463.0
2026-01-19 04:00:00,92631.0,94108.0,89212.0
2026-01-19 08:00:00,92880.0,93300.0,91169.0
2026-01-19 12:00:00,92281.0,93668.0,92196.0
2026-01-19 16:00:00,92382.0,93341.0,91721.0
2026-01-19 20:00:00,92800.0,93429.0,92422.0
2026-01-20 00:00:00,92358.0,93029.0,91770.0
2026-01-20 04:00:00,92030.0,92925.0,91691.0
2026-01-20 08:00:00,90502.0,92475.0,90232.0
2026-01-20 12:00:00,92127.0,92648.0,89715.0
2026-01-20 16:00:00,89870.0,92245.0,87993.0
2026-01-20 20:00:00,89345.0,91349.0,88725.0
