,close,high,low
2025-12-14 20:00:00,4.61,4.63,4.6
2025-12-15 00:00:00,4.59,4.61,4.58
2025-12-15 04:00:00,4.63,4.66,4.59
2025-12-15 08:00:00,4.65,4.65,4.63
2025-12-15 12:00:00,4.65,4.66,4.65
2025-12-15 16:00:00,4.54,4.68,4.54
2025-12-15 20:00:00,4.5,4.54,4.48
2025-12-16 00:00:00,4.54,4.54,4.48
2025-12-16 04:00:00,4.51,4.54,4.5
2025-12-16 08:00:00,4.51,4.53,4.5
2025-12-16 12:00:00,4.55,4.56,4.5
2025-12-16 16:00:00,4.57,4.57,4.52
2025-12-16 20:00:00,4.55,4.57,4.53
2025-12-17 00:00:00,4.56,4.57,4.54
2025-12-17 04:00:00,4.55,4.57,4.55
2025-12-17 08:00:00,4.55,4.55,4.53
2025-12-17 12:00:00,4.54,4.55,4.51
2025-12-17 16:00:00,4.6,4.64,4.54
2025-12-17 20:00:00,4.44,4.53,4.42
2025-12-18 00:00:00,4.46,4.47,4.43
2025-12-18 04:00:00,4.47,4.47,4.45
2025-12-18 08:00:00,4.45,4.47,4.45
2025-12-18 12:00:00,4.47,4.48,4.45
2025-12-18 16:00:00,4.57,4.58,4.47
2025-12-18 20:00:00,4.36,4.55,4.36
2025-12-19 00:00:00,4.39,4.41,4.36
2025-12-19 04:00:00,4.46,4.47,4.37
2025-12-19 08:00:00,4.5,4.52,4.45
2025-12-19 12:00:00,4.52,4.53,4.5
2025-12-19 16:00:00,4.52,4.56,4.52
2025-12-19 20:00:00,4.54,4.55,4.49
2025-12-20 00:00:00,4.54,4.56,4.53
2025-12-20 04:00:00,4.54,4.54,4.53
2025-12-20 08:00:00,4.54,4.55,4.54
2025-12-20 12:00:00,4.54,4.55,4.53
2025-12-20 16:00:00,4.54,4.54,4.53
2025-12-20 20:00:00,4.54,4.54,4.53
2025-12-21 00:00:00,4.53,4.54,4.53
2025-12-21 04:00:00,4.52,4.54,4.52
2025-12-21 08:00:00,4.53,4.53,4.52
2025-12-21 12:00:00,4.53,4.55,4.52
2025-12-21 16:00:00,4.51,4.54,4.49
2025-12-21 20:00:00,4.53,4.54,4.51
2025-12-22 00:00:00,4.54,4.54,4.52
2025-12-22 04:00:00,4.54,4.59,4.52
2025-12-22 08:00:00,4.55,4.56,4.55
2025-12-22 12:00:00,4.57,4.57,4.55
2025-12-22 16:00:00,4.57,4.59,4.57
2025-12-22 20:00:00,4.52,4.59,4.52
2025-12-23 00:00:00,4.53,4.54,4.51
2025-12-23 04:00:00,4.54,4.56,4.53
2025-12-23 08:00:00,4.5,4.54,4.5
2025-12-23 12:00:00,4.52,4.52,4.5
2025-12-23 16:00:00,4.48,4.51,4.47
2025-12-23 20:00:00,4.5,4.52,4.49
2025-12-24 00:00:00,4.5,4.52,4.49
2025-12-24 04:00:00,4.47,4.5,4.46
2025-12-24 08:00:00,4.46,4.48,4.45
2025-12-24 12:00:00,4.47,4.47,4.45
2025-12-24 16:00:00,4.47,4.48,4.45
2025-12-24 20:00:00,4.48,4.48,4.47
2025-12-25 00:00:00,4.48,4.49,4.48
2025-12-25 04:00:00,4.48,4.49,4.47
2025-12-25 08:00:00,4.48,4.49,4.47
2025-12-25 12:00:00,4.46,4.49,4.46
2025-12-25 16:00:00,4.51,4.51,4.46
2025-12-25 20:00:00,4.5,4.51,4.49
2025-12-26 00:00:00,4.44,4.5,4.44
2025-12-26 04:00:00,4.5,4.52,4.43
2025-12-26 08:00:00,4.5,4.52,4.48
2025-12-26 12:00:00,4.5,4.51,4.49
2025-12-26 16:00:00,4.45,4.53,4.45
2025-12-26 20:00:00,4.47,4.48,4.45
2025-12-27 00:00:00,4.47,4.49,4.47
2025-12-27 04:00:00,4.49,4.49,4.47
2025-12-27 08:00:00,4.49,4.49,4.48
2025-12-27 12:00:00,4.49,4.49,4.48
2025-12-27 16:00:00,4.49,4.5,4.48
2025-12-27 20:00:00,4.49,4.49,4.48
2025-12-28 00:00:00,4.51,4.51,4.49
2025-12-28 04:00:00,4.51,4.52,4.5
2025-12-28 08:00:00,4.51,4.51,4.5
2025-12-28 12:00:00,4.51,4.51,4.5
2025-12-28 16:00:00,4.52,4.52,4.51
2025-12-28 20:00:00,4.49,4.52,4.49
2025-12-29 00:00:00,4.51,4.51,4.49
2025-12-29 04:00:00,4.61,4.61,4.52
2025-12-29 08:00:00,4.59,4.61,4.58
2025-12-29 12:00:00,4.52,4.59,4.52
2025-12-29 16:00:00,4.5,4.52,4.48
2025-12-29 20:00:00,4.49,4.5,4.49
2025-12-30 00:00:00,4.49,4.5,4.48
2025-12-30 04:00:00,4.49,4.49,4.48
2025-12-30 08:00:00,4.5,4.5,4.49
2025-12-30 12:00:00,4.51,4.53,4.5
2025-12-30 16:00:00,4.53,4.53,4.51
2025-12-30 20:00:00,4.52,4.55,4.5
2025-12-31 00:00:00,4.53,4.53,4.51
2025-12-31 04:00:00,4.53,4.54,4.52
2025-12-31 08:00:00,4.54,4.54,4.53
2025-12-31 12:00:00,4.56,4.56,4.53
2025-12-31 16:00:00,4.53,4.57,4.53
2025-12-31 20:00:00,4.51,4.53,4.51
2026-01-01 00:00:00,4.52,4.52,4.5
2026-01-01 04:00:00,4.53,4.53,4.52
2026-01-01 08:00:00,4.52,4.53,4.52
2026-01-01 12:00:00,4.53,4.53,4.51
2026-01-01 16:00:00,4.53,4.53,4.52
2026-01-01 20:00:00,4.54,4.54,4.52
2026-01-02 00:00:00,4.56,4.57,4.53
2026-01-02 04:00:00,4.58,4.58,4.54
2026-01-02 08:00:00,4.57,4.58,4.56
2026-01-02 12:00:00,4.59,4.62,4.57
2026-01-02 16:00:00,4.61,4.62,4.57
2026-01-02 20:00:00,4.65,4.67,4.6
2026-01-03 00:00:00,4.66,4.68,4.64
2026-01-03 04:00:00,4.68,4.68,4.66
2026-01-03 08:00:00,4.63,4.68,4.63
2026-01-03 12:00:00,4.64,4.65,4.63
2026-01-03 16:00:00,4.65,4.67,4.64
2026-01-03 20:00:00,4.66,4.66,4.65
2026-01-04 00:00:00,4.69,4.69,4.65
2026-01-04 04:00:00,4.71,4.72,4.69
2026-01-04 08:00:00,4.71,4.72,4.7
2026-01-04 12:00:00,4.71,4.72,4.7
2026-01-04 16:00:00,4.71,4.72,4.7
2026-01-04 20:00:00,4.69,4.72,4.69
2026-01-05 00:00:00,4.7,4.72,4.69
2026-01-05 04:00:00,4.76,4.77,4.71
2026-01-05 08:00:00,4.74,4.77,4.73
