,close,high,low
2025-12-15 00:00:00,0.06134,0.06134,0.060532
2025-12-15 04:00:00,0.062017,0.062885,0.06145
2025-12-15 08:00:00,0.062147,0.062882,0.062051
2025-12-15 12:00:00,0.062144,0.062594,0.061765
2025-12-15 16:00:00,0.060524,0.062295,0.060367
2025-12-15 20:00:00,0.058624,0.060375,0.058344
2025-12-16 00:00:00,0.059442,0.059534,0.058452
2025-12-16 04:00:00,0.059755,0.059986,0.059044
2025-12-16 08:00:00,0.060019,0.061307,0.059289
2025-12-16 12:00:00,0.060272,0.06054,0.059846
2025-12-16 16:00:00,0.060746,0.060746,0.059918
2025-12-16 20:00:00,0.058496,0.060807,0.058491
2025-12-17 00:00:00,0.058721,0.058721,0.058396
2025-12-17 04:00:00,0.058983,0.059322,0.058578
2025-12-17 08:00:00,0.059009,0.059161,0.058744
2025-12-17 12:00:00,0.05849,0.058974,0.05829
2025-12-17 16:00:00,0.057331,0.058786,0.057331
2025-12-17 20:00:00,0.05579,0.057485,0.055348
2025-12-18 00:00:00,0.055089,0.055769,0.055064
2025-12-18 04:00:00,0.054366,0.055266,0.054366
2025-12-18 08:00:00,0.053391,0.054789,0.052969
2025-12-18 12:00:00,0.052713,0.053893,0.052673
2025-12-18 16:00:00,0.056676,0.056676,0.052317
2025-12-18 20:00:00,0.053868,0.056186,0.053868
2025-12-19 00:00:00,0.053485,0.054884,0.053431
2025-12-19 04:00:00,0.054285,0.054416,0.052944
2025-12-19 08:00:00,0.053353,0.054221,0.052972
2025-12-19 12:00:00,0.052867,0.053568,0.05256
2025-12-19 16:00:00,0.051025,0.052894,0.051025
2025-12-19 20:00:00,0.051781,0.051785,0.050842
2025-12-20 00:00:00,0.05175,0.052209,0.051512
2025-12-20 04:00:00,0.051708,0.051876,0.050635
2025-12-20 08:00:00,0.051803,0.051814,0.05092
2025-12-20 12:00:00,0.050883,0.051863,0.050757
2025-12-20 16:00:00,0.050876,0.051083,0.050371
2025-12-20 20:00:00,0.05151,0.051621,0.050876
2025-12-21 00:00:00,0.052101,0.052101,0.051289
2025-12-21 04:00:00,0.051482,0.052144,0.050802
2025-12-21 08:00:00,0.05107,0.051506,0.050985
2025-12-21 12:00:00,0.05093,0.051243,0.050665
2025-12-21 16:00:00,0.050585,0.051109,0.04928562
2025-12-21 20:00:00,0.050446,0.050868,0.050196
2025-12-22 00:00:00,0.050676,0.050726,0.050345
2025-12-22 04:00:00,0.051745,0.051852,0.050622
2025-12-22 08:00:00,0.052568,0.05269,0.051806
2025-12-22 12:00:00,0.053342,0.053364,0.052664
2025-12-22 16:00:00,0.04999311,0.053914,0.0499735
2025-12-22 20:00:00,0.04905265,0.050334,0.04905265
2025-12-23 00:00:00,0.04927744,0.04962084,0.04887867
2025-12-23 04:00:00,0.04908325,0.04950776,0.04908325
2025-12-23 08:00:00,0.04928249,0.04928249,0.04885962
2025-12-23 12:00:00,0.04873891,0.04925266,0.04872308
2025-12-23 16:00:00,0.04835259,0.04852854,0.04801245
2025-12-23 20:00:00,0.04870003,0.04900016,0.0482158
2025-12-24 00:00:00,0.04859844,0.04885845,0.04832106
2025-12-24 04:00:00,0.04874198,0.04904913,0.04832944
2025-12-24 08:00:00,0.04888197,0.04899281,0.04873353
2025-12-24 12:00:00,0.04891509,0.04895928,0.04842336
2025-12-24 16:00:00,0.04958724,0.04972865,0.04866892
2025-12-24 20:00:00,0.050274,0.050274,0.04930453
2025-12-25 00:00:00,0.050155,0.050316,0.0499134
2025-12-25 04:00:00,0.05108,0.05139,0.050157
2025-12-25 08:00:00,0.050306,0.051061,0.050122
2025-12-25 12:00:00,0.0496844,0.050508,0.04940445
2025-12-25 16:00:00,0.050456,0.05054,0.04968626
2025-12-25 20:00:00,0.050998,0.051033,0.050115
2025-12-26 00:00:00,0.04983918,0.051133,0.04982208
2025-12-26 04:00:00,0.050682,0.050934,0.04968669
2025-12-26 08:00:00,0.051069,0.051114,0.050573
2025-12-26 12:00:00,0.050923,0.051204,0.050866
2025-12-26 16:00:00,0.04993086,0.051446,0.04993086
2025-12-26 20:00:00,0.05041,0.050546,0.04966246
2025-12-27 00:00:00,0.050036,0.050654,0.04995981
2025-12-27 04:00:00,0.050022,0.050215,0.04974618
2025-12-27 08:00:00,0.04974207,0.050001,0.04966232
2025-12-27 12:00:00,0.050122,0.050227,0.0497306
2025-12-27 16:00:00,0.04990173,0.050106,0.04973714
2025-12-27 20:00:00,0.050149,0.050203,0.04993983
2025-12-28 00:00:00,0.050926,0.050926,0.0499028
2025-12-28 04:00:00,0.051912,0.051969,0.050926
2025-12-28 08:00:00,0.051515,0.05232,0.051225
2025-12-28 12:00:00,0.05151,0.051808,0.051441
2025-12-28 16:00:00,0.052023,0.052466,0.051533
2025-12-28 20:00:00,0.050984,0.052029,0.050935
2025-12-29 00:00:00,0.05085,0.05092,0.050363
2025-12-29 04:00:00,0.052292,0.052292,0.050848
2025-12-29 08:00:00,0.053212,0.053285,0.052275
2025-12-29 12:00:00,0.053173,0.053319,0.052124
2025-12-29 16:00:00,0.05327,0.053301,0.052342
2025-12-29 20:00:00,0.053545,0.054019,0.052856
2025-12-30 00:00:00,0.053514,0.053816,0.053239
2025-12-30 04:00:00,0.054017,0.054017,0.053412
2025-12-30 08:00:00,0.054358,0.05438,0.053647
2025-12-30 12:00:00,0.055945,0.055945,0.054276
2025-12-30 16:00:00,0.056709,0.057085,0.055535
2025-12-30 20:00:00,0.060124,0.060247,0.056569
2025-12-31 00:00:00,0.059788,0.060415,0.05961
2025-12-31 04:00:00,0.058679,0.059668,0.05779
2025-12-31 08:00:00,0.058094,0.058749,0.05795
2025-12-31 12:00:00,0.058266,0.058484,0.057739
2025-12-31 16:00:00,0.057983,0.058343,0.057663
2025-12-31 20:00:00,0.058238,0.0584,0.057817
2026-01-01 00:00:00,0.056598,0.058299,0.056453
2026-01-01 04:00:00,0.056773,0.056861,0.056296
2026-01-01 08:00:00,0.056701,0.057181,0.056675
2026-01-01 12:00:00,0.056763,0.05681,0.056412
2026-01-01 16:00:00,0.056744,0.05699,0.056468
2026-01-01 20:00:00,0.056745,0.056952,0.056252
2026-01-02 00:00:00,0.056604,0.056798,0.056279
2026-01-02 04:00:00,0.057029,0.057029,0.056187
2026-01-02 08:00:00,0.057131,0.057771,0.056805
2026-01-02 12:00:00,0.057573,0.057965,0.05708
2026-01-02 16:00:00,0.059192,0.059459,0.057485
2026-01-02 20:00:00,0.060251,0.06034,0.058675
2026-01-03 00:00:00,0.060446,0.060848,0.06003
2026-01-03 04:00:00,0.060491,0.06092,0.060165
2026-01-03 08:00:00,0.06105,0.061402,0.060236
2026-01-03 12:00:00,0.061456,0.061983,0.060741
2026-01-03 16:00:00,0.060928,0.061709,0.060667
2026-01-03 20:00:00,0.060289,0.061031,0.060289
2026-01-04 00:00:00,0.060407,0.060407,0.059678
2026-01-04 04:00:00,0.060802,0.060819,0.060117
2026-01-04 08:00:00,0.060032,0.060791,0.059757
2026-01-04 12:00:00,0.060215,0.060314,0.059816
2026-01-04 16:00:00,0.060991,0.060991,0.059952
2026-01-04 20:00:00,0.060191,0.061459,0.060191
2026-01-05 00:00:00,0.060263,0.060422,0.059888
2026-01-05 04:00:00,0.060097,0.06108,0.059996
2026-01-05 08:00:00,0.059055,0.060043,0.058485
2026-01-05 12:00:00,0.059026,0.059034,0.058445
2026-01-05 16:00:00,0.060307,0.060506,0.058029
2026-01-05 20:00:00,0.060705,0.061318,0.059828
2026-01-06 00:00:00,0.060659,0.061362,0.060632
2026-01-06 04:00:00,0.060929,0.061052,0.060081
2026-01-06 08:00:00,0.06073,0.061376,0.060456
2026-01-06 12:00:00,0.061265,0.061375,0.059973
2026-01-06 16:00:00,0.062432,0.06295,0.061128
2026-01-06 20:00:00,0.059059,0.06252,0.059059
2026-01-07 00:00:00,0.060315,0.060593,0.059204
2026-01-07 04:00:00,0.05991,0.060274,0.059643
2026-01-07 08:00:00,0.060172,0.060242,0.059521
2026-01-07 12:00:00,0.059775,0.060301,0.059459
2026-01-07 16:00:00,0.058633,0.059705,0.058489
2026-01-07 20:00:00,0.05838,0.058925,0.058101
2026-01-08 00:00:00,0.058434,0.058438,0.057878
2026-01-08 04:00:00,0.058317,0.059118,0.058317
2026-01-08 08:00:00,0.05881,0.05918,0.058196
2026-01-08 12:00:00,0.056795,0.058734,0.056795
2026-01-08 16:00:00,0.058372,0.05844,0.056699
2026-01-08 20:00:00,0.059585,0.05986,0.058599
2026-01-09 00:00:00,0.059125,0.059919,0.058862
2026-01-09 04:00:00,0.05972,0.05972,0.058959
2026-01-09 08:00:00,0.059185,0.059877,0.059177
2026-01-09 12:00:00,0.05947,0.059818,0.059043
2026-01-09 16:00:00,0.059863,0.06063,0.059318
2026-01-09 20:00:00,0.059426,0.060134,0.059105
2026-01-10 00:00:00,0.059406,0.059825,0.059346
