,close,high,low
2025-12-14 20:00:00,3089.8,3103.24,3078.3
2025-12-15 00:00:00,3065.97,3094.77,3049.03
2025-12-15 04:00:00,3111.33,3144.82,3059.01
2025-12-15 08:00:00,3123.48,3140.02,3107.41
2025-12-15 12:00:00,3155.94,3169.95,3126.47
2025-12-15 16:00:00,3004.19,3157.52,2993.83
2025-12-15 20:00:00,2941.71,3010.27,2909.07
2025-12-16 00:00:00,2962.21,2966.84,2923.99
2025-12-16 04:00:00,2932.62,2974.42,2928.77
2025-12-16 08:00:00,2924.27,2946.21,2899.7
2025-12-16 12:00:00,2953.51,2957.2,2921.2
2025-12-16 16:00:00,2954.96,2959.6,2896.83
2025-12-16 20:00:00,2949.79,2958.52,2921.2
2025-12-17 00:00:00,2959.81,2962.68,2940.29
2025-12-17 04:00:00,2946.67,2964.71,2941.56
2025-12-17 08:00:00,2945.4,2949.23,2914.79
2025-12-17 12:00:00,2929.23,2947.16,2914.82
2025-12-17 16:00:00,2942.09,3014.91,2910.55
2025-12-17 20:00:00,2817.08,2911.73,2795.47
2025-12-18 00:00:00,2827.38,2833.92,2806.32
2025-12-18 04:00:00,2829.73,2840.77,2822.17
2025-12-18 08:00:00,2833.56,2838.66,2824.23
2025-12-18 12:00:00,2854.19,2859.15,2832.21
2025-12-18 16:00:00,2966.44,2988.31,2855.87
2025-12-18 20:00:00,2782.65,2963.32,2782.65
2025-12-19 00:00:00,2826.43,2831.49,2782.15
2025-12-19 04:00:00,2920.47,2920.47,2815.26
2025-12-19 08:00:00,2949.57,2979.65,2905.24
2025-12-19 12:00:00,2961.24,2967.03,2944.1
2025-12-19 16:00:00,2961.37,2992.05,2949.75
2025-12-19 20:00:00,2984.22,2992.57,2945.02
2025-12-20 00:00:00,2979.19,2999.29,2977.91
2025-12-20 04:00:00,2987.98,2990.08,2972.66
2025-12-20 08:00:00,2982.06,2989.26,2975.6
2025-12-20 12:00:00,2985.55,2987.81,2973.64
2025-12-20 16:00:00,2975.87,2991.2,2969.83
2025-12-20 20:00:00,2977.09,2979.01,2973.29
2025-12-21 00:00:00,2976.24,2984.63,2973.87
2025-12-21 04:00:00,2972.38,2978.93,2962.7
2025-12-21 08:00:00,2979.2,2979.2,2972.31
2025-12-21 12:00:00,2995.51,3004.67,2977.74
2025-12-21 16:00:00,2972.72,3002.56,2948.15
2025-12-21 20:00:00,2987.35,2993.73,2970.06
2025-12-22 00:00:00,3001.53,3002.46,2971.81
2025-12-22 04:00:00,3018.03,3048.0,2992.75
2025-12-22 08:00:00,3027.49,3038.77,3019.28
2025-12-22 12:00:00,3046.98,3050.97,3028.01
2025-12-22 16:00:00,3048.07,3062.22,3025.62
2025-12-22 20:00:00,2979.7,3055.71,2979.7
2025-12-23 00:00:00,3006.79,3009.01,2969.95
2025-12-23 04:00:00,2993.4,3027.31,2979.61
2025-12-23 08:00:00,2964.77,2994.98,2950.86
2025-12-23 12:00:00,2969.65,2971.61,2954.79
2025-12-23 16:00:00,2923.59,2970.64,2907.11
2025-12-23 20:00:00,2937.91,2959.84,2918.62
2025-12-24 00:00:00,2965.23,2980.81,2941.34
2025-12-24 04:00:00,2944.23,2973.64,2924.28
2025-12-24 08:00:00,2935.17,2954.57,2921.11
2025-12-24 12:00:00,2928.42,2934.37,2915.75
2025-12-24 16:00:00,2921.42,2936.78,2899.29
2025-12-24 20:00:00,2942.87,2944.92,2921.05
2025-12-25 00:00:00,2944.74,2957.58,2940.72
2025-12-25 04:00:00,2945.14,2954.3,2936.52
2025-12-25 08:00:00,2938.69,2944.78,2936.15
2025-12-25 12:00:00,2921.78,2942.43,2914.64
2025-12-25 16:00:00,2965.83,2965.83,2919.58
2025-12-25 20:00:00,2954.16,2961.85,2943.56
2025-12-26 00:00:00,2900.94,2953.82,2893.57
2025-12-26 04:00:00,2962.28,2983.45,2896.04
2025-12-26 08:00:00,2955.39,2984.59,2952.67
2025-12-26 12:00:00,2963.07,2971.54,2954.01
2025-12-26 16:00:00,2916.98,2983.53,2894.02
2025-12-26 20:00:00,2922.98,2928.41,2909.83
2025-12-27 00:00:00,2927.27,2933.62,2922.49
2025-12-27 04:00:00,2930.91,2930.91,2921.87
2025-12-27 08:00:00,2932.32,2934.62,2925.67
2025-12-27 12:00:00,2929.17,2935.76,2921.15
2025-12-27 16:00:00,2926.24,2931.53,2925.22
2025-12-27 20:00:00,2927.66,2927.66,2917.63
2025-12-28 00:00:00,2949.37,2949.37,2928.05
2025-12-28 04:00:00,2943.45,2947.39,2940.41
2025-12-28 08:00:00,2936.02,2943.78,2930.85
2025-12-28 12:00:00,2940.93,2943.85,2931.66
2025-12-28 16:00:00,2948.22,2953.93,2936.81
2025-12-28 20:00:00,2932.78,2951.27,2927.75
2025-12-29 00:00:00,2949.56,2949.56,2928.06
2025-12-29 04:00:00,3038.57,3038.57,2943.94
2025-12-29 08:00:00,3015.79,3047.61,3010.65
2025-12-29 12:00:00,2960.5,3020.49,2956.84
2025-12-29 16:00:00,2931.24,2958.3,2909.59
2025-12-29 20:00:00,2929.78,2940.34,2917.1
2025-12-30 00:00:00,2934.59,2940.39,2924.69
2025-12-30 04:00:00,2944.54,2944.54,2922.29
2025-12-30 08:00:00,2948.24,2953.82,2934.78
2025-12-30 12:00:00,2971.18,2991.02,2947.94
2025-12-30 16:00:00,2987.73,2995.82,2965.9
2025-12-30 20:00:00,2968.52,2987.86,2952.41
2025-12-31 00:00:00,2968.58,2971.41,2956.42
2025-12-31 04:00:00,2966.36,2979.97,2960.16
2025-12-31 08:00:00,2972.06,2975.53,2964.64
2025-12-31 12:00:00,2994.0,2994.0,2963.0
2025-12-31 16:00:00,2980.55,3010.88,2969.29
2025-12-31 20:00:00,2969.76,2987.67,2966.7
2026-01-01 00:00:00,2965.11,2979.22,2959.76
2026-01-01 04:00:00,2976.22,2982.82,2967.88
2026-01-01 08:00:00,2973.53,2978.69,2969.34
2026-01-01 12:00:00,2982.48,2984.02,2973.14
2026-01-01 16:00:00,2986.06,2986.06,2974.46
2026-01-01 20:00:00,2991.75,2991.9,2976.73
2026-01-02 00:00:00,3001.0,3004.96,2984.72
2026-01-02 04:00:00,3025.92,3025.92,2991.13
2026-01-02 08:00:00,3013.99,3031.75,3006.36
2026-01-02 12:00:00,3041.96,3060.64,3011.64
2026-01-02 16:00:00,3087.85,3090.83,3023.18
2026-01-02 20:00:00,3122.91,3143.97,3079.05
2026-01-03 00:00:00,3120.8,3138.63,3113.06
2026-01-03 04:00:00,3124.39,3133.97,3119.2
2026-01-03 08:00:00,3089.9,3125.56,3080.09
2026-01-03 12:00:00,3095.98,3106.35,3087.74
2026-01-03 16:00:00,3104.4,3110.67,3092.8
2026-01-03 20:00:00,3112.16,3113.92,3098.25
2026-01-04 00:00:00,3125.79,3126.49,3106.48
2026-01-04 04:00:00,3149.69,3156.43,3124.52
2026-01-04 08:00:00,3140.29,3155.22,3136.67
2026-01-04 12:00:00,3135.6,3145.29,3129.66
2026-01-04 16:00:00,3130.76,3144.25,3124.63
2026-01-04 20:00:00,3129.55,3139.94,3124.31
2026-01-05 00:00:00,3140.4,3147.72,3131.12
2026-01-05 04:00:00,3187.2,3209.05,3139.71
2026-01-05 08:00:00,3157.35,3185.25,3147.34
2026-01-05 12:00:00,3178.03,3178.03,3153.44
2026-01-05 16:00:00,3189.07,3189.07,3145.76
2026-01-05 20:00:00,3216.67,3226.54,3160.28
2026-01-06 00:00:00,3228.64,3260.4,3223.45
2026-01-06 04:00:00,3224.5,3239.21,3205.25
2026-01-06 08:00:00,3216.29,3245.71,3215.26
2026-01-06 12:00:00,3239.48,3240.58,3215.53
2026-01-06 16:00:00,3267.65,3302.24,3230.59
2026-01-06 20:00:00,3220.4,3272.93,3194.33
2026-01-07 00:00:00,3294.93,3296.58,3222.77
2026-01-07 04:00:00,3266.2,3296.04,3242.46
2026-01-07 08:00:00,3254.22,3265.43,3247.55
2026-01-07 12:00:00,3221.0,3256.02,3197.2
2026-01-07 16:00:00,3167.33,3222.73,3145.99
2026-01-07 20:00:00,3146.15,3170.42,3133.61
2026-01-08 00:00:00,3164.26,3173.48,3127.0
2026-01-08 04:00:00,3133.71,3176.86,3133.71
2026-01-08 08:00:00,3124.76,3158.61,3093.13
2026-01-08 12:00:00,3112.06,3129.94,3101.0
2026-01-08 16:00:00,3091.08,3115.53,3061.81
2026-01-08 20:00:00,3114.46,3131.61,3093.75
2026-01-09 00:00:00,3105.43,3122.62,3089.26
2026-01-09 04:00:00,3112.35,3131.34,3094.57
2026-01-09 08:00:00,3112.74,3120.39,3109.41
2026-01-09 12:00:00,3090.03,3109.85,3072.85
2026-01-09 16:00:00,3102.62,3129.96,3067.17
2026-01-09 20:00:00,3078.97,3133.98,3071.92
2026-01-10 00:00:00,3084.35,3087.69,3068.61
2026-01-10 04:00:00,3082.41,3089.16,3076.34
2026-01-10 08:00:00,3087.1,3087.79,3075.33
2026-01-10 12:00:00,3091.79,3097.42,3084.01
2026-01-10 16:00:00,3092.28,3097.01,3087.2
2026-01-10 20:00:00,3087.02,3094.73,3086.45
2026-01-11 00:00:00,3083.95,3089.17,3076.47
2026-01-11 04:00:00,3092.67,3092.67,3081.41
2026-01-11 08:00:00,3088.96,3096.4,3088.43
2026-01-11 12:00:00,3102.66,3104.56,3089.72
2026-01-11 16:00:00,3110.74,3119.7,3100.8
2026-01-11 20:00:00,3118.51,3137.51,3112.86
2026-01-12 00:00:00,3116.93,3119.32,3093.49
2026-01-12 04:00:00,3150.48,3163.77,3097.87
2026-01-12 08:00:00,3130.91,3162.87,3130.91
2026-01-12 12:00:00,3114.35,3139.36,3098.76
2026-01-12 16:00:00,3123.53,3123.53,3072.92
2026-01-12 20:00:00,3117.55,3135.59,3091.96
2026-01-13 00:00:00,3089.91,3121.79,3084.83
2026-01-13 04:00:00,3109.28,3111.22,3090.0
2026-01-13 08:00:00,3120.05,3138.35,3109.97
2026-01-13 12:00:00,3128.7,3142.4,3119.04
2026-01-13 16:00:00,3153.98,3161.22,3128.13
