,close,high,low
2025-12-19 16:00:00,3171.04,3184.45,3162.63
2025-12-19 20:00:00,3173.97,3185.54,3163.08
2025-12-20 00:00:00,3184.72,3190.33,3170.97
2025-12-20 04:00:00,3187.1,3187.21,3180.21
2025-12-20 08:00:00,3183.82,3193.85,3183.31
2025-12-20 12:00:00,3197.36,3199.84,3177.53
2025-12-20 16:00:00,3176.64,3197.16,3174.36
2025-12-20 20:00:00,3177.63,3189.5,3175.06
2025-12-21 00:00:00,3173.24,3188.64,3173.15
2025-12-21 04:00:00,3175.4,3187.21,3171.05
2025-12-21 08:00:00,3175.12,3177.54,3174.01
2025-12-21 12:00:00,3183.02,3183.98,3172.85
2025-12-21 16:00:00,3175.14,3183.69,3169.83
2025-12-21 20:00:00,3180.85,3182.88,3174.15
2025-12-22 00:00:00,3184.38,3188.09,3177.09
2025-12-22 04:00:00,3236.43,3248.79,3184.37
2025-12-22 08:00:00,3244.29,3244.29,3201.66
2025-12-22 12:00:00,3256.23,3256.23,3205.48
2025-12-22 16:00:00,3218.36,3266.82,3218.36
2025-12-22 20:00:00,3224.74,3298.17,3217.06
2025-12-23 00:00:00,3232.99,3236.96,3203.02
2025-12-23 04:00:00,3219.3,3254.24,3210.31
2025-12-23 08:00:00,3183.78,3220.23,3172.96
2025-12-23 12:00:00,3188.25,3188.28,3174.93
2025-12-23 16:00:00,3137.74,3186.17,3137.51
2025-12-23 20:00:00,3160.56,3172.8,3138.3
2025-12-24 00:00:00,3174.33,3182.53,3151.25
2025-12-24 04:00:00,3164.17,3176.67,3153.9
2025-12-24 08:00:00,3160.7,3166.41,3157.61
2025-12-24 12:00:00,3157.93,3164.97,3140.17
2025-12-24 16:00:00,3142.89,3168.46,3123.06
2025-12-24 20:00:00,3144.4,3161.23,3139.0
2025-12-25 00:00:00,3168.75,3176.17,3147.85
2025-12-25 04:00:00,3168.35,3173.2,3157.9
2025-12-25 08:00:00,3158.62,3171.35,3158.3
2025-12-25 12:00:00,3142.48,3162.61,3130.68
2025-12-25 16:00:00,3171.0,3171.0,3140.22
2025-12-25 20:00:00,3167.65,3171.13,3160.82
2025-12-26 00:00:00,3120.99,3169.52,3116.78
2025-12-26 04:00:00,3175.19,3191.81,3107.51
2025-12-26 08:00:00,3179.74,3197.8,3168.79
2025-12-26 12:00:00,3182.22,3185.33,3167.11
2025-12-26 16:00:00,3116.53,3193.77,3116.53
2025-12-26 20:00:00,3133.64,3144.81,3117.72
2025-12-27 00:00:00,3135.5,3149.33,3131.65
2025-12-27 04:00:00,3127.29,3149.51,3115.48
2025-12-27 08:00:00,3127.78,3134.6,3124.31
2025-12-27 12:00:00,3135.12,3137.72,3122.42
2025-12-27 16:00:00,3133.42,3154.48,3120.67
2025-12-27 20:00:00,3132.08,3141.34,3119.14
2025-12-28 00:00:00,3149.12,3149.12,3120.29
2025-12-28 04:00:00,3150.18,3157.15,3139.37
2025-12-28 08:00:00,3150.56,3158.18,3142.61
2025-12-28 12:00:00,3150.67,3159.35,3138.18
2025-12-28 16:00:00,3163.86,3172.05,3138.7
2025-12-28 20:00:00,3153.29,3158.65,3146.77
2025-12-29 00:00:00,3153.68,3155.32,3137.62
2025-12-29 04:00:00,3214.54,3215.47,3153.59
2025-12-29 08:00:00,3230.64,3252.43,3225.34
2025-12-29 12:00:00,3183.57,3236.75,3177.53
2025-12-29 16:00:00,3151.49,3183.3,3139.35
2025-12-29 20:00:00,3145.37,3156.58,3141.96
2025-12-30 00:00:00,3147.73,3160.51,3144.68
2025-12-30 04:00:00,3158.84,3159.92,3139.26
2025-12-30 08:00:00,3160.27,3163.47,3144.71
2025-12-30 12:00:00,3179.63,3190.14,3161.51
2025-12-30 16:00:00,3183.75,3199.34,3166.25
2025-12-30 20:00:00,3176.13,3190.57,3173.15
2025-12-31 00:00:00,3175.9,3188.7,3168.14
2025-12-31 04:00:00,3172.27,3191.09,3171.56
2025-12-31 08:00:00,3177.97,3188.04,3169.13
2025-12-31 12:00:00,3186.46,3186.46,3171.03
2025-12-31 16:00:00,3187.24,3210.9,3181.97
2025-12-31 20:00:00,3183.52,3193.94,3179.26
2026-01-01 00:00:00,3173.58,3205.35,3170.37
2026-01-01 04:00:00,3180.12,3186.03,3175.25
2026-01-01 08:00:00,3179.72,3181.38,3173.11
2026-01-01 12:00:00,3187.0,3187.17,3174.81
2026-01-01 16:00:00,3191.27,3191.27,3182.34
2026-01-01 20:00:00,3193.29,3195.64,3183.91
2026-01-02 00:00:00,3193.72,3203.46,3180.47
2026-01-02 04:00:00,3218.14,3218.14,3198.77
2026-01-02 08:00:00,3220.66,3226.82,3217.92
2026-01-02 12:00:00,3256.65,3265.85,3220.52
2026-01-02 16:00:00,3281.72,3281.72,3231.82
2026-01-02 20:00:00,3338.75,3352.14,3280.29
2026-01-03 00:00:00,3346.7,3354.04,3305.4
2026-01-03 04:00:00,3329.98,3354.39,3328.87
2026-01-03 08:00:00,3308.72,3337.85,3293.95
2026-01-03 12:00:00,3311.17,3316.87,3304.44
2026-01-03 16:00:00,3313.5,3317.57,3306.71
2026-01-03 20:00:00,3322.87,3329.3,3311.86
2026-01-04 00:00:00,3337.17,3337.17,3319.13
2026-01-04 04:00:00,3356.35,3366.74,3333.11
2026-01-04 08:00:00,3347.17,3361.97,3347.17
2026-01-04 12:00:00,3342.26,3364.14,3340.82
2026-01-04 16:00:00,3346.57,3356.34,3340.04
2026-01-04 20:00:00,3340.58,3356.66,3336.79
2026-01-05 00:00:00,3356.44,3366.51,3341.79
2026-01-05 04:00:00,3409.67,3424.86,3357.04
2026-01-05 08:00:00,3365.36,3409.22,3363.76
2026-01-05 12:00:00,3377.13,3388.09,3365.09
2026-01-05 16:00:00,3359.09,3377.39,3353.57
2026-01-05 20:00:00,3438.02,3439.46,3348.74
2026-01-06 00:00:00,3443.13,3467.73,3437.87
2026-01-06 04:00:00,3430.79,3458.23,3400.71
2026-01-06 08:00:00,3419.02,3453.77,3419.02
2026-01-06 12:00:00,3444.04,3444.04,3420.55
2026-01-06 16:00:00,3455.2,3509.72,3442.46
2026-01-06 20:00:00,3428.79,3478.73,3422.03
2026-01-07 00:00:00,3494.21,3494.86,3428.98
2026-01-07 04:00:00,3485.98,3494.26,3469.55
2026-01-07 08:00:00,3464.82,3485.53,3464.0
2026-01-07 12:00:00,3443.49,3464.97,3400.83
2026-01-07 16:00:00,3362.76,3436.04,3360.62
2026-01-07 20:00:00,3349.39,3377.42,3343.6
2026-01-08 00:00:00,3374.34,3374.34,3346.88
2026-01-08 04:00:00,3364.27,3376.82,3357.37
2026-01-08 08:00:00,3311.58,3366.83,3311.58
2026-01-08 12:00:00,3310.22,3317.72,3308.57
2026-01-08 16:00:00,3297.01,3314.04,3282.58
2026-01-08 20:00:00,3323.28,3323.28,3287.89
2026-01-09 00:00:00,3314.19,3329.04,3290.08
2026-01-09 04:00:00,3322.0,3326.9,3306.72
2026-01-09 08:00:00,3320.3,3326.73,3308.53
2026-01-09 12:00:00,3294.85,3317.6,3279.88
2026-01-09 16:00:00,3320.61,3326.54,3274.02
2026-01-09 20:00:00,3291.5,3334.16,3282.9
2026-01-10 00:00:00,3280.96,3295.56,3280.52
2026-01-10 04:00:00,3299.94,3304.06,3265.91
2026-01-10 08:00:00,3302.86,3303.35,3247.16
2026-01-10 12:00:00,3281.11,3402.72,3230.61
2026-01-10 16:00:00,3280.38,3286.08,3276.17
2026-01-10 20:00:00,3282.08,3292.13,3277.2
2026-01-11 00:00:00,3272.79,3283.54,3271.49
2026-01-11 04:00:00,3267.58,3283.53,3264.76
2026-01-11 08:00:00,3296.9,3301.99,3253.82
2026-01-11 12:00:00,3308.54,3316.18,3298.02
2026-01-11 16:00:00,3311.54,3321.65,3308.52
2026-01-11 20:00:00,3319.59,3336.2,3312.33
2026-01-12 00:00:00,3312.34,3320.46,3297.4
2026-01-12 04:00:00,3313.76,3342.08,3302.86
2026-01-12 08:00:00,3328.41,3349.04,3313.69
2026-01-12 12:00:00,3300.44,3322.37,3279.04
2026-01-12 16:00:00,3301.92,3303.5,3274.25
2026-01-12 20:00:00,3307.43,3324.46,3288.53
2026-01-13 00:00:00,3281.57,3311.12,3281.49
2026-01-13 04:00:00,3260.78,3302.11,3258.28
2026-01-13 08:00:00,3309.7,3326.48,3260.96
2026-01-13 12:00:00,3311.54,3316.46,3310.51
2026-01-13 16:00:00,3343.0,3343.0,3311.54
2026-01-13 20:00:00,3402.58,3403.81,3345.03
2026-01-14 00:00:00,3523.6,3529.35,3392.89
2026-01-14 04:00:00,3546.57,3553.64,3514.91
2026-01-14 08:00:00,3549.98,3551.31,3521.22
2026-01-14 12:00:00,3529.63,3596.61,3526.66
2026-01-14 16:00:00,3585.51,3590.14,3525.72
2026-01-14 20:00:00,3592.24,3611.29,3542.18
2026-01-15 00:00:00,3585.16,3607.12,3583.64
2026-01-15 04:00:00,3515.49,3586.19,3515.49
2026-01-15 08:00:00,3541.35,3542.92,3505.58
2026-01-15 12:00:00,3563.09,3575.74,3539.34
2026-01-15 16:00:00,3550.77,3580.26,3550.77
2026-01-15 20:00:00,3501.7,3558.96,3501.7
2026-01-16 00:00:00,3527.13,3527.13,3501.71
2026-01-16 04:00:00,3523.84,3532.86,3513.97
2026-01-16 08:00:00,3526.42,3534.06,3488.44
2026-01-16 12:00:00,3538.45,3600.86,3526.42
2026-01-16 16:00:00,3514.61,3558.28,3513.86
2026-01-16 20:00:00,3511.04,3530.75,3498.41
2026-01-17 00:00:00,3546.85,3550.23,3508.72
2026-01-17 04:00:00,3525.67,3548.23,3522.45
2026-01-17 08:00:00,3523.96,3526.17,3522.54
2026-01-17 12:00:00,3526.02,3527.71,3500.58
2026-01-17 16:00:00,3567.15,3567.92,3513.45
2026-01-17 20:00:00,3557.58,3570.76,3557.37
2026-01-18 00:00:00,3535.5,3560.03,3532.71
2026-01-18 04:00:00,3553.44,3570.78,3525.57
2026-01-18 08:00:00,3550.27,3554.39,3549.01
2026-01-18 12:00:00,3582.02,3584.98,3532.8
