,close,high,low
2025-12-15 00:00:00,0.470252,0.480295,0.470252
2025-12-15 04:00:00,0.475785,0.476221,0.470199
2025-12-15 08:00:00,0.469929,0.476174,0.469517
2025-12-15 12:00:00,0.470991,0.471142,0.469522
2025-12-15 16:00:00,0.458884,0.471107,0.458884
2025-12-15 20:00:00,0.424963,0.459531,0.414085
2025-12-16 00:00:00,0.419994,0.425746,0.416555
2025-12-16 04:00:00,0.417898,0.420019,0.417596
2025-12-16 08:00:00,0.419946,0.423,0.41708
2025-12-16 12:00:00,0.422955,0.42315,0.419406
2025-12-16 16:00:00,0.422012,0.424553,0.420585
2025-12-16 20:00:00,0.420424,0.422923,0.419034
2025-12-17 00:00:00,0.413921,0.420705,0.412989
2025-12-17 04:00:00,0.405714,0.413911,0.405626
2025-12-17 08:00:00,0.400279,0.404925,0.39982
2025-12-17 12:00:00,0.395665,0.400275,0.392659
2025-12-17 16:00:00,0.421293,0.42319,0.395526
2025-12-17 20:00:00,0.389272,0.418868,0.389272
2025-12-18 00:00:00,0.400508,0.400769,0.385928
2025-12-18 04:00:00,0.405737,0.40897,0.401684
2025-12-18 08:00:00,0.403695,0.405931,0.401914
2025-12-18 12:00:00,0.410423,0.410423,0.403669
2025-12-18 16:00:00,0.437514,0.452754,0.410636
2025-12-18 20:00:00,0.397696,0.437024,0.397696
2025-12-19 00:00:00,0.410891,0.410988,0.39323
2025-12-19 04:00:00,0.413254,0.413985,0.409651
2025-12-19 08:00:00,0.40681,0.418809,0.40681
2025-12-19 12:00:00,0.419097,0.419097,0.405211
2025-12-19 16:00:00,0.416659,0.432909,0.41035
2025-12-19 20:00:00,0.419752,0.419752,0.408962
2025-12-20 00:00:00,0.409267,0.41915,0.40878
2025-12-20 04:00:00,0.408652,0.410036,0.408002
2025-12-20 08:00:00,0.410274,0.411688,0.407603
2025-12-20 12:00:00,0.414008,0.414197,0.4096
2025-12-20 16:00:00,0.411695,0.430555,0.410166
2025-12-20 20:00:00,0.408004,0.412292,0.40746
2025-12-21 00:00:00,0.406463,0.410134,0.404535
2025-12-21 04:00:00,0.401291,0.406549,0.399866
2025-12-21 08:00:00,0.402092,0.402265,0.398789
2025-12-21 12:00:00,0.404588,0.405741,0.401305
2025-12-21 16:00:00,0.397101,0.404887,0.396965
2025-12-21 20:00:00,0.394219,0.397318,0.392239
2025-12-22 00:00:00,0.394186,0.394712,0.393314
2025-12-22 04:00:00,0.396399,0.400263,0.393835
2025-12-22 08:00:00,0.397089,0.399068,0.395967
2025-12-22 12:00:00,0.401211,0.401211,0.395594
2025-12-22 16:00:00,0.401573,0.405025,0.40027
2025-12-22 20:00:00,0.392048,0.406423,0.392048
2025-12-23 00:00:00,0.387284,0.391893,0.382834
2025-12-23 04:00:00,0.380085,0.387049,0.378661
2025-12-23 08:00:00,0.379472,0.387578,0.376938
2025-12-23 12:00:00,0.379535,0.379613,0.375343
2025-12-23 16:00:00,0.377098,0.385815,0.375481
2025-12-23 20:00:00,0.376162,0.379277,0.375034
2025-12-24 00:00:00,0.383521,0.383864,0.375995
2025-12-24 04:00:00,0.405671,0.411134,0.38282
2025-12-24 08:00:00,0.411193,0.413607,0.403041
2025-12-24 12:00:00,0.417629,0.421097,0.410123
2025-12-24 16:00:00,0.418284,0.422071,0.415883
2025-12-24 20:00:00,0.41878,0.420865,0.417448
2025-12-25 00:00:00,0.412963,0.41954,0.412963
2025-12-25 04:00:00,0.407239,0.412688,0.406172
2025-12-25 08:00:00,0.407396,0.411687,0.406293
2025-12-25 12:00:00,0.404207,0.407861,0.404143
2025-12-25 16:00:00,0.405152,0.405569,0.402222
2025-12-25 20:00:00,0.411732,0.413683,0.405251
2025-12-26 00:00:00,0.384296,0.411662,0.384296
2025-12-26 04:00:00,0.407511,0.409986,0.385058
2025-12-26 08:00:00,0.407786,0.410298,0.407786
2025-12-26 12:00:00,0.407565,0.408718,0.407388
2025-12-26 16:00:00,0.398894,0.408874,0.398894
2025-12-26 20:00:00,0.394651,0.399445,0.394003
2025-12-27 00:00:00,0.398636,0.398774,0.393954
2025-12-27 04:00:00,0.396695,0.398733,0.396304
2025-12-27 08:00:00,0.399627,0.399648,0.396569
2025-12-27 12:00:00,0.401319,0.402116,0.399622
2025-12-27 16:00:00,0.397029,0.401824,0.396367
2025-12-27 20:00:00,0.38864,0.397923,0.38864
2025-12-28 00:00:00,0.39259,0.393089,0.385693
2025-12-28 04:00:00,0.398497,0.398497,0.389447
2025-12-28 08:00:00,0.39769,0.400461,0.397096
2025-12-28 12:00:00,0.394836,0.397818,0.394765
2025-12-28 16:00:00,0.39597,0.397352,0.394836
2025-12-28 20:00:00,0.394202,0.396064,0.394013
2025-12-29 00:00:00,0.389454,0.39416,0.386283
2025-12-29 04:00:00,0.400158,0.400158,0.386692
2025-12-29 08:00:00,0.410185,0.413411,0.40182
2025-12-29 12:00:00,0.398294,0.412631,0.398294
2025-12-29 16:00:00,0.39211,0.39828,0.391729
2025-12-29 20:00:00,0.387713,0.392637,0.387506
2025-12-30 00:00:00,0.387872,0.3912,0.387648
2025-12-30 04:00:00,0.388744,0.38918,0.387534
2025-12-30 08:00:00,0.387921,0.389376,0.387921
2025-12-30 12:00:00,0.389184,0.389926,0.387735
2025-12-30 16:00:00,0.384256,0.389455,0.383356
2025-12-30 20:00:00,0.374536,0.384422,0.374353
2025-12-31 00:00:00,0.376832,0.377927,0.374706
2025-12-31 04:00:00,0.384139,0.384139,0.376787
2025-12-31 08:00:00,0.390949,0.390949,0.381618
2025-12-31 12:00:00,0.41145,0.41419,0.392723
2025-12-31 16:00:00,0.430529,0.436561,0.411933
2025-12-31 20:00:00,0.414153,0.429502,0.414153
