,close,high,low
2025-12-17 16:00:00,0.361179,0.368796,0.359594
2025-12-17 20:00:00,0.383272,0.398595,0.362779
2025-12-18 00:00:00,0.379986,0.389104,0.371968
2025-12-18 04:00:00,0.372612,0.386733,0.368336
2025-12-18 08:00:00,0.364467,0.372815,0.360166
2025-12-18 12:00:00,0.371334,0.385657,0.364676
2025-12-18 16:00:00,0.380398,0.383568,0.368957
2025-12-18 20:00:00,0.373889,0.387253,0.373889
2025-12-19 00:00:00,0.372456,0.376906,0.368779
2025-12-19 04:00:00,0.36815,0.375795,0.364202
2025-12-19 08:00:00,0.367945,0.371349,0.366481
2025-12-19 12:00:00,0.364878,0.369141,0.363722
2025-12-19 16:00:00,0.370845,0.37676,0.360767
2025-12-19 20:00:00,0.393965,0.414723,0.365419
2025-12-20 00:00:00,0.381693,0.395369,0.380764
2025-12-20 04:00:00,0.365617,0.382828,0.362916
2025-12-20 08:00:00,0.367859,0.369444,0.36133
2025-12-20 12:00:00,0.37985,0.38097,0.365412
2025-12-20 16:00:00,0.384522,0.395303,0.379894
2025-12-20 20:00:00,0.399735,0.439534,0.382938
2025-12-21 00:00:00,0.417645,0.431705,0.390636
2025-12-21 04:00:00,0.398846,0.41779,0.395002
2025-12-21 08:00:00,0.396686,0.411964,0.396616
2025-12-21 12:00:00,0.394684,0.400462,0.387194
2025-12-21 16:00:00,0.403041,0.406484,0.39463
2025-12-21 20:00:00,0.421999,0.421999,0.402924
2025-12-22 00:00:00,0.411493,0.428396,0.407008
2025-12-22 04:00:00,0.40101,0.414874,0.399918
2025-12-22 08:00:00,0.42052,0.425101,0.403303
2025-12-22 12:00:00,0.456168,0.489098,0.416947
2025-12-22 16:00:00,0.511024,0.515949,0.452672
2025-12-22 20:00:00,0.478964,0.524827,0.464947
2025-12-23 00:00:00,0.495502,0.512691,0.474968
2025-12-23 04:00:00,0.497912,0.517426,0.481171
2025-12-23 08:00:00,0.477267,0.510498,0.47671
2025-12-23 12:00:00,0.439759,0.475864,0.435678
2025-12-23 16:00:00,0.459007,0.460887,0.436365
2025-12-23 20:00:00,0.480905,0.503337,0.458485
2025-12-24 00:00:00,0.448406,0.481877,0.442954
2025-12-24 04:00:00,0.470707,0.471233,0.444772
2025-12-24 08:00:00,0.454601,0.467588,0.452503
2025-12-24 12:00:00,0.473514,0.473514,0.449649
2025-12-24 16:00:00,0.496551,0.503884,0.473625
2025-12-24 20:00:00,0.460419,0.497356,0.458997
2025-12-25 00:00:00,0.47545,0.481555,0.460053
2025-12-25 04:00:00,0.485429,0.485429,0.474321
2025-12-25 08:00:00,0.478994,0.496036,0.477573
2025-12-25 12:00:00,0.478329,0.485151,0.47176
2025-12-25 16:00:00,0.461183,0.48026,0.45679
2025-12-25 20:00:00,0.466184,0.470276,0.45889
2025-12-26 00:00:00,0.458886,0.467434,0.458886
2025-12-26 04:00:00,0.453602,0.462393,0.449277
2025-12-26 08:00:00,0.450541,0.456238,0.448521
2025-12-26 12:00:00,0.454747,0.456345,0.44947
