,close,high,low
2025-12-14 20:00:00,0.061535,0.062912,0.0614
2025-12-15 00:00:00,0.061124,0.06182,0.061054
2025-12-15 04:00:00,0.062115,0.062707,0.061141
2025-12-15 08:00:00,0.062415,0.063038,0.062125
2025-12-15 12:00:00,0.062784,0.06296,0.062503
2025-12-15 16:00:00,0.059899,0.062979,0.059683
2025-12-15 20:00:00,0.058808,0.059795,0.057776
2025-12-16 00:00:00,0.059126,0.059165,0.058176
2025-12-16 04:00:00,0.058646,0.059126,0.057964
2025-12-16 08:00:00,0.058308,0.059091,0.058207
2025-12-16 12:00:00,0.059834,0.059834,0.058351
2025-12-16 16:00:00,0.06004,0.06004,0.059007
2025-12-16 20:00:00,0.060344,0.060905,0.059904
2025-12-17 00:00:00,0.060027,0.060429,0.059975
2025-12-17 04:00:00,0.059695,0.060226,0.059695
2025-12-17 08:00:00,0.059198,0.059736,0.059113
2025-12-17 12:00:00,0.059033,0.059186,0.058586
2025-12-17 16:00:00,0.058642,0.060863,0.058642
2025-12-17 20:00:00,0.056325,0.058666,0.055734
2025-12-18 00:00:00,0.056343,0.056792,0.055762
2025-12-18 04:00:00,0.055675,0.056472,0.05564
2025-12-18 08:00:00,0.055546,0.056011,0.055112
2025-12-18 12:00:00,0.055931,0.056045,0.055589
2025-12-18 16:00:00,0.058408,0.058706,0.055897
2025-12-18 20:00:00,0.053473,0.058305,0.053473
2025-12-19 00:00:00,0.054492,0.054687,0.053326
2025-12-19 04:00:00,0.056061,0.056139,0.053737
2025-12-19 08:00:00,0.056381,0.056925,0.055656
2025-12-19 12:00:00,0.056669,0.056696,0.056312
2025-12-19 16:00:00,0.057198,0.057894,0.056625
2025-12-19 20:00:00,0.058306,0.058339,0.056984
2025-12-20 00:00:00,0.058161,0.058401,0.057963
2025-12-20 04:00:00,0.058291,0.058309,0.057838
2025-12-20 08:00:00,0.05903,0.05903,0.057947
2025-12-20 12:00:00,0.059756,0.059982,0.059165
2025-12-20 16:00:00,0.060924,0.060924,0.059358
2025-12-20 20:00:00,0.06099,0.062043,0.060721
2025-12-21 00:00:00,0.061116,0.061754,0.060674
2025-12-21 04:00:00,0.060091,0.061125,0.059743
2025-12-21 08:00:00,0.060355,0.060631,0.060078
2025-12-21 12:00:00,0.059949,0.060543,0.059907
2025-12-21 16:00:00,0.058353,0.060126,0.058125
2025-12-21 20:00:00,0.058726,0.058835,0.058013
2025-12-22 00:00:00,0.059496,0.059712,0.058438
2025-12-22 04:00:00,0.059637,0.060203,0.059208
2025-12-22 08:00:00,0.060122,0.060318,0.059581
2025-12-22 12:00:00,0.060599,0.060599,0.05983
2025-12-22 16:00:00,0.059936,0.060553,0.059618
2025-12-22 20:00:00,0.058834,0.060237,0.058834
2025-12-23 00:00:00,0.058871,0.059044,0.058543
2025-12-23 04:00:00,0.05847,0.059416,0.058409
2025-12-23 08:00:00,0.057805,0.058584,0.057731
2025-12-23 12:00:00,0.05817,0.058261,0.057802
2025-12-23 16:00:00,0.057552,0.058071,0.057112
2025-12-23 20:00:00,0.05848,0.058639,0.057532
2025-12-24 00:00:00,0.05836,0.058907,0.058172
2025-12-24 04:00:00,0.057691,0.058571,0.057275
2025-12-24 08:00:00,0.057138,0.058042,0.056915
2025-12-24 12:00:00,0.057118,0.05733,0.056668
2025-12-24 16:00:00,0.057709,0.057775,0.056695
2025-12-24 20:00:00,0.057577,0.057989,0.057265
2025-12-25 00:00:00,0.05855,0.05855,0.057656
2025-12-25 04:00:00,0.059424,0.059511,0.058384
2025-12-25 08:00:00,0.060089,0.060137,0.059435
2025-12-25 12:00:00,0.05981,0.060379,0.059408
2025-12-25 16:00:00,0.060111,0.060316,0.059631
2025-12-25 20:00:00,0.060655,0.060734,0.060016
2025-12-26 00:00:00,0.058813,0.061453,0.058802
2025-12-26 04:00:00,0.060434,0.060948,0.058699
2025-12-26 08:00:00,0.059815,0.060469,0.059815
2025-12-26 12:00:00,0.059979,0.060024,0.059652
2025-12-26 16:00:00,0.059159,0.060491,0.059016
2025-12-26 20:00:00,0.059878,0.059923,0.058852
2025-12-27 00:00:00,0.059561,0.060098,0.059286
2025-12-27 04:00:00,0.060207,0.060324,0.059595
2025-12-27 08:00:00,0.059866,0.060168,0.059636
2025-12-27 12:00:00,0.059891,0.059907,0.058943
2025-12-27 16:00:00,0.06052,0.060523,0.059702
2025-12-27 20:00:00,0.060448,0.060599,0.060197
2025-12-28 00:00:00,0.061496,0.061496,0.060226
2025-12-28 04:00:00,0.061536,0.061782,0.061385
2025-12-28 08:00:00,0.062013,0.062105,0.061372
2025-12-28 12:00:00,0.062113,0.062588,0.06193
2025-12-28 16:00:00,0.061369,0.062115,0.061265
