,close,high,low
2025-12-14 16:00:00,0.00760162,0.00760734,0.00750583
2025-12-14 20:00:00,0.00804754,0.008068,0.00758529
2025-12-15 00:00:00,0.00790301,0.00805258,0.00790301
2025-12-15 04:00:00,0.00790003,0.00796731,0.00781095
2025-12-15 08:00:00,0.00795236,0.00796232,0.00781239
2025-12-15 12:00:00,0.00798195,0.00807539,0.00796831
2025-12-15 16:00:00,0.00779481,0.00803845,0.00766081
2025-12-15 20:00:00,0.00761874,0.0077873,0.00754128
2025-12-16 00:00:00,0.00784022,0.00785203,0.00756031
2025-12-16 04:00:00,0.00775438,0.00787483,0.00773189
2025-12-16 08:00:00,0.00772689,0.00778514,0.00766903
2025-12-16 12:00:00,0.00781606,0.00782284,0.00772779
2025-12-16 16:00:00,0.00782095,0.00784669,0.00770967
2025-12-16 20:00:00,0.00780928,0.00783794,0.00774232
2025-12-17 00:00:00,0.00784371,0.00784502,0.00778632
2025-12-17 04:00:00,0.00768482,0.00784862,0.00768425
2025-12-17 08:00:00,0.00765957,0.00768554,0.00760863
2025-12-17 12:00:00,0.0076728,0.00767924,0.00758387
2025-12-17 16:00:00,0.00763283,0.00793752,0.00763112
2025-12-17 20:00:00,0.00752856,0.00765554,0.007455
2025-12-18 00:00:00,0.00753006,0.00753006,0.00745585
2025-12-18 04:00:00,0.00760283,0.00760283,0.00747797
2025-12-18 08:00:00,0.00753589,0.00760863,0.00750899
2025-12-18 12:00:00,0.00758596,0.00759534,0.00752577
2025-12-18 16:00:00,0.00783169,0.00786658,0.00758576
2025-12-18 20:00:00,0.00737494,0.00782203,0.00737494
2025-12-19 00:00:00,0.0074731,0.00748146,0.00736889
2025-12-19 04:00:00,0.00768106,0.00768106,0.00739
2025-12-19 08:00:00,0.00774255,0.00780521,0.00763462
2025-12-19 12:00:00,0.00780501,0.0078103,0.00771957
2025-12-19 16:00:00,0.00768645,0.00779699,0.00768337
2025-12-19 20:00:00,0.00767944,0.00776075,0.00762115
2025-12-20 00:00:00,0.00769722,0.00774324,0.00765789
2025-12-20 04:00:00,0.007732,0.00775297,0.00769648
2025-12-20 08:00:00,0.00767864,0.00773834,0.00766691
2025-12-20 12:00:00,0.00770395,0.00772501,0.0076828
2025-12-20 16:00:00,0.00766573,0.00772848,0.00763438
2025-12-20 20:00:00,0.00766341,0.00767586,0.00762992
2025-12-21 00:00:00,0.00765405,0.00768129,0.00765102
2025-12-21 04:00:00,0.00765828,0.00768709,0.00762228
2025-12-21 08:00:00,0.0076131,0.00767345,0.00760922
2025-12-21 12:00:00,0.00766719,0.0076718,0.00760278
2025-12-21 16:00:00,0.00757089,0.00766912,0.00752485
2025-12-21 20:00:00,0.00763503,0.00763503,0.00756917
2025-12-22 00:00:00,0.00761118,0.00763165,0.00754727
2025-12-22 04:00:00,0.00756841,0.00770962,0.00751502
2025-12-22 08:00:00,0.0075491,0.00759519,0.00753461
2025-12-22 12:00:00,0.00745959,0.00758538,0.00741605
2025-12-22 16:00:00,0.00718596,0.00746454,0.00716603
2025-12-22 20:00:00,0.00710699,0.00723109,0.00710699
2025-12-23 00:00:00,0.00715314,0.00717064,0.00710526
2025-12-23 04:00:00,0.00705248,0.00717831,0.00705248
2025-12-23 08:00:00,0.00692573,0.00707855,0.00691626
2025-12-23 12:00:00,0.00802616,0.00810042,0.00691993
2025-12-23 16:00:00,0.00793269,0.00810782,0.00793269
2025-12-23 20:00:00,0.0080022,0.00808463,0.00794229
2025-12-24 00:00:00,0.00800854,0.00807091,0.00798177
2025-12-24 04:00:00,0.0079443,0.0080219,0.00786303
2025-12-24 08:00:00,0.00799472,0.00802633,0.00793758
2025-12-24 12:00:00,0.00819902,0.00822916,0.00787352
