,close,high,low
2025-12-22 00:00:00,0.104224,0.104334,0.103562
2025-12-22 04:00:00,0.104234,0.105806,0.104134
2025-12-22 08:00:00,0.104111,0.104855,0.10381
2025-12-22 12:00:00,0.104145,0.104165,0.103888
2025-12-22 16:00:00,0.1036,0.104276,0.103412
2025-12-22 20:00:00,0.103033,0.104053,0.102727
2025-12-23 00:00:00,0.102618,0.103137,0.102327
2025-12-23 04:00:00,0.102867,0.103482,0.102441
2025-12-23 08:00:00,0.102744,0.10341,0.102283
2025-12-23 12:00:00,0.102659,0.10314,0.102315
2025-12-23 16:00:00,0.10229,0.102755,0.10211
2025-12-23 20:00:00,0.103015,0.10339,0.10229
2025-12-24 00:00:00,0.102842,0.103653,0.102726
2025-12-24 04:00:00,0.10274,0.103104,0.102691
2025-12-24 08:00:00,0.102643,0.103142,0.102447
2025-12-24 12:00:00,0.102681,0.102787,0.102271
2025-12-24 16:00:00,0.102708,0.102764,0.102306
2025-12-24 20:00:00,0.10292,0.103306,0.102701
2025-12-25 00:00:00,0.103423,0.103667,0.102778
2025-12-25 04:00:00,0.10339,0.103865,0.103239
2025-12-25 08:00:00,0.103473,0.103864,0.103268
2025-12-25 12:00:00,0.103151,0.103638,0.103132
2025-12-25 16:00:00,0.103802,0.103943,0.103233
2025-12-25 20:00:00,0.103693,0.103831,0.103428
2025-12-26 00:00:00,0.10353,0.10396,0.103241
2025-12-26 04:00:00,0.103882,0.104472,0.103395
2025-12-26 08:00:00,0.103812,0.104221,0.103762
2025-12-26 12:00:00,0.103653,0.103898,0.103587
2025-12-26 16:00:00,0.103525,0.105475,0.103031
2025-12-26 20:00:00,0.103494,0.103777,0.102807
2025-12-27 00:00:00,0.103229,0.103363,0.10314
2025-12-27 04:00:00,0.10379,0.10379,0.103244
2025-12-27 08:00:00,0.103631,0.103766,0.103299
2025-12-27 12:00:00,0.103559,0.103846,0.103321
2025-12-27 16:00:00,0.103376,0.103775,0.103308
2025-12-27 20:00:00,0.103388,0.103452,0.103239
2025-12-28 00:00:00,0.103881,0.103999,0.10339
2025-12-28 04:00:00,0.104034,0.104313,0.103771
2025-12-28 08:00:00,0.103884,0.104402,0.103652
2025-12-28 12:00:00,0.103912,0.104278,0.103855
2025-12-28 16:00:00,0.10356,0.104247,0.10356
2025-12-28 20:00:00,0.102892,0.103586,0.10285
2025-12-29 00:00:00,0.10314,0.103215,0.102814
2025-12-29 04:00:00,0.103803,0.103841,0.10301
2025-12-29 08:00:00,0.103904,0.10414,0.103781
2025-12-29 12:00:00,0.103594,0.104159,0.103366
2025-12-29 16:00:00,0.103067,0.103634,0.10283
2025-12-29 20:00:00,0.102768,0.103093,0.102658
2025-12-30 00:00:00,0.102816,0.10304,0.102496
2025-12-30 04:00:00,0.102972,0.103041,0.102503
2025-12-30 08:00:00,0.103031,0.103038,0.102878
2025-12-30 12:00:00,0.102686,0.103125,0.102301
2025-12-30 16:00:00,0.103065,0.103081,0.102206
2025-12-30 20:00:00,0.10268,0.103165,0.10253
2025-12-31 00:00:00,0.102598,0.102891,0.102595
2025-12-31 04:00:00,0.102264,0.103079,0.102264
2025-12-31 08:00:00,0.101576,0.102332,0.100917
2025-12-31 12:00:00,0.10237,0.102535,0.101783
2025-12-31 16:00:00,0.101766,0.102437,0.101656
2025-12-31 20:00:00,0.102456,0.102704,0.101565
2026-01-01 00:00:00,0.103563,0.103959,0.10233
2026-01-01 04:00:00,0.103377,0.103482,0.103081
2026-01-01 08:00:00,0.102783,0.103309,0.102783
2026-01-01 12:00:00,0.103418,0.103475,0.10311
2026-01-01 16:00:00,0.103972,0.104016,0.103199
2026-01-01 20:00:00,0.104594,0.104594,0.103953
2026-01-02 00:00:00,0.104914,0.105187,0.104605
2026-01-02 04:00:00,0.105682,0.106162,0.104739
2026-01-02 08:00:00,0.105065,0.105665,0.105065
2026-01-02 12:00:00,0.105363,0.105673,0.105115
2026-01-02 16:00:00,0.105726,0.106146,0.105241
2026-01-02 20:00:00,0.106241,0.106325,0.105669
2026-01-03 00:00:00,0.107273,0.107273,0.1062
2026-01-03 04:00:00,0.107351,0.107748,0.107001
2026-01-03 08:00:00,0.106507,0.108387,0.106507
2026-01-03 12:00:00,0.107743,0.107743,0.106558
2026-01-03 16:00:00,0.107189,0.108081,0.107189
2026-01-03 20:00:00,0.107144,0.107218,0.107041
2026-01-04 00:00:00,0.107416,0.107726,0.107122
2026-01-04 04:00:00,0.108653,0.108715,0.107396
2026-01-04 08:00:00,0.108711,0.108765,0.108332
2026-01-04 12:00:00,0.108272,0.108709,0.108141
2026-01-04 16:00:00,0.108742,0.108895,0.108313
2026-01-04 20:00:00,0.108475,0.108959,0.108287
2026-01-05 00:00:00,0.108387,0.108662,0.108103
2026-01-05 04:00:00,0.108416,0.108855,0.108042
2026-01-05 08:00:00,0.108132,0.108386,0.107628
2026-01-05 12:00:00,0.10782,0.108818,0.107564
2026-01-05 16:00:00,0.108659,0.108813,0.107738
2026-01-05 20:00:00,0.108953,0.109344,0.108471
2026-01-06 00:00:00,0.109236,0.109511,0.109025
2026-01-06 04:00:00,0.109163,0.109444,0.108689
2026-01-06 08:00:00,0.109158,0.109382,0.109118
2026-01-06 12:00:00,0.109417,0.109417,0.109071
2026-01-06 16:00:00,0.109889,0.110566,0.109098
2026-01-06 20:00:00,0.108038,0.11,0.107498
2026-01-07 00:00:00,0.109626,0.109958,0.108024
2026-01-07 04:00:00,0.108676,0.109482,0.108239
2026-01-07 08:00:00,0.108985,0.109254,0.108346
2026-01-07 12:00:00,0.109209,0.109948,0.107209
2026-01-07 16:00:00,0.106731,0.109276,0.106604
2026-01-07 20:00:00,0.106593,0.107255,0.10635
2026-01-08 00:00:00,0.106271,0.106897,0.105638
2026-01-08 04:00:00,0.106016,0.106944,0.10547
2026-01-08 08:00:00,0.105593,0.106107,0.104677
2026-01-08 12:00:00,0.105126,0.105677,0.104633
2026-01-08 16:00:00,0.106138,0.106751,0.104955
2026-01-08 20:00:00,0.105705,0.10641,0.105554
2026-01-09 00:00:00,0.106268,0.106327,0.105038
2026-01-09 04:00:00,0.106223,0.106372,0.105053
2026-01-09 08:00:00,0.1053,0.106535,0.105126
2026-01-09 12:00:00,0.105716,0.105828,0.10456
2026-01-09 16:00:00,0.106783,0.106867,0.10494
2026-01-09 20:00:00,0.106007,0.107176,0.105743
2026-01-10 00:00:00,0.106168,0.106773,0.105805
2026-01-10 04:00:00,0.105795,0.106581,0.105133
2026-01-10 08:00:00,0.105209,0.105969,0.104912
2026-01-10 12:00:00,0.10533,0.105792,0.105118
2026-01-10 16:00:00,0.105335,0.105835,0.104943
2026-01-10 20:00:00,0.105919,0.105919,0.104916
2026-01-11 00:00:00,0.105656,0.106523,0.105113
2026-01-11 04:00:00,0.104889,0.105882,0.104872
2026-01-11 08:00:00,0.105416,0.105609,0.104826
2026-01-11 12:00:00,0.105632,0.10585,0.105117
2026-01-11 16:00:00,0.105028,0.106112,0.105028
2026-01-11 20:00:00,0.105749,0.105749,0.104806
2026-01-12 00:00:00,0.105478,0.105931,0.104877
2026-01-12 04:00:00,0.106253,0.106793,0.104773
2026-01-12 08:00:00,0.105241,0.106699,0.105241
2026-01-12 12:00:00,0.104202,0.10552,0.104
2026-01-12 16:00:00,0.104193,0.104462,0.103337
2026-01-12 20:00:00,0.103235,0.104453,0.103235
2026-01-13 00:00:00,0.103147,0.103836,0.102873
2026-01-13 04:00:00,0.103862,0.103989,0.103169
2026-01-13 08:00:00,0.104581,0.10483,0.1039
2026-01-13 12:00:00,0.105495,0.105885,0.1046
2026-01-13 16:00:00,0.106437,0.106552,0.105359
2026-01-13 20:00:00,0.105926,0.107048,0.105204
2026-01-14 00:00:00,0.106913,0.107833,0.10566
2026-01-14 04:00:00,0.106995,0.107465,0.106536
2026-01-14 08:00:00,0.106217,0.107067,0.105779
2026-01-14 12:00:00,0.106883,0.107169,0.105866
2026-01-14 16:00:00,0.107271,0.107514,0.106833
2026-01-14 20:00:00,0.107753,0.107985,0.106877
2026-01-15 00:00:00,0.10808,0.108199,0.107755
2026-01-15 04:00:00,0.105969,0.108154,0.105796
2026-01-15 08:00:00,0.106963,0.107035,0.105858
2026-01-15 12:00:00,0.106647,0.10698,0.106359
2026-01-15 16:00:00,0.105927,0.106972,0.105927
2026-01-15 20:00:00,0.105043,0.106413,0.104877
2026-01-16 00:00:00,0.105006,0.105223,0.104932
2026-01-16 04:00:00,0.105021,0.105405,0.104912
2026-01-16 08:00:00,0.105577,0.105706,0.104715
2026-01-16 12:00:00,0.105522,0.105592,0.105362
2026-01-16 16:00:00,0.105092,0.106678,0.105017
2026-01-16 20:00:00,0.105345,0.106096,0.104789
2026-01-17 00:00:00,0.106265,0.10687,0.105281
2026-01-17 04:00:00,0.106681,0.106834,0.106129
2026-01-17 08:00:00,0.106952,0.106952,0.106193
2026-01-17 12:00:00,0.106459,0.107445,0.106451
2026-01-17 16:00:00,0.107828,0.10789,0.106345
2026-01-17 20:00:00,0.107264,0.107759,0.107031
2026-01-18 00:00:00,0.107452,0.107936,0.107172
2026-01-18 04:00:00,0.107397,0.108146,0.106879
2026-01-18 08:00:00,0.10679,0.107395,0.10679
2026-01-18 12:00:00,0.106558,0.106812,0.106243
2026-01-18 16:00:00,0.106688,0.106688,0.106115
2026-01-18 20:00:00,0.106499,0.106803,0.106388
2026-01-19 00:00:00,0.105158,0.106665,0.104884
2026-01-19 04:00:00,0.104626,0.105112,0.104011
2026-01-19 08:00:00,0.104307,0.104784,0.104088
2026-01-19 12:00:00,0.104538,0.105077,0.104183
2026-01-19 16:00:00,0.104504,0.104989,0.104197
2026-01-19 20:00:00,0.105525,0.105598,0.104414
2026-01-20 00:00:00,0.104927,0.105394,0.10423
2026-01-20 04:00:00,0.104666,0.104936,0.104416
2026-01-20 08:00:00,0.104253,0.104669,0.104058
2026-01-20 12:00:00,0.104399,0.104627,0.10409
2026-01-20 16:00:00,0.104614,0.104775,0.104148
2026-01-20 20:00:00,0.10444,0.104889,0.104107
