,close,high,low
2025-12-14 20:00:00,0.060055,0.060312,0.058905
2025-12-15 00:00:00,0.059491,0.060303,0.059222
2025-12-15 04:00:00,0.057952,0.059525,0.057952
2025-12-15 08:00:00,0.056966,0.057856,0.056104
2025-12-15 12:00:00,0.056772,0.057652,0.056514
2025-12-15 16:00:00,0.057667,0.057667,0.056565
2025-12-15 20:00:00,0.056657,0.058001,0.056589
2025-12-16 00:00:00,0.058303,0.058303,0.056322
2025-12-16 04:00:00,0.057056,0.058361,0.057056
2025-12-16 08:00:00,0.057348,0.058026,0.056347
2025-12-16 12:00:00,0.058137,0.058137,0.056948
2025-12-16 16:00:00,0.057953,0.058613,0.057199
2025-12-16 20:00:00,0.058372,0.058372,0.057465
2025-12-17 00:00:00,0.059653,0.05981,0.058347
2025-12-17 04:00:00,0.060054,0.060054,0.05947
2025-12-17 08:00:00,0.060109,0.06081,0.059661
2025-12-17 12:00:00,0.060127,0.060198,0.059341
2025-12-17 16:00:00,0.059742,0.060408,0.059126
2025-12-17 20:00:00,0.057305,0.059621,0.056444
2025-12-18 00:00:00,0.056822,0.057297,0.056043
2025-12-18 04:00:00,0.057901,0.058335,0.056721
2025-12-18 08:00:00,0.05784,0.058372,0.05784
2025-12-18 12:00:00,0.058162,0.058212,0.057725
2025-12-18 16:00:00,0.059205,0.059647,0.058166
2025-12-18 20:00:00,0.057335,0.059578,0.057335
2025-12-19 00:00:00,0.056476,0.057271,0.056464
2025-12-19 04:00:00,0.058521,0.058521,0.05615
2025-12-19 08:00:00,0.059244,0.059394,0.058251
2025-12-19 12:00:00,0.059569,0.059932,0.059311
2025-12-19 16:00:00,0.059633,0.060395,0.059432
2025-12-19 20:00:00,0.059363,0.060016,0.058067
2025-12-20 00:00:00,0.059913,0.059976,0.059363
2025-12-20 04:00:00,0.061398,0.061398,0.059925
2025-12-20 08:00:00,0.062063,0.062063,0.061275
2025-12-20 12:00:00,0.062849,0.062849,0.06223
2025-12-20 16:00:00,0.063003,0.063061,0.062602
