,close,high,low
2025-12-14 20:00:00,0.02013242,0.02018331,0.02012164
2025-12-15 00:00:00,0.02015217,0.02018253,0.02011483
2025-12-15 04:00:00,0.02038814,0.02038814,0.02014767
2025-12-15 08:00:00,0.0204116,0.02043957,0.02033739
2025-12-15 12:00:00,0.02044085,0.02044896,0.0203752
2025-12-15 16:00:00,0.02045724,0.02052307,0.02043242
2025-12-15 20:00:00,0.02035172,0.02050728,0.02030327
2025-12-16 00:00:00,0.02034311,0.02037822,0.02029209
2025-12-16 04:00:00,0.02023472,0.02037781,0.02023472
2025-12-16 08:00:00,0.02015314,0.02022936,0.02015314
2025-12-16 12:00:00,0.02021927,0.02025601,0.02014482
2025-12-16 16:00:00,0.02021457,0.02026318,0.02019729
2025-12-16 20:00:00,0.02025271,0.02029241,0.02021348
2025-12-17 00:00:00,0.02035044,0.02035044,0.02024034
2025-12-17 04:00:00,0.02041889,0.0204251,0.02035176
2025-12-17 08:00:00,0.02044745,0.02047096,0.02040394
2025-12-17 12:00:00,0.02038115,0.02044304,0.02038115
2025-12-17 16:00:00,0.02037668,0.0204487,0.02037668
2025-12-17 20:00:00,0.02024515,0.02038173,0.02023477
2025-12-18 00:00:00,0.02026613,0.02030589,0.02021221
2025-12-18 04:00:00,0.02016506,0.02027157,0.02015959
2025-12-18 08:00:00,0.02001792,0.02016411,0.02001792
2025-12-18 12:00:00,0.01999416,0.02004843,0.01998054
2025-12-18 16:00:00,0.02003958,0.02009029,0.01999813
2025-12-18 20:00:00,0.01979926,0.02007942,0.01979926
2025-12-19 00:00:00,0.01940644,0.01975945,0.01922741
2025-12-19 04:00:00,0.0195571,0.01957353,0.01930871
2025-12-19 08:00:00,0.01946095,0.01958618,0.01940965
2025-12-19 12:00:00,0.01960068,0.01963474,0.01944503
2025-12-19 16:00:00,0.019476,0.01971121,0.019476
2025-12-19 20:00:00,0.02003985,0.02003985,0.0194713
2025-12-20 00:00:00,0.02012934,0.02014072,0.02001692
2025-12-20 04:00:00,0.02030791,0.02032344,0.02008483
2025-12-20 08:00:00,0.02027636,0.02028522,0.02023114
2025-12-20 12:00:00,0.02025621,0.02031634,0.02021329
2025-12-20 16:00:00,0.02017108,0.02024908,0.02015456
2025-12-20 20:00:00,0.02010012,0.02016238,0.02009493
2025-12-21 00:00:00,0.02012376,0.02012871,0.02006301
2025-12-21 04:00:00,0.02013781,0.02015481,0.02009574
2025-12-21 08:00:00,0.02015465,0.02018624,0.02010409
2025-12-21 12:00:00,0.02022124,0.0202525,0.02014717
2025-12-21 16:00:00,0.02036752,0.02036752,0.02022886
2025-12-21 20:00:00,0.02049132,0.02051168,0.02037444
2025-12-22 00:00:00,0.02054267,0.02055224,0.02045842
2025-12-22 04:00:00,0.02045288,0.02055598,0.02045288
2025-12-22 08:00:00,0.02049667,0.02050406,0.02038946
2025-12-22 12:00:00,0.02046652,0.02059067,0.02045769
2025-12-22 16:00:00,0.02042599,0.02046306,0.02035587
2025-12-22 20:00:00,0.02033518,0.02043174,0.02032897
2025-12-23 00:00:00,0.02030825,0.02038161,0.02030825
2025-12-23 04:00:00,0.02026614,0.02032273,0.02025243
2025-12-23 08:00:00,0.02030849,0.02033975,0.02026513
2025-12-23 12:00:00,0.02027123,0.02034691,0.02026631
2025-12-23 16:00:00,0.0201765,0.02025758,0.02017643
2025-12-23 20:00:00,0.02015165,0.02017223,0.02011622
2025-12-24 00:00:00,0.02011523,0.02018184,0.02011048
2025-12-24 04:00:00,0.02012834,0.0201606,0.0200834
2025-12-24 08:00:00,0.02020923,0.02023596,0.02013151
2025-12-24 12:00:00,0.02026075,0.02026838,0.02018467
2025-12-24 16:00:00,0.02024798,0.02030566,0.02022408
2025-12-24 20:00:00,0.02019051,0.02025778,0.02017429
2025-12-25 00:00:00,0.02018388,0.02023657,0.02015886
2025-12-25 04:00:00,0.02001654,0.0201908,0.02001654
2025-12-25 08:00:00,0.01972951,0.02004327,0.01967048
2025-12-25 12:00:00,0.01965376,0.01986261,0.01960594
2025-12-25 16:00:00,0.01924755,0.01970548,0.01924755
2025-12-25 20:00:00,0.0191753,0.01930584,0.01898409
2025-12-26 00:00:00,0.01902699,0.01918084,0.01896558
2025-12-26 04:00:00,0.01888674,0.01909493,0.01859755
2025-12-26 08:00:00,0.01905921,0.01905921,0.01875169
2025-12-26 12:00:00,0.01903439,0.0191455,0.01897575
2025-12-26 16:00:00,0.01902687,0.01904663,0.01888694
2025-12-26 20:00:00,0.01891239,0.01904526,0.01889254
2025-12-27 00:00:00,0.01889653,0.0189321,0.01886247
2025-12-27 04:00:00,0.01885953,0.01896496,0.01884811
2025-12-27 08:00:00,0.01877719,0.01888556,0.01874539
2025-12-27 12:00:00,0.01877823,0.01882031,0.01874267
2025-12-27 16:00:00,0.01877726,0.01895321,0.01876909
2025-12-27 20:00:00,0.0189705,0.01899505,0.01876418
2025-12-28 00:00:00,0.01914706,0.01914706,0.01897084
2025-12-28 04:00:00,0.01918204,0.01918616,0.01911443
2025-12-28 08:00:00,0.0193805,0.01943671,0.01918945
2025-12-28 12:00:00,0.01945473,0.0195682,0.01936651
2025-12-28 16:00:00,0.01945571,0.01951422,0.01938591
