,close,high,low
2025-12-14 20:00:00,0.266405,0.269375,0.265729
2025-12-15 00:00:00,0.263298,0.268552,0.263298
2025-12-15 04:00:00,0.264013,0.27074,0.263117
2025-12-15 08:00:00,0.26728,0.270979,0.264106
2025-12-15 12:00:00,0.267723,0.272138,0.266403
2025-12-15 16:00:00,0.255784,0.267566,0.25492
2025-12-15 20:00:00,0.262276,0.265423,0.254649
2025-12-16 00:00:00,0.263297,0.266157,0.259525
2025-12-16 04:00:00,0.264922,0.26587,0.26175
2025-12-16 08:00:00,0.261156,0.264122,0.259892
2025-12-16 12:00:00,0.265301,0.2657,0.259013
2025-12-16 16:00:00,0.260761,0.265434,0.260049
2025-12-16 20:00:00,0.263137,0.263137,0.259119
2025-12-17 00:00:00,0.270235,0.270235,0.262667
2025-12-17 04:00:00,0.266277,0.268145,0.265133
2025-12-17 08:00:00,0.269198,0.269837,0.265072
2025-12-17 12:00:00,0.279785,0.281402,0.268921
2025-12-17 16:00:00,0.286122,0.296719,0.280262
2025-12-17 20:00:00,0.283973,0.287251,0.279493
2025-12-18 00:00:00,0.273211,0.284597,0.273211
2025-12-18 04:00:00,0.273774,0.278611,0.272202
2025-12-18 08:00:00,0.28149,0.283459,0.273648
2025-12-18 12:00:00,0.277314,0.283945,0.275746
2025-12-18 16:00:00,0.29026,0.290303,0.276374
2025-12-18 20:00:00,0.273581,0.290406,0.273581
2025-12-19 00:00:00,0.272635,0.275851,0.272221
2025-12-19 04:00:00,0.281919,0.284042,0.272086
2025-12-19 08:00:00,0.289086,0.289574,0.281737
2025-12-19 12:00:00,0.289098,0.289937,0.286357
2025-12-19 16:00:00,0.290674,0.295892,0.288901
2025-12-19 20:00:00,0.32374,0.323744,0.291791
2025-12-20 00:00:00,0.317571,0.323143,0.312246
2025-12-20 04:00:00,0.314621,0.317611,0.313848
2025-12-20 08:00:00,0.314072,0.316487,0.312292
2025-12-20 12:00:00,0.320788,0.320822,0.313848
2025-12-20 16:00:00,0.323238,0.328387,0.319408
2025-12-20 20:00:00,0.323689,0.324965,0.320483
2025-12-21 00:00:00,0.32478,0.329441,0.320842
2025-12-21 04:00:00,0.325489,0.32705,0.321164
2025-12-21 08:00:00,0.334643,0.335055,0.325775
2025-12-21 12:00:00,0.32889,0.333486,0.327274
2025-12-21 16:00:00,0.334988,0.334988,0.324606
2025-12-21 20:00:00,0.343561,0.343561,0.330218
2025-12-22 00:00:00,0.347831,0.358597,0.342395
2025-12-22 04:00:00,0.344668,0.354364,0.344484
2025-12-22 08:00:00,0.339447,0.343266,0.334866
2025-12-22 12:00:00,0.347542,0.347542,0.338029
2025-12-22 16:00:00,0.344117,0.347653,0.342968
2025-12-22 20:00:00,0.33372,0.34887,0.33372
2025-12-23 00:00:00,0.331627,0.334909,0.330071
2025-12-23 04:00:00,0.335522,0.335633,0.328819
2025-12-23 08:00:00,0.332486,0.334544,0.330601
2025-12-23 12:00:00,0.323581,0.330913,0.322379
2025-12-23 16:00:00,0.316943,0.324425,0.31388
2025-12-23 20:00:00,0.313397,0.318805,0.313397
2025-12-24 00:00:00,0.314658,0.317392,0.313596
2025-12-24 04:00:00,0.315329,0.318173,0.313413
2025-12-24 08:00:00,0.308377,0.315453,0.308377
2025-12-24 12:00:00,0.305088,0.308118,0.303687
2025-12-24 16:00:00,0.309262,0.309759,0.304695
2025-12-24 20:00:00,0.309972,0.310457,0.306566
2025-12-25 00:00:00,0.308803,0.313913,0.308796
2025-12-25 04:00:00,0.308827,0.312309,0.307506
2025-12-25 08:00:00,0.313808,0.3141,0.308675
2025-12-25 12:00:00,0.322322,0.322322,0.314332
2025-12-25 16:00:00,0.333422,0.333422,0.321191
