,close,high,low
2025-12-17 16:00:00,1704.78,1705.77,1703.92
2025-12-17 20:00:00,1704.51,1705.9,1704.14
2025-12-18 00:00:00,1705.04,1705.88,1703.72
2025-12-18 04:00:00,1704.5,1705.24,1704.26
2025-12-18 08:00:00,1703.4,1705.62,1700.53
2025-12-18 12:00:00,1702.45,1706.85,1701.68
2025-12-18 16:00:00,1706.12,1706.71,1701.71
2025-12-18 20:00:00,1705.8,1706.81,1704.55
2025-12-19 00:00:00,1706.38,1706.83,1704.85
2025-12-19 04:00:00,1704.75,1707.16,1702.72
2025-12-19 08:00:00,1703.01,1706.62,1702.05
2025-12-19 12:00:00,1712.23,1712.23,1702.35
2025-12-19 16:00:00,1712.79,1713.1,1710.14
2025-12-19 20:00:00,1711.89,1713.13,1709.34
2025-12-20 00:00:00,1712.09,1713.04,1711.29
2025-12-20 04:00:00,1711.9,1712.77,1711.88
2025-12-20 08:00:00,1712.43,1712.43,1710.08
2025-12-20 12:00:00,1715.47,1716.48,1712.42
2025-12-20 16:00:00,1715.74,1717.06,1714.29
2025-12-20 20:00:00,1716.32,1717.17,1714.7
2025-12-21 00:00:00,1718.21,1718.22,1714.8
2025-12-21 04:00:00,1716.36,1718.04,1715.64
2025-12-21 08:00:00,1716.04,1717.0,1715.93
2025-12-21 12:00:00,1722.84,1723.05,1715.55
2025-12-21 16:00:00,1723.08,1723.08,1720.34
2025-12-21 20:00:00,1721.8,1723.4,1720.76
2025-12-22 00:00:00,1721.92,1723.05,1721.45
2025-12-22 04:00:00,1721.9,1723.31,1721.78
2025-12-22 08:00:00,1721.8,1722.95,1721.69
2025-12-22 12:00:00,1725.82,1726.09,1721.52
2025-12-22 16:00:00,1724.91,1726.5,1721.56
2025-12-22 20:00:00,1726.12,1726.72,1724.72
2025-12-23 00:00:00,1725.65,1726.16,1723.29
2025-12-23 04:00:00,1724.45,1726.39,1721.71
2025-12-23 08:00:00,1725.23,1725.43,1724.47
2025-12-23 12:00:00,1729.32,1730.32,1724.89
2025-12-23 16:00:00,1729.84,1730.61,1729.34
2025-12-23 20:00:00,1729.62,1730.58,1729.4
2025-12-24 00:00:00,1731.08,1731.22,1726.08
2025-12-24 04:00:00,1729.72,1731.25,1729.72
2025-12-24 08:00:00,1730.74,1731.26,1728.77
2025-12-24 12:00:00,1730.32,1731.3,1730.29
2025-12-24 16:00:00,1731.28,1731.53,1730.36
2025-12-24 20:00:00,1731.51,1731.51,1730.49
2025-12-25 00:00:00,1730.8,1731.59,1730.43
2025-12-25 04:00:00,1730.88,1731.54,1728.89
2025-12-25 08:00:00,1731.26,1731.5,1728.39
2025-12-25 12:00:00,1733.08,1734.95,1729.32
2025-12-25 16:00:00,1731.18,1735.01,1729.88
2025-12-25 20:00:00,1733.84,1735.94,1730.28
2025-12-26 00:00:00,1734.47,1735.67,1733.49
2025-12-26 04:00:00,1732.04,1735.08,1732.04
2025-12-26 08:00:00,1738.12,1738.12,1732.59
2025-12-26 12:00:00,1739.85,1740.45,1733.66
2025-12-26 16:00:00,1740.03,1740.63,1738.75
2025-12-26 20:00:00,1736.93,1740.34,1736.88
2025-12-27 00:00:00,1739.81,1740.43,1737.05
2025-12-27 04:00:00,1739.5,1740.27,1738.97
2025-12-27 08:00:00,1739.73,1740.15,1734.56
2025-12-27 12:00:00,1742.95,1744.73,1738.34
2025-12-27 16:00:00,1743.18,1743.78,1742.2
2025-12-27 20:00:00,1743.4,1744.36,1740.7
2025-12-28 00:00:00,1741.71,1743.51,1741.71
2025-12-28 04:00:00,1743.79,1744.28,1740.29
2025-12-28 08:00:00,1743.18,1743.71,1741.42
2025-12-28 12:00:00,1748.3,1748.7,1743.05
2025-12-28 16:00:00,1748.57,1748.57,1747.3
2025-12-28 20:00:00,1747.68,1748.76,1746.03
2025-12-29 00:00:00,1748.07,1749.02,1743.83
2025-12-29 04:00:00,1747.8,1748.63,1747.65
2025-12-29 08:00:00,1747.34,1748.2,1747.22
2025-12-29 12:00:00,1749.72,1750.78,1745.89
2025-12-29 16:00:00,1746.3,1750.97,1746.09
2025-12-29 20:00:00,1750.3,1750.89,1746.05
2025-12-30 00:00:00,1749.94,1750.95,1744.93
2025-12-30 04:00:00,1749.58,1750.7,1745.5
2025-12-30 08:00:00,1752.84,1753.76,1748.45
2025-12-30 12:00:00,1752.72,1753.24,1752.18
2025-12-30 16:00:00,1751.69,1753.03,1747.29
2025-12-30 20:00:00,1753.28,1753.36,1749.3
2025-12-31 00:00:00,1751.27,1753.72,1742.44
2025-12-31 04:00:00,1750.52,1751.86,1749.82
2025-12-31 08:00:00,1749.55,1752.94,1745.27
2025-12-31 12:00:00,1757.43,1758.06,1744.86
2025-12-31 16:00:00,1755.24,1758.54,1750.44
2025-12-31 20:00:00,1759.23,1760.96,1754.84
2026-01-01 00:00:00,1759.44,1760.44,1757.75
2026-01-01 04:00:00,1759.59,1759.61,1758.79
2026-01-01 08:00:00,1758.98,1760.09,1755.47
2026-01-01 12:00:00,1756.34,1759.82,1756.34
2026-01-01 16:00:00,1761.11,1763.49,1752.97
2026-01-01 20:00:00,1764.73,1764.73,1757.47
2026-01-02 00:00:00,1763.26,1764.72,1761.06
2026-01-02 04:00:00,1762.78,1764.09,1761.01
2026-01-02 08:00:00,1762.57,1763.96,1760.66
2026-01-02 12:00:00,1765.3,1768.08,1760.46
2026-01-02 16:00:00,1767.38,1769.67,1763.03
2026-01-02 20:00:00,1769.68,1770.46,1765.73
2026-01-03 00:00:00,1767.63,1770.26,1765.39
2026-01-03 04:00:00,1768.4,1769.91,1763.93
2026-01-03 08:00:00,1768.77,1770.26,1758.91
2026-01-03 12:00:00,1772.54,1772.82,1762.96
2026-01-03 16:00:00,1771.67,1772.9,1767.61
2026-01-03 20:00:00,1773.81,1776.17,1771.67
2026-01-04 00:00:00,1774.31,1774.31,1772.73
