,close,high,low
2025-12-17 16:00:00,17.03,17.44,17.03
2025-12-17 20:00:00,17.17,17.2,17.1
2025-12-18 00:00:00,17.13,17.19,17.11
2025-12-18 04:00:00,17.16,17.21,17.11
2025-12-18 08:00:00,17.19,17.21,17.12
2025-12-18 12:00:00,17.24,17.24,17.13
2025-12-18 16:00:00,17.27,17.36,17.2
2025-12-18 20:00:00,17.19,17.34,17.04
2025-12-19 00:00:00,17.3,17.32,17.19
2025-12-19 04:00:00,17.31,17.4,17.19
2025-12-19 08:00:00,17.29,17.36,17.21
2025-12-19 12:00:00,17.32,17.35,17.24
2025-12-19 16:00:00,17.25,17.35,17.15
2025-12-19 20:00:00,17.28,17.34,17.27
2025-12-20 00:00:00,17.32,17.35,17.26
2025-12-20 04:00:00,17.32,17.33,17.23
2025-12-20 08:00:00,17.27,17.32,17.24
2025-12-20 12:00:00,17.32,17.32,17.22
2025-12-20 16:00:00,17.31,17.33,17.21
2025-12-20 20:00:00,17.31,17.32,17.24
2025-12-21 00:00:00,17.3,17.33,17.25
2025-12-21 04:00:00,17.28,17.32,17.18
2025-12-21 08:00:00,17.31,17.31,17.2
2025-12-21 12:00:00,17.27,17.35,17.21
2025-12-21 16:00:00,17.23,17.34,17.21
2025-12-21 20:00:00,17.22,17.32,17.19
2025-12-22 00:00:00,17.24,17.29,17.2
2025-12-22 04:00:00,17.26,17.3,17.15
2025-12-22 08:00:00,17.24,17.29,17.19
2025-12-22 12:00:00,17.24,17.26,17.21
2025-12-22 16:00:00,17.24,17.34,17.2
2025-12-22 20:00:00,17.17,17.3,17.17
2025-12-23 00:00:00,17.3,17.3,17.2
2025-12-23 04:00:00,17.18,17.31,17.18
2025-12-23 08:00:00,17.24,17.28,17.16
2025-12-23 12:00:00,17.25,17.28,17.17
2025-12-23 16:00:00,17.18,17.25,17.14
2025-12-23 20:00:00,17.21,17.27,17.11
2025-12-24 00:00:00,17.24,17.28,17.15
2025-12-24 04:00:00,17.17,17.27,17.09
2025-12-24 08:00:00,17.18,17.24,17.12
2025-12-24 12:00:00,17.13,17.22,17.1
2025-12-24 16:00:00,17.17,17.24,17.08
2025-12-24 20:00:00,17.17,17.22,17.11
2025-12-25 00:00:00,17.21,17.24,17.12
2025-12-25 04:00:00,17.15,17.22,17.1
2025-12-25 08:00:00,17.2,17.21,17.09
2025-12-25 12:00:00,17.12,17.2,17.08
2025-12-25 16:00:00,17.15,17.22,17.09
2025-12-25 20:00:00,17.1,17.21,17.1
2025-12-26 00:00:00,17.19,17.22,17.09
2025-12-26 04:00:00,17.19,17.33,17.1
2025-12-26 08:00:00,17.15,17.26,17.1
2025-12-26 12:00:00,17.17,17.26,17.13
2025-12-26 16:00:00,17.21,17.26,17.07
2025-12-26 20:00:00,17.14,17.22,17.08
2025-12-27 00:00:00,17.16,17.2,17.09
2025-12-27 04:00:00,17.13,17.21,17.09
2025-12-27 08:00:00,17.21,17.22,17.08
2025-12-27 12:00:00,17.07,17.21,17.06
2025-12-27 16:00:00,17.02,17.16,17.02
2025-12-27 20:00:00,17.08,17.13,17.0
2025-12-28 00:00:00,17.06,17.19,16.99
2025-12-28 04:00:00,17.08,17.12,17.0
2025-12-28 08:00:00,17.09,17.11,17.03
2025-12-28 12:00:00,17.08,17.11,17.0
2025-12-28 16:00:00,17.01,17.11,16.99
2025-12-28 20:00:00,17.04,17.11,17.0
2025-12-29 00:00:00,17.09,17.12,16.97
2025-12-29 04:00:00,17.09,17.14,17.01
2025-12-29 08:00:00,17.09,17.12,17.0
