,close,high,low
2025-12-14 16:00:00,3083.17,3104.62,3073.73
2025-12-14 20:00:00,3088.99,3103.22,3079.17
2025-12-15 00:00:00,3065.47,3096.43,3046.89
2025-12-15 04:00:00,3113.06,3138.19,3059.8
2025-12-15 08:00:00,3125.23,3139.99,3105.77
2025-12-15 12:00:00,3155.49,3169.41,3127.14
2025-12-15 16:00:00,3000.49,3156.1,2993.31
2025-12-15 20:00:00,2943.93,3012.66,2910.89
2025-12-16 00:00:00,2962.34,2965.53,2923.58
2025-12-16 04:00:00,2932.47,2975.03,2930.34
2025-12-16 08:00:00,2923.84,2949.3,2890.18
2025-12-16 12:00:00,2954.33,2959.85,2924.47
2025-12-16 16:00:00,2965.43,2965.43,2900.2
2025-12-16 20:00:00,2947.01,2962.18,2923.11
2025-12-17 00:00:00,2961.39,2961.67,2940.84
2025-12-17 04:00:00,2948.15,2963.53,2940.68
2025-12-17 08:00:00,2946.42,2948.8,2915.48
2025-12-17 12:00:00,2931.73,2946.98,2911.96
2025-12-17 16:00:00,2905.52,3020.7,2894.62
2025-12-17 20:00:00,2818.23,2918.23,2796.8
2025-12-18 00:00:00,2827.68,2835.13,2806.3
2025-12-18 04:00:00,2830.79,2841.45,2822.14
2025-12-18 08:00:00,2833.72,2839.02,2824.07
2025-12-18 12:00:00,2855.45,2860.32,2832.11
2025-12-18 16:00:00,2967.38,2984.66,2854.11
2025-12-18 20:00:00,2786.38,2961.62,2785.54
2025-12-19 00:00:00,2826.8,2832.07,2782.84
2025-12-19 04:00:00,2921.55,2921.55,2810.15
2025-12-19 08:00:00,2950.69,2979.37,2905.42
2025-12-19 12:00:00,2965.14,2969.83,2942.97
2025-12-19 16:00:00,2966.01,2996.54,2948.46
2025-12-19 20:00:00,2984.46,2997.15,2944.16
2025-12-20 00:00:00,2977.78,2993.59,2973.19
2025-12-20 04:00:00,2987.63,2991.0,2972.77
2025-12-20 08:00:00,2981.87,2988.09,2975.26
2025-12-20 12:00:00,2986.19,2988.0,2974.12
2025-12-20 16:00:00,2976.33,2992.06,2970.39
2025-12-20 20:00:00,2976.84,2979.51,2973.3
2025-12-21 00:00:00,2975.74,2985.8,2974.13
2025-12-21 04:00:00,2971.75,2979.36,2962.43
2025-12-21 08:00:00,2979.55,2979.55,2972.63
2025-12-21 12:00:00,2995.65,3005.51,2977.79
2025-12-21 16:00:00,2977.79,3002.57,2947.7
2025-12-21 20:00:00,2991.72,2991.72,2969.32
2025-12-22 00:00:00,3004.07,3004.07,2970.48
2025-12-22 04:00:00,3019.05,3043.78,2994.16
2025-12-22 08:00:00,3027.76,3039.45,3020.4
2025-12-22 12:00:00,3050.13,3050.13,3027.14
2025-12-22 16:00:00,3052.88,3063.38,3031.61
2025-12-22 20:00:00,2977.74,3053.78,2977.74
2025-12-23 00:00:00,3007.1,3010.57,2967.96
2025-12-23 04:00:00,2993.64,3030.27,2981.6
2025-12-23 08:00:00,2966.04,2995.48,2949.76
2025-12-23 12:00:00,2970.79,2972.14,2955.31
2025-12-23 16:00:00,2923.99,2971.78,2909.74
2025-12-23 20:00:00,2939.26,2959.8,2917.46
2025-12-24 00:00:00,2963.51,2979.17,2941.57
2025-12-24 04:00:00,2945.15,2973.78,2925.97
2025-12-24 08:00:00,2935.75,2949.64,2924.76
2025-12-24 12:00:00,2928.48,2936.6,2918.35
2025-12-24 16:00:00,2919.95,2936.85,2892.54
2025-12-24 20:00:00,2943.57,2945.81,2921.56
2025-12-25 00:00:00,2947.77,2957.57,2940.75
2025-12-25 04:00:00,2944.64,2954.66,2938.36
2025-12-25 08:00:00,2940.22,2945.7,2937.19
2025-12-25 12:00:00,2922.03,2943.59,2913.37
2025-12-25 16:00:00,2964.2,2964.2,2920.86
2025-12-25 20:00:00,2954.24,2961.71,2944.03
2025-12-26 00:00:00,2903.53,2954.55,2895.33
2025-12-26 04:00:00,2963.49,2986.97,2895.9
2025-12-26 08:00:00,2956.47,2983.71,2952.77
2025-12-26 12:00:00,2964.32,2972.55,2955.43
2025-12-26 16:00:00,2916.05,2983.34,2897.66
2025-12-26 20:00:00,2922.94,2929.55,2908.77
2025-12-27 00:00:00,2927.2,2935.24,2921.52
2025-12-27 04:00:00,2932.93,2932.93,2922.4
2025-12-27 08:00:00,2933.55,2934.31,2925.23
2025-12-27 12:00:00,2930.78,2936.44,2921.2
2025-12-27 16:00:00,2926.88,2931.48,2926.51
2025-12-27 20:00:00,2927.51,2927.51,2917.98
2025-12-28 00:00:00,2948.81,2953.45,2927.67
2025-12-28 04:00:00,2943.08,2948.91,2941.06
2025-12-28 08:00:00,2935.58,2944.27,2930.89
2025-12-28 12:00:00,2940.75,2943.98,2932.23
2025-12-28 16:00:00,2948.75,2954.32,2936.43
2025-12-28 20:00:00,2931.49,2949.04,2929.12
2025-12-29 00:00:00,2949.54,2954.23,2928.41
2025-12-29 04:00:00,3038.13,3038.13,2943.92
2025-12-29 08:00:00,3014.78,3047.59,3011.6
2025-12-29 12:00:00,2961.39,3021.65,2957.11
2025-12-29 16:00:00,2930.73,2958.01,2910.43
2025-12-29 20:00:00,2931.5,2941.32,2915.25
2025-12-30 00:00:00,2935.52,2940.88,2923.8
2025-12-30 04:00:00,2947.97,2947.97,2922.22
2025-12-30 08:00:00,2948.91,2954.08,2934.3
2025-12-30 12:00:00,2971.44,2996.15,2949.33
2025-12-30 16:00:00,2987.58,2998.22,2964.0
