,close,high,low
2025-12-10 00:00:00,0.979997,0.993326,0.979997
2025-12-10 04:00:00,0.979014,0.980661,0.979014
2025-12-10 08:00:00,0.977906,0.978932,0.977906
2025-12-10 12:00:00,1.022,1.025,0.975425
2025-12-10 16:00:00,1.025,1.025,1.021
2025-12-10 20:00:00,1.029,1.029,1.021
2025-12-11 00:00:00,1.035,1.035,1.03
2025-12-11 04:00:00,1.037,1.037,1.034
2025-12-11 08:00:00,1.039,1.039,1.037
2025-12-11 12:00:00,1.073,1.085,1.039
2025-12-11 16:00:00,1.076,1.076,1.072
2025-12-11 20:00:00,1.074,1.076,1.074
2025-12-12 00:00:00,1.077,1.077,1.072
2025-12-12 04:00:00,1.081,1.082,1.077
2025-12-12 08:00:00,1.08,1.081,1.08
2025-12-12 12:00:00,1.085,1.085,1.081
2025-12-12 16:00:00,1.086,1.086,1.085
2025-12-12 20:00:00,1.086,1.086,1.086
2025-12-13 00:00:00,1.087,1.088,1.085
2025-12-13 04:00:00,1.087,1.087,1.086
2025-12-13 08:00:00,1.087,1.087,1.086
2025-12-13 12:00:00,1.086,1.088,1.086
2025-12-13 16:00:00,1.089,1.089,1.086
2025-12-13 20:00:00,1.087,1.089,1.087
2025-12-14 00:00:00,1.087,1.087,1.087
2025-12-14 04:00:00,1.087,1.087,1.086
2025-12-14 08:00:00,1.087,1.087,1.086
2025-12-14 12:00:00,1.088,1.088,1.086
2025-12-14 16:00:00,1.086,1.091,1.086
2025-12-14 20:00:00,1.086,1.086,1.085
2025-12-15 00:00:00,1.084,1.091,1.084
2025-12-15 04:00:00,1.084,1.084,1.084
2025-12-15 08:00:00,1.082,1.084,1.082
2025-12-15 12:00:00,1.085,1.086,1.081
2025-12-15 16:00:00,1.083,1.087,1.081
2025-12-15 20:00:00,1.079,1.083,1.079
2025-12-16 00:00:00,1.08,1.084,1.079
2025-12-16 04:00:00,1.08,1.081,1.08
2025-12-16 08:00:00,1.082,1.084,1.078
2025-12-16 12:00:00,1.08,1.082,1.078
2025-12-16 16:00:00,1.086,1.086,1.08
2025-12-16 20:00:00,1.084,1.085,1.082
2025-12-17 00:00:00,1.086,1.086,1.085
2025-12-17 04:00:00,1.087,1.088,1.086
2025-12-17 08:00:00,1.087,1.087,1.086
2025-12-17 12:00:00,1.087,1.088,1.087
2025-12-17 16:00:00,1.11,1.11,1.087
2025-12-17 20:00:00,1.12,1.12,1.11
2025-12-18 00:00:00,1.12,1.12,1.12
2025-12-18 04:00:00,1.13,1.13,1.12
2025-12-18 08:00:00,1.13,1.13,1.13
2025-12-18 12:00:00,1.13,1.13,1.13
2025-12-18 16:00:00,1.14,1.15,1.13
2025-12-18 20:00:00,1.14,1.14,1.14
2025-12-19 00:00:00,1.14,1.14,1.14
2025-12-19 04:00:00,1.15,1.15,1.14
2025-12-19 08:00:00,1.16,1.16,1.14
2025-12-19 12:00:00,1.2,1.2,1.16
2025-12-19 16:00:00,1.23,1.23,1.2
2025-12-19 20:00:00,1.23,1.24,1.23
2025-12-20 00:00:00,1.24,1.24,1.23
2025-12-20 04:00:00,1.25,1.25,1.24
2025-12-20 08:00:00,1.26,1.27,1.25
2025-12-20 12:00:00,1.21,1.26,1.21
2025-12-20 16:00:00,1.22,1.22,1.2
2025-12-20 20:00:00,1.23,1.23,1.22
2025-12-21 00:00:00,1.24,1.24,1.22
2025-12-21 04:00:00,1.25,1.26,1.24
2025-12-21 08:00:00,1.27,1.27,1.25
2025-12-21 12:00:00,1.27,1.27,1.27
2025-12-21 16:00:00,1.28,1.28,1.27
2025-12-21 20:00:00,1.28,1.28,1.27
2025-12-22 00:00:00,1.28,1.28,1.28
2025-12-22 04:00:00,1.28,1.28,1.28
2025-12-22 08:00:00,1.28,1.28,1.28
2025-12-22 12:00:00,1.28,1.28,1.28
2025-12-22 16:00:00,1.27,1.28,1.27
2025-12-22 20:00:00,1.27,1.27,1.27
2025-12-23 00:00:00,1.15,1.27,1.14
2025-12-23 04:00:00,1.15,1.15,1.15
2025-12-23 08:00:00,1.15,1.15,1.15
2025-12-23 12:00:00,1.15,1.16,1.15
2025-12-23 16:00:00,1.16,1.16,1.15
2025-12-23 20:00:00,1.17,1.17,1.16
2025-12-24 00:00:00,1.17,1.17,1.17
2025-12-24 04:00:00,1.17,1.17,1.17
2025-12-24 08:00:00,1.17,1.17,1.17
2025-12-24 12:00:00,1.17,1.17,1.17
2025-12-24 16:00:00,1.17,1.17,1.17
2025-12-24 20:00:00,1.17,1.17,1.17
2025-12-25 00:00:00,1.17,1.17,1.17
2025-12-25 04:00:00,1.17,1.17,1.17
2025-12-25 08:00:00,1.17,1.17,1.17
2025-12-25 12:00:00,1.17,1.18,1.17
2025-12-25 16:00:00,1.17,1.18,1.17
2025-12-25 20:00:00,1.17,1.17,1.16
2025-12-26 00:00:00,1.17,1.17,1.16
2025-12-26 04:00:00,1.17,1.17,1.16
2025-12-26 08:00:00,1.17,1.18,1.16
2025-12-26 12:00:00,1.17,1.18,1.17
2025-12-26 16:00:00,1.17,1.18,1.17
2025-12-26 20:00:00,1.17,1.18,1.17
2025-12-27 00:00:00,1.17,1.17,1.17
2025-12-27 04:00:00,1.17,1.18,1.17
2025-12-27 08:00:00,1.17,1.18,1.17
2025-12-27 12:00:00,1.17,1.17,1.17
2025-12-27 16:00:00,1.17,1.18,1.17
2025-12-27 20:00:00,1.17,1.17,1.17
2025-12-28 00:00:00,1.17,1.18,1.17
2025-12-28 04:00:00,1.17,1.17,1.17
2025-12-28 08:00:00,1.17,1.18,1.17
2025-12-28 12:00:00,1.17,1.17,1.17
2025-12-28 16:00:00,1.17,1.18,1.17
2025-12-28 20:00:00,1.17,1.18,1.16
2025-12-29 00:00:00,1.17,1.18,1.17
2025-12-29 04:00:00,1.18,1.18,1.16
2025-12-29 08:00:00,1.18,1.18,1.17
2025-12-29 12:00:00,1.18,1.19,1.17
2025-12-29 16:00:00,1.19,1.19,1.18
2025-12-29 20:00:00,1.22,1.23,1.19
2025-12-30 00:00:00,1.22,1.23,1.22
2025-12-30 04:00:00,1.23,1.23,1.22
2025-12-30 08:00:00,1.23,1.23,1.23
2025-12-30 12:00:00,1.23,1.24,1.23
2025-12-30 16:00:00,1.22,1.23,1.22
2025-12-30 20:00:00,1.21,1.22,1.2
2025-12-31 00:00:00,1.21,1.21,1.2
2025-12-31 04:00:00,1.21,1.21,1.21
2025-12-31 08:00:00,1.21,1.21,1.2
2025-12-31 12:00:00,1.19,1.21,1.19
2025-12-31 16:00:00,1.18,1.19,1.18
2025-12-31 20:00:00,1.18,1.19,1.18
2026-01-01 00:00:00,1.18,1.19,1.18
2026-01-01 04:00:00,1.19,1.19,1.18
2026-01-01 08:00:00,1.18,1.19,1.18
2026-01-01 12:00:00,1.21,1.21,1.18
2026-01-01 16:00:00,1.21,1.21,1.21
2026-01-01 20:00:00,1.21,1.21,1.21
2026-01-02 00:00:00,1.21,1.21,1.21
2026-01-02 04:00:00,1.21,1.21,1.21
2026-01-02 08:00:00,1.21,1.21,1.21
2026-01-02 12:00:00,1.21,1.22,1.21
2026-01-02 16:00:00,1.21,1.22,1.21
2026-01-02 20:00:00,1.21,1.22,1.21
2026-01-03 00:00:00,1.22,1.22,1.21
2026-01-03 04:00:00,1.21,1.22,1.21
2026-01-03 08:00:00,1.21,1.22,1.21
