,close,high,low
2025-12-04 16:00:00,5.73,5.74,5.65
2025-12-04 20:00:00,5.67,5.75,5.6
2025-12-05 00:00:00,5.69,5.69,5.63
2025-12-05 04:00:00,5.76,5.78,5.66
2025-12-05 08:00:00,5.83,5.83,5.68
2025-12-05 12:00:00,5.73,5.84,5.66
2025-12-05 16:00:00,5.71,5.74,5.63
2025-12-05 20:00:00,5.51,5.68,5.45
2025-12-06 00:00:00,5.52,5.53,5.48
2025-12-06 04:00:00,5.54,5.57,5.47
2025-12-06 08:00:00,5.55,5.56,5.5
2025-12-06 12:00:00,5.53,5.56,5.5
2025-12-06 16:00:00,5.59,5.59,5.51
2025-12-06 20:00:00,5.55,5.64,5.55
2025-12-07 00:00:00,5.59,5.59,5.54
2025-12-07 04:00:00,5.59,5.61,5.58
2025-12-07 08:00:00,5.54,5.6,5.53
2025-12-07 12:00:00,5.5,5.54,5.5
2025-12-07 16:00:00,5.44,5.52,5.37
2025-12-07 20:00:00,5.56,5.59,5.45
2025-12-08 00:00:00,5.45,5.57,5.41
2025-12-08 04:00:00,5.53,5.53,5.43
2025-12-08 08:00:00,5.56,5.58,5.52
2025-12-08 12:00:00,5.55,5.6,5.55
2025-12-08 16:00:00,5.54,5.59,5.54
2025-12-08 20:00:00,5.57,5.65,5.54
2025-12-09 00:00:00,5.57,5.64,5.55
2025-12-09 04:00:00,5.6,5.66,5.57
2025-12-09 08:00:00,5.53,5.61,5.5
2025-12-09 12:00:00,5.45,5.54,5.45
2025-12-09 16:00:00,5.65,5.65,5.42
2025-12-09 20:00:00,5.68,5.76,5.66
2025-12-10 00:00:00,5.65,5.68,5.6
2025-12-10 04:00:00,5.6,5.65,5.58
2025-12-10 08:00:00,5.57,5.61,5.56
2025-12-10 12:00:00,5.5,5.57,5.5
2025-12-10 16:00:00,5.54,5.55,5.5
2025-12-10 20:00:00,5.61,5.61,5.54
2025-12-11 00:00:00,5.46,5.67,5.46
2025-12-11 04:00:00,5.27,5.47,5.26
2025-12-11 08:00:00,5.33,5.34,5.26
2025-12-11 12:00:00,5.33,5.35,5.26
2025-12-11 16:00:00,5.33,5.36,5.31
2025-12-11 20:00:00,5.31,5.34,5.28
2025-12-12 00:00:00,5.38,5.43,5.31
2025-12-12 04:00:00,5.39,5.4,5.35
2025-12-12 08:00:00,5.43,5.44,5.38
2025-12-12 12:00:00,5.52,5.53,5.41
2025-12-12 16:00:00,5.42,5.6,5.42
2025-12-12 20:00:00,5.29,5.38,5.29
2025-12-13 00:00:00,5.36,5.38,5.29
2025-12-13 04:00:00,5.49,5.51,5.36
2025-12-13 08:00:00,5.48,5.48,5.43
2025-12-13 12:00:00,5.44,5.47,5.44
2025-12-13 16:00:00,5.42,5.46,5.41
2025-12-13 20:00:00,5.43,5.44,5.42
2025-12-14 00:00:00,5.45,5.45,5.4
2025-12-14 04:00:00,5.4,5.44,5.4
2025-12-14 08:00:00,5.36,5.41,5.36
2025-12-14 12:00:00,5.33,5.4,5.32
2025-12-14 16:00:00,5.29,5.35,5.29
2025-12-14 20:00:00,5.29,5.31,5.27
2025-12-15 00:00:00,5.22,5.29,5.21
2025-12-15 04:00:00,5.25,5.32,5.21
2025-12-15 08:00:00,5.24,5.29,5.24
2025-12-15 12:00:00,5.22,5.26,5.22
2025-12-15 16:00:00,5.07,5.25,5.07
2025-12-15 20:00:00,4.98,5.08,4.91
2025-12-16 00:00:00,5.04,5.04,4.94
2025-12-16 04:00:00,4.99,5.04,4.96
