,close,high,low
2025-12-14 16:00:00,1.47,1.55,1.43
2025-12-14 20:00:00,2.0,2.04,1.39
2025-12-15 00:00:00,1.98,2.06,1.75
2025-12-15 04:00:00,2.14,2.5,2.05
2025-12-15 08:00:00,2.81,2.91,2.09
2025-12-15 12:00:00,2.77,2.9,2.71
2025-12-15 16:00:00,2.84,2.86,2.39
2025-12-15 20:00:00,3.16,3.26,2.73
2025-12-16 00:00:00,3.13,3.36,2.99
2025-12-16 04:00:00,2.84,3.16,2.6
2025-12-16 08:00:00,3.02,3.02,2.75
2025-12-16 12:00:00,2.27,3.06,2.27
2025-12-16 16:00:00,1.69,2.28,1.65
2025-12-16 20:00:00,1.74,1.8,1.67
2025-12-17 00:00:00,1.88,1.91,1.71
2025-12-17 04:00:00,2.34,2.46,1.94
2025-12-17 08:00:00,2.16,2.38,1.83
2025-12-17 12:00:00,2.24,2.39,2.04
2025-12-17 16:00:00,1.99,2.35,1.99
2025-12-17 20:00:00,2.23,2.25,1.95
2025-12-18 00:00:00,2.2,2.28,2.09
2025-12-18 04:00:00,2.46,2.47,2.21
2025-12-18 08:00:00,2.73,2.82,2.42
2025-12-18 12:00:00,2.75,2.89,2.68
2025-12-18 16:00:00,3.01,3.01,2.69
2025-12-18 20:00:00,2.78,3.1,2.53
2025-12-19 00:00:00,2.53,2.79,2.34
2025-12-19 04:00:00,2.58,2.72,2.42
2025-12-19 08:00:00,2.53,2.68,2.53
2025-12-19 12:00:00,1.97,2.54,1.92
2025-12-19 16:00:00,1.8,1.99,1.71
2025-12-19 20:00:00,1.98,2.04,1.83
2025-12-20 00:00:00,2.06,2.22,1.98
2025-12-20 04:00:00,2.01,2.1,1.97
2025-12-20 08:00:00,2.08,2.16,2.01
2025-12-20 12:00:00,2.25,2.27,2.05
2025-12-20 16:00:00,2.18,2.31,2.17
2025-12-20 20:00:00,2.35,2.35,2.18
2025-12-21 00:00:00,2.37,2.58,2.33
2025-12-21 04:00:00,2.57,2.57,2.34
2025-12-21 08:00:00,2.77,2.79,2.55
2025-12-21 12:00:00,2.92,3.0,2.68
2025-12-21 16:00:00,2.89,3.05,2.71
