,close,high,low
2025-12-09 04:00:00,0.00632013,0.00638224,0.00632013
2025-12-09 08:00:00,0.00631552,0.00633724,0.00628094
2025-12-09 12:00:00,0.0063484,0.0063484,0.0063073
2025-12-09 16:00:00,0.00636066,0.00636066,0.00627984
2025-12-09 20:00:00,0.00643163,0.00643228,0.00635771
2025-12-10 00:00:00,0.00637853,0.0064265,0.00637725
2025-12-10 04:00:00,0.00645723,0.00646124,0.00635964
2025-12-10 08:00:00,0.00637793,0.0064744,0.00637793
2025-12-10 12:00:00,0.00640379,0.00663463,0.00634441
2025-12-10 16:00:00,0.00639532,0.00641985,0.00639142
2025-12-10 20:00:00,0.00641638,0.00642557,0.00638396
2025-12-11 00:00:00,0.00641451,0.00643335,0.00640692
2025-12-11 04:00:00,0.00638987,0.0064446,0.00638674
2025-12-11 08:00:00,0.00632859,0.00639193,0.00630318
2025-12-11 12:00:00,0.00632592,0.006356,0.00631671
2025-12-11 16:00:00,0.00623321,0.00632625,0.00621813
2025-12-11 20:00:00,0.00623363,0.00625193,0.00618571
2025-12-12 00:00:00,0.00633505,0.00636746,0.00623366
2025-12-12 04:00:00,0.00628474,0.00634247,0.0062832
2025-12-12 08:00:00,0.00627488,0.00645537,0.00625088
2025-12-12 12:00:00,0.00624576,0.0063529,0.00621404
2025-12-12 16:00:00,0.00622814,0.00628026,0.0062151
2025-12-12 20:00:00,0.00621247,0.00624224,0.00619084
2025-12-13 00:00:00,0.00613917,0.00622012,0.00613676
2025-12-13 04:00:00,0.00617336,0.00617675,0.0061375
2025-12-13 08:00:00,0.00626533,0.00637612,0.00615545
2025-12-13 12:00:00,0.00621011,0.00651097,0.00621011
2025-12-13 16:00:00,0.00621294,0.00634574,0.00619459
2025-12-13 20:00:00,0.0062254,0.00623041,0.00620362
2025-12-14 00:00:00,0.00631299,0.00647029,0.0062137
2025-12-14 04:00:00,0.00632749,0.00636423,0.00628541
2025-12-14 08:00:00,0.00632541,0.00634684,0.00630597
2025-12-14 12:00:00,0.0062637,0.00632309,0.00625616
2025-12-14 16:00:00,0.00626682,0.00639373,0.00623997
2025-12-14 20:00:00,0.00632623,0.00652547,0.00626494
2025-12-15 00:00:00,0.00726494,0.00741925,0.00633942
