,close,high,low
2025-12-04 04:00:00,0.27081,0.272242,0.267991
2025-12-04 08:00:00,0.272572,0.275027,0.266625
2025-12-04 12:00:00,0.269866,0.27201,0.26943
2025-12-04 16:00:00,0.265018,0.271441,0.264097
2025-12-04 20:00:00,0.263707,0.268381,0.260837
2025-12-05 00:00:00,0.274896,0.279567,0.262688
2025-12-05 04:00:00,0.292727,0.30023,0.275872
2025-12-05 08:00:00,0.276742,0.293224,0.276742
2025-12-05 12:00:00,0.253399,0.273315,0.250943
2025-12-05 16:00:00,0.25306,0.255362,0.250468
2025-12-05 20:00:00,0.247747,0.251897,0.244423
2025-12-06 00:00:00,0.245042,0.247533,0.242441
2025-12-06 04:00:00,0.256811,0.256811,0.240778
2025-12-06 08:00:00,0.253709,0.262383,0.252766
2025-12-06 12:00:00,0.264152,0.266069,0.253211
2025-12-06 16:00:00,0.252626,0.264254,0.250975
2025-12-06 20:00:00,0.250106,0.255099,0.249421
2025-12-07 00:00:00,0.247666,0.250953,0.246807
2025-12-07 04:00:00,0.248529,0.249679,0.247297
2025-12-07 08:00:00,0.248745,0.251693,0.248196
2025-12-07 12:00:00,0.247081,0.249248,0.24427
2025-12-07 16:00:00,0.247595,0.248168,0.243555
2025-12-07 20:00:00,0.259829,0.264169,0.246963
2025-12-08 00:00:00,0.252535,0.259248,0.24931
2025-12-08 04:00:00,0.255353,0.255461,0.25017
2025-12-08 08:00:00,0.257338,0.262299,0.25528
2025-12-08 12:00:00,0.26393,0.266207,0.256792
2025-12-08 16:00:00,0.253084,0.263358,0.251972
2025-12-08 20:00:00,0.254617,0.255067,0.252676
2025-12-09 00:00:00,0.255838,0.259265,0.254524
2025-12-09 04:00:00,0.253158,0.256084,0.25166
2025-12-09 08:00:00,0.261185,0.261646,0.252313
2025-12-09 12:00:00,0.259806,0.266789,0.259122
2025-12-09 16:00:00,0.269296,0.269296,0.258688
2025-12-09 20:00:00,0.272879,0.275612,0.269103
2025-12-10 00:00:00,0.268061,0.272879,0.268055
2025-12-10 04:00:00,0.264907,0.268232,0.263495
2025-12-10 08:00:00,0.265973,0.268176,0.264228
2025-12-10 12:00:00,0.262044,0.269026,0.259798
2025-12-10 16:00:00,0.2737,0.274918,0.260348
2025-12-10 20:00:00,0.271882,0.273611,0.268826
2025-12-11 00:00:00,0.255674,0.27276,0.255641
2025-12-11 04:00:00,0.243188,0.255925,0.242057
2025-12-11 08:00:00,0.257796,0.25912,0.242552
2025-12-11 12:00:00,0.259989,0.261906,0.250753
2025-12-11 16:00:00,0.265139,0.26649,0.259568
2025-12-11 20:00:00,0.273074,0.273954,0.266325
2025-12-12 00:00:00,0.279638,0.286365,0.273508
2025-12-12 04:00:00,0.29136,0.292503,0.274428
2025-12-12 08:00:00,0.279979,0.292583,0.276886
2025-12-12 12:00:00,0.280362,0.284947,0.27833
2025-12-12 16:00:00,0.277436,0.281335,0.275558
2025-12-12 20:00:00,0.275049,0.277635,0.272042
2025-12-13 00:00:00,0.279523,0.280947,0.274742
2025-12-13 04:00:00,0.283512,0.286687,0.27768
2025-12-13 08:00:00,0.282173,0.286628,0.282173
2025-12-13 12:00:00,0.279823,0.282984,0.278857
2025-12-13 16:00:00,0.280013,0.281123,0.278898
2025-12-13 20:00:00,0.281015,0.281015,0.276943
2025-12-14 00:00:00,0.278389,0.280758,0.27665
2025-12-14 04:00:00,0.275006,0.281452,0.275006
2025-12-14 08:00:00,0.265477,0.275262,0.264653
2025-12-14 12:00:00,0.265604,0.267604,0.264147
2025-12-14 16:00:00,0.259473,0.271163,0.25924
2025-12-14 20:00:00,0.255165,0.262385,0.254468
2025-12-15 00:00:00,0.248685,0.254834,0.247492
2025-12-15 04:00:00,0.252278,0.254157,0.247456
