,close,high,low
2025-12-04 12:00:00,0.946478,0.961919,0.94572
2025-12-04 16:00:00,0.943719,0.948978,0.934784
2025-12-04 20:00:00,0.922555,0.942069,0.911483
2025-12-05 00:00:00,0.924947,0.925222,0.913007
2025-12-05 04:00:00,0.943477,0.962545,0.920269
2025-12-05 08:00:00,0.929712,0.942375,0.926402
2025-12-05 12:00:00,0.912838,0.929327,0.904647
2025-12-05 16:00:00,0.906857,0.913752,0.891913
2025-12-05 20:00:00,0.869874,0.900935,0.864366
2025-12-06 00:00:00,0.888695,0.889146,0.866475
2025-12-06 04:00:00,0.869901,0.888105,0.866034
2025-12-06 08:00:00,0.869053,0.874301,0.865144
2025-12-06 12:00:00,0.861937,0.871043,0.858296
2025-12-06 16:00:00,0.881713,0.882254,0.8598
2025-12-06 20:00:00,0.883001,0.896143,0.879847
2025-12-07 00:00:00,0.877218,0.889625,0.873544
2025-12-07 04:00:00,0.870236,0.882484,0.861971
2025-12-07 08:00:00,0.862142,0.870235,0.858958
2025-12-07 12:00:00,0.853708,0.859572,0.851158
2025-12-07 16:00:00,0.847862,0.860493,0.841405
2025-12-07 20:00:00,0.866743,0.875502,0.848067
2025-12-08 00:00:00,0.841797,0.866434,0.833819
2025-12-08 04:00:00,0.848344,0.851878,0.838322
2025-12-08 08:00:00,0.852576,0.856304,0.847359
2025-12-08 12:00:00,0.849978,0.861044,0.849668
2025-12-08 16:00:00,0.839354,0.849805,0.837216
2025-12-08 20:00:00,0.838245,0.843542,0.832584
2025-12-09 00:00:00,0.837481,0.839689,0.832604
2025-12-09 04:00:00,0.840586,0.845338,0.833842
2025-12-09 08:00:00,0.823882,0.843725,0.819775
2025-12-09 12:00:00,0.808031,0.823892,0.805987
2025-12-09 16:00:00,0.833405,0.833405,0.807218
2025-12-09 20:00:00,0.841223,0.865316,0.835015
2025-12-10 00:00:00,0.829762,0.841491,0.820577
2025-12-10 04:00:00,0.815571,0.831685,0.811155
2025-12-10 08:00:00,0.819734,0.841821,0.814036
2025-12-10 12:00:00,0.805931,0.817798,0.803844
2025-12-10 16:00:00,0.805838,0.816402,0.805204
2025-12-10 20:00:00,0.830995,0.831512,0.805095
2025-12-11 00:00:00,0.814118,0.84802,0.807971
2025-12-11 04:00:00,0.76545,0.81402,0.76545
2025-12-11 08:00:00,0.76129,0.769611,0.756987
2025-12-11 12:00:00,0.746612,0.761052,0.744319
2025-12-11 16:00:00,0.73036,0.747054,0.73036
2025-12-11 20:00:00,0.734625,0.737766,0.726463
2025-12-12 00:00:00,0.740214,0.755636,0.73219
2025-12-12 04:00:00,0.720552,0.741873,0.717489
2025-12-12 08:00:00,0.724805,0.726146,0.721207
2025-12-12 12:00:00,0.737296,0.746583,0.716721
2025-12-12 16:00:00,0.715389,0.746126,0.715389
2025-12-12 20:00:00,0.710701,0.716716,0.703239
2025-12-13 00:00:00,0.724085,0.724085,0.7098
2025-12-13 04:00:00,0.725208,0.726531,0.715889
2025-12-13 08:00:00,0.728157,0.729842,0.721902
2025-12-13 12:00:00,0.724254,0.728112,0.718672
2025-12-13 16:00:00,0.72041,0.72891,0.718177
