,close,high,low
2025-12-04 04:00:00,0.999297,0.999373,0.999224
2025-12-04 08:00:00,0.99934,0.999416,0.999188
2025-12-04 12:00:00,0.999277,0.999406,0.99923
2025-12-04 16:00:00,0.999416,0.999541,0.999079
2025-12-04 20:00:00,0.999408,0.999574,0.9993
2025-12-05 00:00:00,0.999417,0.99945,0.999279
2025-12-05 04:00:00,0.999234,0.99952,0.999234
2025-12-05 08:00:00,0.999322,0.999501,0.999291
2025-12-05 12:00:00,0.999426,0.9996,0.999274
2025-12-05 16:00:00,0.999371,0.999461,0.999262
2025-12-05 20:00:00,0.999413,0.999677,0.999309
2025-12-06 00:00:00,0.999395,0.999421,0.999279
2025-12-06 04:00:00,0.999375,0.999425,0.999282
2025-12-06 08:00:00,0.999333,0.999472,0.999186
2025-12-06 12:00:00,0.999454,0.999511,0.999324
2025-12-06 16:00:00,0.999412,0.999478,0.999298
2025-12-06 20:00:00,0.99939,0.999517,0.999324
2025-12-07 00:00:00,0.99935,0.999528,0.999293
2025-12-07 04:00:00,0.999414,0.999453,0.99931
2025-12-07 08:00:00,0.999368,0.999479,0.999274
2025-12-07 12:00:00,0.999456,0.999456,0.999252
2025-12-07 16:00:00,0.99942,0.999459,0.99928
2025-12-07 20:00:00,0.999341,0.999453,0.999221
2025-12-08 00:00:00,0.999455,0.999463,0.999253
2025-12-08 04:00:00,0.999336,0.999435,0.999271
2025-12-08 08:00:00,0.999293,0.99935,0.999176
2025-12-08 12:00:00,0.999109,0.999319,0.998994
2025-12-08 16:00:00,0.999281,0.999298,0.999004
2025-12-08 20:00:00,0.999306,0.999357,0.999166
2025-12-09 00:00:00,0.999227,0.999322,0.999104
2025-12-09 04:00:00,0.999215,0.999324,0.999114
2025-12-09 08:00:00,0.99906,0.999224,0.998935
2025-12-09 12:00:00,0.999067,0.999273,0.998942
2025-12-09 16:00:00,0.99911,0.999111,0.998951
2025-12-09 20:00:00,0.999219,0.999251,0.99898
2025-12-10 00:00:00,0.99936,0.99936,0.999092
2025-12-10 04:00:00,0.99911,0.99936,0.999108
2025-12-10 08:00:00,0.999104,0.999121,0.998974
2025-12-10 12:00:00,0.99918,0.99918,0.998981
2025-12-10 16:00:00,0.999193,0.999307,0.999131
2025-12-10 20:00:00,0.999343,0.999343,0.999159
2025-12-11 00:00:00,0.99944,0.999526,0.999228
2025-12-11 04:00:00,0.999219,0.999359,0.999219
2025-12-11 08:00:00,0.999157,0.999325,0.999122
2025-12-11 12:00:00,0.999557,0.999673,0.999152
2025-12-11 16:00:00,0.999522,0.999569,0.999286
2025-12-11 20:00:00,0.999447,0.999556,0.999283
2025-12-12 00:00:00,0.999521,0.999553,0.999236
2025-12-12 04:00:00,0.999466,0.999591,0.999397
2025-12-12 08:00:00,0.999236,0.999493,0.999226
2025-12-12 12:00:00,0.999448,0.999448,0.999118
2025-12-12 16:00:00,0.999193,0.99944,0.999119
2025-12-12 20:00:00,0.999331,0.99944,0.999148
2025-12-13 00:00:00,0.999302,0.999394,0.999222
2025-12-13 04:00:00,0.999139,0.99932,0.99913
2025-12-13 08:00:00,0.999242,0.999271,0.999136
2025-12-13 12:00:00,0.999245,0.999287,0.999132
2025-12-13 16:00:00,0.999293,0.999388,0.999151
2025-12-13 20:00:00,0.999417,0.999443,0.999268
2025-12-14 00:00:00,0.999407,0.999471,0.999233
2025-12-14 04:00:00,0.999442,0.999554,0.999334
2025-12-14 08:00:00,0.999398,0.999545,0.999368
2025-12-14 12:00:00,0.999494,0.999519,0.999383
2025-12-14 16:00:00,0.999477,0.999524,0.999358
2025-12-14 20:00:00,0.999557,0.999573,0.999394
2025-12-15 00:00:00,0.999485,0.999597,0.999363
2025-12-15 04:00:00,0.999418,0.999503,0.999342
2025-12-15 08:00:00,0.99934,0.999471,0.999264
2025-12-15 12:00:00,0.999403,0.999422,0.999311
2025-12-15 16:00:00,0.999411,0.999478,0.999289
2025-12-15 20:00:00,0.999265,0.999426,0.999188
2025-12-16 00:00:00,0.999311,0.999334,0.999082
2025-12-16 04:00:00,0.999294,0.999339,0.999168
2025-12-16 08:00:00,0.999251,0.999361,0.999119
2025-12-16 12:00:00,0.999172,0.999433,0.999164
2025-12-16 16:00:00,0.999268,0.999367,0.999109
2025-12-16 20:00:00,0.999201,0.999292,0.999029
2025-12-17 00:00:00,0.999246,0.99928,0.999048
2025-12-17 04:00:00,0.999195,0.999258,0.999133
2025-12-17 08:00:00,0.999049,0.999217,0.998994
2025-12-17 12:00:00,0.999081,0.999208,0.998979
2025-12-17 16:00:00,0.999123,0.999182,0.998914
2025-12-17 20:00:00,0.999046,0.999107,0.998848
2025-12-18 00:00:00,0.998955,0.999077,0.998858
2025-12-18 04:00:00,0.998876,0.999076,0.998833
2025-12-18 08:00:00,0.99874,0.998949,0.99874
2025-12-18 12:00:00,0.998805,0.99889,0.998741
2025-12-18 16:00:00,0.998798,0.999014,0.998693
2025-12-18 20:00:00,0.998958,0.99903,0.998738
2025-12-19 00:00:00,0.998781,0.998978,0.99871
2025-12-19 04:00:00,0.998643,0.999011,0.998598
2025-12-19 08:00:00,0.998669,0.998837,0.998556
2025-12-19 12:00:00,0.998863,0.998871,0.998554
2025-12-19 16:00:00,0.998829,0.998971,0.998701
2025-12-19 20:00:00,0.998758,0.998968,0.998711
2025-12-20 00:00:00,0.998826,0.998879,0.998734
2025-12-20 04:00:00,0.998891,0.998942,0.998786
2025-12-20 08:00:00,0.998811,0.998929,0.998789
2025-12-20 12:00:00,0.998894,0.998941,0.998788
2025-12-20 16:00:00,0.998874,0.999012,0.99879
2025-12-20 20:00:00,0.999068,0.999098,0.998866
2025-12-21 00:00:00,0.99912,0.999156,0.998985
2025-12-21 04:00:00,0.999031,0.999169,0.99903
2025-12-21 08:00:00,0.999011,0.999158,0.998907
2025-12-21 12:00:00,0.999212,0.999212,0.999087
2025-12-21 16:00:00,0.999029,0.999258,0.998984
2025-12-21 20:00:00,0.999186,0.999201,0.998937
2025-12-22 00:00:00,0.999206,0.999234,0.999079
2025-12-22 04:00:00,0.999042,0.999219,0.999034
2025-12-22 08:00:00,0.998878,0.999069,0.998779
2025-12-22 12:00:00,0.999006,0.999118,0.998677
2025-12-22 16:00:00,0.999074,0.999139,0.998969
2025-12-22 20:00:00,0.999058,0.999088,0.998905
2025-12-23 00:00:00,0.998864,0.999067,0.998729
2025-12-23 04:00:00,0.998804,0.998889,0.998767
2025-12-23 08:00:00,0.998714,0.998831,0.998502
2025-12-23 12:00:00,0.998885,0.998885,0.998565
2025-12-23 16:00:00,0.998843,1.0,0.998746
2025-12-23 20:00:00,0.998925,0.998984,0.998796
2025-12-24 00:00:00,0.998752,0.998927,0.998648
2025-12-24 04:00:00,0.999099,0.9992,0.998696
2025-12-24 08:00:00,0.998898,0.999199,0.998898
2025-12-24 12:00:00,0.999097,0.999198,0.9988
2025-12-24 16:00:00,0.998998,0.999198,0.998897
2025-12-24 20:00:00,0.999196,0.999198,0.998997
