,close,high,low
2025-12-21 16:00:00,577.62,584.84,576.65
2025-12-21 20:00:00,582.87,582.87,576.68
2025-12-22 00:00:00,585.89,587.95,579.68
2025-12-22 04:00:00,577.24,598.1,577.03
2025-12-22 08:00:00,581.02,581.75,576.93
2025-12-22 12:00:00,593.38,593.4,576.3
2025-12-22 16:00:00,591.69,594.97,587.55
2025-12-22 20:00:00,589.1,595.03,589.1
2025-12-23 00:00:00,590.96,592.05,584.82
2025-12-23 04:00:00,596.8,597.22,589.53
2025-12-23 08:00:00,577.87,597.79,577.05
2025-12-23 12:00:00,590.36,590.36,575.09
2025-12-23 16:00:00,572.73,581.74,570.88
2025-12-23 20:00:00,571.08,577.97,571.08
2025-12-24 00:00:00,565.86,575.98,565.86
2025-12-24 04:00:00,575.35,575.91,565.58
2025-12-24 08:00:00,576.0,576.58,571.88
2025-12-24 12:00:00,575.28,575.98,573.69
2025-12-24 16:00:00,566.84,581.7,566.18
2025-12-24 20:00:00,565.92,569.78,564.88
2025-12-25 00:00:00,563.42,567.47,563.33
2025-12-25 04:00:00,571.45,572.2,562.46
2025-12-25 08:00:00,574.28,574.28,569.89
2025-12-25 12:00:00,582.26,589.71,574.47
2025-12-25 16:00:00,596.57,596.57,582.11
2025-12-25 20:00:00,598.16,598.64,594.84
2025-12-26 00:00:00,584.09,601.92,583.53
2025-12-26 04:00:00,610.67,610.75,584.17
2025-12-26 08:00:00,599.61,611.3,599.61
2025-12-26 12:00:00,605.12,605.27,599.19
2025-12-26 16:00:00,598.81,607.52,598.26
2025-12-26 20:00:00,594.29,601.49,593.2
2025-12-27 00:00:00,593.12,601.13,591.78
2025-12-27 04:00:00,598.54,598.54,593.27
2025-12-27 08:00:00,606.47,607.73,596.99
2025-12-27 12:00:00,612.75,617.4,601.87
2025-12-27 16:00:00,621.63,621.63,606.01
2025-12-27 20:00:00,620.36,621.9,608.13
2025-12-28 00:00:00,622.73,624.09,615.53
2025-12-28 04:00:00,615.41,622.77,611.48
2025-12-28 08:00:00,625.87,625.96,612.31
2025-12-28 12:00:00,625.28,626.49,615.12
2025-12-28 16:00:00,623.96,635.82,620.04
2025-12-28 20:00:00,626.87,632.61,616.65
2025-12-29 00:00:00,624.87,626.9,615.27
2025-12-29 04:00:00,611.43,626.61,611.43
2025-12-29 08:00:00,609.93,612.2,609.55
2025-12-29 12:00:00,600.9,613.87,600.9
2025-12-29 16:00:00,599.79,601.23,598.79
2025-12-29 20:00:00,602.47,602.67,592.52
2025-12-30 00:00:00,594.84,606.17,594.84
2025-12-30 04:00:00,593.6,595.13,592.65
2025-12-30 08:00:00,595.77,606.4,593.46
2025-12-30 12:00:00,594.18,603.11,594.1
2025-12-30 16:00:00,598.62,599.94,594.58
2025-12-30 20:00:00,593.55,599.38,592.71
2025-12-31 00:00:00,592.57,598.6,592.25
2025-12-31 04:00:00,591.52,593.55,590.71
2025-12-31 08:00:00,599.74,600.66,591.52
2025-12-31 12:00:00,596.69,600.13,594.95
2025-12-31 16:00:00,591.15,597.81,589.28
2025-12-31 20:00:00,596.35,600.26,587.65
2026-01-01 00:00:00,601.07,602.05,592.8
2026-01-01 04:00:00,597.69,606.37,597.69
2026-01-01 08:00:00,595.43,604.48,592.79
2026-01-01 12:00:00,591.84,595.88,591.78
2026-01-01 16:00:00,593.86,594.84,586.78
2026-01-01 20:00:00,585.41,594.0,584.88
2026-01-02 00:00:00,588.26,593.46,585.09
2026-01-02 04:00:00,586.67,591.44,585.82
2026-01-02 08:00:00,589.65,595.0,585.71
2026-01-02 12:00:00,596.44,598.32,589.68
2026-01-02 16:00:00,596.03,598.5,589.33
2026-01-02 20:00:00,614.94,615.95,592.21
2026-01-03 00:00:00,602.62,617.08,602.62
2026-01-03 04:00:00,638.94,639.09,602.75
2026-01-03 08:00:00,633.23,637.45,619.64
2026-01-03 12:00:00,637.76,638.48,625.25
2026-01-03 16:00:00,639.04,644.06,632.54
2026-01-03 20:00:00,637.73,641.37,633.37
2026-01-04 00:00:00,652.75,656.95,637.11
2026-01-04 04:00:00,647.32,658.92,642.62
2026-01-04 08:00:00,641.1,652.09,640.53
2026-01-04 12:00:00,644.47,651.01,640.43
2026-01-04 16:00:00,637.31,648.36,635.39
2026-01-04 20:00:00,640.25,645.59,637.72
2026-01-05 00:00:00,639.67,643.87,638.75
2026-01-05 04:00:00,650.74,655.85,639.69
2026-01-05 08:00:00,659.88,663.67,651.02
2026-01-05 12:00:00,654.81,667.48,653.17
2026-01-05 16:00:00,651.37,655.07,647.08
2026-01-05 20:00:00,649.93,651.88,645.28
2026-01-06 00:00:00,646.43,651.94,645.08
2026-01-06 04:00:00,646.44,652.86,642.42
2026-01-06 08:00:00,646.17,647.69,642.32
2026-01-06 12:00:00,641.8,644.2,638.54
2026-01-06 16:00:00,632.01,643.06,631.48
2026-01-06 20:00:00,631.96,634.38,626.49
2026-01-07 00:00:00,639.87,641.06,630.83
2026-01-07 04:00:00,634.43,637.17,630.81
2026-01-07 08:00:00,632.27,635.28,629.25
2026-01-07 12:00:00,629.79,633.87,627.24
2026-01-07 16:00:00,627.72,632.14,627.64
2026-01-07 20:00:00,628.03,630.42,624.28
2026-01-08 00:00:00,628.99,630.71,625.27
2026-01-08 04:00:00,640.49,645.72,627.49
2026-01-08 08:00:00,634.24,644.24,630.38
2026-01-08 12:00:00,630.26,638.38,627.49
2026-01-08 16:00:00,633.56,634.68,620.77
2026-01-08 20:00:00,631.11,638.77,630.62
2026-01-09 00:00:00,631.36,634.99,627.57
2026-01-09 04:00:00,638.68,640.16,629.62
2026-01-09 08:00:00,634.13,640.55,633.48
2026-01-09 12:00:00,629.75,632.84,625.22
2026-01-09 16:00:00,635.77,635.77,627.6
2026-01-09 20:00:00,631.48,637.56,630.04
2026-01-10 00:00:00,633.4,635.77,627.64
2026-01-10 04:00:00,632.85,637.43,631.02
2026-01-10 08:00:00,637.91,638.04,632.76
2026-01-10 12:00:00,635.74,639.98,633.58
2026-01-10 16:00:00,638.47,639.52,635.2
2026-01-10 20:00:00,643.73,644.91,637.48
2026-01-11 00:00:00,643.17,648.92,640.41
2026-01-11 04:00:00,646.17,648.73,638.89
2026-01-11 08:00:00,651.61,661.75,644.86
2026-01-11 12:00:00,651.67,657.68,648.38
2026-01-11 16:00:00,653.78,655.27,647.72
2026-01-11 20:00:00,652.85,657.83,651.22
2026-01-12 00:00:00,649.75,655.21,644.12
2026-01-12 04:00:00,649.02,654.49,645.31
2026-01-12 08:00:00,622.2,650.09,622.2
2026-01-12 12:00:00,627.01,627.12,620.31
2026-01-12 16:00:00,616.66,626.72,616.53
2026-01-12 20:00:00,621.1,621.61,615.87
2026-01-13 00:00:00,620.33,622.2,616.61
2026-01-13 04:00:00,617.17,624.34,617.17
2026-01-13 08:00:00,610.55,617.7,606.61
2026-01-13 12:00:00,608.19,613.29,608.19
2026-01-13 16:00:00,608.15,612.1,606.63
2026-01-13 20:00:00,613.13,617.37,609.32
2026-01-14 00:00:00,614.41,622.32,611.69
2026-01-14 04:00:00,620.08,620.08,610.92
2026-01-14 08:00:00,614.67,619.91,611.55
2026-01-14 12:00:00,600.23,615.46,600.09
2026-01-14 16:00:00,605.36,607.39,597.79
2026-01-14 20:00:00,605.19,611.82,602.01
2026-01-15 00:00:00,599.74,606.0,596.81
2026-01-15 04:00:00,598.52,601.84,588.45
2026-01-15 08:00:00,612.11,620.71,598.47
2026-01-15 12:00:00,624.1,627.58,610.89
2026-01-15 16:00:00,599.75,624.09,598.37
2026-01-15 20:00:00,582.35,599.52,578.96
2026-01-16 00:00:00,586.82,588.63,579.5
2026-01-16 04:00:00,593.12,595.46,587.79
2026-01-16 08:00:00,600.68,601.16,591.32
2026-01-16 12:00:00,601.98,602.04,597.6
2026-01-16 16:00:00,598.61,601.7,596.39
2026-01-16 20:00:00,600.49,605.52,598.87
2026-01-17 00:00:00,601.99,603.1,598.37
2026-01-17 04:00:00,598.51,602.12,597.65
2026-01-17 08:00:00,594.55,598.63,589.39
2026-01-17 12:00:00,594.37,597.91,591.74
2026-01-17 16:00:00,598.27,600.38,593.96
2026-01-17 20:00:00,594.64,599.53,591.63
2026-01-18 00:00:00,594.01,595.79,592.14
2026-01-18 04:00:00,592.48,595.76,590.03
2026-01-18 08:00:00,592.58,596.26,591.89
2026-01-18 12:00:00,591.46,596.5,591.46
2026-01-18 16:00:00,593.69,594.03,588.27
2026-01-18 20:00:00,592.94,593.9,589.21
2026-01-19 00:00:00,592.66,598.82,590.42
2026-01-19 04:00:00,590.13,590.96,573.63
2026-01-19 08:00:00,589.52,590.99,587.04
2026-01-19 12:00:00,588.25,591.35,587.72
2026-01-19 16:00:00,590.38,593.62,586.88
2026-01-19 20:00:00,588.91,591.43,588.22
2026-01-20 00:00:00,582.59,591.05,580.39
2026-01-20 04:00:00,582.17,587.98,581.51
2026-01-20 08:00:00,577.44,582.53,575.43
2026-01-20 12:00:00,577.64,580.06,572.41
