,close,high,low
2025-12-04 16:00:00,1.0,1.001,0.997564
2025-12-04 20:00:00,0.999928,1.002,0.998119
2025-12-05 00:00:00,0.999535,1.0,0.998611
2025-12-05 04:00:00,0.999652,1.001,0.999326
2025-12-05 08:00:00,0.999637,1.001,0.998857
2025-12-05 12:00:00,1.0,1.001,0.997697
2025-12-05 16:00:00,0.999183,1.006,0.998348
2025-12-05 20:00:00,0.999852,1.001,0.997773
2025-12-06 00:00:00,0.999835,1.001,0.99851
2025-12-06 04:00:00,0.999826,1.0,0.999305
2025-12-06 08:00:00,0.999303,1.001,0.999049
2025-12-06 12:00:00,0.999687,1.0,0.999073
2025-12-06 16:00:00,0.999446,1.001,0.998684
2025-12-06 20:00:00,0.999898,1.0,0.999332
2025-12-07 00:00:00,0.999663,1.001,0.999075
2025-12-07 04:00:00,0.999654,1.0,0.999357
2025-12-07 08:00:00,0.999651,1.0,0.999268
2025-12-07 12:00:00,0.999712,1.0,0.999303
2025-12-07 16:00:00,1.004,1.004,0.998565
2025-12-07 20:00:00,0.999562,1.002,0.998307
2025-12-08 00:00:00,0.999718,1.0,0.998575
2025-12-08 04:00:00,0.999765,1.002,0.997793
2025-12-08 08:00:00,0.999596,1.001,0.999062
2025-12-08 12:00:00,0.999983,1.001,0.998827
2025-12-08 16:00:00,1.0,1.001,0.998383
2025-12-08 20:00:00,0.999815,1.001,0.998257
2025-12-09 00:00:00,0.999764,1.001,0.999184
2025-12-09 04:00:00,0.999803,1.0,0.999408
2025-12-09 08:00:00,0.999726,1.0,0.998523
2025-12-09 12:00:00,0.999854,1.0,0.998417
2025-12-09 16:00:00,1.001,1.001,0.999155
2025-12-09 20:00:00,1.0,1.002,0.998066
2025-12-10 00:00:00,0.999772,1.002,0.99863
2025-12-10 04:00:00,0.99976,1.001,0.997418
2025-12-10 08:00:00,0.999926,1.001,0.999305
2025-12-10 12:00:00,0.999734,1.0,0.998983
2025-12-10 16:00:00,0.999826,1.001,0.998895
2025-12-10 20:00:00,1.008,1.058,0.997363
2025-12-11 00:00:00,1.0,1.003,0.995415
2025-12-11 04:00:00,0.999468,1.001,0.996929
2025-12-11 08:00:00,0.999695,1.001,0.997896
2025-12-11 12:00:00,0.999989,1.001,0.997265
2025-12-11 16:00:00,1.0,1.0,0.998047
2025-12-11 20:00:00,1.0,1.002,0.998584
2025-12-12 00:00:00,0.999438,1.001,0.998738
2025-12-12 04:00:00,0.999228,1.001,0.998877
2025-12-12 08:00:00,0.999958,1.0,0.999059
2025-12-12 12:00:00,0.999922,1.001,0.999347
2025-12-12 16:00:00,1.0,1.001,0.998195
2025-12-12 20:00:00,0.999924,1.002,0.998424
2025-12-13 00:00:00,0.999657,1.0,0.999178
2025-12-13 04:00:00,0.999811,1.0,0.999227
2025-12-13 08:00:00,0.999491,0.999964,0.999428
2025-12-13 12:00:00,0.999672,1.001,0.999141
2025-12-13 16:00:00,0.999643,1.002,0.998965
2025-12-13 20:00:00,0.999613,1.001,0.999009
2025-12-14 00:00:00,0.99979,1.0,0.999363
2025-12-14 04:00:00,0.999982,1.0,0.999108
2025-12-14 08:00:00,0.999975,1.001,0.9996
2025-12-14 12:00:00,0.999205,1.0,0.999054
2025-12-14 16:00:00,0.99964,1.002,0.99898
2025-12-14 20:00:00,0.999892,1.0,0.999365
2025-12-15 00:00:00,0.999918,1.001,0.999107
2025-12-15 04:00:00,0.99985,1.001,0.999091
2025-12-15 08:00:00,0.999695,1.001,0.999156
2025-12-15 12:00:00,0.999616,1.0,0.999253
2025-12-15 16:00:00,0.999865,1.001,0.996767
2025-12-15 20:00:00,0.999638,1.002,0.997625
2025-12-16 00:00:00,0.999732,1.001,0.999159
2025-12-16 04:00:00,0.999953,1.0,0.998844
2025-12-16 08:00:00,0.999696,1.0,0.999072
2025-12-16 12:00:00,0.999759,1.001,0.998703
2025-12-16 16:00:00,1.003,1.004,0.996603
2025-12-16 20:00:00,0.998728,1.0,0.998728
2025-12-17 00:00:00,1.001,1.001,0.999628
2025-12-17 04:00:00,0.999771,1.0,0.999403
2025-12-17 08:00:00,0.999627,1.001,0.999126
2025-12-17 12:00:00,0.999915,1.001,0.999285
2025-12-17 16:00:00,0.99725,1.007,0.99725
2025-12-17 20:00:00,1.0,1.002,0.997986
2025-12-18 00:00:00,0.999796,1.001,0.999317
2025-12-18 04:00:00,1.0,1.0,0.998084
2025-12-18 08:00:00,0.999675,1.0,0.998271
2025-12-18 12:00:00,0.999084,1.0,0.998752
2025-12-18 16:00:00,0.999741,1.001,0.997439
2025-12-18 20:00:00,0.999654,1.002,0.994873
2025-12-19 00:00:00,0.999637,1.003,0.99857
2025-12-19 04:00:00,0.998209,1.002,0.998209
2025-12-19 08:00:00,0.999191,1.0,0.998846
2025-12-19 12:00:00,0.999975,1.001,0.998979
