,close,high,low
2025-12-04 16:00:00,352.2,367.66,348.4
2025-12-04 20:00:00,353.97,363.74,349.87
2025-12-05 00:00:00,366.72,366.92,351.87
2025-12-05 04:00:00,388.81,397.2,370.0
2025-12-05 08:00:00,400.78,402.35,383.5
2025-12-05 12:00:00,378.27,400.59,371.58
2025-12-05 16:00:00,379.57,387.47,376.62
2025-12-05 20:00:00,370.83,378.56,362.68
2025-12-06 00:00:00,359.87,369.25,353.54
2025-12-06 04:00:00,351.99,361.03,349.61
2025-12-06 08:00:00,352.38,355.18,349.41
2025-12-06 12:00:00,341.69,353.66,339.1
2025-12-06 16:00:00,333.74,342.87,331.93
2025-12-06 20:00:00,331.34,338.38,330.46
2025-12-07 00:00:00,343.8,343.8,330.96
2025-12-07 04:00:00,341.63,342.18,333.92
2025-12-07 08:00:00,341.3,345.48,338.92
2025-12-07 12:00:00,343.03,344.91,335.51
2025-12-07 16:00:00,338.9,349.76,335.46
2025-12-07 20:00:00,347.06,348.96,334.83
2025-12-08 00:00:00,343.36,352.25,334.53
2025-12-08 04:00:00,350.83,351.46,342.74
2025-12-08 08:00:00,370.88,375.0,350.65
2025-12-08 12:00:00,386.05,398.67,369.23
2025-12-08 16:00:00,402.04,406.18,380.6
2025-12-08 20:00:00,407.22,421.45,401.33
2025-12-09 00:00:00,405.11,416.18,405.11
2025-12-09 04:00:00,402.02,417.89,394.16
2025-12-09 08:00:00,419.46,419.9,393.85
2025-12-09 12:00:00,416.04,421.67,406.65
2025-12-09 16:00:00,443.92,443.92,415.76
2025-12-09 20:00:00,436.23,448.61,435.3
2025-12-10 00:00:00,432.51,435.42,423.07
2025-12-10 04:00:00,442.27,445.46,432.72
2025-12-10 08:00:00,440.46,446.94,438.61
2025-12-10 12:00:00,427.99,442.08,427.91
2025-12-10 16:00:00,424.53,433.89,424.53
2025-12-10 20:00:00,427.5,436.9,424.82
2025-12-11 00:00:00,403.99,427.39,398.84
2025-12-11 04:00:00,397.92,404.28,391.96
2025-12-11 08:00:00,418.55,419.58,397.33
2025-12-11 12:00:00,433.3,435.73,413.7
2025-12-11 16:00:00,447.94,455.31,433.02
2025-12-11 20:00:00,460.88,464.48,443.95
2025-12-12 00:00:00,450.28,468.55,450.28
2025-12-12 04:00:00,460.3,462.1,448.2
2025-12-12 08:00:00,456.77,460.27,450.47
2025-12-12 12:00:00,454.95,461.77,452.25
2025-12-12 16:00:00,456.98,465.93,452.5
2025-12-12 20:00:00,455.83,462.49,452.19
2025-12-13 00:00:00,458.44,461.27,453.6
2025-12-13 04:00:00,463.67,463.67,456.84
2025-12-13 08:00:00,466.2,470.83,458.95
2025-12-13 12:00:00,447.5,467.79,447.39
2025-12-13 16:00:00,439.5,446.68,423.46
2025-12-13 20:00:00,434.16,442.19,428.85
2025-12-14 00:00:00,444.07,444.07,430.43
2025-12-14 04:00:00,437.61,443.71,436.43
2025-12-14 08:00:00,423.23,438.17,421.89
2025-12-14 12:00:00,428.29,430.46,420.07
2025-12-14 16:00:00,403.2,429.12,401.79
2025-12-14 20:00:00,407.46,409.62,402.52
2025-12-15 00:00:00,405.47,407.52,396.81
2025-12-15 04:00:00,399.56,415.92,396.64
2025-12-15 08:00:00,403.39,410.21,399.49
2025-12-15 12:00:00,410.86,411.17,401.86
2025-12-15 16:00:00,414.29,417.11,406.83
2025-12-15 20:00:00,408.24,415.4,397.41
2025-12-16 00:00:00,412.15,414.27,396.6
2025-12-16 04:00:00,402.83,413.86,398.46
2025-12-16 08:00:00,382.05,402.57,382.05
2025-12-16 12:00:00,394.37,396.74,378.17
2025-12-16 16:00:00,402.01,402.01,391.9
2025-12-16 20:00:00,405.74,412.91,398.2
2025-12-17 00:00:00,401.96,410.43,401.72
2025-12-17 04:00:00,393.81,404.6,393.6
2025-12-17 08:00:00,391.66,395.86,388.0
2025-12-17 12:00:00,388.92,392.78,386.11
2025-12-17 16:00:00,396.01,407.9,391.04
2025-12-17 20:00:00,378.45,398.1,376.28
2025-12-18 00:00:00,374.64,387.13,373.41
2025-12-18 04:00:00,384.63,384.67,373.68
2025-12-18 08:00:00,393.0,398.59,385.73
2025-12-18 12:00:00,392.72,402.39,391.1
2025-12-18 16:00:00,399.58,402.28,392.9
2025-12-18 20:00:00,384.61,399.96,384.61
