,close,high,low
2025-12-04 20:00:00,0.99966,1.0,0.999015
2025-12-05 00:00:00,0.999755,1.0,0.999046
2025-12-05 04:00:00,0.99971,0.9999,0.998996
2025-12-05 08:00:00,0.999148,1.001,0.999148
2025-12-05 12:00:00,0.999489,1.001,0.998659
2025-12-05 16:00:00,0.999458,1.001,0.998459
2025-12-05 20:00:00,0.999526,1.001,0.998067
2025-12-06 00:00:00,0.999703,1.001,0.998766
2025-12-06 04:00:00,0.999315,0.999911,0.999003
2025-12-06 08:00:00,0.999986,1.0,0.999203
2025-12-06 12:00:00,0.999533,1.001,0.999383
2025-12-06 16:00:00,0.999235,1.001,0.999046
2025-12-06 20:00:00,0.999944,1.001,0.999153
2025-12-07 00:00:00,0.999772,1.0,0.998884
2025-12-07 04:00:00,0.999686,1.001,0.999121
2025-12-07 08:00:00,0.999802,1.0,0.998448
2025-12-07 12:00:00,0.999803,1.001,0.99963
2025-12-07 16:00:00,1.003,1.005,0.999042
2025-12-07 20:00:00,0.999068,1.003,0.995524
2025-12-08 00:00:00,0.99996,1.001,0.998213
2025-12-08 04:00:00,0.999139,1.001,0.998679
2025-12-08 08:00:00,0.999339,1.0,0.998873
2025-12-08 12:00:00,1.0,1.0,0.998864
2025-12-08 16:00:00,1.0,1.0,0.998563
2025-12-08 20:00:00,0.999825,1.001,0.998527
2025-12-09 00:00:00,0.999803,1.001,0.998854
2025-12-09 04:00:00,0.999707,1.0,0.999361
2025-12-09 08:00:00,0.999716,1.001,0.999343
2025-12-09 12:00:00,1.0,1.0,0.999139
2025-12-09 16:00:00,0.999862,1.001,0.999441
2025-12-09 20:00:00,0.999762,1.001,0.999019
2025-12-10 00:00:00,0.999617,1.0,0.998989
2025-12-10 04:00:00,0.999625,1.001,0.999246
2025-12-10 08:00:00,0.999549,1.0,0.999039
2025-12-10 12:00:00,1.0,1.0,0.998682
2025-12-10 16:00:00,0.999474,1.001,0.999108
2025-12-10 20:00:00,0.999805,1.001,0.998834
2025-12-11 00:00:00,1.0,1.003,0.998204
2025-12-11 04:00:00,0.999738,1.002,0.997695
2025-12-11 08:00:00,0.999788,1.002,0.998173
2025-12-11 12:00:00,0.999683,1.001,0.998186
2025-12-11 16:00:00,0.999362,1.0,0.998706
2025-12-11 20:00:00,0.999732,1.001,0.998886
2025-12-12 00:00:00,0.999521,1.001,0.999088
2025-12-12 04:00:00,0.999341,1.0,0.998969
2025-12-12 08:00:00,1.0,1.001,0.99892
2025-12-12 12:00:00,0.999709,1.001,0.998608
2025-12-12 16:00:00,0.99938,1.001,0.997439
2025-12-12 20:00:00,1.0,1.002,0.998523
2025-12-13 00:00:00,0.999949,1.001,0.999196
2025-12-13 04:00:00,0.999439,0.999913,0.99896
2025-12-13 08:00:00,0.999779,0.999812,0.999153
2025-12-13 12:00:00,0.999883,1.001,0.999247
2025-12-13 16:00:00,0.999809,1.001,0.99945
2025-12-13 20:00:00,0.99976,0.999888,0.999717
2025-12-14 00:00:00,0.999749,1.0,0.999481
2025-12-14 04:00:00,0.999466,0.99989,0.999359
2025-12-14 08:00:00,0.999816,1.0,0.999581
2025-12-14 12:00:00,0.999646,1.001,0.999499
