,close,high,low
2025-12-04 12:00:00,0.999571,0.999894,0.999554
2025-12-04 16:00:00,0.999649,0.99975,0.99936
2025-12-04 20:00:00,0.999493,0.999777,0.999416
2025-12-05 00:00:00,0.999964,1.0,0.999442
2025-12-05 04:00:00,0.999989,1.0,0.999815
2025-12-05 08:00:00,0.999557,1.0,0.999557
2025-12-05 12:00:00,0.999647,0.999733,0.999349
2025-12-05 16:00:00,1.0,1.0,0.999595
2025-12-05 20:00:00,0.999473,1.0,0.999375
2025-12-06 00:00:00,0.999396,0.999665,0.999321
2025-12-06 04:00:00,0.99958,0.999683,0.999357
2025-12-06 08:00:00,0.999451,1.002,0.999359
2025-12-06 12:00:00,0.999415,0.999509,0.999286
2025-12-06 16:00:00,0.999382,0.999672,0.999331
2025-12-06 20:00:00,0.999646,1.001,0.999378
2025-12-07 00:00:00,0.999688,0.999733,0.999272
2025-12-07 04:00:00,0.999345,0.999522,0.999318
2025-12-07 08:00:00,0.999656,0.999743,0.999156
2025-12-07 12:00:00,0.999644,0.999753,0.999456
2025-12-07 16:00:00,0.999404,0.999737,0.999404
2025-12-07 20:00:00,0.999637,0.999826,0.999469
2025-12-08 00:00:00,0.999607,0.999633,0.998434
2025-12-08 04:00:00,0.999452,0.999785,0.999421
2025-12-08 08:00:00,0.999583,0.999722,0.99942
2025-12-08 12:00:00,0.999766,0.999844,0.999378
2025-12-08 16:00:00,0.999766,0.999839,0.999447
2025-12-08 20:00:00,0.999774,1.008,0.998999
2025-12-09 00:00:00,0.999712,1.002,0.999619
2025-12-09 04:00:00,0.999767,0.999915,0.99961
2025-12-09 08:00:00,0.999726,1.013,0.999726
2025-12-09 12:00:00,0.999828,1.0,0.999693
2025-12-09 16:00:00,0.999845,1.0,0.999576
2025-12-09 20:00:00,0.999519,1.021,0.999427
2025-12-10 00:00:00,0.999432,1.001,0.999351
2025-12-10 04:00:00,0.999452,0.999543,0.999316
2025-12-10 08:00:00,0.99946,0.999626,0.999309
2025-12-10 12:00:00,0.999181,0.999536,0.999181
2025-12-10 16:00:00,0.999407,0.999684,0.999173
2025-12-10 20:00:00,0.999508,0.999524,0.999316
2025-12-11 00:00:00,0.99935,1.0,0.999242
2025-12-11 04:00:00,0.999375,0.999651,0.999215
2025-12-11 08:00:00,0.999353,0.999789,0.999176
2025-12-11 12:00:00,0.998942,1.01,0.998942
2025-12-11 16:00:00,0.999437,0.999529,0.998983
2025-12-11 20:00:00,0.999394,0.99956,0.999338
2025-12-12 00:00:00,1.0,1.0,0.999372
2025-12-12 04:00:00,0.99955,0.9999,0.999533
2025-12-12 08:00:00,0.999563,0.99975,0.997868
2025-12-12 12:00:00,1.011,1.012,0.998709
2025-12-12 16:00:00,0.999622,1.011,0.997958
2025-12-12 20:00:00,0.999579,1.006,0.99953
2025-12-13 00:00:00,0.999575,0.999649,0.999465
2025-12-13 04:00:00,0.999484,0.99973,0.999057
2025-12-13 08:00:00,0.999447,1.005,0.999344
2025-12-13 12:00:00,0.999447,0.99947,0.999302
2025-12-13 16:00:00,0.999459,1.0,0.999334
2025-12-13 20:00:00,0.999347,0.999931,0.999166
2025-12-14 00:00:00,0.999403,0.999456,0.999308
2025-12-14 04:00:00,0.999432,0.999525,0.99931
2025-12-14 08:00:00,0.999459,0.999562,0.999407
2025-12-14 12:00:00,0.999354,0.999653,0.99921
2025-12-14 16:00:00,0.999399,0.999485,0.998909
2025-12-14 20:00:00,0.999641,0.999724,0.999433
2025-12-15 00:00:00,0.999446,0.999645,0.987898
2025-12-15 04:00:00,0.999792,1.004,0.999284
