,close,high,low
2025-12-04 16:00:00,17.31,17.8,17.1
2025-12-04 20:00:00,16.84,17.42,16.54
2025-12-05 00:00:00,16.69,16.91,16.67
2025-12-05 04:00:00,16.59,16.71,16.47
2025-12-05 08:00:00,16.69,16.75,16.41
2025-12-05 12:00:00,16.17,16.69,16.0
2025-12-05 16:00:00,16.12,16.26,15.87
2025-12-05 20:00:00,15.63,16.03,15.53
2025-12-06 00:00:00,15.68,15.68,15.5
2025-12-06 04:00:00,15.77,15.81,15.67
2025-12-06 08:00:00,15.75,15.85,15.7
2025-12-06 12:00:00,15.73,15.79,15.61
2025-12-06 16:00:00,15.88,15.88,15.64
2025-12-06 20:00:00,15.76,16.12,15.76
2025-12-07 00:00:00,16.06,16.06,15.77
2025-12-07 04:00:00,16.0,16.15,15.9
2025-12-07 08:00:00,16.15,16.17,15.95
2025-12-07 12:00:00,15.84,16.15,15.8
2025-12-07 16:00:00,15.65,16.0,15.34
2025-12-07 20:00:00,16.3,16.52,15.64
2025-12-08 00:00:00,15.66,16.31,15.53
2025-12-08 04:00:00,16.17,16.18,15.62
2025-12-08 08:00:00,17.04,17.18,16.17
2025-12-08 12:00:00,16.93,17.29,16.93
2025-12-08 16:00:00,16.47,16.93,16.34
2025-12-08 20:00:00,16.5,16.68,16.28
2025-12-09 00:00:00,16.61,16.82,16.47
2025-12-09 04:00:00,16.34,16.64,16.3
2025-12-09 08:00:00,17.02,17.02,16.23
2025-12-09 12:00:00,17.04,17.24,16.93
2025-12-09 16:00:00,17.65,17.68,16.9
2025-12-09 20:00:00,17.3,17.65,17.2
2025-12-10 00:00:00,17.07,17.24,16.85
2025-12-10 04:00:00,16.85,17.1,16.83
2025-12-10 08:00:00,16.88,17.01,16.78
2025-12-10 12:00:00,16.91,17.02,16.74
2025-12-10 16:00:00,16.7,16.99,16.7
2025-12-10 20:00:00,17.1,17.11,16.68
2025-12-11 00:00:00,16.47,17.43,16.47
2025-12-11 04:00:00,15.82,16.43,15.76
2025-12-11 08:00:00,15.95,16.11,15.75
2025-12-11 12:00:00,15.97,16.01,15.82
2025-12-11 16:00:00,16.29,16.54,16.01
2025-12-11 20:00:00,16.33,16.5,16.13
2025-12-12 00:00:00,16.68,17.06,16.34
2025-12-12 04:00:00,16.95,17.02,16.6
2025-12-12 08:00:00,16.9,17.2,16.85
2025-12-12 12:00:00,16.92,17.0,16.76
2025-12-12 16:00:00,16.31,16.97,16.31
2025-12-12 20:00:00,16.16,16.44,16.04
2025-12-13 00:00:00,16.33,16.4,16.11
2025-12-13 04:00:00,16.54,16.63,16.34
2025-12-13 08:00:00,16.38,16.58,16.32
2025-12-13 12:00:00,16.69,16.69,16.37
2025-12-13 16:00:00,16.67,16.83,16.52
2025-12-13 20:00:00,16.67,16.74,16.51
2025-12-14 00:00:00,16.56,16.68,16.47
2025-12-14 04:00:00,16.51,16.63,16.49
2025-12-14 08:00:00,16.42,16.53,16.35
2025-12-14 12:00:00,16.38,16.58,16.25
2025-12-14 16:00:00,16.13,16.46,16.1
2025-12-14 20:00:00,15.94,16.24,15.92
2025-12-15 00:00:00,15.72,15.99,15.64
2025-12-15 04:00:00,15.97,16.13,15.7
2025-12-15 08:00:00,15.97,16.2,15.93
2025-12-15 12:00:00,15.7,15.98,15.69
2025-12-15 16:00:00,15.19,15.91,15.19
2025-12-15 20:00:00,14.9,15.23,14.57
2025-12-16 00:00:00,15.05,15.09,14.78
