,close,high,low
2025-12-04 16:00:00,0.26026,0.26059,0.255955
2025-12-04 20:00:00,0.254135,0.260287,0.251326
2025-12-05 00:00:00,0.254266,0.255681,0.253574
2025-12-05 04:00:00,0.253761,0.255354,0.25371
2025-12-05 08:00:00,0.255428,0.256264,0.252466
2025-12-05 12:00:00,0.251279,0.255469,0.250943
2025-12-05 16:00:00,0.251553,0.252876,0.248792
2025-12-05 20:00:00,0.24718,0.250393,0.244072
2025-12-06 00:00:00,0.248105,0.249396,0.246595
2025-12-06 04:00:00,0.24839,0.249038,0.24676
2025-12-06 08:00:00,0.249693,0.25038,0.247007
2025-12-06 12:00:00,0.24852,0.249546,0.247397
2025-12-06 16:00:00,0.250277,0.250594,0.248088
2025-12-06 20:00:00,0.249428,0.251829,0.249428
2025-12-07 00:00:00,0.251648,0.252451,0.24933
2025-12-07 04:00:00,0.251679,0.252554,0.250005
2025-12-07 08:00:00,0.249367,0.252,0.249121
2025-12-07 12:00:00,0.249004,0.250133,0.247647
2025-12-07 16:00:00,0.245494,0.250132,0.242542
2025-12-07 20:00:00,0.250684,0.251609,0.245917
2025-12-08 00:00:00,0.245324,0.251497,0.243974
2025-12-08 04:00:00,0.24985,0.249951,0.245549
2025-12-08 08:00:00,0.250278,0.257497,0.248453
2025-12-08 12:00:00,0.25154,0.252626,0.249834
2025-12-08 16:00:00,0.249672,0.252907,0.249053
2025-12-08 20:00:00,0.249882,0.250587,0.248379
2025-12-09 00:00:00,0.249442,0.251455,0.24895
2025-12-09 04:00:00,0.250827,0.250827,0.248087
2025-12-09 08:00:00,0.249779,0.251143,0.247544
2025-12-09 12:00:00,0.248844,0.249907,0.247754
2025-12-09 16:00:00,0.255942,0.255942,0.249294
2025-12-09 20:00:00,0.255904,0.259744,0.255692
2025-12-10 00:00:00,0.255635,0.256046,0.252321
2025-12-10 04:00:00,0.256205,0.256365,0.254482
2025-12-10 08:00:00,0.254792,0.256658,0.25469
2025-12-10 12:00:00,0.253162,0.255222,0.252041
2025-12-10 16:00:00,0.256076,0.256984,0.252598
2025-12-10 20:00:00,0.258367,0.258763,0.255646
2025-12-11 00:00:00,0.254671,0.26036,0.253592
2025-12-11 04:00:00,0.245445,0.254507,0.245316
2025-12-11 08:00:00,0.247562,0.248793,0.244165
2025-12-11 12:00:00,0.249557,0.249705,0.246197
2025-12-11 16:00:00,0.249444,0.250789,0.247912
2025-12-11 20:00:00,0.252602,0.254203,0.248327
2025-12-12 00:00:00,0.254068,0.256313,0.250799
2025-12-12 04:00:00,0.253016,0.254423,0.252167
2025-12-12 08:00:00,0.2532,0.254596,0.252441
2025-12-12 12:00:00,0.249468,0.253001,0.249099
2025-12-12 16:00:00,0.245334,0.250654,0.245334
2025-12-12 20:00:00,0.245243,0.246353,0.243151
2025-12-13 00:00:00,0.246496,0.246771,0.245031
2025-12-13 04:00:00,0.249349,0.249441,0.246417
2025-12-13 08:00:00,0.247755,0.249587,0.24731
2025-12-13 12:00:00,0.248798,0.249976,0.247461
2025-12-13 16:00:00,0.249982,0.250432,0.248803
2025-12-13 20:00:00,0.255413,0.255413,0.250335
2025-12-14 00:00:00,0.254456,0.255279,0.253987
2025-12-14 04:00:00,0.252569,0.254799,0.252569
2025-12-14 08:00:00,0.253725,0.253725,0.248621
2025-12-14 12:00:00,0.252652,0.254335,0.252027
2025-12-14 16:00:00,0.248714,0.253873,0.248527
2025-12-14 20:00:00,0.24808,0.24903,0.246656
2025-12-15 00:00:00,0.24615,0.248486,0.245155
2025-12-15 04:00:00,0.250958,0.251339,0.246396
2025-12-15 08:00:00,0.258956,0.259298,0.250768
2025-12-15 12:00:00,0.266144,0.269985,0.259748
2025-12-15 16:00:00,0.271009,0.273981,0.266633
2025-12-15 20:00:00,0.266794,0.275214,0.260167
2025-12-16 00:00:00,0.267974,0.271205,0.26243
2025-12-16 04:00:00,0.26112,0.2702,0.260465
2025-12-16 08:00:00,0.263763,0.267298,0.260582
2025-12-16 12:00:00,0.263514,0.265088,0.261888
2025-12-16 16:00:00,0.256398,0.268786,0.254747
2025-12-16 20:00:00,0.254006,0.258722,0.251663
2025-12-17 00:00:00,0.254443,0.255856,0.253542
2025-12-17 04:00:00,0.260471,0.263189,0.25359
2025-12-17 08:00:00,0.271559,0.271559,0.260684
2025-12-17 12:00:00,0.26406,0.273018,0.263909
2025-12-17 16:00:00,0.269041,0.277297,0.263324
2025-12-17 20:00:00,0.270269,0.271756,0.262861
2025-12-18 00:00:00,0.266223,0.270895,0.264853
2025-12-18 04:00:00,0.261706,0.270361,0.261561
2025-12-18 08:00:00,0.256526,0.261474,0.256058
2025-12-18 12:00:00,0.256772,0.261314,0.255885
2025-12-18 16:00:00,0.256644,0.259204,0.254942
2025-12-18 20:00:00,0.244535,0.256516,0.244535
2025-12-19 00:00:00,0.245528,0.250265,0.244683
2025-12-19 04:00:00,0.249122,0.249752,0.242128
2025-12-19 08:00:00,0.250541,0.251265,0.247972
2025-12-19 12:00:00,0.250935,0.25105,0.250432
2025-12-19 16:00:00,0.254056,0.256063,0.250932
2025-12-19 20:00:00,0.261006,0.261006,0.254476
2025-12-20 00:00:00,0.273778,0.27386,0.261398
2025-12-20 04:00:00,0.27058,0.276995,0.270248
2025-12-20 08:00:00,0.271614,0.271841,0.267775
2025-12-20 12:00:00,0.271621,0.272805,0.269449
2025-12-20 16:00:00,0.268882,0.272203,0.268769
2025-12-20 20:00:00,0.268195,0.268871,0.26751
2025-12-21 00:00:00,0.268798,0.268798,0.267942
2025-12-21 04:00:00,0.26533,0.269744,0.264302
2025-12-21 08:00:00,0.26532,0.265855,0.264518
2025-12-21 12:00:00,0.264206,0.268077,0.264099
2025-12-21 16:00:00,0.260862,0.265734,0.258316
2025-12-21 20:00:00,0.26026,0.262067,0.258565
2025-12-22 00:00:00,0.259379,0.261006,0.257985
2025-12-22 04:00:00,0.26089,0.263171,0.258606
2025-12-22 08:00:00,0.262053,0.262132,0.260904
2025-12-22 12:00:00,0.265494,0.265494,0.262074
2025-12-22 16:00:00,0.264291,0.266314,0.26345
2025-12-22 20:00:00,0.261198,0.265515,0.261198
2025-12-23 00:00:00,0.262105,0.262678,0.260469
2025-12-23 04:00:00,0.261573,0.262525,0.261329
2025-12-23 08:00:00,0.25825,0.261643,0.256893
2025-12-23 12:00:00,0.258884,0.259826,0.257563
2025-12-23 16:00:00,0.256568,0.260056,0.255998
2025-12-23 20:00:00,0.263098,0.263098,0.25603
2025-12-24 00:00:00,0.261327,0.264802,0.261327
2025-12-24 04:00:00,0.264984,0.264984,0.261337
2025-12-24 08:00:00,0.265276,0.268155,0.263951
2025-12-24 12:00:00,0.259581,0.266485,0.259215
2025-12-24 16:00:00,0.264264,0.264264,0.25972
2025-12-24 20:00:00,0.26607,0.267818,0.262528
2025-12-25 00:00:00,0.26896,0.271406,0.26626
2025-12-25 04:00:00,0.270645,0.27069,0.268185
2025-12-25 08:00:00,0.271487,0.271675,0.270212
2025-12-25 12:00:00,0.270625,0.272318,0.269533
2025-12-25 16:00:00,0.269493,0.270115,0.268233
2025-12-25 20:00:00,0.269386,0.269544,0.268258
2025-12-26 00:00:00,0.265883,0.269352,0.26528
2025-12-26 04:00:00,0.268892,0.271041,0.26493
2025-12-26 08:00:00,0.267087,0.269055,0.267087
2025-12-26 12:00:00,0.266677,0.268046,0.266323
2025-12-26 16:00:00,0.265611,0.268698,0.263723
2025-12-26 20:00:00,0.269615,0.269615,0.265518
2025-12-27 00:00:00,0.27237,0.273362,0.269586
2025-12-27 04:00:00,0.272198,0.272791,0.271518
2025-12-27 08:00:00,0.268918,0.272164,0.268487
2025-12-27 12:00:00,0.271226,0.271226,0.266875
2025-12-27 16:00:00,0.268874,0.271436,0.268367
2025-12-27 20:00:00,0.268692,0.268994,0.267824
2025-12-28 00:00:00,0.27041,0.27041,0.267915
2025-12-28 04:00:00,0.270381,0.27143,0.270167
2025-12-28 08:00:00,0.269222,0.270608,0.269222
2025-12-28 12:00:00,0.267854,0.269383,0.267781
2025-12-28 16:00:00,0.271195,0.271888,0.267757
2025-12-28 20:00:00,0.266841,0.271285,0.266329
2025-12-29 00:00:00,0.26694,0.267205,0.26628
2025-12-29 04:00:00,0.26963,0.270089,0.266846
2025-12-29 08:00:00,0.267907,0.269459,0.266839
2025-12-29 12:00:00,0.265012,0.26872,0.264416
2025-12-29 16:00:00,0.260109,0.264831,0.259734
2025-12-29 20:00:00,0.260739,0.261617,0.259949
