,close,high,low
2025-12-04 04:00:00,0.423581,0.428594,0.416927
2025-12-04 08:00:00,0.424404,0.427111,0.419662
2025-12-04 12:00:00,0.415202,0.424473,0.413798
2025-12-04 16:00:00,0.423274,0.424635,0.413665
2025-12-04 20:00:00,0.414409,0.42546,0.40863
2025-12-05 00:00:00,0.404759,0.413867,0.404759
2025-12-05 04:00:00,0.407912,0.411749,0.404736
2025-12-05 08:00:00,0.412386,0.414257,0.405149
2025-12-05 12:00:00,0.402762,0.413307,0.40151
2025-12-05 16:00:00,0.406114,0.409398,0.39849
2025-12-05 20:00:00,0.384383,0.40466,0.37983
2025-12-06 00:00:00,0.389099,0.389099,0.382965
2025-12-06 04:00:00,0.389287,0.39147,0.384258
2025-12-06 08:00:00,0.385478,0.389585,0.385308
2025-12-06 12:00:00,0.38337,0.385184,0.381276
2025-12-06 16:00:00,0.385092,0.388834,0.38226
2025-12-06 20:00:00,0.383435,0.38921,0.383435
2025-12-07 00:00:00,0.383153,0.387446,0.381189
2025-12-07 04:00:00,0.38508,0.387748,0.382482
2025-12-07 08:00:00,0.386997,0.389719,0.38342
2025-12-07 12:00:00,0.384327,0.38709,0.38085
2025-12-07 16:00:00,0.381631,0.388474,0.37526
2025-12-07 20:00:00,0.399881,0.403004,0.384668
2025-12-08 00:00:00,0.381005,0.399685,0.380745
2025-12-08 04:00:00,0.389676,0.39178,0.381413
2025-12-08 08:00:00,0.394684,0.396946,0.38941
2025-12-08 12:00:00,0.395193,0.397782,0.393294
2025-12-08 16:00:00,0.396232,0.400207,0.394693
2025-12-08 20:00:00,0.393463,0.401885,0.391978
2025-12-09 00:00:00,0.392446,0.395884,0.391132
2025-12-09 04:00:00,0.389522,0.394573,0.386046
2025-12-09 08:00:00,0.388405,0.390307,0.385279
2025-12-09 12:00:00,0.388829,0.389209,0.385771
2025-12-09 16:00:00,0.408458,0.408458,0.38929
2025-12-09 20:00:00,0.415576,0.422086,0.409041
2025-12-10 00:00:00,0.412026,0.415476,0.405574
2025-12-10 04:00:00,0.407477,0.411687,0.405103
2025-12-10 08:00:00,0.407476,0.410171,0.405591
2025-12-10 12:00:00,0.403545,0.407823,0.402901
2025-12-10 16:00:00,0.405782,0.408478,0.403357
2025-12-10 20:00:00,0.416686,0.416686,0.405709
2025-12-11 00:00:00,0.408706,0.426421,0.408706
2025-12-11 04:00:00,0.386918,0.407439,0.386918
2025-12-11 08:00:00,0.389892,0.390808,0.386374
2025-12-11 12:00:00,0.386581,0.391204,0.385815
2025-12-11 16:00:00,0.384259,0.387776,0.383113
2025-12-11 20:00:00,0.38842,0.390468,0.380635
2025-12-12 00:00:00,0.395363,0.400106,0.386555
2025-12-12 04:00:00,0.398826,0.400463,0.39179
2025-12-12 08:00:00,0.401213,0.409362,0.398334
