,close,high,low
2025-12-04 16:00:00,0.905328,0.922774,0.882098
2025-12-04 20:00:00,0.87819,0.910202,0.86612
2025-12-05 00:00:00,0.875851,0.880955,0.869132
2025-12-05 04:00:00,0.871868,0.876024,0.868938
2025-12-05 08:00:00,0.882362,0.889048,0.869123
2025-12-05 12:00:00,0.851025,0.883587,0.844645
2025-12-05 16:00:00,0.856504,0.86067,0.837079
2025-12-05 20:00:00,0.849103,0.855071,0.826638
2025-12-06 00:00:00,0.860384,0.864042,0.848314
2025-12-06 04:00:00,0.854652,0.877948,0.844614
2025-12-06 08:00:00,0.868403,0.868951,0.85441
2025-12-06 12:00:00,0.884056,0.886017,0.860947
2025-12-06 16:00:00,0.883173,0.900411,0.876876
2025-12-06 20:00:00,0.882311,0.897247,0.882092
2025-12-07 00:00:00,0.866346,0.882053,0.864762
2025-12-07 04:00:00,0.856804,0.865682,0.849891
2025-12-07 08:00:00,0.85305,0.862427,0.833989
2025-12-07 12:00:00,0.852909,0.860405,0.841886
2025-12-07 16:00:00,0.836006,0.850141,0.825385
2025-12-07 20:00:00,0.861465,0.861465,0.835532
2025-12-08 00:00:00,0.83904,0.864819,0.830438
2025-12-08 04:00:00,0.844638,0.844638,0.826665
2025-12-08 08:00:00,0.847261,0.850163,0.842338
2025-12-08 12:00:00,0.849506,0.855985,0.845283
2025-12-08 16:00:00,0.81743,0.856622,0.81743
2025-12-08 20:00:00,0.812849,0.823282,0.81112
2025-12-09 00:00:00,0.824382,0.829255,0.812837
2025-12-09 04:00:00,0.816174,0.825198,0.807446
2025-12-09 08:00:00,0.81679,0.817176,0.806279
2025-12-09 12:00:00,0.810506,0.817042,0.809656
2025-12-09 16:00:00,0.836447,0.836447,0.810857
2025-12-09 20:00:00,0.856791,0.863457,0.84022
2025-12-10 00:00:00,0.851052,0.857554,0.842863
2025-12-10 04:00:00,0.836479,0.84958,0.833304
2025-12-10 08:00:00,0.83259,0.838333,0.83139
2025-12-10 12:00:00,0.828276,0.835776,0.826005
2025-12-10 16:00:00,0.85552,0.883725,0.826274
2025-12-10 20:00:00,0.869028,0.879659,0.859221
2025-12-11 00:00:00,0.84159,0.87524,0.841212
2025-12-11 04:00:00,0.871126,0.90732,0.852561
2025-12-11 08:00:00,0.862225,0.879398,0.856105
2025-12-11 12:00:00,0.855343,0.858416,0.842818
2025-12-11 16:00:00,0.838492,0.854954,0.833334
2025-12-11 20:00:00,0.847896,0.848259,0.831356
2025-12-12 00:00:00,0.851873,0.858864,0.83851
2025-12-12 04:00:00,0.823008,0.845359,0.813493
2025-12-12 08:00:00,0.821042,0.82968,0.820198
2025-12-12 12:00:00,0.8288,0.834285,0.821251
2025-12-12 16:00:00,0.796397,0.828224,0.796397
2025-12-12 20:00:00,0.798933,0.805947,0.787318
2025-12-13 00:00:00,0.802742,0.806012,0.799661
2025-12-13 04:00:00,0.805607,0.812682,0.80059
2025-12-13 08:00:00,0.806946,0.808594,0.801324
2025-12-13 12:00:00,0.805223,0.809526,0.802884
2025-12-13 16:00:00,0.808861,0.809717,0.804644
