,close,high,low
2025-12-04 20:00:00,0.087553,0.089814,0.087499
2025-12-05 00:00:00,0.088032,0.088597,0.087124
2025-12-05 04:00:00,0.089548,0.090533,0.087998
2025-12-05 08:00:00,0.08958,0.090139,0.088845
2025-12-05 12:00:00,0.086696,0.089482,0.086457
2025-12-05 16:00:00,0.09204,0.092265,0.085802
2025-12-05 20:00:00,0.085899,0.092446,0.084557
2025-12-06 00:00:00,0.084665,0.086093,0.083813
2025-12-06 04:00:00,0.08668,0.08788,0.083941
2025-12-06 08:00:00,0.085661,0.086618,0.084621
2025-12-06 12:00:00,0.085697,0.086591,0.084957
2025-12-06 16:00:00,0.085372,0.086482,0.084743
2025-12-06 20:00:00,0.085365,0.085978,0.085104
2025-12-07 00:00:00,0.08635,0.086517,0.085418
2025-12-07 04:00:00,0.086205,0.086779,0.085453
2025-12-07 08:00:00,0.085409,0.0862,0.084781
2025-12-07 12:00:00,0.08449,0.085359,0.083616
2025-12-07 16:00:00,0.083431,0.08483,0.081301
2025-12-07 20:00:00,0.083813,0.084402,0.082666
2025-12-08 00:00:00,0.081194,0.084369,0.080339
2025-12-08 04:00:00,0.0823,0.082482,0.079927
2025-12-08 08:00:00,0.082334,0.082918,0.081724
2025-12-08 12:00:00,0.082598,0.083445,0.081946
2025-12-08 16:00:00,0.081955,0.082686,0.081386
2025-12-08 20:00:00,0.081362,0.082519,0.080502
2025-12-09 00:00:00,0.080804,0.081435,0.080226
2025-12-09 04:00:00,0.079767,0.080693,0.079095
2025-12-09 08:00:00,0.078205,0.079849,0.077651
2025-12-09 12:00:00,0.078361,0.078497,0.077431
2025-12-09 16:00:00,0.081333,0.081333,0.078179
2025-12-09 20:00:00,0.082978,0.083217,0.081494
2025-12-10 00:00:00,0.084215,0.084215,0.081738
2025-12-10 04:00:00,0.081984,0.084415,0.081272
2025-12-10 08:00:00,0.080657,0.081827,0.080652
2025-12-10 12:00:00,0.079521,0.080689,0.079418
2025-12-10 16:00:00,0.079934,0.080676,0.079113
2025-12-10 20:00:00,0.080469,0.080514,0.078773
2025-12-11 00:00:00,0.081074,0.081315,0.078136
2025-12-11 04:00:00,0.077547,0.081083,0.076769
2025-12-11 08:00:00,0.076898,0.078911,0.076168
2025-12-11 12:00:00,0.078065,0.078249,0.076189
2025-12-11 16:00:00,0.07589,0.07789,0.075454
2025-12-11 20:00:00,0.077037,0.077273,0.075346
2025-12-12 00:00:00,0.077493,0.078141,0.076182
2025-12-12 04:00:00,0.077698,0.077811,0.076269
2025-12-12 08:00:00,0.077492,0.077604,0.076648
2025-12-12 12:00:00,0.078289,0.078763,0.076957
2025-12-12 16:00:00,0.075411,0.078397,0.075074
2025-12-12 20:00:00,0.074651,0.074651,0.07324
2025-12-13 00:00:00,0.075345,0.075513,0.073764
2025-12-13 04:00:00,0.0763,0.076319,0.075415
2025-12-13 08:00:00,0.084511,0.084511,0.076251
2025-12-13 12:00:00,0.078998,0.083637,0.077985
2025-12-13 16:00:00,0.079416,0.080363,0.078544
2025-12-13 20:00:00,0.079195,0.080858,0.078852
2025-12-14 00:00:00,0.077512,0.079332,0.076955
2025-12-14 04:00:00,0.076627,0.077409,0.076554
2025-12-14 08:00:00,0.076027,0.076803,0.075463
2025-12-14 12:00:00,0.075234,0.076193,0.074935
2025-12-14 16:00:00,0.074584,0.07518,0.07442
2025-12-14 20:00:00,0.074958,0.075478,0.074517
2025-12-15 00:00:00,0.074333,0.075054,0.074112
2025-12-15 04:00:00,0.075383,0.075672,0.074312
2025-12-15 08:00:00,0.075747,0.076002,0.075326
2025-12-15 12:00:00,0.075307,0.075766,0.074936
2025-12-15 16:00:00,0.072788,0.075322,0.071928
2025-12-15 20:00:00,0.071812,0.072754,0.070017
2025-12-16 00:00:00,0.074049,0.074561,0.071998
2025-12-16 04:00:00,0.072607,0.074064,0.072112
2025-12-16 08:00:00,0.072112,0.072753,0.071874
2025-12-16 12:00:00,0.07288,0.07303,0.07192
2025-12-16 16:00:00,0.072025,0.072976,0.071427
2025-12-16 20:00:00,0.071583,0.072143,0.070725
2025-12-17 00:00:00,0.070988,0.071582,0.070885
2025-12-17 04:00:00,0.071449,0.071656,0.070973
2025-12-17 08:00:00,0.072123,0.073338,0.071044
2025-12-17 12:00:00,0.071733,0.072277,0.070964
2025-12-17 16:00:00,0.071536,0.072691,0.071496
2025-12-17 20:00:00,0.068994,0.071295,0.06845
2025-12-18 00:00:00,0.067869,0.069568,0.067222
2025-12-18 04:00:00,0.06672,0.068064,0.06672
2025-12-18 08:00:00,0.066433,0.067124,0.065835
2025-12-18 12:00:00,0.067418,0.067418,0.066307
2025-12-18 16:00:00,0.069551,0.070611,0.067519
2025-12-18 20:00:00,0.065537,0.069865,0.065537
2025-12-19 00:00:00,0.0659,0.066977,0.06544
2025-12-19 04:00:00,0.067088,0.067088,0.064951
2025-12-19 08:00:00,0.068521,0.068965,0.066966
2025-12-19 12:00:00,0.068676,0.068879,0.068418
2025-12-19 16:00:00,0.068863,0.069269,0.06849
2025-12-19 20:00:00,0.070228,0.070309,0.068863
2025-12-20 00:00:00,0.069613,0.070297,0.069613
2025-12-20 04:00:00,0.069495,0.069625,0.06926
2025-12-20 08:00:00,0.069553,0.069676,0.068857
2025-12-20 12:00:00,0.069987,0.070145,0.069302
2025-12-20 16:00:00,0.070646,0.070646,0.069626
2025-12-20 20:00:00,0.070958,0.072138,0.070598
2025-12-21 00:00:00,0.070763,0.071608,0.07076
2025-12-21 04:00:00,0.070046,0.070827,0.06935
2025-12-21 08:00:00,0.07004,0.070327,0.069978
2025-12-21 12:00:00,0.069234,0.070086,0.069234
2025-12-21 16:00:00,0.067114,0.069198,0.066679
2025-12-21 20:00:00,0.067898,0.068133,0.06705
2025-12-22 00:00:00,0.068342,0.0686,0.067549
2025-12-22 04:00:00,0.068805,0.069104,0.067863
2025-12-22 08:00:00,0.068944,0.069199,0.068763
2025-12-22 12:00:00,0.069583,0.069583,0.068839
2025-12-22 16:00:00,0.069017,0.069768,0.068893
2025-12-22 20:00:00,0.068244,0.0694,0.068244
2025-12-23 00:00:00,0.068322,0.068483,0.067513
2025-12-23 04:00:00,0.068027,0.068666,0.06782
2025-12-23 08:00:00,0.066971,0.06814,0.066971
2025-12-23 12:00:00,0.067534,0.067615,0.066757
2025-12-23 16:00:00,0.066542,0.067346,0.066219
2025-12-23 20:00:00,0.068109,0.068445,0.066556
2025-12-24 00:00:00,0.068003,0.068575,0.067637
2025-12-24 04:00:00,0.067176,0.068125,0.066733
2025-12-24 08:00:00,0.066463,0.067649,0.066063
2025-12-24 12:00:00,0.066308,0.066461,0.066063
2025-12-24 16:00:00,0.066684,0.066718,0.06585
2025-12-24 20:00:00,0.067159,0.067159,0.066508
2025-12-25 00:00:00,0.067979,0.068543,0.067191
2025-12-25 04:00:00,0.068344,0.068354,0.067706
2025-12-25 08:00:00,0.068999,0.068999,0.068282
2025-12-25 12:00:00,0.068275,0.069281,0.067824
2025-12-25 16:00:00,0.068553,0.068592,0.067938
2025-12-25 20:00:00,0.071026,0.072069,0.068627
