,close,high,low
2025-12-07 16:00:00,3139.71,3220.67,3104.83
2025-12-07 20:00:00,3310.0,3314.56,3184.99
2025-12-08 00:00:00,3210.03,3314.73,3199.61
2025-12-08 04:00:00,3289.02,3291.89,3215.68
2025-12-08 12:00:00,3322.79,3335.24,3322.79
2025-12-08 16:00:00,3275.83,3327.64,3275.83
2025-12-08 20:00:00,3288.37,3300.63,3275.83
2025-12-09 00:00:00,3298.91,3322.7,3288.37
2025-12-09 04:00:00,3274.15,3304.32,3273.35
2025-12-09 12:00:00,3307.94,3324.26,3294.04
2025-12-09 16:00:00,3435.05,3435.05,3293.2
2025-12-09 20:00:00,3532.23,3589.22,3454.97
2025-12-10 00:00:00,3504.83,3542.94,3473.14
2025-12-10 04:00:00,3497.71,3510.97,3488.12
2025-12-10 08:00:00,3505.18,3507.15,3494.59
2025-12-10 12:00:00,3514.87,3559.33,3498.85
2025-12-10 16:00:00,3529.74,3557.64,3517.33
2025-12-10 20:00:00,3598.76,3629.12,3530.18
2025-12-11 00:00:00,3545.27,3623.43,3545.27
2025-12-11 04:00:00,3493.58,3547.88,3477.76
2025-12-11 08:00:00,3388.52,3415.53,3375.73
2025-12-11 12:00:00,3395.13,3406.59,3366.74
2025-12-11 16:00:00,3390.48,3395.42,3390.48
2025-12-11 20:00:00,3397.15,3397.15,3356.03
2025-12-12 00:00:00,3420.17,3444.08,3379.97
2025-12-12 04:00:00,3430.76,3441.82,3385.79
2025-12-12 08:00:00,3430.34,3443.09,3422.28
2025-12-12 12:00:00,3420.28,3436.08,3416.68
2025-12-12 16:00:00,3284.68,3431.6,3284.68
2025-12-12 20:00:00,3258.31,3284.66,3237.03
2025-12-13 00:00:00,3258.62,3280.94,3254.23
2025-12-13 04:00:00,3263.28,3267.64,3252.08
2025-12-13 08:00:00,3277.24,3286.97,3246.9
2025-12-13 12:00:00,3314.15,3323.7,3275.63
2025-12-13 16:00:00,3306.04,3322.31,3289.03
2025-12-13 20:00:00,3292.07,3310.31,3273.76
2025-12-14 00:00:00,3291.73,3309.0,3273.3
2025-12-14 04:00:00,3295.62,3305.66,3285.85
2025-12-14 08:00:00,3306.55,3306.58,3280.14
2025-12-14 12:00:00,3265.73,3311.41,3265.73
2025-12-14 16:00:00,3255.4,3292.63,3247.64
