,close,high,low
2025-12-04 12:00:00,1.005,1.005,1.001
2025-12-04 16:00:00,1.003,1.006,1.001
2025-12-04 20:00:00,1.003,1.005,0.999934
2025-12-05 00:00:00,1.004,1.005,1.0
2025-12-05 04:00:00,1.004,1.005,1.002
2025-12-05 08:00:00,1.006,1.007,1.002
2025-12-05 12:00:00,1.006,1.008,1.003
2025-12-05 16:00:00,1.005,1.008,1.004
2025-12-05 20:00:00,1.004,1.006,1.001
2025-12-06 00:00:00,1.006,1.007,1.002
2025-12-06 04:00:00,1.004,1.006,1.003
2025-12-06 08:00:00,1.006,1.006,1.003
2025-12-06 12:00:00,1.005,1.006,1.002
2025-12-06 16:00:00,1.005,1.007,1.002
2025-12-06 20:00:00,1.003,1.007,1.003
2025-12-07 00:00:00,1.004,1.005,1.002
2025-12-07 04:00:00,1.005,1.005,1.003
2025-12-07 08:00:00,1.004,1.006,1.003
2025-12-07 12:00:00,1.009,1.011,1.003
2025-12-07 16:00:00,1.016,1.017,1.007
2025-12-07 20:00:00,1.01,1.016,1.008
2025-12-08 00:00:00,1.009,1.011,1.008
2025-12-08 04:00:00,1.009,1.011,1.008
2025-12-08 08:00:00,1.0,1.01,1.0
2025-12-08 12:00:00,1.001,1.001,0.999516
2025-12-08 16:00:00,1.003,1.003,1.001
2025-12-08 20:00:00,1.003,1.004,1.002
2025-12-09 00:00:00,1.004,1.004,1.003
2025-12-09 04:00:00,1.006,1.007,1.003
2025-12-09 08:00:00,1.008,1.01,1.007
2025-12-09 12:00:00,1.008,1.01,1.007
2025-12-09 16:00:00,1.009,1.01,1.007
2025-12-09 20:00:00,1.008,1.01,1.006
2025-12-10 00:00:00,1.008,1.01,1.006
2025-12-10 04:00:00,1.008,1.011,1.007
2025-12-10 08:00:00,1.005,1.009,1.005
2025-12-10 12:00:00,1.005,1.006,1.004
2025-12-10 16:00:00,1.006,1.007,1.004
2025-12-10 20:00:00,1.006,1.007,1.003
2025-12-11 00:00:00,1.003,1.007,1.003
2025-12-11 04:00:00,1.004,1.007,1.003
2025-12-11 08:00:00,1.004,1.005,1.003
2025-12-11 12:00:00,1.005,1.008,1.003
2025-12-11 16:00:00,1.006,1.012,1.006
2025-12-11 20:00:00,1.006,1.009,1.006
2025-12-12 00:00:00,1.007,1.008,1.006
2025-12-12 04:00:00,1.008,1.008,1.005
2025-12-12 08:00:00,1.011,1.011,1.006
2025-12-12 12:00:00,1.006,1.013,1.006
2025-12-12 16:00:00,1.0,1.007,0.999324
2025-12-12 20:00:00,1.003,1.004,1.0
2025-12-13 00:00:00,1.008,1.009,1.005
2025-12-13 04:00:00,1.009,1.009,1.008
2025-12-13 08:00:00,1.009,1.009,1.008
2025-12-13 12:00:00,1.019,1.019,1.009
2025-12-13 16:00:00,1.015,1.018,1.013
2025-12-13 20:00:00,1.017,1.018,1.014
2025-12-14 00:00:00,1.018,1.019,1.013
2025-12-14 04:00:00,1.011,1.019,1.011
