,close,high,low
2025-12-09 12:00:00,2.06,2.06,2.04
2025-12-09 16:00:00,2.1,2.1,2.05
2025-12-09 20:00:00,2.13,2.17,2.12
2025-12-10 00:00:00,2.1,2.12,2.08
2025-12-10 04:00:00,2.09,2.11,2.08
2025-12-10 08:00:00,2.08,2.09,2.07
2025-12-10 12:00:00,2.04,2.09,2.04
2025-12-10 16:00:00,2.07,2.08,2.04
2025-12-10 20:00:00,2.06,2.08,2.06
2025-12-11 00:00:00,2.04,2.1,2.02
2025-12-11 04:00:00,1.99,2.05,1.99
2025-12-11 08:00:00,2.01,2.01,1.99
2025-12-11 12:00:00,2.02,2.02,2.01
2025-12-11 16:00:00,2.01,2.03,1.98
2025-12-11 20:00:00,2.01,2.03,1.98
2025-12-12 00:00:00,2.04,2.05,2.01
2025-12-12 04:00:00,2.03,2.04,2.01
2025-12-12 08:00:00,2.03,2.04,2.02
2025-12-12 12:00:00,2.04,2.04,2.01
2025-12-12 16:00:00,1.98,2.05,1.98
2025-12-12 20:00:00,2.0,2.02,1.97
2025-12-13 00:00:00,1.99,2.01,1.99
2025-12-13 04:00:00,2.01,2.01,1.99
2025-12-13 08:00:00,2.03,2.04,2.01
2025-12-13 12:00:00,2.04,2.06,2.03
2025-12-13 16:00:00,2.02,2.04,2.01
2025-12-13 20:00:00,2.02,2.04,2.0
2025-12-14 00:00:00,2.02,2.03,2.0
2025-12-14 04:00:00,2.01,2.03,2.01
2025-12-14 08:00:00,2.04,2.04,2.01
2025-12-14 12:00:00,2.0,2.04,1.99
2025-12-14 16:00:00,2.0,2.01,1.98
2025-12-14 20:00:00,1.98,2.0,1.98
2025-12-15 00:00:00,1.99,2.0,1.98
2025-12-15 04:00:00,1.99,2.0,1.97
2025-12-15 08:00:00,1.99,2.0,1.98
2025-12-15 12:00:00,1.98,2.0,1.98
2025-12-15 16:00:00,1.92,1.98,1.91
2025-12-15 20:00:00,1.89,1.93,1.87
2025-12-16 00:00:00,1.9,1.9,1.87
2025-12-16 04:00:00,1.86,1.9,1.86
2025-12-16 08:00:00,1.87,1.89,1.86
2025-12-16 12:00:00,1.91,1.92,1.86
2025-12-16 16:00:00,1.94,1.94,1.9
2025-12-16 20:00:00,1.92,1.95,1.9
2025-12-17 00:00:00,1.93,1.93,1.91
2025-12-17 04:00:00,1.94,1.95,1.91
2025-12-17 08:00:00,1.92,1.93,1.9
2025-12-17 12:00:00,1.91,1.93,1.89
2025-12-17 16:00:00,1.91,1.99,1.9
2025-12-17 20:00:00,1.86,1.92,1.85
2025-12-18 00:00:00,1.87,1.89,1.85
2025-12-18 04:00:00,1.86,1.88,1.85
2025-12-18 08:00:00,1.84,1.87,1.83
2025-12-18 12:00:00,1.87,1.88,1.84
2025-12-18 16:00:00,1.91,1.92,1.86
2025-12-18 20:00:00,1.8,1.92,1.8
2025-12-19 00:00:00,1.81,1.83,1.8
2025-12-19 04:00:00,1.84,1.84,1.76
2025-12-19 08:00:00,1.86,1.87,1.83
2025-12-19 12:00:00,1.87,1.87,1.85
2025-12-19 16:00:00,1.87,1.9,1.85
2025-12-19 20:00:00,1.91,1.92,1.87
2025-12-20 00:00:00,1.9,1.92,1.89
2025-12-20 04:00:00,1.9,1.92,1.89
2025-12-20 08:00:00,1.92,1.92,1.89
2025-12-20 12:00:00,1.94,1.96,1.91
2025-12-20 16:00:00,1.93,1.94,1.91
2025-12-20 20:00:00,1.92,1.93,1.91
2025-12-21 00:00:00,1.93,1.93,1.92
2025-12-21 04:00:00,1.92,1.94,1.91
2025-12-21 08:00:00,1.92,1.93,1.91
2025-12-21 12:00:00,1.92,1.95,1.91
2025-12-21 16:00:00,1.9,1.94,1.89
2025-12-21 20:00:00,1.91,1.91,1.88
2025-12-22 00:00:00,1.91,1.92,1.89
2025-12-22 04:00:00,1.91,1.95,1.9
2025-12-22 08:00:00,1.92,1.92,1.91
2025-12-22 12:00:00,1.93,1.93,1.91
2025-12-22 16:00:00,1.93,1.96,1.92
2025-12-22 20:00:00,1.9,1.93,1.9
2025-12-23 00:00:00,1.91,1.91,1.89
2025-12-23 04:00:00,1.9,1.91,1.89
2025-12-23 08:00:00,1.88,1.9,1.87
2025-12-23 12:00:00,1.89,1.89,1.87
2025-12-23 16:00:00,1.87,1.9,1.86
2025-12-23 20:00:00,1.87,1.89,1.86
2025-12-24 00:00:00,1.87,1.89,1.87
2025-12-24 04:00:00,1.85,1.88,1.85
2025-12-24 08:00:00,1.86,1.86,1.84
2025-12-24 12:00:00,1.86,1.87,1.84
2025-12-24 16:00:00,1.86,1.88,1.85
2025-12-24 20:00:00,1.85,1.87,1.85
2025-12-25 00:00:00,1.86,1.88,1.86
2025-12-25 04:00:00,1.87,1.87,1.86
2025-12-25 08:00:00,1.87,1.87,1.86
2025-12-25 12:00:00,1.86,1.87,1.85
2025-12-25 16:00:00,1.88,1.91,1.85
2025-12-25 20:00:00,1.88,1.88,1.86
2025-12-26 00:00:00,1.84,1.88,1.84
2025-12-26 04:00:00,1.87,1.87,1.83
2025-12-26 08:00:00,1.86,1.88,1.85
2025-12-26 12:00:00,1.87,1.88,1.86
2025-12-26 16:00:00,1.83,1.88,1.83
2025-12-26 20:00:00,1.85,1.85,1.83
2025-12-27 00:00:00,1.85,1.86,1.85
2025-12-27 04:00:00,1.85,1.85,1.84
2025-12-27 08:00:00,1.85,1.85,1.85
2025-12-27 12:00:00,1.85,1.86,1.85
2025-12-27 16:00:00,1.85,1.86,1.83
2025-12-27 20:00:00,1.85,1.86,1.85
2025-12-28 00:00:00,1.87,1.87,1.85
2025-12-28 04:00:00,1.87,1.87,1.85
2025-12-28 08:00:00,1.87,1.88,1.87
2025-12-28 12:00:00,1.87,1.87,1.86
2025-12-28 16:00:00,1.87,1.87,1.86
2025-12-28 20:00:00,1.85,1.87,1.79
2025-12-29 00:00:00,1.87,1.87,1.85
2025-12-29 04:00:00,1.91,1.91,1.86
2025-12-29 08:00:00,1.89,1.91,1.88
2025-12-29 12:00:00,1.86,1.9,1.86
2025-12-29 16:00:00,1.85,1.87,1.82
2025-12-29 20:00:00,1.85,1.87,1.84
2025-12-30 00:00:00,1.85,1.85,1.84
2025-12-30 04:00:00,1.85,1.86,1.84
2025-12-30 08:00:00,1.85,1.85,1.84
2025-12-30 12:00:00,1.85,1.86,1.84
2025-12-30 16:00:00,1.87,1.87,1.84
2025-12-30 20:00:00,1.87,1.88,1.86
2025-12-31 00:00:00,1.87,1.88,1.85
2025-12-31 04:00:00,1.86,1.88,1.86
2025-12-31 08:00:00,1.87,1.87,1.85
2025-12-31 12:00:00,1.88,1.88,1.85
2025-12-31 16:00:00,1.87,1.88,1.84
2025-12-31 20:00:00,1.83,1.87,1.81
2026-01-01 00:00:00,1.84,1.84,1.81
2026-01-01 04:00:00,1.84,1.86,1.82
2026-01-01 08:00:00,1.83,1.85,1.81
2026-01-01 12:00:00,1.88,1.88,1.82
2026-01-01 16:00:00,1.85,1.86,1.83
2026-01-01 20:00:00,1.88,1.94,1.84
2026-01-02 00:00:00,1.88,1.89,1.86
2026-01-02 04:00:00,1.89,1.89,1.86
2026-01-02 08:00:00,1.86,1.88,1.86
2026-01-02 12:00:00,1.88,1.9,1.86
2026-01-02 16:00:00,1.91,1.92,1.88
2026-01-02 20:00:00,1.98,2.0,1.91
2026-01-03 00:00:00,2.0,2.02,1.98
2026-01-03 04:00:00,2.03,2.04,2.0
2026-01-03 08:00:00,1.98,2.05,1.98
2026-01-03 12:00:00,2.0,2.01,1.98
