,close,high,low
2025-12-04 04:00:00,0.00774242,0.0078114,0.0077083
2025-12-04 08:00:00,0.0077853,0.00781102,0.0077125
2025-12-04 12:00:00,0.00771702,0.00781002,0.00770596
2025-12-04 16:00:00,0.00774529,0.00774529,0.00760821
2025-12-04 20:00:00,0.0076124,0.00778103,0.00746619
2025-12-05 00:00:00,0.00751252,0.00761035,0.00750586
2025-12-05 04:00:00,0.00753936,0.0076045,0.00750624
2025-12-05 08:00:00,0.00755604,0.00756759,0.00745677
2025-12-05 12:00:00,0.00736879,0.00756085,0.00735246
2025-12-05 16:00:00,0.00735474,0.00742631,0.00728981
2025-12-05 20:00:00,0.00708736,0.00731958,0.00696592
2025-12-06 00:00:00,0.007129,0.00718435,0.00705326
2025-12-06 04:00:00,0.00712849,0.00716495,0.00707816
2025-12-06 08:00:00,0.00712798,0.00713723,0.00707432
2025-12-06 12:00:00,0.00714401,0.0071785,0.00709657
2025-12-06 16:00:00,0.00722478,0.00724216,0.00713945
2025-12-06 20:00:00,0.00724255,0.00737652,0.00722432
2025-12-07 00:00:00,0.00718074,0.00732582,0.00717073
2025-12-07 04:00:00,0.00725707,0.00727679,0.00715751
2025-12-07 08:00:00,0.00719072,0.00728155,0.00718062
2025-12-07 12:00:00,0.00709679,0.00718781,0.00709559
2025-12-07 16:00:00,0.00701758,0.0071391,0.00688237
2025-12-07 20:00:00,0.00725354,0.00728982,0.00702247
2025-12-08 00:00:00,0.00703709,0.00728273,0.00698556
2025-12-08 04:00:00,0.00722312,0.00724377,0.00702905
2025-12-08 08:00:00,0.00731644,0.00734753,0.00722633
2025-12-08 12:00:00,0.00735639,0.00740615,0.00731252
2025-12-08 16:00:00,0.00732759,0.0074471,0.00729905
2025-12-08 20:00:00,0.00732516,0.0074374,0.00728286
2025-12-09 00:00:00,0.00729872,0.00738872,0.00728294
2025-12-09 04:00:00,0.00725533,0.00731806,0.00718664
2025-12-09 08:00:00,0.00722632,0.00727588,0.00714779
2025-12-09 12:00:00,0.00720055,0.00722865,0.00716849
2025-12-09 16:00:00,0.00757136,0.00757136,0.0072154
2025-12-09 20:00:00,0.00785315,0.007936,0.00760619
2025-12-10 00:00:00,0.00779819,0.00786236,0.00762574
2025-12-10 04:00:00,0.00762694,0.00779697,0.00761226
2025-12-10 08:00:00,0.00757743,0.00764641,0.00755056
2025-12-10 12:00:00,0.00750147,0.00764293,0.00748961
2025-12-10 16:00:00,0.00754629,0.00757299,0.00747536
2025-12-10 20:00:00,0.00776779,0.00780538,0.00753951
2025-12-11 00:00:00,0.00752438,0.00785553,0.00749485
2025-12-11 04:00:00,0.00714444,0.00751345,0.00713706
2025-12-11 08:00:00,0.00714836,0.00719153,0.00710121
2025-12-11 12:00:00,0.007148,0.00715743,0.00708662
2025-12-11 16:00:00,0.00711274,0.00720271,0.00711274
2025-12-11 20:00:00,0.00726222,0.00729497,0.00708202
2025-12-12 00:00:00,0.00738956,0.00749228,0.0072224
2025-12-12 04:00:00,0.00732491,0.00739478,0.00727921
2025-12-12 08:00:00,0.0073623,0.00744325,0.00728628
2025-12-12 12:00:00,0.00731817,0.00738773,0.0072856
2025-12-12 16:00:00,0.00707562,0.00735265,0.00707562
2025-12-12 20:00:00,0.00699883,0.00707812,0.00691049
2025-12-13 00:00:00,0.00712139,0.00713296,0.00699801
2025-12-13 04:00:00,0.0072068,0.00722134,0.00711561
2025-12-13 08:00:00,0.00719548,0.00719762,0.00713691
2025-12-13 12:00:00,0.00715506,0.00721382,0.00714727
2025-12-13 16:00:00,0.00715012,0.00717153,0.00711318
2025-12-13 20:00:00,0.00711301,0.00718141,0.00710179
2025-12-14 00:00:00,0.00715266,0.00715266,0.00706838
2025-12-14 04:00:00,0.0071061,0.00715188,0.0071061
2025-12-14 08:00:00,0.00702978,0.00710409,0.00701006
2025-12-14 12:00:00,0.00697551,0.00704563,0.0069343
2025-12-14 16:00:00,0.00693808,0.00701453,0.00691005
2025-12-14 20:00:00,0.00688465,0.00695179,0.00686675
2025-12-15 00:00:00,0.00681373,0.00692132,0.00681174
2025-12-15 04:00:00,0.00697059,0.00700858,0.00679145
2025-12-15 08:00:00,0.00693935,0.00703335,0.00693852
2025-12-15 12:00:00,0.00692613,0.00698028,0.0069188
2025-12-15 16:00:00,0.00659508,0.00697285,0.00657783
2025-12-15 20:00:00,0.00647475,0.00658848,0.00637828
2025-12-16 00:00:00,0.00651941,0.00654102,0.00642069
2025-12-16 04:00:00,0.00650225,0.00652214,0.00645826
2025-12-16 08:00:00,0.00643024,0.00651673,0.00642263
2025-12-16 12:00:00,0.0066735,0.0066735,0.00643064
2025-12-16 16:00:00,0.00667332,0.006684,0.0065513
2025-12-16 20:00:00,0.00666905,0.00668098,0.00659749
2025-12-17 00:00:00,0.00658883,0.006674,0.00658555
2025-12-17 04:00:00,0.00658819,0.00662529,0.0065652
2025-12-17 08:00:00,0.00653494,0.00659094,0.00650897
2025-12-17 12:00:00,0.00652679,0.00653117,0.00647786
2025-12-17 16:00:00,0.00654565,0.00681615,0.00652006
2025-12-17 20:00:00,0.00627624,0.0065439,0.00621138
2025-12-18 00:00:00,0.0062153,0.00633811,0.00620366
2025-12-18 04:00:00,0.00615888,0.00623757,0.00615888
2025-12-18 08:00:00,0.00607083,0.00618601,0.00606139
2025-12-18 12:00:00,0.00610067,0.00613795,0.00607985
2025-12-18 16:00:00,0.00634217,0.00637027,0.0060897
2025-12-18 20:00:00,0.00578841,0.00632108,0.00578841
2025-12-19 00:00:00,0.00589761,0.00598696,0.00577353
2025-12-19 04:00:00,0.0060485,0.00604973,0.00581837
2025-12-19 08:00:00,0.00614986,0.00618346,0.0060185
2025-12-19 12:00:00,0.00613301,0.00617936,0.00610589
2025-12-19 16:00:00,0.00623002,0.0062761,0.00612182
2025-12-19 20:00:00,0.00636898,0.00637478,0.00616328
2025-12-20 00:00:00,0.00632528,0.00638137,0.00631248
2025-12-20 04:00:00,0.00630343,0.00631855,0.00627064
2025-12-20 08:00:00,0.00636516,0.00636516,0.00626877
2025-12-20 12:00:00,0.00635604,0.00641202,0.00631602
2025-12-20 16:00:00,0.0063004,0.00636142,0.0062827
2025-12-20 20:00:00,0.00630203,0.00631256,0.00627771
2025-12-21 00:00:00,0.00630576,0.00634426,0.00629958
2025-12-21 04:00:00,0.00622394,0.0063074,0.00617978
2025-12-21 08:00:00,0.00620644,0.00622438,0.00619954
2025-12-21 12:00:00,0.00619432,0.00626472,0.00619307
2025-12-21 16:00:00,0.00600988,0.00620265,0.00599175
2025-12-21 20:00:00,0.00609449,0.00610274,0.00600788
2025-12-22 00:00:00,0.00613854,0.00616441,0.00604315
2025-12-22 04:00:00,0.0061832,0.00624404,0.0061107
2025-12-22 08:00:00,0.00624695,0.00626181,0.00618729
2025-12-22 12:00:00,0.00628987,0.00632613,0.00624467
2025-12-22 16:00:00,0.00625226,0.00631036,0.0062365
2025-12-22 20:00:00,0.00612925,0.0063166,0.00612925
2025-12-23 00:00:00,0.00619786,0.00620154,0.00608797
2025-12-23 04:00:00,0.00614654,0.0062458,0.00614027
2025-12-23 08:00:00,0.00609332,0.00614655,0.00606181
2025-12-23 12:00:00,0.00609626,0.00610711,0.00606357
2025-12-23 16:00:00,0.00601588,0.00607877,0.00597454
2025-12-23 20:00:00,0.00611451,0.0061544,0.00601488
2025-12-24 00:00:00,0.00613043,0.0061794,0.0061025
2025-12-24 04:00:00,0.00605773,0.00615745,0.00601196
2025-12-24 08:00:00,0.00602205,0.00608682,0.00596603
2025-12-24 12:00:00,0.00602116,0.0060292,0.00599155
2025-12-24 16:00:00,0.00607407,0.00608075,0.00599359
2025-12-24 20:00:00,0.00609325,0.00609597,0.00605169
2025-12-25 00:00:00,0.00613135,0.00617175,0.0060942
2025-12-25 04:00:00,0.00621048,0.00621748,0.0061056
2025-12-25 08:00:00,0.00622199,0.00624609,0.00619605
2025-12-25 12:00:00,0.00613692,0.00625878,0.00612674
