,close,high,low
2025-12-04 16:00:00,0.999951,0.999983,0.999473
2025-12-04 20:00:00,0.999643,1.0,0.999594
2025-12-05 00:00:00,0.999555,0.999761,0.999545
2025-12-05 04:00:00,0.999722,0.999733,0.999525
2025-12-05 08:00:00,0.999625,0.99971,0.999565
2025-12-05 12:00:00,0.999661,0.999805,0.999539
2025-12-05 16:00:00,0.999706,0.999732,0.999572
2025-12-05 20:00:00,0.999487,0.999894,0.999462
2025-12-06 00:00:00,0.999537,1.001,0.99948
2025-12-06 04:00:00,1.0,1.0,0.999401
2025-12-06 08:00:00,1.011,1.011,0.999976
2025-12-06 12:00:00,1.0,1.0,0.999503
2025-12-06 16:00:00,0.999793,1.0,0.999414
2025-12-06 20:00:00,1.001,1.001,0.999457
2025-12-07 00:00:00,0.999424,1.001,0.999223
2025-12-07 04:00:00,0.999606,0.999606,0.99936
2025-12-07 08:00:00,0.999819,0.999827,0.999542
2025-12-07 12:00:00,0.999829,0.999976,0.999629
2025-12-07 16:00:00,0.999764,1.0,0.999338
2025-12-07 20:00:00,0.999949,0.99997,0.999607
2025-12-08 00:00:00,0.999763,1.0,0.999728
2025-12-08 04:00:00,0.999674,0.999919,0.999598
2025-12-08 08:00:00,0.999606,0.999692,0.999517
2025-12-08 12:00:00,0.999711,0.999844,0.999384
2025-12-08 16:00:00,0.999595,0.999786,0.999435
2025-12-08 20:00:00,0.999924,0.999924,0.998971
2025-12-09 00:00:00,0.999975,0.999975,0.999886
2025-12-09 04:00:00,1.0,1.0,0.999562
2025-12-09 08:00:00,0.999854,1.0,0.999534
2025-12-09 12:00:00,0.999941,1.0,0.999039
2025-12-09 16:00:00,1.001,1.001,0.999576
2025-12-09 20:00:00,0.999958,1.001,0.999745
2025-12-10 00:00:00,1.001,1.001,0.99962
2025-12-10 04:00:00,1.0,1.001,0.999831
2025-12-10 08:00:00,1.0,1.001,1.0
2025-12-10 12:00:00,0.999873,1.001,0.999515
2025-12-10 16:00:00,1.0,1.0,0.999818
