,close,high,low
2025-12-04 12:00:00,0.142075,0.144979,0.142033
2025-12-04 16:00:00,0.140955,0.143012,0.140955
2025-12-04 20:00:00,0.139639,0.140903,0.139379
2025-12-05 00:00:00,0.141637,0.142274,0.139231
2025-12-05 04:00:00,0.143706,0.143706,0.140688
2025-12-05 08:00:00,0.143382,0.143382,0.140847
2025-12-05 12:00:00,0.139063,0.143434,0.139063
2025-12-05 16:00:00,0.139894,0.140971,0.138617
2025-12-05 20:00:00,0.139727,0.140543,0.139434
2025-12-06 00:00:00,0.141316,0.141634,0.139588
2025-12-06 04:00:00,0.140072,0.141447,0.139448
2025-12-06 08:00:00,0.139681,0.140863,0.139082
2025-12-06 12:00:00,0.140287,0.140642,0.13912
2025-12-06 16:00:00,0.139996,0.141174,0.13926
2025-12-06 20:00:00,0.141571,0.141571,0.139238
2025-12-07 00:00:00,0.139039,0.141793,0.138946
2025-12-07 04:00:00,0.13894,0.141705,0.138882
2025-12-07 08:00:00,0.137694,0.138831,0.137694
2025-12-07 12:00:00,0.138404,0.139476,0.136731
2025-12-07 16:00:00,0.138924,0.138924,0.136551
2025-12-07 20:00:00,0.142338,0.142338,0.139496
2025-12-08 00:00:00,0.141226,0.144227,0.1412
2025-12-08 04:00:00,0.144792,0.144998,0.141111
2025-12-08 08:00:00,0.14117,0.144616,0.14117
2025-12-08 12:00:00,0.141486,0.141939,0.140913
2025-12-08 16:00:00,0.141634,0.143515,0.140647
2025-12-08 20:00:00,0.139752,0.142696,0.1396
2025-12-09 00:00:00,0.143718,0.143719,0.138308
2025-12-09 04:00:00,0.144329,0.146183,0.143808
2025-12-09 08:00:00,0.14187,0.144771,0.141553
2025-12-09 12:00:00,0.143159,0.144919,0.141903
2025-12-09 16:00:00,0.146973,0.146973,0.14225
2025-12-09 20:00:00,0.147739,0.148299,0.14526
2025-12-10 00:00:00,0.147593,0.147843,0.146898
2025-12-10 04:00:00,0.147526,0.148286,0.147128
2025-12-10 08:00:00,0.145489,0.147686,0.145489
2025-12-10 12:00:00,0.145212,0.14528,0.143632
2025-12-10 16:00:00,0.145858,0.145858,0.142608
2025-12-10 20:00:00,0.145948,0.146538,0.145043
2025-12-11 00:00:00,0.147742,0.147742,0.146091
2025-12-11 04:00:00,0.146379,0.147893,0.146188
2025-12-11 08:00:00,0.145822,0.146841,0.144403
2025-12-11 12:00:00,0.146891,0.146891,0.144492
2025-12-11 16:00:00,0.147134,0.147386,0.146259
2025-12-11 20:00:00,0.146737,0.14815,0.146234
2025-12-12 00:00:00,0.148123,0.148123,0.146544
2025-12-12 04:00:00,0.142959,0.148124,0.142481
2025-12-12 08:00:00,0.140518,0.142833,0.140518
2025-12-12 12:00:00,0.140634,0.143183,0.140048
2025-12-12 16:00:00,0.140367,0.142794,0.139468
2025-12-12 20:00:00,0.138957,0.140182,0.138795
2025-12-13 00:00:00,0.139468,0.139793,0.138241
2025-12-13 04:00:00,0.141436,0.141476,0.139256
2025-12-13 08:00:00,0.142717,0.142935,0.140263
2025-12-13 12:00:00,0.142647,0.143171,0.141389
2025-12-13 16:00:00,0.142542,0.142966,0.141258
2025-12-13 20:00:00,0.141583,0.142459,0.141056
2025-12-14 00:00:00,0.141877,0.142486,0.14176
2025-12-14 04:00:00,0.141894,0.14254,0.141012
2025-12-14 08:00:00,0.141669,0.14232,0.14111
2025-12-14 12:00:00,0.139548,0.141746,0.139548
2025-12-14 16:00:00,0.139484,0.140527,0.139004
2025-12-14 20:00:00,0.137472,0.1395,0.136984
2025-12-15 00:00:00,0.13576,0.138004,0.135548
2025-12-15 04:00:00,0.136197,0.136885,0.135538
2025-12-15 08:00:00,0.137938,0.137938,0.135972
2025-12-15 12:00:00,0.134489,0.138024,0.134455
2025-12-15 16:00:00,0.129272,0.13434,0.129254
2025-12-15 20:00:00,0.130557,0.130557,0.124638
2025-12-16 00:00:00,0.130076,0.130972,0.127609
2025-12-16 04:00:00,0.130029,0.130474,0.129015
2025-12-16 08:00:00,0.133964,0.139171,0.129546
2025-12-16 12:00:00,0.133538,0.138697,0.133538
2025-12-16 16:00:00,0.134396,0.135193,0.133261
2025-12-16 20:00:00,0.131116,0.133154,0.130451
2025-12-17 00:00:00,0.133105,0.133105,0.129826
2025-12-17 04:00:00,0.138312,0.138517,0.133041
2025-12-17 08:00:00,0.137616,0.138315,0.13526
2025-12-17 12:00:00,0.13727,0.137794,0.136093
2025-12-17 16:00:00,0.145784,0.145784,0.13694
2025-12-17 20:00:00,0.12638,0.145093,0.12638
2025-12-18 00:00:00,0.132848,0.133054,0.120739
2025-12-18 04:00:00,0.135494,0.135812,0.132365
2025-12-18 08:00:00,0.137851,0.138097,0.135302
2025-12-18 12:00:00,0.137333,0.139131,0.135424
2025-12-18 16:00:00,0.139269,0.139504,0.134403
2025-12-18 20:00:00,0.136665,0.140776,0.136222
2025-12-19 00:00:00,0.137297,0.13749,0.135677
2025-12-19 04:00:00,0.13793,0.13793,0.135796
2025-12-19 08:00:00,0.139264,0.139264,0.137831
2025-12-19 12:00:00,0.137856,0.139558,0.13712
2025-12-19 16:00:00,0.138822,0.138822,0.137223
2025-12-19 20:00:00,0.139754,0.139754,0.138151
2025-12-20 00:00:00,0.139179,0.139931,0.138865
2025-12-20 04:00:00,0.140772,0.140772,0.139169
2025-12-20 08:00:00,0.139864,0.140778,0.138846
2025-12-20 12:00:00,0.14266,0.14266,0.139827
2025-12-20 16:00:00,0.1424,0.143554,0.141932
2025-12-20 20:00:00,0.140882,0.142676,0.140434
2025-12-21 00:00:00,0.14058,0.1412,0.140056
2025-12-21 04:00:00,0.139089,0.140871,0.138583
2025-12-21 08:00:00,0.14214,0.142245,0.138507
2025-12-21 12:00:00,0.140825,0.142173,0.14009
2025-12-21 16:00:00,0.140495,0.141052,0.139418
2025-12-21 20:00:00,0.13966,0.14107,0.139402
2025-12-22 00:00:00,0.137359,0.139767,0.137359
2025-12-22 04:00:00,0.136524,0.137539,0.136442
2025-12-22 08:00:00,0.13595,0.136803,0.13595
2025-12-22 12:00:00,0.135795,0.136538,0.135648
2025-12-22 16:00:00,0.137519,0.137519,0.135221
2025-12-22 20:00:00,0.140041,0.141094,0.137607
2025-12-23 00:00:00,0.138837,0.140184,0.138105
2025-12-23 04:00:00,0.13948,0.14041,0.138166
2025-12-23 08:00:00,0.138967,0.140955,0.138502
2025-12-23 12:00:00,0.140054,0.140507,0.138253
2025-12-23 16:00:00,0.139562,0.140118,0.138782
2025-12-23 20:00:00,0.141864,0.141864,0.136836
2025-12-24 00:00:00,0.140619,0.142786,0.139521
2025-12-24 04:00:00,0.14037,0.141857,0.139918
2025-12-24 08:00:00,0.141116,0.141648,0.139829
2025-12-24 12:00:00,0.137665,0.140443,0.137435
2025-12-24 16:00:00,0.140757,0.140925,0.137885
2025-12-24 20:00:00,0.141899,0.141899,0.139095
2025-12-25 00:00:00,0.14032,0.142364,0.140053
2025-12-25 04:00:00,0.13976,0.141694,0.13976
2025-12-25 08:00:00,0.14341,0.143738,0.139702
2025-12-25 12:00:00,0.144122,0.144201,0.143311
2025-12-25 16:00:00,0.142987,0.144216,0.142034
2025-12-25 20:00:00,0.143384,0.143681,0.14261
2025-12-26 00:00:00,0.14225,0.143641,0.142162
2025-12-26 04:00:00,0.143989,0.144071,0.142402
