,close,high,low
2025-12-04 12:00:00,8.93,9.0,8.93
2025-12-04 16:00:00,8.9,8.94,8.79
2025-12-04 20:00:00,8.74,8.94,8.64
2025-12-05 00:00:00,8.69,8.77,8.69
2025-12-05 04:00:00,8.75,8.8,8.69
2025-12-05 08:00:00,8.78,8.81,8.75
2025-12-05 12:00:00,8.63,8.79,8.6
2025-12-05 16:00:00,8.69,8.73,8.58
2025-12-05 20:00:00,8.49,8.66,8.43
2025-12-06 00:00:00,8.53,8.56,8.49
2025-12-06 04:00:00,8.65,8.65,8.48
2025-12-06 08:00:00,8.65,8.7,8.64
2025-12-06 12:00:00,8.63,8.66,8.61
2025-12-06 16:00:00,8.56,8.65,8.54
2025-12-06 20:00:00,8.6,8.66,8.56
2025-12-07 00:00:00,8.63,8.66,8.61
2025-12-07 04:00:00,8.89,8.89,8.63
2025-12-07 08:00:00,8.85,8.9,8.83
2025-12-07 12:00:00,8.8,8.86,8.77
2025-12-07 16:00:00,8.68,8.81,8.55
2025-12-07 20:00:00,8.96,8.99,8.68
2025-12-08 00:00:00,8.74,8.98,8.69
2025-12-08 04:00:00,8.94,9.07,8.71
2025-12-08 08:00:00,8.89,8.97,8.88
2025-12-08 12:00:00,8.88,9.02,8.88
2025-12-08 16:00:00,8.87,8.99,8.85
2025-12-08 20:00:00,8.78,8.89,8.75
2025-12-09 00:00:00,8.75,8.83,8.75
2025-12-09 04:00:00,8.67,8.77,8.59
2025-12-09 08:00:00,8.65,8.68,8.58
2025-12-09 12:00:00,8.61,8.64,8.59
2025-12-09 16:00:00,8.87,8.87,8.61
2025-12-09 20:00:00,9.22,9.29,8.89
2025-12-10 00:00:00,9.11,9.21,9.02
2025-12-10 04:00:00,8.95,9.11,8.91
2025-12-10 08:00:00,8.96,8.97,8.92
2025-12-10 12:00:00,8.92,9.01,8.89
2025-12-10 16:00:00,9.05,9.05,8.93
2025-12-10 20:00:00,9.12,9.17,9.02
2025-12-11 00:00:00,8.92,9.25,8.92
2025-12-11 04:00:00,8.58,8.9,8.57
2025-12-11 08:00:00,8.58,8.72,8.56
2025-12-11 12:00:00,8.48,8.58,8.45
2025-12-11 16:00:00,8.45,8.52,8.43
2025-12-11 20:00:00,8.52,8.54,8.45
2025-12-12 00:00:00,8.67,8.78,8.48
2025-12-12 04:00:00,8.62,8.68,8.54
2025-12-12 08:00:00,8.6,8.67,8.56
2025-12-12 12:00:00,8.64,8.66,8.61
2025-12-12 16:00:00,8.43,8.69,8.43
2025-12-12 20:00:00,8.4,8.49,8.33
2025-12-13 00:00:00,8.47,8.47,8.37
2025-12-13 04:00:00,8.44,8.49,8.44
2025-12-13 08:00:00,8.48,8.51,8.44
