,close,high,low
2025-12-08 08:00:00,1.2,1.26,1.2
2025-12-08 12:00:00,1.21,1.33,1.14
2025-12-08 16:00:00,1.21,1.32,1.19
2025-12-08 20:00:00,1.36,1.39,1.15
2025-12-09 00:00:00,1.38,1.4,1.31
2025-12-09 04:00:00,1.37,1.38,1.35
2025-12-09 08:00:00,1.49,1.49,1.37
2025-12-09 12:00:00,1.49,1.49,1.49
2025-12-09 16:00:00,1.49,1.49,1.49
2025-12-09 20:00:00,1.49,1.49,1.49
2025-12-10 00:00:00,1.4,1.49,1.39
2025-12-10 04:00:00,1.44,1.44,1.4
2025-12-10 08:00:00,1.52,1.52,1.44
2025-12-10 12:00:00,1.56,1.56,1.52
2025-12-10 16:00:00,1.56,1.56,1.56
2025-12-10 20:00:00,1.56,1.56,1.56
2025-12-11 00:00:00,1.66,1.66,1.56
2025-12-11 04:00:00,1.66,1.66,1.66
2025-12-11 08:00:00,1.66,1.66,1.66
2025-12-11 12:00:00,1.72,1.72,1.66
2025-12-11 16:00:00,1.72,1.72,1.72
2025-12-11 20:00:00,1.78,1.78,1.72
2025-12-12 00:00:00,1.78,1.78,1.78
2025-12-12 04:00:00,1.78,1.78,1.78
2025-12-12 08:00:00,1.78,1.78,1.77
2025-12-12 12:00:00,1.78,1.78,1.78
2025-12-12 16:00:00,1.78,1.78,1.78
2025-12-12 20:00:00,1.78,1.78,1.77
2025-12-13 00:00:00,1.81,1.81,1.76
2025-12-13 04:00:00,1.82,1.92,1.8
2025-12-13 08:00:00,1.84,1.84,1.81
2025-12-13 12:00:00,1.84,1.85,1.84
2025-12-13 16:00:00,1.84,1.85,1.84
2025-12-13 20:00:00,1.85,1.93,1.84
2025-12-14 00:00:00,1.88,1.88,1.84
2025-12-14 04:00:00,1.91,1.91,1.88
2025-12-14 08:00:00,1.91,1.91,1.9
2025-12-14 12:00:00,1.91,1.91,1.9
2025-12-14 16:00:00,1.91,1.91,1.9
2025-12-14 20:00:00,1.9,1.91,1.9
2025-12-15 00:00:00,2.0,2.0,1.89
2025-12-15 04:00:00,2.0,2.0,1.99
2025-12-15 08:00:00,2.0,2.0,1.99
2025-12-15 12:00:00,2.0,2.0,2.0
2025-12-15 16:00:00,2.0,2.0,2.0
2025-12-15 20:00:00,2.0,2.0,2.0
2025-12-16 00:00:00,2.0,2.0,1.99
2025-12-16 04:00:00,2.0,2.0,2.0
2025-12-16 08:00:00,2.11,2.14,1.98
2025-12-16 12:00:00,2.07,2.19,2.06
2025-12-16 16:00:00,2.09,2.09,2.06
2025-12-16 20:00:00,2.16,2.16,2.08
2025-12-17 00:00:00,2.16,2.29,2.1
2025-12-17 04:00:00,2.2,2.2,2.11
2025-12-17 08:00:00,2.16,2.22,2.16
2025-12-17 12:00:00,2.16,2.2,2.1
2025-12-17 16:00:00,2.14,2.21,2.09
2025-12-17 20:00:00,2.2,2.2,2.1
2025-12-18 00:00:00,2.36,2.37,2.18
2025-12-18 04:00:00,2.42,2.48,2.36
