,close,high,low
2025-12-04 20:00:00,0.137668,0.140798,0.13525
2025-12-05 00:00:00,0.137286,0.137861,0.13584
2025-12-05 04:00:00,0.137695,0.138268,0.136957
2025-12-05 08:00:00,0.137464,0.138004,0.135808
2025-12-05 12:00:00,0.13266,0.137495,0.132232
2025-12-05 16:00:00,0.133261,0.134343,0.131601
2025-12-05 20:00:00,0.129992,0.132768,0.128493
2025-12-06 00:00:00,0.131324,0.132575,0.129097
2025-12-06 04:00:00,0.133122,0.136061,0.130614
2025-12-06 08:00:00,0.133724,0.134618,0.131302
2025-12-06 12:00:00,0.140145,0.143755,0.132431
2025-12-06 16:00:00,0.140192,0.140807,0.136366
2025-12-06 20:00:00,0.139842,0.143255,0.138751
2025-12-07 00:00:00,0.141051,0.141162,0.138278
2025-12-07 04:00:00,0.139163,0.141049,0.138579
2025-12-07 08:00:00,0.137279,0.140301,0.137011
2025-12-07 12:00:00,0.135019,0.137376,0.134823
2025-12-07 16:00:00,0.133825,0.135983,0.131227
2025-12-07 20:00:00,0.135794,0.136885,0.133299
2025-12-08 00:00:00,0.131793,0.135828,0.130436
2025-12-08 04:00:00,0.13119,0.133898,0.131106
2025-12-08 08:00:00,0.131975,0.13235,0.13107
2025-12-08 12:00:00,0.131695,0.132511,0.131695
2025-12-08 16:00:00,0.129471,0.132605,0.129471
2025-12-08 20:00:00,0.130316,0.131724,0.129602
2025-12-09 00:00:00,0.132091,0.132768,0.130124
2025-12-09 04:00:00,0.130308,0.13227,0.129178
2025-12-09 08:00:00,0.13002,0.130673,0.128777
2025-12-09 12:00:00,0.129678,0.130053,0.128507
2025-12-09 16:00:00,0.133697,0.133697,0.129635
2025-12-09 20:00:00,0.161934,0.177376,0.13421
2025-12-10 00:00:00,0.150689,0.161689,0.150689
2025-12-10 04:00:00,0.147281,0.153524,0.146068
2025-12-10 08:00:00,0.150337,0.159926,0.146641
2025-12-10 12:00:00,0.144377,0.157696,0.144377
2025-12-10 16:00:00,0.152673,0.154853,0.14406
2025-12-10 20:00:00,0.148753,0.153155,0.148753
2025-12-11 00:00:00,0.156962,0.157611,0.148557
2025-12-11 04:00:00,0.144212,0.156543,0.143909
2025-12-11 08:00:00,0.149769,0.151468,0.144177
2025-12-11 12:00:00,0.144386,0.149595,0.144358
2025-12-11 16:00:00,0.150184,0.15598,0.144511
2025-12-11 20:00:00,0.159186,0.168288,0.149302
2025-12-12 00:00:00,0.155127,0.159332,0.152417
2025-12-12 04:00:00,0.150073,0.155218,0.149042
2025-12-12 08:00:00,0.150464,0.150613,0.148698
2025-12-12 12:00:00,0.148879,0.151271,0.148418
2025-12-12 16:00:00,0.142426,0.150296,0.142426
2025-12-12 20:00:00,0.139754,0.141602,0.139284
2025-12-13 00:00:00,0.143973,0.143973,0.139791
2025-12-13 04:00:00,0.141727,0.145187,0.141339
2025-12-13 08:00:00,0.143431,0.143431,0.139871
2025-12-13 12:00:00,0.151967,0.153586,0.143266
2025-12-13 16:00:00,0.148493,0.153517,0.148493
2025-12-13 20:00:00,0.149961,0.150178,0.147181
2025-12-14 00:00:00,0.148082,0.151534,0.14694
2025-12-14 04:00:00,0.151085,0.151657,0.147112
2025-12-14 08:00:00,0.156156,0.156403,0.149874
2025-12-14 12:00:00,0.1504,0.165254,0.1504
2025-12-14 16:00:00,0.148637,0.153233,0.148502
2025-12-14 20:00:00,0.147104,0.149093,0.146838
2025-12-15 00:00:00,0.144542,0.148165,0.14434
2025-12-15 04:00:00,0.145122,0.147306,0.144139
2025-12-15 08:00:00,0.145206,0.146965,0.145202
2025-12-15 12:00:00,0.142911,0.146715,0.142671
2025-12-15 16:00:00,0.136163,0.143158,0.13526
2025-12-15 20:00:00,0.132272,0.135831,0.13072
2025-12-16 00:00:00,0.136593,0.136991,0.13185
2025-12-16 04:00:00,0.132992,0.136449,0.132464
2025-12-16 08:00:00,0.131726,0.1345,0.131666
2025-12-16 12:00:00,0.133895,0.13422,0.131933
2025-12-16 16:00:00,0.134212,0.134212,0.132677
2025-12-16 20:00:00,0.133507,0.13485,0.132236
2025-12-17 00:00:00,0.133906,0.134492,0.132682
2025-12-17 04:00:00,0.134506,0.134897,0.132781
