,close,high,low
2025-12-04 12:00:00,0.068199,0.068596,0.068073
2025-12-04 16:00:00,0.067919,0.068301,0.067108
2025-12-04 20:00:00,0.066966,0.068262,0.065994
2025-12-05 00:00:00,0.066929,0.067172,0.066559
2025-12-05 04:00:00,0.067185,0.06757,0.066993
2025-12-05 08:00:00,0.067347,0.067347,0.066503
2025-12-05 12:00:00,0.066413,0.067317,0.066123
2025-12-05 16:00:00,0.066195,0.066555,0.065488
2025-12-05 20:00:00,0.06457,0.065851,0.063678
2025-12-06 00:00:00,0.065302,0.065413,0.064455
2025-12-06 04:00:00,0.065457,0.065761,0.065078
2025-12-06 08:00:00,0.06532,0.065447,0.064952
2025-12-06 12:00:00,0.065858,0.065858,0.064928
2025-12-06 16:00:00,0.06617,0.066377,0.065673
2025-12-06 20:00:00,0.066882,0.06736,0.066224
2025-12-07 00:00:00,0.066954,0.067618,0.066739
2025-12-07 04:00:00,0.067056,0.06706,0.066707
2025-12-07 08:00:00,0.066418,0.067046,0.066233
2025-12-07 12:00:00,0.065462,0.066306,0.06543
2025-12-07 16:00:00,0.064511,0.065653,0.063217
2025-12-07 20:00:00,0.066136,0.066401,0.064492
2025-12-08 00:00:00,0.065006,0.066372,0.064353
2025-12-08 04:00:00,0.06613,0.066321,0.064985
2025-12-08 08:00:00,0.066364,0.066642,0.066053
2025-12-08 12:00:00,0.066724,0.067123,0.066298
2025-12-08 16:00:00,0.065882,0.066884,0.065732
2025-12-08 20:00:00,0.065757,0.066623,0.065496
2025-12-09 00:00:00,0.065881,0.066246,0.065547
2025-12-09 04:00:00,0.065528,0.065952,0.065073
2025-12-09 08:00:00,0.065708,0.065749,0.064625
2025-12-09 12:00:00,0.065897,0.065934,0.065352
2025-12-09 16:00:00,0.0685,0.0685,0.066017
2025-12-09 20:00:00,0.070024,0.070862,0.06859
2025-12-10 00:00:00,0.069628,0.070007,0.068842
2025-12-10 04:00:00,0.06911,0.069617,0.068883
2025-12-10 08:00:00,0.068975,0.069308,0.068728
2025-12-10 12:00:00,0.067483,0.069011,0.067386
2025-12-10 16:00:00,0.067833,0.068036,0.067474
2025-12-10 20:00:00,0.06905,0.069229,0.067838
2025-12-11 00:00:00,0.067335,0.069911,0.067303
2025-12-11 04:00:00,0.064796,0.067376,0.064738
2025-12-11 08:00:00,0.065108,0.065539,0.064564
2025-12-11 12:00:00,0.065196,0.065352,0.064481
2025-12-11 16:00:00,0.065123,0.065584,0.064983
2025-12-11 20:00:00,0.065525,0.06573,0.064817
2025-12-12 00:00:00,0.06556,0.066557,0.065128
2025-12-12 04:00:00,0.06585,0.066068,0.065226
2025-12-12 08:00:00,0.066083,0.066399,0.065456
2025-12-12 12:00:00,0.065816,0.066152,0.065667
2025-12-12 16:00:00,0.064003,0.065975,0.064003
2025-12-12 20:00:00,0.063375,0.064052,0.062756
2025-12-13 00:00:00,0.06454,0.064545,0.063391
2025-12-13 04:00:00,0.065328,0.065378,0.06453
2025-12-13 08:00:00,0.06532,0.065572,0.065017
2025-12-13 12:00:00,0.06488,0.065562,0.06488
2025-12-13 16:00:00,0.065058,0.065119,0.064733
2025-12-13 20:00:00,0.065035,0.065325,0.064907
2025-12-14 00:00:00,0.06494,0.065084,0.064671
2025-12-14 04:00:00,0.064661,0.064956,0.064661
2025-12-14 08:00:00,0.063477,0.064629,0.063457
2025-12-14 12:00:00,0.063106,0.063604,0.062817
2025-12-14 16:00:00,0.062496,0.063397,0.06244
2025-12-14 20:00:00,0.061835,0.062916,0.061732
2025-12-15 00:00:00,0.06205,0.0622,0.06151
2025-12-15 04:00:00,0.061851,0.062688,0.061521
2025-12-15 08:00:00,0.061545,0.062088,0.061505
2025-12-15 12:00:00,0.060734,0.061709,0.060734
2025-12-15 16:00:00,0.057959,0.060736,0.057651
2025-12-15 20:00:00,0.056591,0.057908,0.056009
2025-12-16 00:00:00,0.05735,0.05735,0.056051
2025-12-16 04:00:00,0.057029,0.057499,0.05656
2025-12-16 08:00:00,0.05593,0.057062,0.05589
2025-12-16 12:00:00,0.057073,0.057195,0.055859
2025-12-16 16:00:00,0.056232,0.057096,0.055709
2025-12-16 20:00:00,0.055818,0.056392,0.055196
2025-12-17 00:00:00,0.05566,0.055842,0.055563
2025-12-17 04:00:00,0.054296,0.055835,0.054198
2025-12-17 08:00:00,0.0539,0.054353,0.053591
2025-12-17 12:00:00,0.054312,0.054312,0.053597
2025-12-17 16:00:00,0.054183,0.055938,0.054183
2025-12-17 20:00:00,0.05269,0.054217,0.051984
2025-12-18 00:00:00,0.052627,0.052946,0.05213
2025-12-18 04:00:00,0.052568,0.053358,0.052518
2025-12-18 08:00:00,0.051961,0.052855,0.051733
2025-12-18 12:00:00,0.05235,0.052504,0.052072
2025-12-18 16:00:00,0.053583,0.054046,0.0524
2025-12-18 20:00:00,0.04952612,0.053538,0.04952612
2025-12-19 00:00:00,0.050308,0.050682,0.04945303
2025-12-19 04:00:00,0.051819,0.051819,0.050002
2025-12-19 08:00:00,0.051951,0.052343,0.051341
2025-12-19 12:00:00,0.052789,0.052789,0.051887
2025-12-19 16:00:00,0.052992,0.053319,0.052496
2025-12-19 20:00:00,0.054283,0.05439,0.052889
2025-12-20 00:00:00,0.053936,0.054523,0.053936
2025-12-20 04:00:00,0.054363,0.054429,0.053976
2025-12-20 08:00:00,0.055082,0.055082,0.053792
