,close,high,low
2025-12-04 04:00:00,0.103648,0.104664,0.103442
2025-12-04 08:00:00,0.103978,0.104435,0.103503
2025-12-04 12:00:00,0.10318,0.104068,0.103005
2025-12-04 16:00:00,0.102676,0.102973,0.101009
2025-12-04 20:00:00,0.10099,0.103667,0.099064
2025-12-05 00:00:00,0.100787,0.101614,0.100498
2025-12-05 04:00:00,0.101816,0.103036,0.100704
2025-12-05 08:00:00,0.103372,0.103372,0.100559
2025-12-05 12:00:00,0.102152,0.104346,0.101854
2025-12-05 16:00:00,0.103933,0.104621,0.102226
2025-12-05 20:00:00,0.099666,0.103332,0.098081
2025-12-06 00:00:00,0.099996,0.10093,0.099575
2025-12-06 04:00:00,0.100748,0.100813,0.099584
2025-12-06 08:00:00,0.100025,0.10071,0.099895
2025-12-06 12:00:00,0.100197,0.100379,0.099211
2025-12-06 16:00:00,0.1014,0.101668,0.10017
2025-12-06 20:00:00,0.102072,0.102469,0.101276
2025-12-07 00:00:00,0.102861,0.104344,0.102139
2025-12-07 04:00:00,0.103945,0.104435,0.102896
2025-12-07 08:00:00,0.103357,0.104422,0.103012
2025-12-07 12:00:00,0.101865,0.103407,0.10174
2025-12-07 16:00:00,0.100836,0.102408,0.098688
2025-12-07 20:00:00,0.10457,0.10461,0.100212
2025-12-08 00:00:00,0.100787,0.104878,0.100207
2025-12-08 04:00:00,0.102823,0.103363,0.100941
2025-12-08 08:00:00,0.103836,0.104158,0.102865
2025-12-08 12:00:00,0.103076,0.104729,0.102978
2025-12-08 16:00:00,0.103026,0.103997,0.102791
2025-12-08 20:00:00,0.10348,0.104201,0.102694
2025-12-09 00:00:00,0.103521,0.104023,0.10311
2025-12-09 04:00:00,0.102854,0.103756,0.10202
2025-12-09 08:00:00,0.102835,0.102998,0.101921
2025-12-09 12:00:00,0.10254,0.10291,0.102138
2025-12-09 16:00:00,0.106994,0.106994,0.102559
2025-12-09 20:00:00,0.10813,0.110266,0.107084
2025-12-10 00:00:00,0.107077,0.10815,0.106042
2025-12-10 04:00:00,0.106322,0.107362,0.1055
2025-12-10 08:00:00,0.106078,0.106951,0.105824
2025-12-10 12:00:00,0.105021,0.106502,0.104905
2025-12-10 16:00:00,0.105713,0.106197,0.104796
2025-12-10 20:00:00,0.107764,0.107947,0.105591
2025-12-11 00:00:00,0.104597,0.109365,0.104572
2025-12-11 04:00:00,0.100311,0.104508,0.100086
2025-12-11 08:00:00,0.10074,0.101561,0.100086
