,close,high,low
2025-12-04 20:00:00,0.07548,0.075864,0.074297
2025-12-05 00:00:00,0.074828,0.07575,0.07478
2025-12-05 04:00:00,0.074498,0.075143,0.074372
2025-12-05 08:00:00,0.074124,0.0746,0.073761
2025-12-05 12:00:00,0.073149,0.074171,0.072762
2025-12-05 16:00:00,0.072142,0.073071,0.071878
2025-12-05 20:00:00,0.069633,0.071928,0.068874
2025-12-06 00:00:00,0.069368,0.069525,0.068911
2025-12-06 04:00:00,0.069777,0.069816,0.068812
2025-12-06 08:00:00,0.069756,0.069777,0.069461
2025-12-06 12:00:00,0.069882,0.069882,0.069264
2025-12-06 16:00:00,0.0705,0.070605,0.069747
2025-12-06 20:00:00,0.071369,0.072104,0.070502
2025-12-07 00:00:00,0.07179,0.072252,0.071355
2025-12-07 04:00:00,0.072252,0.072323,0.071802
2025-12-07 08:00:00,0.071596,0.072204,0.071452
2025-12-07 12:00:00,0.070575,0.071569,0.070466
2025-12-07 16:00:00,0.069987,0.070933,0.068564
2025-12-07 20:00:00,0.072516,0.072634,0.070035
2025-12-08 00:00:00,0.070469,0.072597,0.070058
2025-12-08 04:00:00,0.071173,0.071192,0.07005
2025-12-08 08:00:00,0.07222,0.072546,0.0712
2025-12-08 12:00:00,0.072923,0.073286,0.072028
2025-12-08 16:00:00,0.072249,0.073601,0.071896
2025-12-08 20:00:00,0.071845,0.072829,0.071441
2025-12-09 00:00:00,0.072289,0.072712,0.071676
2025-12-09 04:00:00,0.071799,0.072436,0.071072
2025-12-09 08:00:00,0.071632,0.071634,0.070665
2025-12-09 12:00:00,0.071518,0.071675,0.071007
2025-12-09 16:00:00,0.074748,0.074748,0.071537
2025-12-09 20:00:00,0.075726,0.077214,0.07481
2025-12-10 00:00:00,0.075641,0.075993,0.074627
2025-12-10 04:00:00,0.075007,0.075646,0.07453
2025-12-10 08:00:00,0.07442,0.075059,0.074266
2025-12-10 12:00:00,0.072856,0.074494,0.072812
2025-12-10 16:00:00,0.073468,0.073663,0.072814
2025-12-10 20:00:00,0.075071,0.075071,0.073482
2025-12-11 00:00:00,0.072704,0.076057,0.072704
2025-12-11 04:00:00,0.068747,0.072622,0.068569
2025-12-11 08:00:00,0.06825,0.068887,0.068172
2025-12-11 12:00:00,0.06882,0.068913,0.068085
2025-12-11 16:00:00,0.068549,0.069182,0.06827
2025-12-11 20:00:00,0.07024,0.070471,0.068131
2025-12-12 00:00:00,0.070905,0.071817,0.070032
2025-12-12 04:00:00,0.070932,0.071397,0.069905
2025-12-12 08:00:00,0.071264,0.071777,0.070727
2025-12-12 12:00:00,0.071424,0.071811,0.070911
2025-12-12 16:00:00,0.068452,0.071474,0.068452
2025-12-12 20:00:00,0.068616,0.069159,0.067441
2025-12-13 00:00:00,0.070048,0.0701,0.068537
2025-12-13 04:00:00,0.070489,0.070552,0.069788
2025-12-13 08:00:00,0.070814,0.070881,0.069733
2025-12-13 12:00:00,0.070945,0.071268,0.070722
2025-12-13 16:00:00,0.070616,0.071008,0.070378
2025-12-13 20:00:00,0.071159,0.071194,0.070683
2025-12-14 00:00:00,0.070428,0.071158,0.070148
2025-12-14 04:00:00,0.070341,0.0706,0.070122
