,close,high,low
2025-12-04 04:00:00,35.86,36.36,34.59
2025-12-04 08:00:00,35.38,35.7,34.97
2025-12-04 12:00:00,35.01,35.48,34.89
2025-12-04 16:00:00,34.81,35.01,34.44
2025-12-04 20:00:00,33.78,34.95,33.65
2025-12-05 00:00:00,33.8,33.88,33.43
2025-12-05 04:00:00,33.84,34.11,33.62
2025-12-05 08:00:00,33.59,34.0,33.57
2025-12-05 12:00:00,32.22,33.56,32.07
2025-12-05 16:00:00,31.85,32.24,31.39
2025-12-05 20:00:00,31.27,31.65,30.84
2025-12-06 00:00:00,31.18,31.5,31.06
2025-12-06 04:00:00,31.31,31.39,30.87
2025-12-06 08:00:00,31.33,31.54,31.28
2025-12-06 12:00:00,31.03,31.27,30.9
2025-12-06 16:00:00,31.2,31.35,30.83
2025-12-06 20:00:00,31.15,31.64,31.13
2025-12-07 00:00:00,31.09,31.44,31.02
2025-12-07 04:00:00,31.16,31.35,31.04
2025-12-07 08:00:00,30.86,31.35,30.83
2025-12-07 12:00:00,29.88,30.73,29.41
2025-12-07 16:00:00,28.9,30.16,28.43
2025-12-07 20:00:00,29.9,29.95,29.04
2025-12-08 00:00:00,29.66,30.0,29.04
2025-12-08 04:00:00,30.16,30.98,29.67
2025-12-08 08:00:00,30.19,30.66,30.09
2025-12-08 12:00:00,30.64,30.92,30.19
2025-12-08 16:00:00,29.69,30.84,29.48
2025-12-08 20:00:00,29.3,30.17,28.96
2025-12-09 00:00:00,29.63,30.01,29.25
2025-12-09 04:00:00,28.72,29.7,28.72
2025-12-09 08:00:00,28.29,28.84,27.7
2025-12-09 12:00:00,28.13,28.53,27.72
2025-12-09 16:00:00,28.74,28.74,28.01
2025-12-09 20:00:00,29.19,29.23,28.63
2025-12-10 00:00:00,28.09,29.38,27.83
2025-12-10 04:00:00,28.98,28.98,27.85
2025-12-10 08:00:00,29.6,29.6,28.87
2025-12-10 12:00:00,29.22,29.57,29.2
2025-12-10 16:00:00,29.03,29.39,28.93
2025-12-10 20:00:00,29.52,29.79,29.02
2025-12-11 00:00:00,29.18,29.99,29.18
2025-12-11 04:00:00,28.86,29.26,28.45
2025-12-11 08:00:00,28.13,28.92,28.11
2025-12-11 12:00:00,27.44,28.21,27.34
2025-12-11 16:00:00,27.89,28.16,27.15
2025-12-11 20:00:00,28.53,28.56,27.65
2025-12-12 00:00:00,29.3,29.36,28.38
2025-12-12 04:00:00,29.74,29.74,29.05
2025-12-12 08:00:00,29.7,29.94,29.5
2025-12-12 12:00:00,29.79,30.06,29.36
2025-12-12 16:00:00,29.07,30.03,28.95
2025-12-12 20:00:00,29.1,30.29,28.97
2025-12-13 00:00:00,28.89,29.2,28.56
2025-12-13 04:00:00,28.77,29.03,28.57
2025-12-13 08:00:00,28.19,28.74,28.18
2025-12-13 12:00:00,29.16,29.16,28.17
2025-12-13 16:00:00,29.33,29.59,29.08
2025-12-13 20:00:00,29.15,29.51,29.02
2025-12-14 00:00:00,29.79,29.79,28.86
2025-12-14 04:00:00,29.47,29.99,29.42
2025-12-14 08:00:00,29.71,29.71,29.16
2025-12-14 12:00:00,29.02,29.73,28.95
2025-12-14 16:00:00,29.04,30.01,28.89
2025-12-14 20:00:00,29.38,29.67,28.98
2025-12-15 00:00:00,29.19,29.4,28.73
2025-12-15 04:00:00,29.12,29.75,28.87
2025-12-15 08:00:00,29.28,29.43,29.17
2025-12-15 12:00:00,29.53,29.66,29.22
2025-12-15 16:00:00,27.8,29.67,27.8
2025-12-15 20:00:00,27.64,28.2,27.45
2025-12-16 00:00:00,27.74,27.88,27.45
2025-12-16 04:00:00,26.8,27.79,26.63
2025-12-16 08:00:00,26.49,26.91,26.35
2025-12-16 12:00:00,27.32,27.32,26.44
2025-12-16 16:00:00,27.43,27.71,27.12
2025-12-16 20:00:00,27.08,27.42,26.58
2025-12-17 00:00:00,26.89,27.28,26.74
2025-12-17 04:00:00,27.01,27.91,26.46
2025-12-17 08:00:00,27.36,27.39,26.8
2025-12-17 12:00:00,27.76,27.76,26.93
2025-12-17 16:00:00,27.02,27.91,27.02
2025-12-17 20:00:00,24.97,27.09,24.85
2025-12-18 00:00:00,24.6,25.07,24.49
2025-12-18 04:00:00,24.26,24.77,24.26
2025-12-18 08:00:00,24.08,24.67,24.08
2025-12-18 12:00:00,24.43,24.54,23.98
2025-12-18 16:00:00,24.97,25.31,24.28
2025-12-18 20:00:00,22.81,24.89,22.81
2025-12-19 00:00:00,22.67,23.33,22.66
2025-12-19 04:00:00,23.14,23.27,22.4
2025-12-19 08:00:00,24.0,24.24,23.17
2025-12-19 12:00:00,24.81,24.9,23.95
2025-12-19 16:00:00,23.99,24.72,23.99
2025-12-19 20:00:00,24.92,25.1,23.98
2025-12-20 00:00:00,25.02,25.02,24.62
2025-12-20 04:00:00,24.75,25.01,24.53
2025-12-20 08:00:00,25.03,25.03,24.69
2025-12-20 12:00:00,24.87,25.61,24.73
2025-12-20 16:00:00,24.87,24.98,24.71
2025-12-20 20:00:00,25.32,25.45,24.81
2025-12-21 00:00:00,24.09,25.39,24.01
2025-12-21 04:00:00,24.06,24.24,23.78
2025-12-21 08:00:00,24.28,24.36,23.99
2025-12-21 12:00:00,24.31,24.51,24.23
2025-12-21 16:00:00,24.33,24.51,23.93
2025-12-21 20:00:00,24.63,24.63,24.24
2025-12-22 00:00:00,24.82,24.82,24.2
2025-12-22 04:00:00,24.86,25.12,24.68
2025-12-22 08:00:00,25.41,25.41,24.83
2025-12-22 12:00:00,25.31,25.73,25.19
2025-12-22 16:00:00,24.75,25.52,24.65
2025-12-22 20:00:00,24.82,25.31,24.73
2025-12-23 00:00:00,24.98,25.17,24.79
2025-12-23 04:00:00,24.53,25.12,24.53
2025-12-23 08:00:00,24.45,24.61,24.22
2025-12-23 12:00:00,24.48,24.54,24.07
2025-12-23 16:00:00,24.16,24.67,23.89
2025-12-23 20:00:00,24.64,24.67,24.2
2025-12-24 00:00:00,24.08,24.86,24.02
2025-12-24 04:00:00,24.23,24.52,23.88
2025-12-24 08:00:00,24.02,24.36,23.99
2025-12-24 12:00:00,24.07,24.13,23.83
2025-12-24 16:00:00,24.41,24.44,23.98
2025-12-24 20:00:00,24.88,24.88,24.4
2025-12-25 00:00:00,25.38,25.39,24.68
2025-12-25 04:00:00,25.12,25.41,25.0
2025-12-25 08:00:00,24.88,25.29,24.84
2025-12-25 12:00:00,24.85,24.92,24.71
2025-12-25 16:00:00,25.02,25.02,24.74
2025-12-25 20:00:00,25.12,25.37,24.98
2025-12-26 00:00:00,24.51,25.16,24.46
2025-12-26 04:00:00,25.12,25.26,24.54
2025-12-26 08:00:00,25.28,25.67,25.01
2025-12-26 12:00:00,25.13,25.63,25.13
2025-12-26 16:00:00,25.15,25.32,24.99
2025-12-26 20:00:00,25.17,25.22,24.98
2025-12-27 00:00:00,26.01,26.01,25.19
2025-12-27 04:00:00,26.12,26.52,25.81
2025-12-27 08:00:00,26.2,26.26,26.02
2025-12-27 12:00:00,26.33,26.48,26.19
2025-12-27 16:00:00,26.14,26.37,25.97
2025-12-27 20:00:00,25.92,26.16,25.66
2025-12-28 00:00:00,26.18,26.24,25.86
2025-12-28 04:00:00,26.41,26.41,26.12
2025-12-28 08:00:00,26.06,26.52,25.98
2025-12-28 12:00:00,26.11,26.24,26.0
2025-12-28 16:00:00,25.62,26.14,25.62
2025-12-28 20:00:00,25.2,25.66,25.2
2025-12-29 00:00:00,25.62,25.63,25.11
2025-12-29 04:00:00,26.37,26.49,25.52
2025-12-29 08:00:00,26.25,26.46,26.1
2025-12-29 12:00:00,25.85,26.27,25.78
2025-12-29 16:00:00,26.18,26.29,25.58
2025-12-29 20:00:00,25.91,26.52,25.91
2025-12-30 00:00:00,25.92,26.17,25.86
2025-12-30 04:00:00,25.94,26.02,25.63
2025-12-30 08:00:00,26.36,26.61,25.95
2025-12-30 12:00:00,26.01,26.85,25.96
2025-12-30 16:00:00,25.91,26.06,25.68
2025-12-30 20:00:00,26.09,26.09,25.79
2025-12-31 00:00:00,26.19,26.26,26.0
2025-12-31 04:00:00,26.0,26.32,25.92
2025-12-31 08:00:00,25.98,26.24,25.97
2025-12-31 12:00:00,26.03,26.12,25.92
2025-12-31 16:00:00,26.16,26.41,25.98
2025-12-31 20:00:00,26.0,26.26,25.82
2026-01-01 00:00:00,25.65,26.04,25.59
2026-01-01 04:00:00,25.78,26.25,25.66
2026-01-01 08:00:00,25.87,25.87,25.66
2026-01-01 12:00:00,25.93,26.0,25.78
2026-01-01 16:00:00,24.52,25.96,24.52
2026-01-01 20:00:00,24.53,24.74,24.22
2026-01-02 00:00:00,24.38,24.61,24.11
2026-01-02 04:00:00,24.69,24.74,24.28
2026-01-02 08:00:00,24.52,24.96,24.52
2026-01-02 12:00:00,24.69,25.15,24.46
2026-01-02 16:00:00,24.76,24.82,24.53
2026-01-02 20:00:00,24.75,24.94,24.65
2026-01-03 00:00:00,24.76,24.82,24.36
