,close,high,low
2025-12-05 12:00:00,32.48,33.81,32.37
2025-12-05 16:00:00,31.95,32.51,31.55
2025-12-05 20:00:00,31.52,31.89,31.03
2025-12-06 00:00:00,31.44,31.75,31.28
2025-12-06 04:00:00,31.57,31.62,31.09
2025-12-06 08:00:00,31.52,31.8,31.51
2025-12-06 12:00:00,31.2,31.49,31.13
2025-12-06 16:00:00,31.46,31.61,31.06
2025-12-06 20:00:00,31.38,31.89,31.32
2025-12-07 00:00:00,31.24,31.64,31.24
2025-12-07 04:00:00,31.31,31.61,31.27
2025-12-07 08:00:00,31.06,31.61,31.06
2025-12-07 12:00:00,30.11,30.97,29.62
2025-12-07 16:00:00,28.92,30.42,28.59
2025-12-07 20:00:00,30.1,30.19,29.26
2025-12-08 00:00:00,29.92,30.29,29.21
2025-12-08 04:00:00,30.39,31.29,29.93
2025-12-08 08:00:00,30.42,30.92,30.28
2025-12-08 12:00:00,30.93,31.16,30.42
2025-12-08 16:00:00,29.93,31.08,29.64
2025-12-08 20:00:00,29.53,30.38,29.12
2025-12-09 00:00:00,29.87,30.28,29.44
2025-12-09 04:00:00,28.91,29.93,28.9
2025-12-09 08:00:00,28.47,29.05,27.93
2025-12-09 12:00:00,28.41,28.76,27.92
2025-12-09 16:00:00,29.12,29.12,28.22
2025-12-09 20:00:00,29.41,29.45,28.79
2025-12-10 00:00:00,28.25,29.44,28.04
2025-12-10 04:00:00,29.21,29.25,28.07
2025-12-10 08:00:00,29.78,29.83,29.09
2025-12-10 12:00:00,29.42,29.81,29.42
2025-12-10 16:00:00,29.25,29.61,29.15
2025-12-10 20:00:00,29.75,30.01,29.27
2025-12-11 00:00:00,29.33,30.21,29.33
2025-12-11 04:00:00,29.05,29.45,28.63
2025-12-11 08:00:00,28.34,29.12,28.33
2025-12-11 12:00:00,27.69,28.45,27.55
2025-12-11 16:00:00,27.98,28.4,27.38
2025-12-11 20:00:00,28.67,28.75,27.83
2025-12-12 00:00:00,29.54,29.59,28.5
2025-12-12 04:00:00,29.99,29.99,29.23
2025-12-12 08:00:00,29.93,30.18,29.63
2025-12-12 12:00:00,30.03,30.26,29.52
2025-12-12 16:00:00,29.37,30.26,29.15
2025-12-12 20:00:00,29.33,30.54,29.2
2025-12-13 00:00:00,29.06,29.41,28.75
2025-12-13 04:00:00,28.97,29.25,28.78
2025-12-13 08:00:00,28.36,28.97,28.36
2025-12-13 12:00:00,29.36,29.36,28.36
2025-12-13 16:00:00,29.57,29.85,29.3
2025-12-13 20:00:00,29.33,29.72,29.24
2025-12-14 00:00:00,30.05,30.05,29.09
2025-12-14 04:00:00,29.7,30.24,29.66
2025-12-14 08:00:00,29.95,29.95,29.42
2025-12-14 12:00:00,29.27,29.98,29.1
2025-12-14 16:00:00,29.23,30.26,29.13
2025-12-14 20:00:00,29.6,29.89,29.14
2025-12-15 00:00:00,29.4,29.57,28.93
2025-12-15 04:00:00,29.32,29.93,29.08
2025-12-15 08:00:00,29.51,29.63,29.31
2025-12-15 12:00:00,29.76,29.9,29.43
2025-12-15 16:00:00,28.0,29.89,28.0
2025-12-15 20:00:00,27.82,28.37,27.64
2025-12-16 00:00:00,27.95,28.11,27.64
2025-12-16 04:00:00,27.04,27.99,26.84
2025-12-16 08:00:00,26.75,27.12,26.56
2025-12-16 12:00:00,27.55,27.55,26.68
2025-12-16 16:00:00,27.61,27.88,27.25
2025-12-16 20:00:00,27.33,27.64,26.78
2025-12-17 00:00:00,27.17,27.51,26.94
2025-12-17 04:00:00,27.27,28.15,26.66
2025-12-17 08:00:00,27.6,27.62,27.0
2025-12-17 12:00:00,27.94,27.94,27.12
2025-12-17 16:00:00,27.26,28.2,27.26
2025-12-17 20:00:00,25.22,27.29,25.05
2025-12-18 00:00:00,24.81,25.3,24.68
2025-12-18 04:00:00,24.44,24.94,24.44
2025-12-18 08:00:00,24.23,24.86,24.23
2025-12-18 12:00:00,24.65,24.78,24.12
2025-12-18 16:00:00,25.15,25.49,24.47
2025-12-18 20:00:00,22.96,25.06,22.96
2025-12-19 00:00:00,22.84,23.51,22.84
2025-12-19 04:00:00,23.33,23.46,22.57
2025-12-19 08:00:00,24.2,24.39,23.3
2025-12-19 12:00:00,24.99,25.04,24.11
2025-12-19 16:00:00,24.09,24.93,24.09
2025-12-19 20:00:00,25.05,25.33,24.07
2025-12-20 00:00:00,25.13,25.17,24.74
