,close,high,low
2025-12-26 16:00:00,0.059701,0.063824,0.059701
2025-12-26 20:00:00,0.058691,0.059929,0.058512
2025-12-27 00:00:00,0.059659,0.059702,0.05865
2025-12-27 04:00:00,0.059385,0.060063,0.058965
2025-12-27 08:00:00,0.059987,0.060069,0.05874
2025-12-27 12:00:00,0.060346,0.060346,0.059891
2025-12-27 16:00:00,0.055328,0.060384,0.05461
2025-12-27 20:00:00,0.054046,0.05533,0.053672
2025-12-28 00:00:00,0.05426,0.054571,0.053675
2025-12-28 04:00:00,0.053936,0.05402,0.053096
2025-12-28 08:00:00,0.053326,0.054006,0.053216
2025-12-28 12:00:00,0.05428,0.054341,0.053258
2025-12-28 16:00:00,0.053523,0.054461,0.053523
2025-12-28 20:00:00,0.051502,0.052922,0.051502
2025-12-29 00:00:00,0.051996,0.052003,0.050883
2025-12-29 04:00:00,0.053561,0.053772,0.051903
2025-12-29 08:00:00,0.056707,0.056895,0.053533
2025-12-29 12:00:00,0.056492,0.057181,0.056122
2025-12-29 16:00:00,0.056687,0.057052,0.055972
2025-12-29 20:00:00,0.056414,0.057509,0.056414
2025-12-30 00:00:00,0.055973,0.056561,0.055938
2025-12-30 04:00:00,0.056866,0.056866,0.055706
2025-12-30 08:00:00,0.058282,0.058387,0.056775
2025-12-30 12:00:00,0.058734,0.059065,0.057954
2025-12-30 16:00:00,0.059825,0.059825,0.058427
2025-12-30 20:00:00,0.064708,0.064708,0.05972
2025-12-31 00:00:00,0.068278,0.068301,0.06469
2025-12-31 04:00:00,0.068374,0.069169,0.067743
2025-12-31 08:00:00,0.065658,0.068801,0.065557
2025-12-31 12:00:00,0.063341,0.065603,0.06316
2025-12-31 16:00:00,0.06281,0.063635,0.062646
2025-12-31 20:00:00,0.059822,0.062708,0.059777
2026-01-01 00:00:00,0.057927,0.059906,0.057927
2026-01-01 04:00:00,0.059491,0.059995,0.057955
2026-01-01 08:00:00,0.060994,0.061034,0.058836
2026-01-01 12:00:00,0.061565,0.061925,0.06082
2026-01-01 16:00:00,0.059352,0.061713,0.059352
2026-01-01 20:00:00,0.058438,0.059219,0.058126
2026-01-02 00:00:00,0.055502,0.058339,0.055111
2026-01-02 04:00:00,0.055216,0.05569,0.055054
2026-01-02 08:00:00,0.055388,0.056183,0.055244
2026-01-02 12:00:00,0.054125,0.056029,0.053623
2026-01-02 16:00:00,0.054732,0.054972,0.052932
2026-01-02 20:00:00,0.057278,0.057296,0.054619
2026-01-03 00:00:00,0.059132,0.059132,0.056394
2026-01-03 04:00:00,0.060343,0.060343,0.059104
2026-01-03 08:00:00,0.062079,0.06235,0.060368
2026-01-03 12:00:00,0.061546,0.062099,0.061038
2026-01-03 16:00:00,0.062702,0.062702,0.061476
2026-01-03 20:00:00,0.063571,0.06361,0.062575
2026-01-04 00:00:00,0.065074,0.065074,0.063338
2026-01-04 04:00:00,0.064817,0.065041,0.06403
2026-01-04 08:00:00,0.066907,0.066929,0.064721
2026-01-04 12:00:00,0.068512,0.068512,0.066444
2026-01-04 16:00:00,0.069707,0.069707,0.06727
2026-01-04 20:00:00,0.069437,0.070623,0.069437
2026-01-05 00:00:00,0.068226,0.072167,0.068123
2026-01-05 04:00:00,0.071276,0.071351,0.067646
2026-01-05 08:00:00,0.075042,0.07509,0.071588
2026-01-05 12:00:00,0.07522,0.077997,0.074884
2026-01-05 16:00:00,0.074567,0.076028,0.073635
2026-01-05 20:00:00,0.081008,0.081303,0.073988
2026-01-06 00:00:00,0.080804,0.081503,0.078516
2026-01-06 04:00:00,0.08531,0.085518,0.079472
2026-01-06 08:00:00,0.082596,0.087635,0.082596
2026-01-06 12:00:00,0.084288,0.087465,0.082487
2026-01-06 16:00:00,0.081963,0.084642,0.081963
2026-01-06 20:00:00,0.081423,0.084126,0.079752
2026-01-07 00:00:00,0.082048,0.082048,0.080871
2026-01-07 04:00:00,0.080271,0.082324,0.079853
2026-01-07 08:00:00,0.078373,0.080461,0.077347
2026-01-07 12:00:00,0.078314,0.079208,0.077719
2026-01-07 16:00:00,0.077314,0.078561,0.077238
2026-01-07 20:00:00,0.081163,0.081199,0.077271
2026-01-08 00:00:00,0.081317,0.081317,0.079761
2026-01-08 04:00:00,0.081781,0.083719,0.080331
2026-01-08 08:00:00,0.081754,0.082847,0.081455
2026-01-08 12:00:00,0.078707,0.081903,0.078692
2026-01-08 16:00:00,0.07898,0.078992,0.07771
2026-01-08 20:00:00,0.079869,0.080191,0.078936
2026-01-09 00:00:00,0.081794,0.081794,0.078502
2026-01-09 04:00:00,0.083941,0.083961,0.081391
2026-01-09 08:00:00,0.085647,0.085891,0.083629
2026-01-09 12:00:00,0.081463,0.085671,0.081463
2026-01-09 16:00:00,0.087196,0.087208,0.08388
2026-01-09 20:00:00,0.082696,0.093197,0.082696
2026-01-10 00:00:00,0.08158,0.08173,0.079593
2026-01-10 04:00:00,0.086886,0.088271,0.08222
2026-01-10 08:00:00,0.087739,0.087772,0.086165
2026-01-10 12:00:00,0.088486,0.088518,0.086994
2026-01-10 16:00:00,0.087188,0.088649,0.086854
2026-01-10 20:00:00,0.086067,0.08717,0.08588
2026-01-11 00:00:00,0.085504,0.08663,0.085289
2026-01-11 04:00:00,0.086117,0.086272,0.085351
2026-01-11 08:00:00,0.091742,0.091742,0.086174
2026-01-11 12:00:00,0.092656,0.093087,0.092074
2026-01-11 16:00:00,0.091753,0.093921,0.091753
2026-01-11 20:00:00,0.093477,0.093625,0.09173
2026-01-12 00:00:00,0.094516,0.094516,0.092388
2026-01-12 04:00:00,0.094742,0.095248,0.0938
2026-01-12 08:00:00,0.092622,0.094596,0.092622
2026-01-12 12:00:00,0.095754,0.095777,0.092696
2026-01-12 16:00:00,0.0881,0.095997,0.087764
2026-01-12 20:00:00,0.092088,0.092164,0.08856
