,close,high,low
2025-12-04 12:00:00,0.748267,0.750563,0.743984
2025-12-04 16:00:00,0.744914,0.748352,0.736666
2025-12-04 20:00:00,0.733679,0.748079,0.726692
2025-12-05 00:00:00,0.732382,0.737216,0.730044
2025-12-05 04:00:00,0.73828,0.738423,0.732309
2025-12-05 08:00:00,0.733128,0.738371,0.729774
2025-12-05 12:00:00,0.727561,0.733186,0.72333
2025-12-05 16:00:00,0.722556,0.727704,0.721272
2025-12-05 20:00:00,0.707193,0.722921,0.701422
2025-12-06 00:00:00,0.708329,0.708776,0.704228
2025-12-06 04:00:00,0.71017,0.71048,0.704329
2025-12-06 08:00:00,0.706133,0.710428,0.705836
2025-12-06 12:00:00,0.704637,0.70929,0.704366
2025-12-06 16:00:00,0.707105,0.712726,0.704442
2025-12-06 20:00:00,0.710509,0.71192,0.706871
2025-12-07 00:00:00,0.709533,0.71045,0.705633
2025-12-07 04:00:00,0.711939,0.711939,0.706112
2025-12-07 08:00:00,0.708272,0.712319,0.708173
2025-12-07 12:00:00,0.705293,0.711454,0.705293
2025-12-07 16:00:00,0.700339,0.70975,0.692152
2025-12-07 20:00:00,0.726932,0.726932,0.704046
2025-12-08 00:00:00,0.708599,0.726913,0.703747
2025-12-08 04:00:00,0.721321,0.723099,0.707096
2025-12-08 08:00:00,0.721238,0.723712,0.719105
2025-12-08 12:00:00,0.728747,0.734463,0.721202
2025-12-08 16:00:00,0.722514,0.732829,0.718869
2025-12-08 20:00:00,0.720706,0.724109,0.715215
2025-12-09 00:00:00,0.72324,0.72572,0.719058
2025-12-09 04:00:00,0.718355,0.723266,0.714473
2025-12-09 08:00:00,0.712426,0.719159,0.711527
2025-12-09 12:00:00,0.716411,0.717117,0.712225
2025-12-09 16:00:00,0.74216,0.74216,0.71523
2025-12-09 20:00:00,0.75702,0.762552,0.742674
2025-12-10 00:00:00,0.747741,0.76119,0.740999
2025-12-10 04:00:00,0.738714,0.747744,0.738714
2025-12-10 08:00:00,0.739846,0.744259,0.738747
2025-12-10 12:00:00,0.737251,0.746206,0.737251
2025-12-10 16:00:00,0.740038,0.740835,0.735888
2025-12-10 20:00:00,0.742795,0.749665,0.738351
2025-12-11 00:00:00,0.735693,1.11,0.733714
2025-12-11 04:00:00,0.713469,0.739376,0.713386
2025-12-11 08:00:00,0.711107,0.715329,0.711022
2025-12-11 12:00:00,0.709299,0.713795,0.709261
2025-12-11 16:00:00,0.706665,0.713566,0.706093
2025-12-11 20:00:00,0.715213,0.719359,0.705879
2025-12-12 00:00:00,0.727882,0.732541,0.714658
2025-12-12 04:00:00,0.724461,0.728441,0.722269
2025-12-12 08:00:00,0.726477,0.730635,0.723699
2025-12-12 12:00:00,0.724625,0.729538,0.724547
2025-12-12 16:00:00,0.712675,0.729019,0.708608
2025-12-12 20:00:00,0.707525,0.71149,0.701145
2025-12-13 00:00:00,0.703783,0.707826,0.701319
2025-12-13 04:00:00,0.708509,0.708556,0.703644
2025-12-13 08:00:00,0.709474,0.709515,0.704546
2025-12-13 12:00:00,0.710201,0.714311,0.70925
2025-12-13 16:00:00,0.713754,0.713754,0.709456
2025-12-13 20:00:00,0.713376,0.713777,0.709322
2025-12-14 00:00:00,0.7106,0.713485,0.706568
2025-12-14 04:00:00,0.709795,0.712926,0.708204
2025-12-14 08:00:00,0.712525,0.713991,0.708665
2025-12-14 12:00:00,0.703083,0.712364,0.702974
2025-12-14 16:00:00,0.698845,0.705861,0.698845
2025-12-14 20:00:00,0.701134,0.702996,0.698186
2025-12-15 00:00:00,0.69473,0.701194,0.693514
2025-12-15 04:00:00,0.703612,0.709818,0.694679
2025-12-15 08:00:00,0.703442,0.707647,0.703067
2025-12-15 12:00:00,0.704906,0.709089,0.703368
2025-12-15 16:00:00,0.683384,0.708903,0.68171
2025-12-15 20:00:00,0.670097,0.683016,0.667862
2025-12-16 00:00:00,0.672162,0.675654,0.666726
2025-12-16 04:00:00,0.667549,0.677028,0.667529
2025-12-16 08:00:00,0.674013,0.677171,0.66572
2025-12-16 12:00:00,0.677594,0.681488,0.669986
2025-12-16 16:00:00,0.678019,0.683687,0.670905
2025-12-16 20:00:00,0.683155,0.685159,0.677661
2025-12-17 00:00:00,0.683131,0.683841,0.679103
2025-12-17 04:00:00,0.679637,0.685491,0.67959
2025-12-17 08:00:00,0.676124,0.681409,0.676124
2025-12-17 12:00:00,0.675508,0.678631,0.671184
2025-12-17 16:00:00,0.683216,0.699979,0.673958
2025-12-17 20:00:00,0.659654,0.681164,0.656783
2025-12-18 00:00:00,0.661898,0.662864,0.658694
2025-12-18 04:00:00,0.658274,0.663934,0.657962
2025-12-18 08:00:00,0.656104,0.662255,0.656079
2025-12-18 12:00:00,0.661001,0.664823,0.656181
2025-12-18 16:00:00,0.68004,0.680242,0.660947
2025-12-18 20:00:00,0.646619,0.681415,0.646263
2025-12-19 00:00:00,0.647541,0.651434,0.641467
2025-12-19 04:00:00,0.663277,0.663277,0.642556
2025-12-19 08:00:00,0.669034,0.674154,0.660347
2025-12-19 12:00:00,0.673019,0.673084,0.668906
2025-12-19 16:00:00,0.676544,0.681966,0.66924
2025-12-19 20:00:00,0.676863,0.680045,0.669091
2025-12-20 00:00:00,0.678461,0.682489,0.677081
2025-12-20 04:00:00,0.677073,0.68192,0.677046
2025-12-20 08:00:00,0.681339,0.681339,0.67701
2025-12-20 12:00:00,0.682442,0.682471,0.677325
2025-12-20 16:00:00,0.678002,0.682398,0.678002
