,close,high,low
2025-12-04 12:00:00,0.338367,0.341283,0.337387
2025-12-04 16:00:00,0.337742,0.338368,0.333209
2025-12-04 20:00:00,0.333067,0.338304,0.328552
2025-12-05 00:00:00,0.333457,0.333703,0.330886
2025-12-05 04:00:00,0.333412,0.336459,0.333327
2025-12-05 08:00:00,0.33838,0.338889,0.330502
2025-12-05 12:00:00,0.33516,0.340284,0.333147
2025-12-05 16:00:00,0.333098,0.335585,0.32971
2025-12-05 20:00:00,0.323615,0.333037,0.319842
2025-12-06 00:00:00,0.324998,0.327058,0.32233
2025-12-06 04:00:00,0.327509,0.328073,0.323641
2025-12-06 08:00:00,0.328067,0.329413,0.326174
2025-12-06 12:00:00,0.326864,0.328459,0.324997
2025-12-06 16:00:00,0.325074,0.327887,0.324127
2025-12-06 20:00:00,0.32512,0.328177,0.324836
2025-12-07 00:00:00,0.326406,0.328626,0.324983
2025-12-07 04:00:00,0.328368,0.329284,0.326611
2025-12-07 08:00:00,0.325541,0.328414,0.325541
2025-12-07 12:00:00,0.321548,0.325949,0.321138
2025-12-07 16:00:00,0.31816,0.322647,0.313582
2025-12-07 20:00:00,0.324523,0.325751,0.317764
2025-12-08 00:00:00,0.316878,0.325212,0.316317
2025-12-08 04:00:00,0.322654,0.323255,0.316571
2025-12-08 08:00:00,0.322352,0.324281,0.321878
2025-12-08 12:00:00,0.323144,0.325919,0.32211
2025-12-08 16:00:00,0.318226,0.323815,0.317959
2025-12-08 20:00:00,0.314882,0.320548,0.314339
2025-12-09 00:00:00,0.316331,0.317287,0.314526
2025-12-09 04:00:00,0.313012,0.317841,0.310834
2025-12-09 08:00:00,0.310354,0.313376,0.308095
2025-12-09 12:00:00,0.309875,0.310663,0.308114
2025-12-09 16:00:00,0.330941,0.330941,0.309898
2025-12-09 20:00:00,0.330997,0.340994,0.330855
2025-12-10 00:00:00,0.325055,0.330676,0.321013
2025-12-10 04:00:00,0.304171,0.325813,0.30023
2025-12-10 08:00:00,0.302745,0.30623,0.301337
2025-12-10 12:00:00,0.301486,0.304538,0.300615
2025-12-10 16:00:00,0.300893,0.302341,0.299949
2025-12-10 20:00:00,0.305485,0.305759,0.298874
2025-12-11 00:00:00,0.299097,0.309315,0.298429
2025-12-11 04:00:00,0.280189,0.299743,0.280189
2025-12-11 08:00:00,0.28019,0.285237,0.28019
2025-12-11 12:00:00,0.274821,0.280541,0.273816
2025-12-11 16:00:00,0.274397,0.276543,0.273474
2025-12-11 20:00:00,0.275433,0.276782,0.271703
2025-12-12 00:00:00,0.278655,0.282377,0.274054
2025-12-12 04:00:00,0.273178,0.277894,0.271823
2025-12-12 08:00:00,0.275728,0.277055,0.272863
2025-12-12 12:00:00,0.276441,0.278835,0.274946
2025-12-12 16:00:00,0.268791,0.276854,0.268791
2025-12-12 20:00:00,0.264113,0.267869,0.261712
2025-12-13 00:00:00,0.266484,0.26785,0.26387
2025-12-13 04:00:00,0.268799,0.269384,0.266429
2025-12-13 08:00:00,0.268949,0.269384,0.266881
2025-12-13 12:00:00,0.267531,0.269166,0.267522
2025-12-13 16:00:00,0.26984,0.270091,0.267611
2025-12-13 20:00:00,0.269903,0.270439,0.268597
2025-12-14 00:00:00,0.2686,0.269861,0.267673
2025-12-14 04:00:00,0.268311,0.269349,0.267302
2025-12-14 08:00:00,0.266833,0.268126,0.264647
2025-12-14 12:00:00,0.269553,0.283097,0.266463
2025-12-14 16:00:00,0.262819,0.269599,0.262326
2025-12-14 20:00:00,0.256795,0.263163,0.256795
2025-12-15 00:00:00,0.254042,0.258284,0.253729
2025-12-15 04:00:00,0.251846,0.256886,0.251318
2025-12-15 08:00:00,0.252592,0.254068,0.251823
2025-12-15 12:00:00,0.249991,0.254255,0.249789
2025-12-15 16:00:00,0.240086,0.249997,0.240086
2025-12-15 20:00:00,0.235247,0.240402,0.234113
2025-12-16 00:00:00,0.235455,0.235715,0.232701
2025-12-16 04:00:00,0.231158,0.235241,0.230281
2025-12-16 08:00:00,0.229865,0.233454,0.229358
2025-12-16 12:00:00,0.227451,0.231315,0.22712
2025-12-16 16:00:00,0.229431,0.229431,0.225318
2025-12-16 20:00:00,0.234176,0.234176,0.227953
2025-12-17 00:00:00,0.232483,0.236063,0.232038
2025-12-17 04:00:00,0.227602,0.233141,0.227578
2025-12-17 08:00:00,0.227813,0.22917,0.227037
2025-12-17 12:00:00,0.228765,0.228765,0.225809
