,close,high,low
2025-12-04 12:00:00,0.065909,0.066292,0.065742
2025-12-04 16:00:00,0.065444,0.066676,0.065256
2025-12-04 20:00:00,0.065987,0.065987,0.065101
2025-12-05 00:00:00,0.065068,0.066637,0.065068
2025-12-05 04:00:00,0.065639,0.066477,0.065297
2025-12-05 08:00:00,0.065769,0.065854,0.065206
2025-12-05 12:00:00,0.066209,0.066588,0.065159
2025-12-05 16:00:00,0.066001,0.066485,0.065404
2025-12-05 20:00:00,0.066547,0.066643,0.065086
2025-12-06 00:00:00,0.066176,0.066567,0.065166
2025-12-06 04:00:00,0.065275,0.066455,0.065275
2025-12-06 08:00:00,0.065208,0.065376,0.065155
2025-12-06 12:00:00,0.065362,0.066608,0.06505
2025-12-06 16:00:00,0.065518,0.065737,0.065159
2025-12-06 20:00:00,0.065334,0.065867,0.065234
2025-12-07 00:00:00,0.065429,0.065674,0.06528
2025-12-07 04:00:00,0.065797,0.065797,0.0654
2025-12-07 08:00:00,0.065474,0.065797,0.065354
2025-12-07 12:00:00,0.06549,0.065608,0.065249
2025-12-07 16:00:00,0.068709,0.068709,0.065249
2025-12-07 20:00:00,0.07211,0.07211,0.068709
2025-12-08 00:00:00,0.07402,0.074307,0.070714
2025-12-08 04:00:00,0.075729,0.076032,0.074131
2025-12-08 08:00:00,0.074102,0.078244,0.02959843
2025-12-08 12:00:00,0.074415,0.075075,0.07406
2025-12-08 16:00:00,0.073279,0.074826,0.073279
2025-12-08 20:00:00,0.0738,0.074054,0.073191
2025-12-09 00:00:00,0.073943,0.07449,0.0738
2025-12-09 04:00:00,0.073981,0.074362,0.073401
2025-12-09 08:00:00,0.073969,0.07403,0.073252
2025-12-09 12:00:00,0.073697,0.073999,0.073395
2025-12-09 16:00:00,0.074851,0.074851,0.073558
2025-12-09 20:00:00,0.07719,0.079221,0.07555
2025-12-10 00:00:00,0.076445,0.077411,0.075981
2025-12-10 04:00:00,0.076162,0.076445,0.075645
2025-12-10 08:00:00,0.077571,0.077666,0.076032
2025-12-10 12:00:00,0.077118,0.078431,0.077118
2025-12-10 16:00:00,0.077569,0.07789,0.077261
2025-12-10 20:00:00,0.077113,0.079112,0.077113
2025-12-11 00:00:00,0.076011,0.078096,0.075951
2025-12-11 04:00:00,0.074249,0.076011,0.072599
2025-12-11 08:00:00,0.073813,0.074784,0.073013
2025-12-11 12:00:00,0.073733,0.074001,0.073493
2025-12-11 16:00:00,0.073319,0.073961,0.072852
2025-12-11 20:00:00,0.076604,0.079275,0.04765411
2025-12-12 00:00:00,0.075589,0.076144,0.074784
2025-12-12 04:00:00,0.075786,0.076086,0.074777
2025-12-12 08:00:00,0.075912,0.076118,0.075568
2025-12-12 12:00:00,0.075651,0.076003,0.075477
2025-12-12 16:00:00,0.075012,0.075877,0.074755
2025-12-12 20:00:00,0.075949,0.076445,0.074754
2025-12-13 00:00:00,0.076447,0.0766,0.075949
2025-12-13 04:00:00,0.076394,0.076594,0.076313
2025-12-13 08:00:00,0.076533,0.076593,0.076342
2025-12-13 12:00:00,0.077165,0.077467,0.076533
2025-12-13 16:00:00,0.077027,0.077393,0.076697
2025-12-13 20:00:00,0.076909,0.077096,0.076636
2025-12-14 00:00:00,0.077099,0.07717,0.07665
2025-12-14 04:00:00,0.077181,0.077371,0.07678
2025-12-14 08:00:00,0.077068,0.07727,0.07689
2025-12-14 12:00:00,0.076118,0.077258,0.076118
2025-12-14 16:00:00,0.076316,0.076837,0.076006
2025-12-14 20:00:00,0.076482,0.076752,0.076172
2025-12-15 00:00:00,0.075586,0.076503,0.075577
2025-12-15 04:00:00,0.077052,0.077608,0.075764
2025-12-15 08:00:00,0.077249,0.07777,0.07689
2025-12-15 12:00:00,0.075821,0.07839,0.075821
2025-12-15 16:00:00,0.075529,0.075843,0.074732
2025-12-15 20:00:00,0.076772,0.076989,0.07467
2025-12-16 00:00:00,0.077365,0.077394,0.076253
2025-12-16 04:00:00,0.076655,0.077784,0.076525
2025-12-16 08:00:00,0.076318,0.076985,0.075806
2025-12-16 12:00:00,0.077093,0.077273,0.076256
2025-12-16 16:00:00,0.076792,0.077264,0.076066
2025-12-16 20:00:00,0.076942,0.077321,0.07635
2025-12-17 00:00:00,0.077329,0.077329,0.076713
2025-12-17 04:00:00,0.076907,0.077399,0.076668
2025-12-17 08:00:00,0.076981,0.076984,0.076249
2025-12-17 12:00:00,0.076425,0.076923,0.076096
2025-12-17 16:00:00,0.076756,0.077457,0.076206
2025-12-17 20:00:00,0.075231,0.076945,0.074704
2025-12-18 00:00:00,0.075836,0.075896,0.075143
2025-12-18 04:00:00,0.075773,0.076179,0.075615
2025-12-18 08:00:00,0.075938,0.076075,0.075521
2025-12-18 12:00:00,0.076532,0.07658,0.07588
2025-12-18 16:00:00,0.079504,0.079617,0.076436
2025-12-18 20:00:00,0.074909,0.079389,0.074909
2025-12-19 00:00:00,0.076761,0.07704,0.074567
2025-12-19 04:00:00,0.078495,0.078495,0.0765
2025-12-19 08:00:00,0.080072,0.080469,0.078774
2025-12-19 12:00:00,0.080556,0.080647,0.079872
2025-12-19 16:00:00,0.080461,0.081301,0.080097
2025-12-19 20:00:00,0.081236,0.081316,0.080078
2025-12-20 00:00:00,0.080774,0.081466,0.080774
2025-12-20 04:00:00,0.081139,0.081201,0.080613
2025-12-20 08:00:00,0.080959,0.081269,0.080802
2025-12-20 12:00:00,0.081008,0.081191,0.080809
2025-12-20 16:00:00,0.08082,0.081402,0.080706
2025-12-20 20:00:00,0.080805,0.080999,0.080705
2025-12-21 00:00:00,0.08079,0.081097,0.080779
2025-12-21 04:00:00,0.080651,0.08105,0.080531
2025-12-21 08:00:00,0.080919,0.080919,0.080601
2025-12-21 12:00:00,0.081434,0.08172,0.080849
2025-12-21 16:00:00,0.080611,0.081534,0.080039
2025-12-21 20:00:00,0.081224,0.081334,0.080655
2025-12-22 00:00:00,0.081587,0.081655,0.080716
2025-12-22 04:00:00,0.082023,0.082693,0.081381
2025-12-22 08:00:00,0.082347,0.082513,0.082023
2025-12-22 12:00:00,0.082836,0.082836,0.082204
2025-12-22 16:00:00,0.082785,0.083205,0.082246
2025-12-22 20:00:00,0.080793,0.082966,0.080793
2025-12-23 00:00:00,0.081588,0.081819,0.080619
2025-12-23 04:00:00,0.081363,0.082228,0.080977
2025-12-23 08:00:00,0.080587,0.081363,0.080169
2025-12-23 12:00:00,0.080769,0.080812,0.080242
2025-12-23 16:00:00,0.079405,0.080983,0.078913
2025-12-23 20:00:00,0.079792,0.08038,0.079174
2025-12-24 00:00:00,0.08065,0.0809,0.080041
2025-12-24 04:00:00,0.079941,0.080818,0.079291
2025-12-24 08:00:00,0.079853,0.080082,0.079315
2025-12-24 12:00:00,0.079623,0.079853,0.079282
2025-12-24 16:00:00,0.079325,0.079728,0.078665
2025-12-24 20:00:00,0.07994,0.079994,0.079325
2025-12-25 00:00:00,0.080064,0.080412,0.079892
2025-12-25 04:00:00,0.079888,0.080276,0.079863
2025-12-25 08:00:00,0.079827,0.080068,0.079766
2025-12-25 12:00:00,0.079391,0.079958,0.079237
2025-12-25 16:00:00,0.080675,0.080675,0.079208
2025-12-25 20:00:00,0.080324,0.080675,0.07997
2025-12-26 00:00:00,0.078742,0.08033,0.078742
2025-12-26 04:00:00,0.080393,0.081014,0.078697
2025-12-26 08:00:00,0.080332,0.080952,0.080233
2025-12-26 12:00:00,0.080534,0.080779,0.080258
2025-12-26 16:00:00,0.079342,0.081099,0.078916
2025-12-26 20:00:00,0.079564,0.079564,0.078934
2025-12-27 00:00:00,0.079527,0.079795,0.079425
2025-12-27 04:00:00,0.079599,0.07966,0.079299
2025-12-27 08:00:00,0.079703,0.079703,0.079476
2025-12-27 12:00:00,0.079783,0.079835,0.079239
2025-12-27 16:00:00,0.079518,0.079783,0.079352
2025-12-27 20:00:00,0.07949,0.079602,0.079324
2025-12-28 00:00:00,0.080284,0.080284,0.079514
2025-12-28 04:00:00,0.079863,0.080164,0.079747
2025-12-28 08:00:00,0.079767,0.080023,0.079662
2025-12-28 12:00:00,0.079868,0.080052,0.079708
2025-12-28 16:00:00,0.080134,0.08038,0.079767
2025-12-28 20:00:00,0.07966,0.080254,0.07949
2025-12-29 00:00:00,0.080188,0.08031,0.07956
2025-12-29 04:00:00,0.082161,0.082161,0.08003
2025-12-29 08:00:00,0.081917,0.082795,0.081736
2025-12-29 12:00:00,0.080438,0.082067,0.080238
2025-12-29 16:00:00,0.079696,0.080438,0.079228
2025-12-29 20:00:00,0.079567,0.079881,0.079182
2025-12-30 00:00:00,0.079683,0.079864,0.079442
2025-12-30 04:00:00,0.080115,0.080115,0.079344
2025-12-30 08:00:00,0.080115,0.080301,0.07978
2025-12-30 12:00:00,0.080845,0.081437,0.080143
2025-12-30 16:00:00,0.081111,0.081174,0.080618
2025-12-30 20:00:00,0.080552,0.081165,0.080201
2025-12-31 00:00:00,0.080557,0.080684,0.080292
2025-12-31 04:00:00,0.080648,0.081015,0.080346
2025-12-31 08:00:00,0.080767,0.080892,0.080515
2025-12-31 12:00:00,0.081456,0.081456,0.080527
2025-12-31 16:00:00,0.081026,0.081878,0.080596
2025-12-31 20:00:00,0.080583,0.081132,0.08043
2026-01-01 00:00:00,0.080688,0.08098,0.080417
2026-01-01 04:00:00,0.08098,0.081149,0.080458
2026-01-01 08:00:00,0.080845,0.080905,0.080675
2026-01-01 12:00:00,0.08105,0.081064,0.080725
2026-01-01 16:00:00,0.081019,0.081085,0.080781
2026-01-01 20:00:00,0.081358,0.081358,0.080811
2026-01-02 00:00:00,0.081441,0.081751,0.08099
2026-01-02 04:00:00,0.082174,0.082174,0.081289
2026-01-02 08:00:00,0.081956,0.082425,0.081615
2026-01-02 12:00:00,0.082795,0.083179,0.081903
2026-01-02 16:00:00,0.083777,0.083937,0.082302
2026-01-02 20:00:00,0.084825,0.085335,0.08368
2026-01-03 00:00:00,0.084757,0.08517,0.084578
2026-01-03 04:00:00,0.084993,0.085099,0.084739
2026-01-03 08:00:00,0.083979,0.084942,0.083533
