,close,high,low
2025-12-04 12:00:00,0.02345057,0.02440569,0.02338342
2025-12-04 16:00:00,0.0234241,0.02355212,0.02317884
2025-12-04 20:00:00,0.0229707,0.0235316,0.02276861
2025-12-05 00:00:00,0.02293306,0.02309624,0.0229052
2025-12-05 04:00:00,0.02377371,0.02490027,0.02280932
2025-12-05 08:00:00,0.02390925,0.02421123,0.02339131
2025-12-05 12:00:00,0.02279469,0.02390369,0.02278282
2025-12-05 16:00:00,0.02312809,0.0235184,0.02272406
2025-12-05 20:00:00,0.02258779,0.02294074,0.02229732
2025-12-06 00:00:00,0.02258983,0.02279843,0.0223173
2025-12-06 04:00:00,0.02213039,0.02261833,0.02189743
2025-12-06 08:00:00,0.02221244,0.02231069,0.02197776
2025-12-06 12:00:00,0.022291,0.02236087,0.02200837
2025-12-06 16:00:00,0.0223547,0.02246567,0.02225104
2025-12-06 20:00:00,0.0222916,0.02258748,0.0222916
2025-12-07 00:00:00,0.0223754,0.02252382,0.0222674
2025-12-07 04:00:00,0.02245574,0.02246132,0.02234592
2025-12-07 08:00:00,0.0222141,0.02246095,0.02219777
2025-12-07 12:00:00,0.0218053,0.02219475,0.02176378
2025-12-07 16:00:00,0.02150111,0.02193567,0.02127048
2025-12-07 20:00:00,0.02225439,0.0223015,0.02165538
2025-12-08 00:00:00,0.02169639,0.02228165,0.02161547
2025-12-08 04:00:00,0.02196365,0.02209478,0.02167855
2025-12-08 08:00:00,0.02220779,0.02230174,0.0219564
2025-12-08 12:00:00,0.02224748,0.02255348,0.02220446
2025-12-08 16:00:00,0.02208911,0.02244847,0.02204419
2025-12-08 20:00:00,0.02202799,0.02227028,0.02191555
2025-12-09 00:00:00,0.02199594,0.02218836,0.02196441
2025-12-09 04:00:00,0.02172541,0.02203987,0.02172541
2025-12-09 08:00:00,0.02174682,0.02180986,0.02151037
2025-12-09 12:00:00,0.02161505,0.02175204,0.02153027
2025-12-09 16:00:00,0.02242232,0.02242232,0.02161285
2025-12-09 20:00:00,0.02300544,0.02308603,0.02244894
2025-12-10 00:00:00,0.02273397,0.02305833,0.02244261
2025-12-10 04:00:00,0.02248892,0.02285613,0.02248892
2025-12-10 08:00:00,0.02234024,0.02257759,0.02228666
2025-12-10 12:00:00,0.02193516,0.02236345,0.02189231
2025-12-10 16:00:00,0.02186868,0.02197141,0.02178675
2025-12-10 20:00:00,0.02227996,0.02237675,0.02182381
2025-12-11 00:00:00,0.02189467,0.02264833,0.02182747
2025-12-11 04:00:00,0.02097894,0.02188386,0.02097894
2025-12-11 08:00:00,0.02125589,0.02130179,0.02096368
2025-12-11 12:00:00,0.02133504,0.0213686,0.02116186
2025-12-11 16:00:00,0.02170239,0.02173765,0.0212722
