,close,high,low
2025-12-04 16:00:00,0.249008,0.25363,0.244468
2025-12-04 20:00:00,0.252911,0.255704,0.24753
2025-12-05 00:00:00,0.248539,0.253801,0.248456
2025-12-05 04:00:00,0.245603,0.251962,0.24402
2025-12-05 08:00:00,0.243643,0.247293,0.243024
2025-12-05 12:00:00,0.234007,0.24295,0.233213
2025-12-05 16:00:00,0.235608,0.237512,0.2328
2025-12-05 20:00:00,0.228313,0.234689,0.223115
2025-12-06 00:00:00,0.226691,0.228703,0.224142
2025-12-06 04:00:00,0.228977,0.229772,0.224386
2025-12-06 08:00:00,0.226214,0.228589,0.224849
2025-12-06 12:00:00,0.221984,0.22661,0.219482
2025-12-06 16:00:00,0.224649,0.224649,0.220048
2025-12-06 20:00:00,0.222128,0.224879,0.222101
2025-12-07 00:00:00,0.227146,0.227146,0.222238
2025-12-07 04:00:00,0.224679,0.227227,0.223327
2025-12-07 08:00:00,0.224522,0.228278,0.223802
2025-12-07 12:00:00,0.221833,0.224097,0.219618
2025-12-07 16:00:00,0.220446,0.223418,0.214232
2025-12-07 20:00:00,0.224802,0.225138,0.218859
2025-12-08 00:00:00,0.217212,0.225425,0.217052
2025-12-08 04:00:00,0.222022,0.223112,0.217248
2025-12-08 08:00:00,0.224424,0.224612,0.221746
2025-12-08 12:00:00,0.223122,0.225541,0.222741
2025-12-08 16:00:00,0.219742,0.223713,0.218055
2025-12-08 20:00:00,0.21738,0.221106,0.216181
2025-12-09 00:00:00,0.219905,0.220798,0.217065
2025-12-09 04:00:00,0.216075,0.220745,0.21444
2025-12-09 08:00:00,0.217701,0.219589,0.214279
2025-12-09 12:00:00,0.216744,0.217962,0.214424
2025-12-09 16:00:00,0.22428,0.225004,0.215737
2025-12-09 20:00:00,0.223152,0.226013,0.222275
2025-12-10 00:00:00,0.225409,0.227187,0.220625
2025-12-10 04:00:00,0.221777,0.224626,0.220338
2025-12-10 08:00:00,0.218279,0.222717,0.21797
2025-12-10 12:00:00,0.214676,0.218532,0.21342
2025-12-10 16:00:00,0.214621,0.216551,0.214187
