,close,high,low
2025-12-04 12:00:00,0.474109,0.484787,0.467742
2025-12-04 16:00:00,0.477123,0.483472,0.470818
2025-12-04 20:00:00,0.474597,0.482775,0.472716
2025-12-05 00:00:00,0.467136,0.474439,0.46532
2025-12-05 04:00:00,0.479461,0.479786,0.460153
2025-12-05 08:00:00,0.472093,0.487852,0.470936
2025-12-05 12:00:00,0.48133,0.487135,0.464237
2025-12-05 16:00:00,0.488262,0.494072,0.482075
2025-12-05 20:00:00,0.480808,0.489168,0.477927
2025-12-06 00:00:00,0.482938,0.484702,0.477094
2025-12-06 04:00:00,0.474812,0.481644,0.467475
2025-12-06 08:00:00,0.482613,0.489052,0.470701
2025-12-06 12:00:00,0.493117,0.496286,0.481929
2025-12-06 16:00:00,0.484573,0.493174,0.479547
2025-12-06 20:00:00,0.484116,0.492399,0.48381
2025-12-07 00:00:00,0.486495,0.488487,0.483108
2025-12-07 04:00:00,0.485285,0.488003,0.479165
2025-12-07 08:00:00,0.478718,0.484475,0.478718
2025-12-07 12:00:00,0.486241,0.494615,0.478388
2025-12-07 16:00:00,0.473468,0.488269,0.46247
2025-12-07 20:00:00,0.475428,0.480061,0.47061
2025-12-08 00:00:00,0.464163,0.476097,0.461136
2025-12-08 04:00:00,0.473055,0.473211,0.464008
2025-12-08 08:00:00,0.475796,0.479369,0.471929
2025-12-08 12:00:00,0.488419,0.491301,0.475536
2025-12-08 16:00:00,0.489848,0.493877,0.487619
2025-12-08 20:00:00,0.486142,0.49391,0.483873
2025-12-09 00:00:00,0.491052,0.494647,0.485996
2025-12-09 04:00:00,0.48781,0.491692,0.486645
2025-12-09 08:00:00,0.487283,0.49758,0.484793
2025-12-09 12:00:00,0.486564,0.486564,0.48261
2025-12-09 16:00:00,0.496303,0.496586,0.486677
2025-12-09 20:00:00,0.494971,0.504724,0.494729
2025-12-10 00:00:00,0.501296,0.501296,0.491751
2025-12-10 04:00:00,0.49573,0.501102,0.493606
2025-12-10 08:00:00,0.495041,0.496329,0.492398
2025-12-10 12:00:00,0.48292,0.496979,0.48292
2025-12-10 16:00:00,0.486259,0.488799,0.480256
2025-12-10 20:00:00,0.490417,0.490843,0.483505
2025-12-11 00:00:00,0.48277,0.495982,0.48277
2025-12-11 04:00:00,0.484822,0.489207,0.482628
2025-12-11 08:00:00,0.488196,0.490691,0.485162
2025-12-11 12:00:00,0.490723,0.490932,0.485501
2025-12-11 16:00:00,0.487941,0.494653,0.487339
2025-12-11 20:00:00,0.49269,0.494579,0.487942
2025-12-12 00:00:00,0.493836,0.495849,0.491316
