,close,high,low
2025-12-04 12:00:00,0.410983,0.411047,0.410962
2025-12-04 16:00:00,0.411072,0.411096,0.410933
2025-12-04 20:00:00,0.411037,0.411106,0.411029
2025-12-05 00:00:00,0.41104,0.411052,0.41102
2025-12-05 04:00:00,0.411046,0.411083,0.411022
2025-12-05 08:00:00,0.411044,0.41108,0.411025
2025-12-05 12:00:00,0.411043,0.411117,0.411002
2025-12-05 16:00:00,0.41107,0.411081,0.411018
2025-12-05 20:00:00,0.411037,0.411146,0.411029
2025-12-06 00:00:00,0.41103,0.411043,0.411014
2025-12-06 04:00:00,0.411026,0.411044,0.411022
2025-12-06 08:00:00,0.411044,0.411066,0.411022
2025-12-06 12:00:00,0.411065,0.411071,0.411039
2025-12-06 16:00:00,0.411035,0.411067,0.411027
2025-12-06 20:00:00,0.41107,0.411082,0.411035
2025-12-07 00:00:00,0.411078,0.41109,0.411045
2025-12-07 04:00:00,0.41104,0.411053,0.411028
2025-12-07 08:00:00,0.411017,0.411073,0.411011
2025-12-07 12:00:00,0.411056,0.411056,0.411005
2025-12-07 16:00:00,0.411045,0.411067,0.411019
2025-12-07 20:00:00,0.411048,0.411066,0.411
2025-12-08 00:00:00,0.411056,0.411059,0.411009
2025-12-08 04:00:00,0.411011,0.411048,0.411002
2025-12-08 08:00:00,0.411,0.411016,0.410944
2025-12-08 12:00:00,0.410954,0.411002,0.410938
2025-12-08 16:00:00,0.410984,0.411,0.410913
2025-12-08 20:00:00,0.41099,0.411017,0.410963
2025-12-09 00:00:00,0.397754,0.411002,0.385
2025-12-09 04:00:00,0.38766,0.39775,0.38766
2025-12-09 08:00:00,0.411034,0.411089,0.3873
2025-12-09 12:00:00,0.411077,0.411093,0.411029
2025-12-09 16:00:00,0.411094,0.411097,0.411067
2025-12-09 20:00:00,0.411099,0.411113,0.411083
2025-12-10 00:00:00,0.411113,0.411118,0.411082
2025-12-10 04:00:00,0.411094,0.411119,0.411091
2025-12-10 08:00:00,0.411094,0.411108,0.41106
2025-12-10 12:00:00,0.411082,0.411107,0.411049
2025-12-10 16:00:00,0.411095,0.411096,0.411065
2025-12-10 20:00:00,0.411104,0.41111,0.411067
2025-12-11 00:00:00,0.411156,0.411212,0.411102
2025-12-11 04:00:00,0.411142,0.411158,0.411141
2025-12-11 08:00:00,0.411115,0.411145,0.411095
2025-12-11 12:00:00,0.411164,0.411169,0.411109
2025-12-11 16:00:00,0.411147,0.41117,0.411097
2025-12-11 20:00:00,0.411108,0.411161,0.411084
2025-12-12 00:00:00,0.411147,0.411155,0.411108
2025-12-12 04:00:00,0.411124,0.411149,0.411119
2025-12-12 08:00:00,0.411105,0.411123,0.411075
2025-12-12 12:00:00,0.411149,0.411154,0.411091
2025-12-12 16:00:00,0.411129,0.411142,0.411098
2025-12-12 20:00:00,0.411128,0.411193,0.411111
2025-12-13 00:00:00,0.411144,0.411165,0.411127
2025-12-13 04:00:00,0.411112,0.411145,0.411102
2025-12-13 08:00:00,0.411118,0.411125,0.411096
2025-12-13 12:00:00,0.411109,0.411128,0.411105
2025-12-13 16:00:00,0.411131,0.411132,0.411108
2025-12-13 20:00:00,0.411145,0.411154,0.41112
2025-12-14 00:00:00,0.411142,0.411164,0.411134
2025-12-14 04:00:00,0.411151,0.411166,0.411138
2025-12-14 08:00:00,0.411138,0.411151,0.411113
2025-12-14 12:00:00,0.411135,0.411143,0.411127
2025-12-14 16:00:00,0.411125,0.411144,0.41111
2025-12-14 20:00:00,0.411158,0.411166,0.411119
2025-12-15 00:00:00,0.411126,0.411171,0.411117
2025-12-15 04:00:00,0.411099,0.411136,0.411099
2025-12-15 08:00:00,0.411075,0.411129,0.411075
2025-12-15 12:00:00,0.4111,0.411108,0.411074
2025-12-15 16:00:00,0.411486,0.411517,0.411083
2025-12-15 20:00:00,0.41147,0.411497,0.41147
2025-12-16 00:00:00,0.411438,0.411449,0.411415
2025-12-16 04:00:00,0.41139,0.411441,0.41139
2025-12-16 08:00:00,0.411513,0.411533,0.411377
2025-12-16 12:00:00,0.412104,0.412173,0.411513
2025-12-16 16:00:00,0.412093,0.412134,0.412084
2025-12-16 20:00:00,0.412105,0.412115,0.412074
2025-12-17 00:00:00,0.412019,0.412107,0.41201
2025-12-17 04:00:00,0.412002,0.412023,0.411979
2025-12-17 08:00:00,0.412336,0.41239,0.411943
2025-12-17 12:00:00,0.412374,0.412392,0.412336
2025-12-17 16:00:00,0.413246,0.413535,0.412343
2025-12-17 20:00:00,0.415063,0.415115,0.412977
2025-12-18 00:00:00,0.415038,0.415178,0.41502
2025-12-18 04:00:00,0.414977,0.41505,0.414977
2025-12-18 08:00:00,0.416014,0.416145,0.414977
2025-12-18 12:00:00,0.417069,0.417678,0.41561
2025-12-18 16:00:00,0.412385,0.419031,0.412385
2025-12-18 20:00:00,0.412332,0.412504,0.412204
2025-12-19 00:00:00,0.412148,0.412324,0.41213
2025-12-19 04:00:00,0.411881,0.412149,0.411863
2025-12-19 08:00:00,0.411889,0.411957,0.411846
2025-12-19 12:00:00,0.411959,0.411977,0.411872
2025-12-19 16:00:00,0.412046,0.412063,0.411959
2025-12-19 20:00:00,0.412004,0.412058,0.411972
2025-12-20 00:00:00,0.411987,0.412019,0.411964
2025-12-20 04:00:00,0.411823,0.412026,0.411808
2025-12-20 08:00:00,0.414517,0.414522,0.411812
2025-12-20 12:00:00,0.414422,0.414521,0.414387
2025-12-20 16:00:00,0.41644,0.417081,0.414394
2025-12-20 20:00:00,0.416244,0.416452,0.416244
2025-12-21 00:00:00,0.416314,0.416325,0.416237
2025-12-21 04:00:00,0.416147,0.416317,0.416139
2025-12-21 08:00:00,0.417674,0.418225,0.416123
2025-12-21 12:00:00,0.418325,0.41852,0.417593
2025-12-21 16:00:00,0.417909,0.418814,0.417895
2025-12-21 20:00:00,0.417687,0.418924,0.417529
2025-12-22 00:00:00,0.417486,0.417735,0.41745
2025-12-22 04:00:00,0.417327,0.417539,0.417323
2025-12-22 08:00:00,0.418679,0.419019,0.417187
2025-12-22 12:00:00,0.418847,0.418926,0.418769
2025-12-22 16:00:00,0.418777,0.418851,0.418669
2025-12-22 20:00:00,0.418631,0.419226,0.414852
2025-12-23 00:00:00,0.418267,0.418745,0.418256
2025-12-23 04:00:00,0.418203,0.418321,0.418203
2025-12-23 08:00:00,0.418725,0.419071,0.418166
2025-12-23 12:00:00,0.418762,0.418827,0.418425
2025-12-23 16:00:00,0.418781,0.418828,0.418525
2025-12-23 20:00:00,0.41854,0.41887,0.418538
2025-12-24 00:00:00,0.418803,0.418854,0.418533
2025-12-24 04:00:00,0.41846,0.418799,0.418426
2025-12-24 08:00:00,0.418519,0.419092,0.418025
2025-12-24 12:00:00,0.41916,0.41916,0.418312
2025-12-24 16:00:00,0.418889,0.419006,0.418889
2025-12-24 20:00:00,0.418863,0.418991,0.418845
2025-12-25 00:00:00,0.418817,0.418929,0.418804
2025-12-25 04:00:00,0.418854,0.418888,0.41879
2025-12-25 08:00:00,0.418932,0.419116,0.418775
2025-12-25 12:00:00,0.41888,0.419107,0.418345
2025-12-25 16:00:00,0.418858,0.418975,0.418857
2025-12-25 20:00:00,0.418819,0.418897,0.418782
2025-12-26 00:00:00,0.418855,0.418968,0.418793
2025-12-26 04:00:00,0.418657,0.418865,0.418657
2025-12-26 08:00:00,0.418895,0.418895,0.418636
2025-12-26 12:00:00,0.418901,0.419086,0.418332
2025-12-26 16:00:00,0.418748,0.418925,0.418738
2025-12-26 20:00:00,0.418749,0.419031,0.41867
2025-12-27 00:00:00,0.418779,0.418805,0.41872
2025-12-27 04:00:00,0.418694,0.418783,0.418694
2025-12-27 08:00:00,0.418913,0.419118,0.41869
2025-12-27 12:00:00,0.418708,0.418956,0.418678
2025-12-27 16:00:00,0.418935,0.419196,0.418745
2025-12-27 20:00:00,0.418961,0.418979,0.418848
2025-12-28 00:00:00,0.418896,0.418973,0.4188
2025-12-28 04:00:00,0.418804,0.418929,0.418798
2025-12-28 08:00:00,0.418843,0.419091,0.418753
2025-12-28 12:00:00,0.418651,0.418927,0.418637
2025-12-28 16:00:00,0.418888,0.419078,0.418625
2025-12-28 20:00:00,0.418757,0.418914,0.41874
2025-12-29 00:00:00,0.418732,0.418816,0.41872
2025-12-29 04:00:00,0.418581,0.418739,0.418538
2025-12-29 08:00:00,0.418714,0.418958,0.418575
2025-12-29 12:00:00,0.418751,0.418753,0.418583
2025-12-29 16:00:00,0.418624,0.418903,0.418241
2025-12-29 20:00:00,0.418599,0.41874,0.418553
2025-12-30 00:00:00,0.418486,0.418486,0.418396
2025-12-30 04:00:00,0.418331,0.4185,0.418284
2025-12-30 08:00:00,0.418437,0.418831,0.418291
2025-12-30 12:00:00,0.418522,0.41861,0.418424
2025-12-30 16:00:00,0.418574,0.418878,0.417987
2025-12-30 20:00:00,0.418579,0.418683,0.418371
2025-12-31 00:00:00,0.418373,0.418681,0.418365
2025-12-31 04:00:00,0.418244,0.418439,0.41821
2025-12-31 08:00:00,0.418281,0.418878,0.418172
2025-12-31 12:00:00,0.418473,0.418555,0.418259
2025-12-31 16:00:00,0.41795,0.418546,0.417943
2025-12-31 20:00:00,0.418494,0.418635,0.417932
2026-01-01 00:00:00,0.418525,0.41862,0.418376
2026-01-01 04:00:00,0.418423,0.418532,0.418423
2026-01-01 08:00:00,0.418472,0.418701,0.418373
2026-01-01 12:00:00,0.418516,0.418563,0.418433
2026-01-01 16:00:00,0.418607,0.418666,0.418516
2026-01-01 20:00:00,0.418098,0.418681,0.418074
2026-01-02 00:00:00,0.418141,0.418141,0.418045
2026-01-02 04:00:00,0.418121,0.418139,0.41809
2026-01-02 08:00:00,0.418334,0.418868,0.418103
2026-01-02 12:00:00,0.418761,0.418761,0.418345
2026-01-02 16:00:00,0.418795,0.418927,0.418622
2026-01-02 20:00:00,0.41897,0.419182,0.418621
2026-01-03 00:00:00,0.41895,0.419027,0.418918
2026-01-03 04:00:00,0.41888,0.418975,0.41888
2026-01-03 08:00:00,0.419014,0.419194,0.418875
